date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
3-01,11:34:36,NINTEN,Mew,Rival1-Lab,1,Pallet Town - Oak's Lab,1,45.82,45,0h0m45s,0,0,0,6,0:02,10.953,POUND,,,,0,75,8,1,1,4,4,3,0,3000,Jolteon, ,Psychic,Psychic,232,Mew4,Mew,Rival (Lab),00:00:34.87,00:00:45.82,00:02:26.45,6,0,0,0,45,82,POUND,,,,31,0,0,0,0,0,0,0,20,29,18,18,18,18,18,55,55,50,65,65,55,15,15,15,15,0,-1,0,0,0,0,0,18,11,18,18,18,10855,4957,3820,0,2078,0,0,0,75,75,0,0,8,2,1,1,0,0,24,21,9,9,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,4,0,Jolteon
3-02,15:14:43,NINTEN,Mew,Rival1-Lab,1,Pallet Town - Oak's Lab,1,42.85,42,0h0m42s,0,0,0,6,0:02,9.516,POUND,,,,0,71,4,1,1,4,4,3,0,3000,Jolteon, ,Psychic,Psychic,232,Mew4,Mew,Rival (Lab),00:00:33.34,00:00:42.85,00:02:16.51,6,0,0,0,42,85,POUND,,,,31,0,0,0,0,0,0,0,17,29,18,18,18,18,18,55,55,50,65,65,55,15,15,15,15,0,-1,0,0,0,0,0,18,11,18,18,18,10138,4713,3470,0,1955,0,0,0,71,71,0,0,4,2,1,1,0,0,25,21,12,12,4,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,4,0,Jolteon
3-02,15:16:09,NINTEN,Mew,Bug Catcher,1,Viridian Forest,2,2:08.82,2:08,0h2m8s,0,0,0,8,0:07,18.82,POUND,,,,0,525,40,2,2,13,13,12,3,1475,Flareon, ,Psychic,Psychic,390,Mew4,Mew,,00:01:50.00,00:02:08.82,00:07:56.34,8,0,0,2,8,82,POUND,,,,26,0,0,0,0,0,0,0,27,36,23,23,23,23,23,145,115,120,105,105,145,15,15,15,15,0,0,0,0,-2,0,0,23,23,23,23,11,30521,19251,9315,0,1955,0,0,0,525,525,0,0,40,4,2,2,0,0,83,69,21,21,13,3,9,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,255,0,0,0,0,1,6,0,0,0,0,0,4,0,Flareon
3-02,15:16:40,NINTEN,Mew,Bug Catcher,15,Viridian Forest,2,2:39.71,2:39,0h2m39s,0,0,0,10,0:09,16.325,POUND,TRANSFORM,,,0,574,41,3,3,21,21,18,2,1545,Flareon, ,Psychic,Psychic,603,Mew4,Mew,,00:02:23.38,00:02:39.71,00:09:58.38,10,0,0,2,39,71,POUND,TRANSFORM,,,18,10,0,0,0,0,0,0,25,43,28,28,28,28,28,240,165,210,150,150,220,15,15,15,15,0,0,0,0,-2,0,0,28,28,28,28,14,37845,20336,15554,0,1955,0,0,0,574,574,0,0,41,6,3,3,0,0,153,133,30,30,21,3,15,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,468,0,0,0,0,2,6,0,1,1,0,0,4,0,Flareon
3-02,15:16:53,NINTEN,Mew,Bug Catcher,3,Viridian Forest,1,2:52.92,2:52,0h2m52s,0,0,0,10,0:10,7.206,POUND,TRANSFORM,,,0,624,41,4,3,24,24,20,2,1625,Flareon, ,Psychic,Psychic,715,Mew4,Mew,,00:02:45.72,00:02:52.92,00:10:50.51,10,0,0,2,52,92,POUND,TRANSFORM,,,15,10,0,0,0,0,0,0,21,43,28,28,28,28,28,285,195,245,170,170,265,15,15,15,15,0,0,0,0,0,0,0,28,28,28,28,28,40978,21334,17689,0,1955,0,0,0,624,624,0,0,41,7,4,3,0,0,192,163,34,34,24,3,17,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,580,0,0,0,0,2,6,0,1,1,1,0,4,0,Flareon
3-02,15:17:23,NINTEN,Mew,Jr Trainer M,1,Pewter City - Gym,2,3:23.17,3:23,0h3m23s,0,0,0,12,0:12,13.785,POUND,TRANSFORM,,,0,740,42,5,3,30,30,24,2,1725,Flareon, ,Psychic,Psychic,1049,Mew4,Mew,,00:03:09.38,00:03:23.17,00:12:50.11,12,0,0,3,23,17,POUND,TRANSFORM,,,29,10,0,0,0,0,0,0,38,50,33,33,33,33,33,345,325,355,245,245,400,15,15,15,15,0,0,0,0,0,0,0,33,33,33,33,33,48138,24693,21490,0,1955,0,0,0,740,740,0,0,42,8,5,3,0,0,249,214,46,46,30,3,21,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,914,0,0,0,0,2,6,0,1,1,1,0,4,0,Flareon
3-02,15:18:24,NINTEN,Mew,Brock,1,Pewter City - Gym,2,4:23.75,4:23,0h4m23s,0,0,0,13,0:16,54.502,POUND,TRANSFORM,,,0,744,42,6,3,68,58,44,2,1905,Flareon, ,Psychic,Psychic,1509,Mew4,Mew,Brock,00:03:29.25,00:04:23.75,00:16:50.39,13,0,0,4,23,75,POUND,TRANSFORM,,,14,9,0,0,0,0,0,0,16,53,35,35,35,35,35,420,450,615,305,305,490,15,15,15,15,0,0,0,0,0,0,0,17,45,14,14,23,62566,25230,35072,309,1955,0,0,0,744,744,0,0,42,9,6,3,0,0,312,275,83,83,53,12,33,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1374,0,0,0,0,2,6,0,1,1,1,0,4,0,Flareon
3-02,15:18:58,NINTEN,Mew,Bug Catcher,4,Route 3,3,4:58.61,4:58,0h4m58s,0,0,0,14,0:19,15.035,POUND,TRANSFORM,,,0,855,43,7,3,74,64,47,3,3093,Flareon,Poisoned,Psychic,Psychic,1844,Mew4,Mew,,00:04:43.57,00:04:58.61,00:19:08.24,14,0,0,4,58,61,POUND,TRANSFORM,,,29,10,0,0,0,0,0,0,49,56,37,38,37,37,38,550,545,715,365,365,630,15,15,15,15,0,0,0,0,-1,0,0,41,38,37,37,25,70831,28925,39642,309,1955,0,0,0,855,855,0,0,43,10,7,3,0,0,414,364,90,90,59,12,36,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1709,0,0,0,0,2,6,0,1,1,1,0,4,0,Flareon
3-02,15:19:16,NINTEN,Mew,Youngster Ben,1,Route 3,2,5:15.82,5:15,0h5m15s,0,0,0,15,0:20,11.839,POUND,TRANSFORM,,,0,859,43,8,3,79,68,50,2,3193,Flareon, ,Psychic,Psychic,2122,Mew4,Mew,,00:05:03.98,00:05:15.82,00:20:16.11,15,0,0,5,15,82,POUND,TRANSFORM,,,25,10,0,0,0,0,0,0,41,60,40,40,40,40,40,615,661,794,430,430,757,15,15,15,15,0,0,0,0,0,0,0,45,40,40,40,40,74898,29288,42955,700,1955,0,0,0,859,859,0,0,43,11,8,3,0,0,484,423,102,102,63,12,39,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1987,0,0,0,0,2,6,0,1,1,1,0,4,0,Flareon
3-02,15:19:35,NINTEN,Mew,Bug Catcher,5,Route 3,4,5:34.94,5:34,0h5m34s,0,0,0,16,0:21,16.199,POUND,TRANSFORM,,,0,863,43,9,3,86,75,53,2,3358,Flareon, ,Psychic,Psychic,2597,Mew4,Mew,,00:05:18.75,00:05:34.94,00:21:31.38,16,0,0,5,34,94,POUND,TRANSFORM,,,18,10,0,0,0,0,0,0,42,63,42,43,42,42,42,795,771,964,520,520,917,15,15,15,15,0,0,0,0,0,0,0,47,43,42,42,42,79425,29478,47292,700,1955,0,0,0,863,863,0,0,43,12,9,3,0,0,643,535,104,104,70,13,40,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2462,0,0,0,0,2,6,0,1,1,1,0,4,0,Flareon
