ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Mew96,Mew,Rival (Lab),00:00:34.64,00:00:43.61,00:02:19.49,6,0,0,0,43,61,POUND,,,,18,18,18,18,18,0,0,0,0,0,0,0,18,18,18,18,18,10322,5025,3336,0,1961,0,0,0,71,71,0,0,13,2,1,1,0,0,25,21,6,6,4,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,96,0,Jolteon
Mew96,Mew,Brock,00:03:35.93,00:04:25.01,00:16:55.28,13,0,0,4,25,1,POUND,TRANSFORM,,,35,35,35,35,35,0,-2,0,0,0,0,0,17,22,14,14,23,62861,27066,33834,0,1961,0,0,0,825,825,0,0,42,9,6,3,0,0,346,289,83,83,54,2,30,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1410,0,0,0,0,1,5,0,1,1,1,0,96,0,Flareon
Mew96,Mew,Misty,00:07:41.30,00:07:56.22,00:30:49.24,20,0,0,7,56,22,MEGA PUNCH,TRANSFORM,POUND,,52,53,52,52,53,0,0,0,0,0,0,0,58,53,52,52,53,112897,46538,62352,2046,1961,0,0,0,1551,1551,0,0,91,17,14,3,0,0,1274,927,202,202,93,9,51,0,0,0,0,0,22,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,29,5876,0,0,0,0,3,5,0,1,1,2,0,96,0,Flareon
Mew96,Mew,Rival (Nugget Bridge),00:08:15.02,00:08:26.52,00:32:48.41,21,0,0,8,26,52,BUBBLEBEAM,TRANSFORM,POUND,MEGA PUNCH,55,55,54,54,55,0,0,0,0,0,0,0,61,55,54,54,55,120054,49749,65671,2673,1961,0,0,0,1643,1643,0,0,95,18,15,3,0,0,1518,1098,202,202,97,9,51,0,0,0,0,0,23,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,33,6914,0,0,0,0,4,5,0,1,1,3,0,96,0,Flareon
Mew96,Mew,Oddish Lass,00:10:15.65,00:10:24.99,00:40:35.07,24,0,0,10,24,99,BUBBLEBEAM,TRANSFORM,POUND,MEGA PUNCH,63,63,62,62,63,0,0,0,0,0,0,0,70,63,62,62,63,148040,56887,86082,3110,1961,0,0,0,1771,1771,0,0,111,28,25,3,0,0,2729,1914,205,205,119,9,52,0,0,0,0,0,24,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,54,11014,0,0,0,0,5,5,0,1,1,3,0,96,0,Flareon
Mew96,Mew,Rocket,00:10:50.60,00:10:59.84,00:42:52.56,25,0,0,10,59,84,BUBBLEBEAM,TRANSFORM,POUND,MEGA PUNCH,65,65,65,65,65,0,0,0,0,0,0,0,73,65,65,65,65,156309,62464,88774,3110,1961,0,0,0,1915,1915,0,0,119,29,26,3,0,0,2887,2017,205,205,122,10,52,0,0,0,0,0,25,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,56,11703,0,0,0,0,5,5,0,1,1,3,0,96,0,Flareon
Mew96,Mew,Rival (SS Anne),00:12:19.42,00:12:30.74,00:48:51.12,26,0,0,12,30,74,BODY SLAM,DIG,POUND,BUBBLEBEAM,68,68,67,67,68,0,0,0,0,0,0,0,76,68,67,67,68,177805,71931,98370,5543,1961,0,0,0,2236,2236,0,0,153,33,30,3,0,0,3822,2468,213,213,132,12,53,0,0,0,0,0,29,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,66,14310,0,0,0,0,7,8,0,1,1,5,0,96,0,Flareon
Mew96,Mew,Lt. Surge,00:13:08.51,00:13:14.26,00:51:43.02,26,0,0,13,14,26,BODY SLAM,DIG,POUND,BUBBLEBEAM,68,68,67,67,68,0,0,0,0,0,0,0,76,68,67,67,68,188115,78882,100287,6985,1961,0,0,0,2419,2419,0,0,163,34,31,3,0,0,3911,2544,213,213,133,13,53,0,0,0,0,0,29,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,67,15042,0,0,0,0,7,8,0,1,1,6,0,96,0,Flareon
Mew96,Mew,RTG1 - Wrapping Lass,00:13:55.99,00:14:06.86,00:55:10.07,27,0,0,14,6,86,BODY SLAM,DIG,POUND,BUBBLEBEAM,71,70,70,70,71,0,0,0,0,0,0,0,79,78,70,70,71,200540,86284,103432,8863,1961,0,0,0,2604,2552,52,0,194,35,32,3,0,0,4176,2734,213,213,137,13,53,0,0,0,0,0,29,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,71,16290,0,0,0,0,7,8,0,1,1,6,0,96,0,Flareon
Mew96,Mew,RTG4 - Status Jr Trainer,00:14:58.44,00:15:06.81,00:59:06.23,28,0,0,15,6,81,BODY SLAM,DIG,POUND,BUBBLEBEAM,73,73,73,73,73,0,0,0,0,0,0,0,82,82,73,73,73,214716,89460,113596,9699,1961,0,0,0,2806,2552,254,0,216,39,36,3,0,0,4847,3222,221,221,147,15,55,0,0,0,0,0,31,0,4,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,2,1,0,0,0,79,19170,0,0,0,0,7,8,0,1,1,6,0,96,0,Flareon
