ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Mew 13,Mew,Rival (Lab),00:00:33.68,00:00:42.82,00:02:13.54,6,0,0,0,42,82,POUND,,,,18,18,18,18,18,0,-1,0,0,0,0,0,18,11,18,18,18,10126,4619,3387,0,2120,0,0,0,71,71,0,0,1,2,1,1,0,0,26,21,6,6,4,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,187,0,Jolteon
Mew 13,Mew,Brock,00:03:25.39,00:04:19.01,00:16:28.58,13,0,0,4,19,1,POUND,TRANSFORM,,,35,35,35,35,35,0,0,0,0,0,0,0,17,45,14,14,23,61430,24237,34767,306,2120,0,0,0,724,724,0,0,35,9,6,3,0,0,317,292,85,85,53,5,33,0,0,0,0,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1410,0,0,0,0,0,2,0,1,1,1,0,187,0,Flareon
Mew 13,Mew,Misty,00:07:27.13,00:07:42.90,00:29:54.20,21,0,0,7,42,90,POUND,TRANSFORM,MEGA PUNCH,,55,55,54,54,55,0,0,0,0,0,0,0,61,55,54,54,55,109752,43469,62645,1518,2120,0,0,0,1458,1458,0,0,64,17,14,3,0,0,1142,930,189,189,91,10,52,0,0,0,0,0,18,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,29,5876,0,0,0,0,2,2,0,1,1,2,0,187,0,Flareon
Mew 13,Mew,Rival (Nugget Bridge),00:08:01.07,00:08:14.31,00:31:58.00,22,0,0,8,14,31,POUND,TRANSFORM,MEGA PUNCH,BUBBLEBEAM,57,57,57,57,57,0,0,0,0,0,0,0,64,57,57,57,57,117172,46614,66382,2056,2120,0,0,0,1551,1551,0,0,67,18,15,3,0,0,1381,1101,194,194,96,11,53,0,0,0,0,0,18,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,33,6914,0,0,0,0,3,2,0,1,1,3,0,187,0,Flareon
Mew 13,Mew,Oddish Lass,00:09:56.62,00:10:05.53,00:39:15.54,25,0,0,10,5,53,POUND,TRANSFORM,MEGA PUNCH,BUBBLEBEAM,65,65,65,65,65,0,0,0,0,0,0,0,73,65,65,65,65,143446,52959,86311,2056,2120,0,0,0,1671,1671,0,0,89,28,25,3,0,0,2786,1871,202,202,116,11,55,0,0,0,0,0,23,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,53,10849,0,0,0,0,3,2,0,1,1,3,0,187,0,Flareon
Mew 13,Mew,Rocket,00:10:30.77,00:10:37.50,00:41:22.12,25,0,0,10,37,50,POUND,TRANSFORM,MEGA PUNCH,BUBBLEBEAM,65,65,65,65,65,0,0,0,0,0,0,0,73,65,65,65,65,151024,58475,88373,2056,2120,0,0,0,1816,1816,0,0,98,29,26,3,0,0,2898,1974,202,202,118,11,55,0,0,0,0,0,23,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,55,11538,0,0,0,0,4,2,0,1,1,3,0,187,0,Flareon
Mew 13,Mew,Rival (SS Anne),00:11:41.63,00:11:52.46,00:46:17.37,26,0,0,11,52,46,POUND,DIG,MEGA PUNCH,BUBBLEBEAM,68,68,67,67,68,0,0,0,0,0,0,0,76,68,67,67,68,168749,67042,95830,3757,2120,0,0,0,2115,2115,0,0,102,32,29,3,0,0,3502,2372,207,207,127,12,56,0,0,0,0,0,24,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,64,13875,0,0,0,0,5,10,2,1,1,4,0,187,0,Flareon
Mew 13,Mew,Lt. Surge,00:12:26.34,00:12:31.37,00:48:51.13,27,0,0,12,31,37,POUND,DIG,MEGA PUNCH,BUBBLEBEAM,70,70,70,70,71,0,0,0,0,0,0,0,78,70,70,70,71,177965,73714,97564,4567,2120,0,0,0,2296,2296,0,0,126,33,30,3,0,0,3594,2448,207,207,128,13,56,0,0,0,0,0,24,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,65,14607,0,0,0,0,5,10,2,1,1,5,0,187,0,Flareon
Mew 13,Mew,RTG1 - Wrapping Lass,00:13:11.38,00:13:24.40,00:52:20.00,27,0,0,13,24,40,THUNDERBOLT,DIG,MEGA PUNCH,BUBBLEBEAM,70,70,70,70,71,0,0,0,0,0,0,0,78,78,70,70,71,190492,80483,101244,6645,2120,0,0,0,2480,2428,52,0,139,34,31,3,0,0,3905,2638,207,207,132,15,56,0,0,0,0,0,24,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,69,15855,0,0,0,0,5,10,2,1,1,6,0,187,0,Flareon
Mew 13,Mew,RTG4 - Status Jr Trainer,00:14:05.90,00:14:13.66,00:55:33.56,29,0,0,14,13,66,THUNDERBOLT,DIG,MEGA PUNCH,BUBBLEBEAM,76,76,75,75,76,0,0,0,0,0,0,0,85,85,75,75,76,202128,83402,109089,7517,2120,0,0,0,2681,2428,253,0,152,38,35,3,0,0,4819,3126,207,207,140,16,56,0,0,0,0,0,27,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,77,18735,0,0,0,0,5,10,2,1,1,6,0,187,0,Flareon
Mew 13,Mew,RTG6 - Finisher,00:14:39.28,00:14:50.61,00:57:59.29,30,0,0,14,50,61,THUNDERBOLT,DIG,MEGA PUNCH,BUBBLEBEAM,78,78,78,78,78,0,0,0,0,0,0,0,87,87,78,78,78,210861,86135,114546,8060,2120,0,0,0,2847,2428,419,0,160,40,37,3,0,0,5753,3434,207,207,146,16,56,0,0,0,0,0,27,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,83,20975,0,0,0,0,5,10,2,1,1,6,0,187,0,Flareon
Mew 13,Mew,Rival (Pokemon Tower),00:16:13.33,00:16:27.80,01:04:20.38,31,0,0,16,27,80,THUNDERBOLT,DIG,PSYCHIC,BUBBLEBEAM,81,81,80,80,81,0,0,0,0,0,0,0,91,91,80,80,81,233730,99139,120433,12038,2120,0,0,0,3395,2775,620,0,198,42,39,3,0,0,6567,3840,213,213,153,16,57,0,0,0,0,0,29,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,90,24417,0,0,0,0,5,12,2,1,1,8,0,187,0,Flareon
Mew 13,Mew,Rival (Silph Co.),00:18:29.29,00:18:53.08,01:13:51.55,36,0,0,18,53,8,THUNDERBOLT,DIG,PSYCHIC,BUBBLEBEAM,94,94,93,93,94,0,0,0,0,0,0,0,105,105,93,93,94,268007,115709,136641,13537,2120,0,0,0,3804,3184,620,0,243,49,45,4,0,0,8220,4833,282,282,169,19,59,0,0,0,0,0,31,0,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,103,36522,0,0,0,0,10,26,2,1,1,8,0,187,0,Flareon
Mew 13,Mew,Giovanni (Silph),00:19:18.08,00:19:33.49,01:16:31.20,38,0,0,19,33,49,THUNDERBOLT,DIG,PSYCHIC,BUBBLEBEAM,99,99,99,99,99,0,0,0,0,0,0,0,111,111,99,99,99,277572,118222,143693,13537,2120,0,0,0,3827,3207,620,0,244,51,47,4,0,0,9437,5509,293,293,177,20,60,0,0,0,0,0,33,0,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,110,43921,0,0,0,0,10,26,2,1,1,8,0,187,0,Flareon
Mew 13,Mew,Erika,00:21:32.06,00:21:41.91,01:24:56.55,39,0,0,21,41,91,THUNDERBOLT,DIG,PSYCHIC,BUBBLEBEAM,102,102,101,101,102,0,0,0,0,0,0,0,114,114,101,101,102,307907,138104,148894,18789,2120,0,0,0,4754,3553,1201,0,286,54,49,5,1,0,10073,5836,293,293,181,20,60,0,0,0,0,0,36,0,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,114,47472,0,0,0,0,16,26,2,1,1,8,0,187,0,Flareon
Mew 13,Mew,Koga,00:22:38.35,00:22:53.09,01:29:37.38,41,0,0,22,53,9,THUNDERBOLT,EARTHQUAKE,PSYCHIC,SWORDS DANCE,107,107,107,107,107,0,0,0,0,0,0,0,120,120,107,107,107,324750,141412,159168,22050,2120,0,0,0,4828,3627,1201,0,291,57,52,5,1,0,11718,6853,321,321,193,20,62,0,0,0,0,0,37,0,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,124,56098,0,0,0,0,16,26,2,1,1,10,0,187,0,Flareon
Mew 13,Mew,Blaine,00:24:43.21,00:24:57.09,01:37:46.41,46,0,0,24,57,9,THUNDERBOLT,EARTHQUAKE,PSYCHIC,SWORDS DANCE,120,120,120,120,120,2,0,0,0,0,0,0,270,151,120,120,151,354093,159588,163700,28685,2120,0,0,0,5384,4082,1201,101,335,59,53,6,2,0,12331,7290,384,384,196,20,64,0,0,0,0,0,39,0,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,127,62448,0,0,0,0,21,26,2,1,1,12,0,187,0,Flareon
Mew 13,Mew,Sabrina,00:25:16.99,00:25:29.49,01:39:54.00,47,0,0,25,29,49,THUNDERBOLT,EARTHQUAKE,PSYCHIC,SWORDS DANCE,122,122,122,122,122,2,0,0,0,0,0,0,274,154,154,154,154,361732,163322,167186,29104,2120,0,0,0,5487,4185,1201,101,336,60,54,6,2,0,12915,7614,384,384,199,21,64,0,0,0,0,0,39,0,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,130,66773,0,0,0,0,21,26,2,1,1,12,0,187,0,Flareon
Mew 13,Mew,Giovanni,00:26:18.93,00:26:40.01,01:44:32.08,49,0,0,26,40,1,THUNDERBOLT,EARTHQUAKE,PSYCHIC,SWORDS DANCE,128,128,127,127,128,2,0,0,0,0,0,0,288,144,142,142,144,378420,168577,177303,30420,2120,0,0,0,5635,4333,1201,101,345,63,57,6,2,0,15261,8837,477,477,209,21,66,0,0,0,0,0,42,0,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,139,81328,0,0,0,0,21,26,2,1,1,12,0,187,0,Flareon
Mew 13,Mew,Rival (Final),00:27:00.69,00:27:23.10,01:47:22.14,50,0,0,27,23,10,THUNDERBOLT,EARTHQUAKE,PSYCHIC,SWORDS DANCE,131,131,131,131,131,0,0,0,0,0,0,0,147,147,147,147,147,388626,171799,183304,31403,2120,0,0,0,5740,4438,1201,101,352,64,58,6,2,0,16162,9554,520,520,217,21,67,0,0,0,0,0,42,0,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,145,91292,0,0,0,0,21,26,2,1,1,12,0,187,0,Flareon
Mew 13,Mew,Lorelei,00:29:07.08,00:29:32.51,01:55:54.41,52,0,0,29,32,51,THUNDERBOLT,EARTHQUAKE,PSYCHIC,SWORDS DANCE,137,137,136,136,136,6,0,0,0,0,0,0,616,154,153,153,153,419373,194099,189824,33330,2120,0,0,0,6382,5043,1201,138,468,65,59,6,2,0,17532,10389,543,543,224,24,68,0,0,0,0,0,44,0,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,150,101801,0,0,0,0,21,26,2,1,1,12,0,187,0,Flareon
Mew 13,Mew,Bruno,00:29:38.28,00:29:53.75,01:57:18.23,53,0,0,29,53,75,THUNDERBOLT,EARTHQUAKE,PSYCHIC,SWORDS DANCE,139,139,139,139,139,0,0,0,0,0,0,0,156,156,156,156,156,424395,194993,193952,33330,2120,0,0,0,6393,5054,1201,138,469,66,60,6,2,0,18741,11048,543,543,229,24,68,0,0,0,0,0,44,0,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,155,110008,0,0,0,0,21,26,2,1,1,12,0,187,0,Flareon
Mew 13,Mew,Agatha,00:29:59.55,00:30:16.34,01:58:47.25,54,0,0,30,16,34,THUNDERBOLT,EARTHQUAKE,PSYCHIC,SWORDS DANCE,142,142,142,142,142,0,0,0,0,0,0,0,159,159,159,159,159,429737,195898,198389,33330,2120,0,0,0,6404,5065,1201,138,470,67,61,6,2,0,19813,11768,543,543,234,24,68,0,0,0,0,0,46,0,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,160,120094,0,0,0,0,21,26,2,1,1,12,0,187,0,Flareon
Mew 13,Mew,Lance,00:30:31.77,00:30:49.35,02:00:57.45,55,0,0,30,49,35,THUNDERBOLT,EARTHQUAKE,BLIZZARD,SWORDS DANCE,145,145,144,144,145,2,0,0,0,0,0,0,326,163,162,162,163,437557,197680,202984,34773,2120,0,0,0,6454,5115,1201,138,470,68,62,6,2,0,20925,12610,699,699,239,24,69,0,0,0,0,0,46,0,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,165,131700,0,0,0,0,21,26,2,1,1,13,0,187,0,Flareon
Mew 13,Mew,Champion,00:31:02.16,00:31:35.52,02:04:00.16,57,0,0,31,35,52,THUNDERBOLT,EARTHQUAKE,BLIZZARD,SWORDS DANCE,150,150,150,150,150,1,0,0,0,0,0,0,253,168,168,168,168,448508,199224,211441,35723,2120,0,0,0,6460,5121,1201,138,470,69,63,6,2,0,22617,13577,773,773,247,26,70,0,0,0,0,0,50,0,10,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,171,146551,0,0,0,0,21,26,2,1,1,13,0,187,0,Flareon
