ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Mew 47,Mew,Rival (Lab),00:00:33.22,00:00:42.30,00:02:15.50,6,0,0,0,42,30,POUND,,,,18,18,18,18,18,0,-2,0,0,0,0,0,18,9,18,18,18,10003,4746,3376,0,1881,0,0,0,71,71,0,0,2,2,1,1,0,0,24,21,0,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,274,0,Jolteon
Mew 47,Mew,Brock,00:03:33.66,00:04:33.11,00:17:28.49,13,0,0,4,33,11,POUND,TRANSFORM,,,35,35,35,35,35,0,-2,0,0,0,0,0,17,22,14,14,23,64782,25610,36942,349,1881,0,0,0,729,729,0,0,24,10,6,4,0,0,329,296,86,86,56,8,36,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1405,0,0,0,0,2,6,0,1,1,1,0,274,0,Flareon
Mew 47,Mew,Misty,00:07:41.99,00:07:59.05,00:31:02.34,21,0,0,7,59,5,MEGA PUNCH,TRANSFORM,POUND,,55,55,54,54,55,0,0,0,0,0,0,0,61,55,54,54,55,113607,45208,64892,1626,1881,0,0,0,1467,1467,0,0,59,18,14,4,0,0,1187,934,184,184,92,11,53,0,0,0,0,0,17,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,5871,0,0,0,0,4,6,0,1,1,2,0,274,0,Flareon
Mew 47,Mew,Rival (Nugget Bridge),00:08:18.74,00:08:33.54,00:33:18.23,22,0,0,8,33,54,MEGA PUNCH,TRANSFORM,POUND,BUBBLEBEAM,57,57,57,57,58,0,-1,0,0,0,0,0,64,37,57,57,58,121756,48585,68996,2294,1881,0,0,0,1561,1561,0,0,71,19,15,4,0,0,1539,1105,189,189,98,12,55,0,0,0,0,0,18,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,6909,0,0,0,0,5,6,0,1,1,3,0,274,0,Flareon
Mew 47,Mew,Oddish Lass,00:10:24.79,00:10:34.26,00:41:13.54,25,0,0,10,34,26,MEGA PUNCH,TRANSFORM,POUND,BUBBLEBEAM,65,65,65,65,65,0,0,0,0,0,0,0,73,65,65,65,65,150287,55305,90807,2294,1881,0,0,0,1683,1683,0,0,81,29,25,4,0,0,2907,1921,202,202,120,13,58,0,0,0,0,0,21,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,11009,0,0,0,0,6,6,0,1,1,3,0,274,0,Flareon
Mew 47,Mew,Rocket,00:11:04.87,00:11:12.73,00:43:45.48,25,0,0,11,12,73,MEGA PUNCH,TRANSFORM,POUND,BUBBLEBEAM,65,65,65,65,65,0,0,0,0,0,0,0,73,65,65,65,65,159401,61370,93144,3006,1881,0,0,0,1827,1827,0,0,89,30,26,4,0,0,3066,2024,207,207,123,13,59,0,0,0,0,0,21,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,11698,0,0,0,0,7,6,0,1,1,3,0,274,0,Flareon
Mew 47,Mew,Rival (SS Anne),00:12:10.52,00:12:23.24,00:48:23.51,26,0,0,12,23,24,MEGA PUNCH,DIG,POUND,BUBBLEBEAM,68,68,67,67,68,0,0,0,0,0,0,0,76,68,67,67,68,176084,68631,101273,4299,1881,0,0,0,2119,2119,0,0,90,33,29,4,0,0,3660,2422,218,218,133,15,61,0,0,0,0,0,21,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,14035,0,0,0,0,8,6,0,1,1,4,0,274,0,Flareon
Mew 47,Mew,Lt. Surge,00:13:04.69,00:13:09.84,00:51:27.58,27,0,0,13,9,84,MEGA PUNCH,DIG,POUND,BUBBLEBEAM,71,70,70,70,71,0,0,0,0,0,0,0,79,70,70,70,71,187131,75750,103037,6463,1881,0,0,0,2301,2301,0,0,104,34,30,4,0,0,3748,2498,218,218,134,16,61,0,0,0,0,0,21,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,14767,0,0,0,0,8,6,0,1,1,5,0,274,0,Flareon
Mew 47,Mew,RTG1 - Wrapping Lass,00:14:10.35,00:14:24.90,00:56:24.01,27,0,0,14,24,90,MEGA PUNCH,DIG,THUNDERBOLT,BUBBLEBEAM,71,70,70,70,71,0,0,0,0,0,0,0,79,78,70,70,71,204894,85782,107075,10156,1881,0,0,0,2544,2530,14,0,134,35,31,4,0,0,4196,2688,218,218,138,16,61,0,0,0,0,0,23,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,16015,0,0,0,0,8,13,0,1,1,6,0,274,0,Flareon
Mew 47,Mew,RTG4 - Status Jr Trainer,00:15:13.37,00:15:21.13,01:00:05.37,29,0,0,15,21,13,MEGA PUNCH,DIG,THUNDERBOLT,BUBBLEBEAM,76,76,75,75,76,0,0,0,0,0,0,0,85,85,75,75,76,218190,89395,115913,11001,1881,0,0,0,2749,2530,219,0,165,39,35,4,0,0,5042,3176,218,218,148,18,62,0,0,0,0,0,24,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,18895,0,0,0,0,8,13,0,1,1,6,0,274,0,Flareon
