date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
12-07,20:27:07,NINTEN,Mew,Rival1-Lab,1,Pallet Town - Oak's Lab,1,43.99,43,0h0m43s,0,0,0,6,0:02,9.197,POUND,,,,0,71,5,1,1,4,4,3,0,3000,Jolteon, ,Psychic,Psychic,232,Mew 50,Mew,Rival (Lab),00:00:34.79,00:00:43.99,00:02:18.33,6,0,0,0,43,99,POUND,,,,31,0,0,0,0,0,0,0,23,29,18,18,18,18,18,55,55,50,65,65,55,15,15,15,15,0,-1,0,0,0,0,0,18,11,18,18,18,10404,4888,3397,0,2119,0,0,0,71,71,0,0,5,2,1,1,0,0,26,21,6,6,4,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,296,0,Jolteon
12-07,20:28:34,NINTEN,Mew,Bug Catcher,1,Viridian Forest,2,2:10.87,2:10,0h2m10s,0,0,0,8,0:08,16.552,POUND,,,,0,531,47,2,2,12,12,9,3,2175,Flareon, ,Psychic,Psychic,390,Mew 50,Mew,,00:01:54.33,00:02:10.88,00:08:01.57,8,0,0,2,10,88,POUND,,,,27,0,0,0,0,0,0,0,27,36,23,23,23,23,23,145,115,120,105,105,145,15,15,15,15,0,0,0,0,0,0,0,23,23,23,23,23,31008,20208,8681,0,2119,0,0,0,531,531,0,0,47,4,2,2,0,0,83,69,15,15,12,3,6,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,255,0,0,0,0,0,5,0,0,0,0,0,296,0,Flareon
12-07,20:29:07,NINTEN,Mew,Bug Catcher,2,Viridian Forest,3,2:44.30,2:44,0h2m44s,0,0,0,10,0:10,21.192,POUND,TRANSFORM,,,0,545,47,3,3,23,23,17,2,2245,Flareon, ,Psychic,Psychic,639,Mew 50,Mew,,00:02:23.11,00:02:44.30,00:10:14.02,10,0,0,2,44,30,POUND,TRANSFORM,,,16,10,0,0,0,0,0,0,30,43,28,28,28,28,28,290,185,265,175,175,250,15,15,15,15,0,0,0,0,-1,0,0,28,28,28,28,18,38933,20696,16118,0,2119,0,0,0,545,545,0,0,47,6,3,3,0,0,175,147,19,19,23,3,9,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,504,0,0,0,0,0,5,0,1,1,0,0,296,0,Flareon
12-07,20:29:24,NINTEN,Mew,Bug Catcher,3,Viridian Forest,1,3:01.55,3:01,0h3m1s,0,0,0,11,0:11,7.912,POUND,TRANSFORM,,,0,630,50,4,3,26,26,19,2,2305,Flareon, ,Psychic,Psychic,751,Mew 50,Mew,,00:02:53.64,00:03:01.55,00:11:22.22,11,0,0,3,1,55,POUND,TRANSFORM,,,13,10,0,0,0,0,0,0,31,46,30,30,30,30,30,335,215,300,195,195,295,15,15,15,15,0,0,0,0,-1,0,0,30,30,30,30,19,43033,22500,18414,0,2119,0,0,0,630,630,0,0,50,7,4,3,0,0,206,177,21,21,26,3,11,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,616,0,0,0,0,1,5,0,1,1,1,0,296,0,Flareon
12-07,20:29:50,NINTEN,Mew,Jr Trainer M,1,Pewter City - Gym,2,3:27.18,3:27,0h3m27s,0,0,0,12,0:13,14.888,POUND,TRANSFORM,,,0,724,50,5,3,33,33,24,2,2405,Flareon, ,Psychic,Psychic,1085,Mew 50,Mew,,00:03:12.31,00:03:27.20,00:13:03.34,12,0,0,3,27,20,POUND,TRANSFORM,,,6,10,0,0,0,0,0,0,20,50,33,33,33,33,33,395,345,410,270,270,430,15,15,15,15,0,0,0,0,0,0,0,33,33,33,33,33,49105,24532,22454,0,2119,0,0,0,724,724,0,0,50,8,5,3,0,0,279,228,36,36,33,3,16,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,950,0,0,0,0,1,5,0,1,1,1,0,296,0,Flareon
12-07,20:31:11,NINTEN,Mew,Brock,1,Pewter City - Gym,2,4:48.63,4:48,0h4m48s,0,0,0,13,0:18,63.993,POUND,TRANSFORM,,,0,834,59,6,3,79,59,43,2,2585,Flareon, ,Psychic,Psychic,1545,Mew 50,Mew,Brock,00:03:44.64,00:04:48.64,00:18:26.48,13,0,0,4,48,64,POUND,TRANSFORM,,,24,9,0,0,0,0,0,0,22,53,35,35,35,35,35,470,470,670,330,330,520,15,15,15,15,0,-2,0,0,0,0,0,17,22,14,14,23,68499,28108,38272,0,2119,0,0,0,834,834,0,0,59,9,6,3,0,0,346,289,67,67,55,9,30,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1410,0,0,0,0,1,5,0,1,1,1,0,296,0,Flareon
12-07,20:31:37,NINTEN,Mew,Bug Catcher,4,Route 3,3,5:14.52,5:14,0h5m14s,0,0,0,14,0:20,12.803,POUND,TRANSFORM,,,0,907,59,7,3,84,64,45,3,3773,Flareon, ,Psychic,Psychic,1880,Mew 50,Mew,,00:05:01.72,00:05:14.52,00:20:09.05,14,0,0,5,14,52,POUND,TRANSFORM,,,19,9,0,0,0,0,0,0,23,56,37,38,37,37,38,600,565,770,390,390,660,15,15,15,15,0,0,0,0,-1,0,0,46,38,37,37,25,74636,30218,42299,0,2119,0,0,0,907,907,0,0,59,10,7,3,0,0,455,378,69,69,60,9,32,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1745,0,0,0,0,1,5,0,1,1,1,0,296,0,Flareon
12-07,20:31:57,NINTEN,Mew,Youngster Ben,1,Route 3,2,5:34.15,5:34,0h5m34s,0,0,0,15,0:21,13.991,POUND,TRANSFORM,,,0,911,62,8,3,91,69,48,3,3873,Flareon,Poisoned,Psychic,Psychic,2158,Mew 50,Mew,,00:05:20.16,00:05:34.15,00:21:26.31,15,0,0,5,34,15,POUND,TRANSFORM,,,14,9,0,0,0,0,0,0,36,60,40,40,40,40,40,665,681,849,455,455,787,15,15,15,15,0,0,0,0,0,0,0,45,40,40,40,40,79283,30520,46108,536,2119,0,0,0,911,911,0,0,62,11,8,3,0,0,538,437,80,80,65,9,35,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2023,0,0,0,0,1,5,0,1,1,1,0,296,0,Flareon
12-07,20:32:13,NINTEN,Mew,Lass,2,Route 3,2,5:50.67,5:50,0h5m50s,0,0,0,15,0:22,9.552,POUND,TRANSFORM,,,0,919,66,9,3,95,73,50,3,4038,Flareon, ,Psychic,Psychic,2406,Mew 50,Mew,,00:05:41.12,00:05:50.67,00:22:31.30,15,0,0,5,50,67,POUND,TRANSFORM,,,10,9,0,0,0,0,0,0,31,60,40,40,40,40,40,741,794,924,520,520,909,15,15,15,15,0,-1,0,0,0,0,0,50,26,40,40,40,83181,31202,48853,1007,2119,0,0,0,919,919,0,0,66,12,9,3,0,0,633,494,85,85,69,9,37,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2271,0,0,0,0,1,5,0,1,1,1,0,296,0,Flareon
12-07,20:32:33,NINTEN,Mew,Bug Catcher,6,Route 3,2,6:09.95,6:09,0h6m9s,0,0,0,16,0:23,11.44,POUND,TRANSFORM,,,0,977,78,10,3,100,78,53,3,4188,Flareon, ,Psychic,Psychic,2699,Mew 50,Mew,,00:05:58.51,00:06:09.95,00:23:47.40,16,0,0,6,9,95,POUND,TRANSFORM,,,5,9,0,0,0,0,0,0,34,63,42,43,42,42,43,836,844,1014,565,565,984,15,15,15,15,0,0,0,0,0,0,0,47,43,42,42,43,87751,32605,52020,1007,2119,0,0,0,977,977,0,0,78,13,10,3,0,0,706,559,85,85,74,10,37,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2564,0,0,0,0,1,5,0,1,1,1,0,296,0,Flareon
12-07,20:33:33,NINTEN,Mew,Fossil Nerd,2,Mt Moon - 3,3,7:10.22,7:10,0h7m10s,0,0,0,17,0:27,18.778,MEGA PUNCH,TRANSFORM,POUND,,0,1367,92,11,3,107,85,57,4,4298,Flareon, ,Psychic,Psychic,3486,Mew 50,Mew,,00:06:51.45,00:07:10.23,00:27:46.05,17,0,0,7,10,23,MEGA PUNCH,TRANSFORM,POUND,,14,9,4,0,0,0,0,0,28,67,45,45,45,45,45,996,1019,1209,720,720,1144,15,15,15,15,0,-2,0,0,0,0,0,50,22,45,45,45,102056,41367,56872,1698,2119,0,0,0,1367,1367,0,0,92,14,11,3,0,0,858,668,95,95,80,11,41,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3351,0,0,0,0,3,5,0,1,1,2,0,296,0,Flareon
