date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
11-04,12:59:49,NINTEN,Mewtwo,Rival1-Lab,1,Pallet Town - Oak's Lab,1,39.49,39,0h0m39s,0,0,0,5,0:02,5.441,CONFUSION,DISABLE,SWIFT,PSYCHIC,0,73,4,1,1,2,2,1,0,3000,Jolteon, ,Psychic,Psychic,253,Mewtwo 2,Mewtwo,Rival (Lab),00:00:34.05,00:00:39.49,00:02:03.29,5,0,0,0,39,49,CONFUSION,DISABLE,SWIFT,PSYCHIC,25,20,20,8,0,0,0,0,27,27,17,15,21,21,19,55,55,50,65,65,55,15,15,15,15,0,-1,0,0,0,0,0,17,9,21,21,19,9340,4856,2525,0,1959,0,0,0,73,73,0,0,4,2,1,1,0,0,39,21,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,12,0,Jolteon
11-04,13:01:01,NINTEN,Mewtwo,Bug Catcher,3,Viridian Forest,1,1:51.53,1:51,0h1m51s,0,0,0,6,0:06,7.129,CONFUSION,DISABLE,SWIFT,PSYCHIC,0,581,22,2,2,4,4,3,0,3175,Flareon, ,Psychic,Psychic,365,Mewtwo 2,Mewtwo,,00:01:44.40,00:01:51.53,00:06:48.09,6,0,0,1,51,53,CONFUSION,DISABLE,SWIFT,PSYCHIC,25,20,19,9,0,0,0,0,26,30,20,17,25,25,22,100,85,85,85,85,100,15,15,15,15,0,0,0,0,-1,0,0,20,17,25,25,14,26420,18882,5579,0,1959,0,0,0,581,581,0,0,22,4,2,2,0,0,70,51,4,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,209,0,0,0,0,0,0,0,0,0,0,0,12,0,Flareon
11-04,13:01:22,NINTEN,Mewtwo,Brock,1,Pewter City - Gym,2,2:13.03,2:13,0h2m13s,0,0,0,8,0:08,9.307,CONFUSION,DISABLE,SWIFT,PSYCHIC,0,687,22,3,2,7,7,4,0,3275,Flareon, ,Psychic,Psychic,825,Mewtwo 2,Mewtwo,Brock,00:02:03.73,00:02:13.04,00:08:12.57,8,0,0,2,13,4,CONFUSION,DISABLE,SWIFT,PSYCHIC,24,20,19,7,0,0,0,0,33,37,25,22,32,32,28,175,210,345,145,145,190,15,15,15,15,0,0,0,0,0,0,0,25,22,32,32,28,31508,21281,8268,0,1959,0,0,0,687,687,0,0,22,5,3,2,0,0,136,112,4,4,6,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,669,0,0,0,0,0,0,0,0,0,0,0,12,0,Flareon
11-04,13:01:45,NINTEN,Mewtwo,Bug Catcher,4,Route 3,3,2:35.63,2:35,0h2m35s,0,0,0,9,0:09,9.645,CONFUSION,DISABLE,SWIFT,PSYCHIC,0,758,22,4,2,10,10,4,1,4463,Flareon, ,Psychic,Psychic,1160,Mewtwo 2,Mewtwo,,00:02:25.99,00:02:35.64,00:09:42.14,9,0,0,2,35,64,CONFUSION,DISABLE,SWIFT,PSYCHIC,23,20,19,5,0,0,0,0,37,41,27,24,35,35,31,305,305,445,205,205,330,15,15,15,15,0,0,0,0,0,0,0,30,24,35,35,31,36866,23356,11551,0,1959,0,0,0,758,758,0,0,22,6,4,2,0,0,272,201,4,4,9,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1004,0,0,0,0,0,0,0,0,0,0,0,12,0,Flareon
11-04,13:01:56,NINTEN,Mewtwo,Youngster Ben,1,Route 3,2,2:46.67,2:46,0h2m46s,0,0,0,10,0:10,7.94,CONFUSION,DISABLE,SWIFT,PSYCHIC,0,762,22,5,2,12,12,5,1,4563,Flareon, ,Psychic,Psychic,1438,Mewtwo 2,Mewtwo,,00:02:38.73,00:02:46.67,00:10:25.43,10,0,0,2,46,67,CONFUSION,DISABLE,SWIFT,PSYCHIC,22,20,19,4,0,0,0,0,34,44,30,26,39,39,34,370,421,524,270,270,457,15,15,15,15,0,0,0,0,0,0,0,33,26,39,39,34,39474,23585,13930,0,1959,0,0,0,762,762,0,0,22,7,5,2,0,0,352,260,10,10,11,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1282,0,0,0,0,0,0,0,0,0,0,0,12,0,Flareon
11-04,13:02:10,NINTEN,Mewtwo,Bug Catcher,5,Route 3,4,3:01.26,3:01,0h3m1s,0,0,0,11,0:11,11.481,CONFUSION,DISABLE,SWIFT,PSYCHIC,0,768,22,6,2,16,16,5,1,4728,Flareon, ,Psychic,Psychic,1913,Mewtwo 2,Mewtwo,,00:02:49.79,00:03:01.27,00:11:23.11,11,0,0,3,1,27,CONFUSION,DISABLE,SWIFT,PSYCHIC,18,20,19,4,0,0,0,0,38,48,33,28,42,42,37,550,531,694,360,360,617,15,15,15,15,0,0,0,0,0,0,0,37,28,42,42,37,42922,23822,17141,0,1959,0,0,0,768,768,0,0,22,8,6,2,0,0,562,372,10,10,15,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1757,0,0,0,0,0,0,0,0,0,0,0,12,0,Flareon
11-04,13:02:21,NINTEN,Mewtwo,Bug Catcher,6,Route 3,2,3:12.09,3:12,0h3m12s,0,0,0,12,0:12,7.13,CONFUSION,DISABLE,SWIFT,PSYCHIC,0,776,23,7,2,18,18,5,1,4818,Flareon, ,Psychic,Psychic,2206,Mewtwo 2,Mewtwo,,00:03:04.96,00:03:12.09,00:12:05.49,12,0,0,3,12,9,CONFUSION,DISABLE,SWIFT,PSYCHIC,18,20,19,2,0,0,0,0,41,51,35,31,46,46,40,645,581,784,405,405,692,15,15,15,15,0,0,0,0,0,0,0,39,31,46,46,40,45480,24164,19357,0,1959,0,0,0,776,776,0,0,23,9,7,2,0,0,675,437,10,10,17,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2050,0,0,0,0,0,0,0,0,0,0,0,12,0,Flareon
11-04,13:03:02,NINTEN,Mewtwo,Fossil Nerd,2,Mt Moon - 3,3,3:52.48,3:52,0h3m52s,0,0,0,13,0:14,9.683,CONFUSION,DISABLE,SWIFT,PSYCHIC,0,1126,36,8,2,21,21,5,2,4928,Flareon, ,Psychic,Psychic,2993,Mewtwo 2,Mewtwo,,00:03:42.80,00:03:52.48,00:14:45.44,13,0,0,3,52,48,CONFUSION,DISABLE,SWIFT,PSYCHIC,16,20,19,1,0,0,0,0,45,55,38,33,49,49,43,805,756,979,560,560,852,15,15,15,15,0,0,0,0,0,0,0,42,33,49,49,43,55075,31064,22052,0,1959,0,0,0,1126,1126,0,0,36,10,8,2,0,0,799,546,10,10,20,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2837,0,0,0,0,1,0,0,0,0,0,0,12,0,Flareon
11-04,13:03:19,NINTEN,Mewtwo,Rocket,42,Mt Moon - 3,3,4:09.70,4:09,0h4m9s,0,0,0,14,0:15,9.7,CONFUSION,DISABLE,SWIFT,PSYCHIC,0,1142,38,9,2,24,24,5,3,5228,Flareon, ,Psychic,Psychic,3728,Mewtwo 2,Mewtwo,,00:04:00.00,00:04:09.70,00:15:53.46,14,0,0,4,9,70,CONFUSION,DISABLE,SWIFT,PSYCHIC,14,20,19,0,0,0,0,0,48,58,40,35,53,53,46,920,926,1153,700,700,1032,15,15,15,15,0,0,0,0,0,0,0,45,35,53,53,46,59157,32448,24750,0,1959,0,0,0,1142,1142,0,0,38,11,9,2,0,0,944,656,10,10,23,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3572,0,0,0,0,1,0,0,0,0,0,0,12,0,Flareon
11-04,13:03:45,NINTEN,Mewtwo,Pecking Lass,1,Cerulean City - Gym,1,4:36.14,4:36,0h4m36s,0,0,0,14,0:17,6.676,DISABLE,CONFUSION,SWIFT,PSYCHIC,0,1292,45,10,2,26,26,6,3,5648,Flareon, ,Psychic,Psychic,4179,Mewtwo 2,Mewtwo,,00:04:29.46,00:04:36.14,00:17:38.03,14,0,0,4,36,14,DISABLE,CONFUSION,SWIFT,PSYCHIC,20,24,20,9,0,0,0,0,58,58,40,35,53,53,46,965,993,1213,750,750,1095,15,15,15,15,0,-1,0,0,0,0,0,50,23,53,53,46,65414,36667,26788,0,1959,0,0,0,1292,1292,0,0,45,12,10,2,0,0,997,705,10,10,25,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4023,0,0,0,0,1,0,0,0,0,0,0,12,0,Flareon
11-04,13:04:05,NINTEN,Mewtwo,Misty,1,Cerulean City - Gym,2,4:55.98,4:55,0h4m55s,0,0,0,16,0:18,15.871,DISABLE,CONFUSION,SWIFT,PSYCHIC,0,1293,46,11,2,32,32,9,3,6028,Flareon, ,Psychic,Psychic,5518,Mewtwo 2,Mewtwo,Misty,00:04:40.12,00:04:55.99,00:18:56.36,16,0,0,4,55,99,DISABLE,CONFUSION,SWIFT,PSYCHIC,20,23,20,4,0,0,0,0,46,66,46,40,60,60,52,1055,1113,1353,920,920,1295,15,15,15,15,0,0,0,0,0,0,0,51,40,60,60,52,70127,37147,31021,0,1959,0,0,0,1293,1293,0,0,46,13,11,2,0,0,1109,805,30,30,31,1,7,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,5362,0,0,0,0,1,0,0,0,0,0,0,12,0,Flareon
11-04,13:04:41,NINTEN,Mewtwo,Rival2-Nugget Bridge,3,Cerulean City,4,5:31.37,5:31,0h5m31s,0,0,0,17,0:21,13.602,BUBBLEBEAM,CONFUSION,SWIFT,PSYCHIC,0,1395,53,12,2,37,37,10,3,8107,Flareon, ,Psychic,Psychic,6556,Mewtwo 2,Mewtwo,Rival (Nugget Bridge),00:05:17.76,00:05:31.37,00:21:16.07,17,0,0,5,31,37,BUBBLEBEAM,CONFUSION,SWIFT,PSYCHIC,18,23,19,2,0,0,0,0,49,69,49,42,63,63,55,1230,1359,1553,1071,1071,1532,15,15,15,15,0,-1,0,0,0,0,0,61,27,63,63,55,78498,40620,34855,1064,1959,0,0,0,1395,1395,0,0,53,14,12,2,0,0,1362,976,30,30,35,1,8,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,6400,0,0,0,0,2,0,0,0,0,1,0,12,0,Flareon
