ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Mimikyu 1,Mimikyu,Rival (Lab),00:00:33.29,00:00:46.02,00:02:28.14,6,0,0,0,46,2,SCRATCH,SPLASH,DOUBLE TEAM,LICK,17,16,19,19,18,0,-1,0,0,0,0,0,17,10,19,19,18,10903,4592,4274,0,2037,0,0,0,71,71,0,0,1,2,1,1,0,0,25,21,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,2,0,Jolteon
Mimikyu 1,Mimikyu,Brock,00:03:06.46,00:03:44.71,00:14:15.31,10,0,0,3,44,71,SCRATCH,SPLASH,DOUBLE TEAM,LICK,26,24,29,29,27,0,-2,0,0,0,0,0,26,12,29,29,27,53340,22165,29138,0,2037,0,0,0,691,691,0,0,30,7,5,2,0,0,255,226,0,0,54,5,27,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1076,0,0,0,0,1,0,0,0,0,0,0,2,0,Flareon
Mimikyu 1,Mimikyu,Rival (Nugget Bridge),00:07:18.52,00:07:59.62,00:31:04.02,17,0,0,7,59,62,SCRATCH,SPLASH,DOUBLE TEAM,LICK,42,38,46,46,44,-1,-3,0,0,0,-6,0,30,15,46,46,44,113851,44209,67605,0,2037,0,0,0,1436,1436,0,0,58,14,12,2,0,0,1046,886,1,1,118,31,74,0,0,0,0,0,18,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,4790,0,0,0,0,3,9,0,0,0,0,0,2,0,Flareon
Mimikyu 1,Mimikyu,Oddish Lass,00:10:56.51,00:11:11.77,00:43:43.29,20,0,0,11,11,77,SCRATCH,SPLASH,MIMIC,LICK,49,45,54,54,51,0,0,0,0,0,0,0,55,45,54,54,51,159418,53341,104040,0,2037,0,0,0,1618,1618,0,0,115,24,22,2,0,0,2111,1704,4,4,175,35,107,0,0,0,0,0,38,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,49,8890,0,0,0,0,4,9,0,0,0,1,0,2,0,Flareon
Mimikyu 1,Mimikyu,Rocket,00:11:38.81,00:11:54.79,00:46:33.48,21,0,0,11,54,79,SCRATCH,SPLASH,MIMIC,LICK,51,47,57,57,54,0,0,0,0,0,0,0,57,47,57,57,54,169637,59272,108328,0,2037,0,0,0,1760,1760,0,0,136,25,23,2,0,0,2244,1807,4,4,181,36,110,0,0,0,0,0,40,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,51,9579,0,0,0,0,5,9,0,0,0,1,0,2,0,Flareon
Mimikyu 1,Mimikyu,Misty,00:12:47.82,00:13:01.88,00:50:58.53,23,0,0,13,1,88,SWIFT,SCRATCH,MIMIC,LICK,56,51,62,62,59,0,0,0,0,0,0,0,63,51,62,62,59,185542,62900,118348,2257,2037,1,0,0,1836,1836,0,0,147,28,26,2,0,0,2512,2032,36,36,190,36,117,0,0,0,0,0,44,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,56,11983,0,0,0,0,5,9,0,0,0,2,0,2,0,Flareon
Mimikyu 1,Mimikyu,Rival (SS Anne),00:14:31.50,00:14:48.18,00:57:58.03,25,0,0,14,48,18,SWIFT,SCRATCH,MIMIC,LICK,61,56,68,68,64,0,0,0,0,0,-1,0,76,56,68,68,64,210692,74626,131772,2257,2037,1,0,0,2237,2237,0,0,169,32,30,2,0,0,3257,2524,36,36,194,37,124,0,0,0,0,0,49,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,67,15204,0,0,0,0,7,12,0,0,0,2,0,2,0,Flareon
Mimikyu 1,Mimikyu,Lt. Surge,00:15:35.05,00:15:49.66,01:02:01.03,25,0,0,15,49,66,SWIFT,SCRATCH,MIMIC,LICK,61,56,68,68,64,-1,0,0,0,0,0,0,45,56,68,68,64,225272,81652,135774,5809,2037,2,0,0,2420,2420,0,0,182,33,31,2,0,0,3336,2600,36,36,196,38,126,0,0,0,0,0,49,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,68,15936,0,0,0,0,7,12,0,0,0,4,0,2,0,Flareon
Mimikyu 1,Mimikyu,RTG1 - Wrapping Lass,00:16:49.17,00:17:09.78,01:07:17.19,26,0,0,17,9,78,SWIFT,THUNDERBOLT,MIMIC,LICK,63,58,70,70,66,0,0,0,0,0,0,0,70,65,70,70,1,244248,89793,141252,11166,2037,4,0,0,2613,2561,52,0,205,34,32,2,0,0,3663,2793,45,45,196,38,131,0,0,0,0,0,51,0,0,0,0,1,9,1,0,0,0,0,0,0,0,0,0,0,1,0,7,1,0,0,4,0,0,0,0,72,17184,0,0,0,0,7,12,0,0,0,5,0,2,0,Flareon
Mimikyu 1,Mimikyu,RTG4 - Status Jr Trainer,00:18:01.02,00:18:13.29,01:11:27.24,27,0,0,18,13,29,SWIFT,THUNDERBOLT,MIMIC,LICK,66,60,73,73,69,0,0,0,0,0,0,0,74,67,73,73,17,259253,93095,151687,12434,2037,4,0,0,2814,2561,253,0,218,38,36,2,0,0,4448,3291,71,71,201,39,138,0,0,0,0,0,52,0,0,0,0,1,9,2,0,0,0,0,0,0,0,0,0,0,1,0,11,2,0,0,4,0,0,0,0,80,20064,0,0,0,0,7,12,0,0,0,5,0,2,0,Flareon
Mimikyu 1,Mimikyu,RTG6 - Finisher,00:19:03.12,00:19:14.00,01:15:27.11,28,0,0,19,14,0,SWIFT,THUNDERBOLT,MIMIC,LICK,68,62,76,76,71,0,0,0,0,0,0,0,76,69,76,76,71,273640,97191,160085,14327,2037,4,0,0,2987,2561,426,0,240,40,38,2,0,0,5015,3544,71,71,212,40,143,0,0,0,0,0,55,0,0,0,0,1,10,2,0,0,0,0,0,1,0,0,0,0,1,0,11,2,0,0,7,2,0,0,0,86,22304,0,0,0,0,7,12,0,0,0,5,0,2,0,Flareon
Mimikyu 1,Mimikyu,Rival (Pokemon Tower),00:22:33.93,00:22:50.10,01:29:39.24,30,0,0,22,50,10,SWIFT,THUNDERBOLT,PSYCHIC,LICK,75,67,81,81,76,0,0,0,0,0,0,0,84,75,81,81,76,324773,126401,174344,21991,2037,4,0,0,3775,3205,570,0,320,44,40,4,1,0,5759,3950,79,79,220,40,150,0,0,0,0,0,59,0,0,0,0,1,10,2,0,0,0,0,0,1,0,0,0,0,1,0,11,2,0,0,7,2,0,0,0,93,25746,0,0,0,0,9,35,6,6,1,7,0,2,0,Flareon
Mimikyu 1,Mimikyu,Erika,00:27:50.87,00:28:08.34,01:50:35.57,35,0,0,28,8,34,PSYCHIC,THUNDERBOLT,SWIFT,SLASH,89,78,95,95,90,0,0,0,0,0,0,0,100,87,95,95,90,400166,157428,209883,30818,2037,4,0,0,4919,3717,1202,0,405,55,49,6,2,0,8384,5614,579,342,253,41,166,0,0,0,0,0,73,0,4,0,0,1,10,3,0,0,0,0,0,2,0,0,0,0,1,0,14,3,1,1,7,2,0,0,4,116,43628,0,0,0,0,18,35,6,6,1,9,1,2,1,Flareon
Mimikyu 1,Mimikyu,Rival (Silph Co.),00:29:42.22,00:30:17.61,01:59:05.18,41,0,0,30,17,61,PSYCHIC,THUNDERBOLT,SHARPEN,SLASH,103,91,111,111,105,0,0,0,0,0,0,0,115,102,111,111,105,430727,170362,221909,36419,2037,5,0,0,5245,4043,1202,0,427,58,52,6,2,0,9471,6273,598,361,263,41,169,0,0,0,0,0,81,0,4,0,0,1,10,3,0,0,0,0,0,2,0,0,0,0,1,0,14,3,1,1,7,2,0,0,4,123,52606,0,0,0,0,23,35,6,6,1,11,1,2,1,Flareon
Mimikyu 1,Mimikyu,Giovanni (Silph),00:30:42.02,00:31:01.69,02:01:59.23,42,0,0,31,1,69,PSYCHIC,THUNDERBOLT,SHARPEN,SLASH,106,94,114,114,108,0,0,0,0,0,0,0,119,105,114,114,108,441172,172998,229718,36419,2037,5,0,0,5268,4066,1202,0,428,60,54,6,2,0,10575,6949,598,361,274,43,170,0,0,0,0,0,86,0,4,0,0,1,10,3,0,0,0,0,0,2,0,0,0,0,1,0,14,3,1,1,7,2,0,0,4,130,60005,0,0,0,0,23,35,6,6,1,11,1,2,1,Flareon
Mimikyu 1,Mimikyu,Koga,00:31:58.94,00:32:11.50,02:06:34.44,44,0,0,32,11,50,PSYCHIC,THUNDERBOLT,SHARPEN,SLASH,111,98,120,120,113,0,0,0,0,0,0,0,124,110,120,120,113,457693,177597,239965,38094,2037,6,0,0,5337,4135,1202,0,437,63,57,6,2,0,12030,7957,598,361,285,43,171,0,0,0,0,0,93,0,4,0,0,1,10,3,0,0,0,0,0,2,0,0,0,0,1,0,14,3,1,1,7,2,0,0,4,140,68631,0,0,0,0,23,35,6,6,1,11,1,2,1,Flareon
Mimikyu 1,Mimikyu,Sabrina,00:34:24.51,00:34:37.56,02:16:10.25,45,0,0,34,37,56,PSYCHIC,THUNDERBOLT,SHARPEN,SLASH,113,100,122,122,118,0,0,0,0,0,0,0,127,112,122,122,132,492234,196283,249158,44756,2037,7,0,0,5909,4605,1202,102,494,66,60,6,2,0,13536,8735,598,361,295,45,172,0,0,0,0,0,99,0,4,0,0,1,10,3,0,0,0,0,0,2,0,0,0,0,1,0,14,3,1,1,7,2,0,0,4,148,78017,0,0,0,0,28,35,6,6,1,12,1,2,1,Flareon
