ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Moltres26,Moltres,Rival (Lab),00:00:33.47,00:00:40.34,00:02:07.22,5,0,0,0,40,34,PECK,FIRE SPIN,,,16,15,19,19,15,0,-1,0,0,0,0,0,16,9,19,19,15,9544,4732,2882,0,1930,0,0,0,71,71,0,0,2,2,1,1,0,0,28,21,0,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,26,0,Jolteon
Moltres26,Moltres,Brock,00:03:07.89,00:03:29.04,00:13:13.42,11,0,0,3,29,4,PECK,FIRE SPIN,,,30,28,36,36,28,0,0,0,0,0,0,0,30,28,36,36,28,49524,22371,24756,467,1930,0,0,0,673,673,0,0,19,9,7,2,0,0,430,330,33,33,30,6,11,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1623,0,0,0,0,1,0,0,0,0,0,0,26,0,Flareon
Moltres26,Moltres,Rival (Nugget Bridge),00:07:30.90,00:07:56.16,00:30:48.22,18,0,0,7,56,16,PECK,FIRE SPIN,,,48,44,57,57,44,-2,0,0,0,0,0,0,27,44,57,57,44,112804,41747,68660,467,1930,0,0,0,1346,1346,0,0,43,22,20,2,0,0,1953,1467,88,88,82,19,26,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,7683,0,0,0,0,3,0,0,0,0,0,0,26,0,Flareon
Moltres26,Moltres,Oddish Lass,00:11:01.21,00:11:10.78,00:43:36.08,22,0,0,11,10,78,PECK,FIRE SPIN,,,58,54,69,69,54,0,0,0,0,0,0,0,65,54,69,69,54,158870,51589,104630,721,1930,0,0,0,1580,1580,0,0,67,35,33,2,0,0,3606,2547,114,114,126,25,35,0,0,0,0,0,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,13503,0,0,0,0,4,0,0,0,0,0,0,26,0,Flareon
Moltres26,Moltres,Rocket,00:11:50.81,00:12:00.58,00:46:52.55,22,0,0,12,0,58,PECK,FIRE SPIN,,,58,54,69,69,54,0,0,0,0,0,0,0,65,54,69,69,54,170677,57647,110379,721,1930,0,0,0,1739,1739,0,0,80,37,35,2,0,0,3882,2726,125,125,134,25,39,0,0,0,0,0,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,14657,0,0,0,0,5,0,0,0,0,0,0,26,0,Flareon
Moltres26,Moltres,Misty,00:12:48.58,00:13:03.28,00:49:54.38,24,1,0,13,3,28,PECK,FIRE SPIN,BIDE,,64,59,75,75,59,0,0,0,0,0,0,0,72,59,75,75,59,181585,60949,116430,2118,2088,1,1,0,1815,1815,0,0,83,39,37,2,0,0,4082,2875,201,201,140,25,44,0,0,0,0,0,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,16447,0,0,0,0,5,0,0,0,0,1,0,26,1,Flareon
Moltres26,Moltres,Rival (SS Anne),00:14:54.24,00:15:12.04,00:58:21.59,26,1,0,15,12,4,PECK,FIRE SPIN,BIDE,,69,64,81,81,64,0,0,0,0,0,0,0,77,64,81,81,64,212026,76071,131749,2118,2088,1,1,0,2322,2322,0,0,131,44,42,2,0,0,4941,3473,255,255,159,26,52,0,0,0,0,0,28,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,20481,0,0,0,0,10,6,0,0,0,1,0,26,1,Flareon
Moltres26,Moltres,Lt. Surge,00:16:02.34,00:16:09.81,01:02:09.58,26,1,0,16,9,81,PECK,FIRE SPIN,BIDE,REST,69,64,81,81,64,0,0,0,0,0,0,0,77,64,81,81,64,225705,82522,134076,7019,2088,2,1,0,2499,2499,0,0,138,45,43,2,0,0,5043,3549,306,306,159,27,53,0,0,0,0,0,28,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,21213,0,0,0,0,10,6,0,0,0,4,0,26,1,Flareon
Moltres26,Moltres,RTG1 - Wrapping Lass,00:16:53.94,00:17:06.29,01:05:52.19,27,1,0,17,6,29,PECK,FIRE SPIN,BIDE,REST,71,66,84,84,66,0,0,0,0,0,0,0,79,74,84,84,66,239046,90559,137593,8806,2088,2,1,0,2693,2639,54,0,154,46,44,2,0,0,5363,3739,306,306,163,27,53,0,0,0,0,0,28,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,22461,0,0,0,0,10,6,0,0,0,4,0,26,1,Flareon
Moltres26,Moltres,RTG4 - Status Jr Trainer,00:18:02.54,00:18:10.20,01:10:04.22,28,1,0,18,10,20,PECK,FIRE SPIN,BIDE,REST,74,68,87,87,69,0,0,0,0,0,0,0,83,76,87,87,69,254169,93938,147827,10316,2088,2,1,0,2899,2639,260,0,189,50,48,2,0,0,6132,4227,320,320,176,28,57,0,0,0,0,0,34,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,25341,0,0,0,0,10,6,0,0,0,4,0,26,1,Flareon
