date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
12-21,12:22:08,NINTEN,Moltres,Rival1-Lab,1,Pallet Town - Oak's Lab,1,40.34,40,0h0m40s,0,0,0,5,0:02,6.876,PECK,FIRE SPIN,,,0,71,2,1,1,3,3,2,0,3000,Jolteon, ,Fire,Flying,253,Moltres26,Moltres,Rival (Lab),00:00:33.47,00:00:40.34,00:02:07.22,5,0,0,0,40,34,PECK,FIRE SPIN,,,32,15,0,0,0,0,0,0,25,25,16,15,19,19,15,55,55,50,65,65,55,15,15,15,15,0,-1,0,0,0,0,0,16,9,19,19,15,9544,4732,2882,0,1930,0,0,0,71,71,0,0,2,2,1,1,0,0,28,21,0,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,26,0,Jolteon
12-21,12:23:18,NINTEN,Moltres,Bug Catcher,1,Viridian Forest,2,1:50.34,1:50,0h1m50s,0,0,0,6,0:06,10.376,PECK,FIRE SPIN,,,0,480,16,2,2,7,7,4,0,3175,Flareon, ,Fire,Flying,411,Moltres26,Moltres,,00:01:39.97,00:01:50.34,00:06:43.44,6,0,0,1,50,34,PECK,FIRE SPIN,,,31,15,0,0,0,0,0,0,26,28,18,17,21,21,17,145,115,120,105,105,145,15,15,15,15,0,0,0,0,0,0,0,18,17,21,21,17,26126,17485,6711,0,1930,0,0,0,480,480,0,0,16,4,2,2,0,0,97,69,2,2,7,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,255,0,0,0,0,0,0,0,0,0,0,0,26,0,Flareon
12-21,12:23:37,NINTEN,Moltres,Bug Catcher,2,Viridian Forest,3,2:09.52,2:09,0h2m9s,0,0,0,8,0:07,15.312,PECK,FIRE SPIN,,,0,494,16,3,2,13,13,7,0,3245,Flareon, ,Fire,Flying,660,Moltres26,Moltres,,00:01:54.20,00:02:09.52,00:07:59.29,8,0,0,2,9,52,PECK,FIRE SPIN,,,25,15,0,0,0,0,0,0,31,35,23,22,27,27,22,290,185,265,175,175,250,15,15,15,15,0,0,0,0,0,0,0,23,22,27,27,22,30671,17972,10769,0,1930,0,0,0,494,494,0,0,16,5,3,2,0,0,190,135,4,4,13,2,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,504,0,0,0,0,0,0,0,0,0,0,0,26,0,Flareon
12-21,12:23:52,NINTEN,Moltres,Bug Catcher,15,Viridian Forest,2,2:24.62,2:24,0h2m24s,0,0,0,8,0:08,9.704,PECK,FIRE SPIN,,,0,527,18,4,2,17,17,9,1,3305,Flareon, ,Fire,Flying,873,Moltres26,Moltres,,00:02:14.92,00:02:24.62,00:08:59.10,8,0,0,2,24,62,PECK,FIRE SPIN,,,21,15,0,0,0,0,0,0,29,35,23,22,27,27,22,385,235,355,220,220,325,15,15,15,15,0,0,0,0,0,0,0,23,22,27,27,22,34252,18820,13502,0,1930,0,0,0,527,527,0,0,18,6,4,2,0,0,275,188,6,6,17,3,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,717,0,0,0,0,1,0,0,0,0,0,0,26,0,Flareon
12-21,12:24:03,NINTEN,Moltres,Bug Catcher,3,Viridian Forest,1,2:35.40,2:35,0h2m35s,0,0,0,9,0:09,5,PECK,FIRE SPIN,,,0,575,18,5,2,18,18,9,1,3385,Flareon, ,Fire,Flying,985,Moltres26,Moltres,,00:02:30.40,00:02:35.40,00:09:41.47,9,0,0,2,35,40,PECK,FIRE SPIN,,,20,15,0,0,0,0,0,0,32,38,26,24,30,30,24,430,265,390,240,240,370,15,15,15,15,0,0,0,0,0,0,0,26,24,30,30,24,36809,19780,15099,0,1930,0,0,0,575,575,0,0,18,7,5,2,0,0,305,218,6,6,18,3,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,829,0,0,0,0,1,0,0,0,0,0,0,26,0,Flareon
12-21,12:24:29,NINTEN,Moltres,Jr Trainer M,1,Pewter City - Gym,2,3:01.12,3:01,0h3m1s,0,0,0,10,0:11,14.92,PECK,FIRE SPIN,,,0,669,18,6,2,25,25,14,1,3485,Flareon, ,Fire,Flying,1319,Moltres26,Moltres,,00:02:46.20,00:03:01.12,00:11:23.17,10,0,0,3,1,12,PECK,FIRE SPIN,,,14,14,0,0,0,0,0,0,16,41,28,26,33,33,26,490,395,500,315,315,505,15,15,15,15,0,0,0,0,0,0,0,28,26,33,33,26,42899,21810,19159,0,1930,0,0,0,669,669,0,0,18,8,6,2,0,0,364,269,25,25,24,4,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1163,0,0,0,0,1,0,0,0,0,0,0,26,0,Flareon
12-21,12:24:57,NINTEN,Moltres,Brock,1,Pewter City - Gym,2,3:29.04,3:29,0h3m29s,0,0,0,11,0:13,21.14,PECK,FIRE SPIN,,,0,673,19,7,2,47,33,16,0,3665,Flareon, ,Fire,Flying,1779,Moltres26,Moltres,Brock,00:03:07.89,00:03:29.04,00:13:13.42,11,0,0,3,29,4,PECK,FIRE SPIN,,,14,6,0,0,0,0,0,0,31,44,30,28,36,36,28,565,520,760,375,375,595,15,15,15,15,0,0,0,0,0,0,0,30,28,36,36,28,49524,22371,24756,467,1930,0,0,0,673,673,0,0,19,9,7,2,0,0,430,330,33,33,30,6,11,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1623,0,0,0,0,1,0,0,0,0,0,0,26,0,Flareon
12-21,12:25:19,NINTEN,Moltres,Bug Catcher,4,Route 3,3,3:51.67,3:51,0h3m51s,0,0,0,11,0:14,9.158,PECK,FIRE SPIN,,,0,746,21,8,2,50,36,16,1,4853,Flareon, ,Fire,Flying,2114,Moltres26,Moltres,,00:03:42.52,00:03:51.67,00:14:43.10,11,0,0,3,51,67,PECK,FIRE SPIN,,,11,6,0,0,0,0,0,0,31,44,30,28,36,36,28,695,615,860,435,435,735,15,15,15,15,0,0,0,0,0,0,0,33,28,36,36,28,54892,24561,27934,467,1930,0,0,0,746,746,0,0,21,10,8,2,0,0,533,419,33,33,33,6,11,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1958,0,0,0,0,1,0,0,0,0,0,0,26,0,Flareon
12-21,12:25:34,NINTEN,Moltres,Youngster,1,Route 3,2,4:06.49,4:06,0h4m6s,0,0,0,12,0:15,11.453,PECK,FIRE SPIN,,,0,749,21,9,2,57,39,17,1,4953,Flareon, ,Fire,Flying,2392,Moltres26,Moltres,,00:03:55.04,00:04:06.49,00:15:41.39,12,0,0,4,6,49,PECK,FIRE SPIN,,,10,4,0,0,0,0,0,0,28,47,33,31,39,39,31,760,731,939,500,500,862,15,15,15,15,0,0,0,0,0,0,0,37,31,39,39,31,58401,24860,31144,467,1930,0,0,0,749,749,0,0,21,11,9,2,0,0,608,478,39,39,36,6,12,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2236,0,0,0,0,1,0,0,0,0,0,0,26,0,Flareon
12-21,12:25:46,NINTEN,Moltres,Lass,2,Route 3,2,4:18.35,4:18,0h4m18s,0,0,0,12,0:16,7.921,PECK,FIRE SPIN,,,0,756,21,10,2,60,42,18,1,5118,Flareon, ,Fire,Flying,2640,Moltres26,Moltres,,00:04:10.42,00:04:18.35,00:16:28.21,12,0,0,4,18,35,PECK,FIRE SPIN,,,7,4,0,0,0,0,0,0,28,47,33,31,39,39,31,836,844,1014,565,565,984,15,15,15,15,0,-1,0,0,0,0,0,41,20,39,39,31,61203,25303,33503,467,1930,0,0,0,756,756,0,0,21,12,10,2,0,0,671,535,39,39,39,6,13,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2484,0,0,0,0,1,0,0,0,0,0,0,26,0,Flareon
