date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
12-20,21:18:52,NINTEN,Moltres,Rival1-Lab,1,Pallet Town - Oak's Lab,1,40.74,40,0h0m40s,0,0,0,5,0:02,7.157,PECK,FIRE SPIN,,,0,71,3,1,1,3,3,2,0,3000,Jolteon, ,Fire,Flying,253,Moltres24,Moltres,Rival (Lab),00:00:33.57,00:00:40.74,00:02:08.12,5,0,0,0,40,74,PECK,FIRE SPIN,,,32,15,0,0,0,0,0,0,19,25,16,15,19,19,15,55,55,50,65,65,55,15,15,15,15,0,-1,0,0,0,0,0,16,9,19,19,15,9638,4715,2949,0,1974,0,0,0,71,71,0,0,3,2,1,1,0,0,23,21,6,6,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,24,0,Jolteon
12-20,21:20:01,NINTEN,Moltres,Bug Catcher,1,Viridian Forest,2,1:49.71,1:49,0h1m49s,0,0,0,6,0:06,10.593,PECK,FIRE SPIN,,,0,480,16,2,2,7,7,4,0,3175,Flareon, ,Fire,Flying,411,Moltres24,Moltres,,00:01:39.11,00:01:49.71,00:06:40.28,6,0,0,1,49,71,PECK,FIRE SPIN,,,31,15,0,0,0,0,0,0,24,28,18,17,21,21,17,145,115,120,105,105,145,15,15,15,15,0,0,0,0,0,0,0,18,17,21,21,17,25974,17174,6826,0,1974,0,0,0,480,480,0,0,16,4,2,2,0,0,90,69,10,10,7,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,255,0,0,0,0,0,0,0,0,0,0,0,24,0,Flareon
12-20,21:20:19,NINTEN,Moltres,Bug Catcher,2,Viridian Forest,3,2:07.56,2:07,0h2m7s,0,0,0,8,0:07,13.968,PECK,FIRE SPIN,,,0,494,16,3,2,12,12,6,0,3245,Flareon, ,Fire,Flying,660,Moltres24,Moltres,,00:01:53.57,00:02:07.56,00:07:50.55,8,0,0,2,7,56,PECK,FIRE SPIN,,,26,15,0,0,0,0,0,0,29,35,23,22,27,27,22,290,185,265,175,175,250,15,15,15,15,0,0,0,0,0,0,0,23,22,27,27,22,30201,17663,10564,0,1974,0,0,0,494,494,0,0,16,5,3,2,0,0,176,135,12,12,12,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,504,0,0,0,0,0,0,0,0,0,0,0,24,0,Flareon
12-20,21:20:34,NINTEN,Moltres,Bug Catcher,15,Viridian Forest,2,2:22.79,2:22,0h2m22s,0,0,0,8,0:08,9.828,PECK,FIRE SPIN,,,0,525,17,4,2,16,16,8,1,3305,Flareon, ,Fire,Flying,873,Moltres24,Moltres,,00:02:12.96,00:02:22.79,00:08:51.08,8,0,0,2,22,79,PECK,FIRE SPIN,,,22,15,0,0,0,0,0,0,27,35,23,22,27,27,22,385,235,355,220,220,325,15,15,15,15,0,0,0,0,0,0,0,23,22,27,27,22,33814,18511,13329,0,1974,0,0,0,525,525,0,0,17,6,4,2,0,0,277,188,14,14,16,1,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,717,0,0,0,0,1,0,0,0,0,0,0,24,0,Flareon
12-20,21:20:47,NINTEN,Moltres,Bug Catcher,3,Viridian Forest,1,2:36.37,2:36,0h2m36s,0,0,0,9,0:09,6.656,PECK,FIRE SPIN,,,0,575,17,5,2,18,18,9,1,3385,Flareon, ,Fire,Flying,985,Moltres24,Moltres,,00:02:29.72,00:02:36.37,00:09:44.54,9,0,0,2,36,37,PECK,FIRE SPIN,,,20,15,0,0,0,0,0,0,26,38,26,24,30,30,24,430,265,390,240,240,370,15,15,15,15,0,0,0,0,0,0,0,26,24,30,30,24,37040,19753,15313,0,1974,0,0,0,575,575,0,0,17,7,5,2,0,0,321,218,18,18,18,1,7,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,829,0,0,0,0,2,0,0,0,0,0,0,24,0,Flareon
12-20,21:21:10,NINTEN,Moltres,Jr Trainer M,1,Pewter City - Gym,2,2:58.91,2:58,0h2m58s,0,0,0,10,0:11,11.282,PECK,FIRE SPIN,,,0,671,20,6,2,24,22,10,1,3485,Flareon, ,Fire,Flying,1319,Moltres24,Moltres,,00:02:47.62,00:02:58.91,00:11:13.45,10,0,0,2,58,91,PECK,FIRE SPIN,,,17,14,0,0,0,0,0,0,26,41,28,26,33,33,26,490,395,500,315,315,505,15,15,15,15,0,0,0,0,0,0,0,28,26,33,33,26,42371,21885,18512,0,1974,0,0,0,671,671,0,0,20,8,6,2,0,0,381,269,21,21,22,1,8,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1163,0,0,0,0,2,0,0,0,0,0,0,24,0,Flareon
12-20,21:21:41,NINTEN,Moltres,Brock,1,Pewter City - Gym,2,3:29.89,3:29,0h3m29s,0,0,0,11,0:13,24.202,PECK,FIRE SPIN,,,0,675,21,7,2,49,32,13,1,3665,Flareon, ,Fire,Flying,1779,Moltres24,Moltres,Brock,00:03:05.69,00:03:29.89,00:13:16.26,11,0,0,3,29,89,PECK,FIRE SPIN,,,17,4,0,0,0,0,0,0,30,44,30,28,36,36,28,565,520,760,375,375,595,15,15,15,15,0,0,0,0,0,0,0,30,28,36,36,28,49732,22420,24839,499,1974,0,0,0,675,675,0,0,21,9,7,2,0,0,443,330,35,35,29,4,11,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1623,0,0,0,0,2,0,0,0,0,0,0,24,0,Flareon
12-20,21:22:09,NINTEN,Moltres,Bug Catcher,4,Route 3,3,3:58.00,3:58,0h3m58s,0,0,0,11,0:15,9.251,PECK,FIRE SPIN,,,0,756,29,8,2,52,35,13,4,4353,Flareon, ,Fire,Flying,2114,Moltres24,Moltres,,00:03:48.75,00:03:58.00,00:15:07.26,11,0,0,3,58,0,PECK,FIRE SPIN,,,14,4,0,0,0,0,0,0,30,44,30,28,36,36,28,695,615,860,435,435,735,15,15,15,15,0,0,0,0,0,0,0,33,28,36,36,28,56392,25890,28029,499,1974,0,0,0,756,756,0,0,29,10,8,2,0,0,563,419,35,35,32,4,11,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1958,0,0,0,0,2,4,0,0,0,0,0,24,0,Flareon
12-20,21:22:23,NINTEN,Moltres,Youngster,1,Route 3,2,4:12.09,4:12,0h4m12s,0,0,0,12,0:16,10.892,PECK,FIRE SPIN,,,0,760,29,9,2,59,38,14,4,4453,Flareon, ,Fire,Flying,2392,Moltres24,Moltres,,00:04:01.19,00:04:12.09,00:16:02.57,12,0,0,4,12,9,PECK,FIRE SPIN,,,14,1,0,0,0,0,0,0,33,47,33,31,39,39,31,760,731,939,500,500,862,15,15,15,15,0,-1,0,0,0,0,0,37,20,39,39,31,59723,26147,31103,499,1974,0,0,0,760,760,0,0,29,11,9,2,0,0,647,478,35,35,34,5,12,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2236,0,0,0,0,2,4,0,0,0,0,0,24,0,Flareon
12-20,21:22:38,NINTEN,Moltres,Bug Catcher,5,Route 3,4,4:27.49,4:27,0h4m27s,0,0,0,13,0:17,12.563,PECK,FIRE SPIN,,,0,764,30,10,2,63,42,14,4,4618,Flareon, ,Fire,Flying,2867,Moltres24,Moltres,,00:04:14.92,00:04:27.49,00:17:03.36,13,0,0,4,27,49,PECK,FIRE SPIN,,,10,1,0,0,0,0,0,0,37,51,35,33,42,42,33,940,841,1109,590,590,1022,15,15,15,15,0,0,0,0,0,0,0,39,33,42,42,33,63362,26321,34568,499,1974,0,0,0,764,764,0,0,30,12,10,2,0,0,810,590,35,35,38,5,12,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2711,0,0,0,0,2,4,0,0,0,0,0,24,0,Flareon
