date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
4-30,15:47:25,NINTEN,Nidoking,Rival1-Lab,1,Pallet Town - Oak's Lab,1,39.98,39,0h0m39s,0,0,0,6,0:02,6.446,TACKLE,HORN ATTACK,POISON STING,THRASH,0,71,3,1,1,2,1,1,0,3000,Jolteon, ,Poison,Ground,232,Nidoking1,Nidoking,Rival (Lab),00:00:33.53,00:00:39.98,00:02:05.31,6,0,0,0,39,98,TACKLE,HORN ATTACK,POISON STING,THRASH,35,25,35,19,0,0,0,0,27,27,17,16,15,15,17,55,55,50,65,65,55,15,15,15,15,0,-1,0,0,0,0,0,17,10,15,15,17,9457,4730,2773,0,1954,0,0,0,71,71,0,0,3,2,1,1,0,0,26,21,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,1,0,Jolteon
4-30,15:48:37,NINTEN,Nidoking,Bug Catcher,1,Viridian Forest,2,1:51.35,1:51,0h1m51s,0,0,0,8,0:06,11.702,TACKLE,HORN ATTACK,POISON STING,THRASH,0,486,28,2,2,7,3,4,0,3175,Flareon, ,Poison,Ground,390,Nidoking1,Nidoking,,00:01:39.64,00:01:51.35,00:06:47.20,8,0,0,1,51,35,TACKLE,HORN ATTACK,POISON STING,THRASH,35,25,35,18,0,0,0,0,29,33,22,19,19,19,21,145,115,120,105,105,145,15,15,15,15,0,0,0,0,0,0,0,22,19,19,19,21,26366,17495,6917,0,1954,0,0,0,486,486,0,0,28,4,2,2,0,0,88,69,4,4,7,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,255,0,0,0,0,0,0,0,0,0,0,0,1,0,Flareon
4-30,15:48:55,NINTEN,Nidoking,Bug Catcher,15,Viridian Forest,2,2:09.82,2:09,0h2m9s,0,0,0,10,0:08,12.241,TACKLE,HORN ATTACK,POISON STING,THRASH,0,531,30,3,2,11,5,7,1,3245,Flareon, ,Poison,Ground,603,Nidoking1,Nidoking,,00:01:57.59,00:02:09.82,00:08:00.25,10,0,0,2,9,82,TACKLE,HORN ATTACK,POISON STING,THRASH,35,24,35,17,0,0,0,0,31,39,26,23,23,23,25,240,165,210,150,150,220,15,15,15,15,0,0,0,0,-2,0,0,26,23,23,23,12,30751,18535,10262,0,1954,0,0,0,531,531,0,0,30,5,3,2,0,0,157,122,8,8,11,1,6,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,468,0,0,0,0,1,0,0,0,0,0,0,1,0,Flareon
4-30,15:49:06,NINTEN,Nidoking,Bug Catcher,3,Viridian Forest,1,2:21.00,2:21,0h2m21s,0,0,0,10,0:08,5.535,TACKLE,HORN ATTACK,POISON STING,THRASH,0,579,30,4,2,13,6,8,1,3325,Flareon, ,Poison,Ground,715,Nidoking1,Nidoking,,00:02:15.45,00:02:21.00,00:08:44.33,10,0,0,2,21,0,TACKLE,HORN ATTACK,POISON STING,THRASH,35,24,35,16,0,0,0,0,28,39,26,23,23,23,25,285,195,245,170,170,265,15,15,15,15,0,0,0,0,0,0,0,26,23,23,23,25,33399,19438,12007,0,1954,0,0,0,579,579,0,0,30,6,4,2,0,0,199,152,11,11,13,1,7,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,580,0,0,0,0,1,0,0,0,0,0,0,1,0,Flareon
4-30,15:49:30,NINTEN,Nidoking,Jr Trainer M,1,Pewter City - Gym,2,2:44.75,2:44,0h2m44s,0,0,0,12,0:10,12.832,DOUBLE KICK,HORN ATTACK,POISON STING,THRASH,0,675,33,5,2,17,7,10,1,3425,Flareon, ,Poison,Ground,1049,Nidoking1,Nidoking,,00:02:31.92,00:02:44.75,00:10:18.18,12,0,0,2,44,75,DOUBLE KICK,HORN ATTACK,POISON STING,THRASH,30,24,35,15,0,0,0,0,24,45,31,27,27,27,29,345,325,355,245,245,400,15,15,15,15,0,0,0,0,0,0,0,31,27,27,27,29,39024,21490,15580,0,1954,0,0,0,675,675,0,0,33,7,5,2,0,0,270,203,21,21,17,1,9,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,914,0,0,0,0,1,0,0,0,0,0,0,1,0,Flareon
4-30,15:49:50,NINTEN,Nidoking,Brock,1,Pewter City - Gym,2,3:04.70,3:04,0h3m4s,0,0,0,13,0:11,15.175,DOUBLE KICK,HORN ATTACK,POISON STING,THRASH,0,681,33,6,2,24,12,13,1,3605,Flareon, ,Poison,Ground,1509,Nidoking1,Nidoking,Brock,00:02:49.54,00:03:04.70,00:11:37.12,13,0,0,3,4,70,DOUBLE KICK,HORN ATTACK,POISON STING,THRASH,25,24,35,15,0,0,0,0,14,48,33,29,28,28,31,420,450,615,305,305,490,15,15,15,15,0,0,0,0,0,0,0,33,29,28,28,31,43758,22044,19760,0,1954,0,0,0,681,681,0,0,33,8,6,2,0,0,336,264,34,34,22,1,12,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1374,0,0,0,0,1,0,0,0,0,1,0,1,0,Flareon
4-30,15:50:27,NINTEN,Nidoking,Bug Catcher,4,Route 3,3,3:41.32,3:41,0h3m41s,0,0,0,14,0:14,13.1,HORN ATTACK,DOUBLE KICK,POISON STING,THRASH,0,765,44,7,2,29,16,15,3,2893,Flareon, ,Poison,Ground,1844,Nidoking1,Nidoking,,00:03:28.22,00:03:41.32,00:14:01.37,14,0,0,3,41,32,HORN ATTACK,DOUBLE KICK,POISON STING,THRASH,21,25,35,14,0,0,0,0,51,51,35,31,30,30,33,550,545,715,365,365,630,15,15,15,15,0,0,0,0,-1,0,0,39,31,30,30,21,52423,25843,23880,746,1954,0,0,0,765,765,0,0,44,9,7,2,0,0,487,353,34,34,27,2,14,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1709,0,0,0,0,1,7,0,0,0,1,0,1,0,Flareon
4-30,15:50:39,NINTEN,Nidoking,Youngster Ben,1,Route 3,2,3:53.32,3:53,0h3m53s,0,0,0,15,0:14,8.927,HORN ATTACK,DOUBLE KICK,POISON STING,THRASH,0,769,44,8,2,31,18,16,3,2993,Flareon, ,Poison,Ground,2122,Nidoking1,Nidoking,,00:03:44.40,00:03:53.32,00:14:48.59,15,0,0,3,53,32,HORN ATTACK,DOUBLE KICK,POISON STING,THRASH,21,24,35,13,0,0,0,0,49,54,38,33,32,32,36,615,661,794,430,430,757,15,15,15,15,0,0,0,0,0,0,0,42,33,32,32,36,55265,26052,26513,746,1954,0,0,0,769,769,0,0,44,10,8,2,0,0,564,412,39,39,29,2,15,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,1987,0,0,0,0,1,7,0,0,0,1,0,1,0,Flareon
4-30,15:50:54,NINTEN,Nidoking,Bug Catcher,5,Route 3,4,4:08.47,4:08,0h4m8s,0,0,0,16,0:15,11.713,HORN ATTACK,DOUBLE KICK,POISON STING,THRASH,0,775,44,9,2,35,20,16,3,3158,Flareon, ,Poison,Ground,2597,Nidoking1,Nidoking,,00:03:56.75,00:04:08.47,00:15:48.37,16,0,0,4,8,47,HORN ATTACK,DOUBLE KICK,POISON STING,THRASH,20,24,35,12,0,0,0,0,52,57,40,35,34,34,38,795,771,964,520,520,917,15,15,15,15,0,0,0,0,0,0,0,45,35,34,34,38,58843,26347,29796,746,1954,0,0,0,775,775,0,0,44,11,9,2,0,0,718,524,39,39,33,2,15,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,2462,0,0,0,0,1,7,0,0,0,1,0,1,0,Flareon
4-30,15:51:05,NINTEN,Nidoking,Bug Catcher,6,Route 3,2,4:20.14,4:20,0h4m20s,0,0,0,16,0:16,6.541,HORN ATTACK,DOUBLE KICK,POISON STING,THRASH,0,783,45,10,2,37,21,16,3,3248,Flareon, ,Poison,Ground,2890,Nidoking1,Nidoking,,00:04:13.59,00:04:20.14,00:16:34.37,16,0,0,4,20,14,HORN ATTACK,DOUBLE KICK,POISON STING,THRASH,20,24,35,11,0,0,0,0,52,57,40,35,34,34,38,890,821,1054,565,565,992,15,15,15,15,0,0,0,0,0,0,0,45,35,34,34,38,61603,27021,31882,746,1954,0,0,0,783,783,0,0,45,12,10,2,0,0,815,589,39,39,35,2,15,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,2755,0,0,0,0,1,7,0,0,0,1,0,1,0,Flareon
