ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Nidoking 6,Nidoking,Rival (Lab),00:00:33.80,00:00:40.69,00:02:07.45,6,0,0,0,40,69,THRASH,HORN ATTACK,POISON STING,TACKLE,17,16,15,15,17,0,-1,0,0,0,0,0,17,10,15,15,17,9624,4744,2893,0,1987,0,0,0,71,71,0,0,2,2,1,1,0,0,26,21,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,13,0,Jolteon
Nidoking 6,Nidoking,Brock,00:03:00.16,00:03:13.66,00:12:11.53,13,0,0,3,13,66,THRASH,HORN ATTACK,POISON STING,DOUBLE KICK,33,29,28,28,31,0,0,0,0,0,0,0,33,29,28,28,31,45872,22150,21735,0,1987,0,0,0,693,693,0,0,25,9,6,3,1,0,352,277,22,22,23,2,9,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1410,0,0,0,0,0,0,0,0,0,1,0,13,0,Flareon
Nidoking 6,Nidoking,Rival (Nugget Bridge),00:05:35.59,00:05:57.13,00:22:57.20,20,0,0,5,57,13,THRASH,HORN ATTACK,POISON STING,DOUBLE KICK,49,43,42,42,47,0,0,0,0,0,0,0,55,43,42,42,47,84599,37702,44910,0,1987,0,0,0,1306,1306,0,0,56,16,13,3,1,0,1390,992,51,51,51,2,16,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,5351,0,0,0,0,2,0,0,0,0,1,0,13,0,Flareon
Nidoking 6,Nidoking,Oddish Lass,00:07:44.06,00:07:52.51,00:30:31.35,23,0,0,7,52,51,THRASH,HORN ATTACK,POISON STING,DOUBLE KICK,56,50,48,48,53,0,0,0,0,0,0,0,63,50,48,48,53,111854,43856,66011,0,1987,0,0,0,1422,1422,0,0,73,26,23,3,1,0,2617,1762,64,64,74,4,19,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,9286,0,0,0,0,2,0,0,0,0,1,0,13,0,Flareon
Nidoking 6,Nidoking,Rocket,00:08:20.81,00:08:28.02,00:32:51.59,23,0,0,8,28,2,THRASH,HORN ATTACK,POISON STING,DOUBLE KICK,56,50,48,48,53,0,0,0,0,0,0,0,63,50,48,48,53,120278,49550,68195,546,1987,1,0,0,1561,1561,0,0,88,27,24,3,1,0,2764,1865,70,70,77,4,20,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,9975,0,0,0,0,3,0,0,0,0,1,0,13,0,Flareon
Nidoking 6,Nidoking,Misty,00:08:57.97,00:09:06.17,00:35:22.29,25,0,0,9,6,17,THRASH,HORN ATTACK,POISON STING,DOUBLE KICK,61,54,52,52,58,0,0,0,0,0,0,0,68,54,52,52,58,129308,52972,72626,1723,1987,2,0,0,1637,1637,0,0,96,29,26,3,1,0,2952,2014,111,111,82,4,22,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,11765,0,0,0,0,3,0,0,0,0,1,0,13,0,Flareon
Nidoking 6,Nidoking,Rival (SS Anne),00:10:33.22,00:10:46.52,00:41:57.55,27,0,0,10,46,52,THRASH,HORN ATTACK,BUBBLEBEAM,DOUBLE KICK,66,58,56,56,63,0,0,0,0,0,0,0,74,58,56,56,63,153034,63602,83078,4367,1987,2,0,0,2024,2024,0,0,114,33,30,3,1,0,3796,2506,121,121,93,4,23,0,0,0,0,0,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,14986,0,0,0,0,5,3,0,0,0,2,0,13,0,Flareon
Nidoking 6,Nidoking,Lt. Surge,00:11:32.37,00:11:38.71,00:45:24.12,27,0,0,11,38,71,THRASH,HORN ATTACK,BUBBLEBEAM,DOUBLE KICK,66,58,56,56,63,0,0,0,0,0,0,0,74,58,56,56,63,165411,70362,85164,7898,1987,2,0,0,2201,2201,0,0,119,34,31,3,1,0,3898,2582,152,152,95,4,25,0,0,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,15718,0,0,0,0,5,3,0,0,0,4,0,13,0,Flareon
Nidoking 6,Nidoking,RTG1 - Wrapping Lass,00:12:26.38,00:12:41.96,00:49:33.23,28,0,0,12,41,96,THRASH,THUNDERBOLT,BUBBLEBEAM,DOUBLE KICK,69,60,59,59,65,0,0,0,0,0,0,0,77,67,59,59,65,180362,78275,89443,10657,1987,2,0,0,2390,2338,52,0,135,35,32,3,1,0,4220,2772,169,169,99,4,27,0,0,0,0,0,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,73,16966,0,0,0,0,5,3,0,0,0,5,0,13,0,Flareon
Nidoking 6,Nidoking,RTG4 - Status Jr Trainer,00:13:23.48,00:13:33.65,00:52:57.01,29,0,0,13,33,65,THRASH,THUNDERBOLT,BUBBLEBEAM,DOUBLE KICK,71,62,61,61,67,0,0,0,0,0,0,0,79,69,61,61,67,192580,81281,98334,10978,1987,2,0,0,2589,2338,251,0,151,39,36,3,1,0,4923,3264,179,179,108,4,30,0,0,0,0,0,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,81,19846,0,0,0,0,5,3,0,0,0,5,0,13,0,Flareon
