ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Nidoqueen 2,Nidoqueen,Rival (Lab),00:00:34.17,00:00:40.83,00:02:07.17,6,0,0,0,40,83,BODY SLAM,SCRATCH,TAIL WHIP,TACKLE,16,17,15,15,16,0,-1,0,0,0,0,0,16,11,15,15,16,9658,4766,2843,0,2049,0,0,0,71,71,0,0,1,2,1,1,0,0,24,21,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,4,0,Jolteon
Nidoqueen 2,Nidoqueen,Brock,00:02:49.41,00:03:02.10,00:11:25.18,13,0,0,3,2,10,BODY SLAM,SCRATCH,TAIL WHIP,DOUBLE KICK,30,32,28,28,29,0,0,0,0,0,0,0,30,32,28,28,29,43139,22177,18913,0,2049,0,0,0,685,685,0,0,36,8,6,2,0,0,313,264,19,19,21,2,9,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,1374,0,0,0,0,1,0,0,0,0,1,0,4,0,Flareon
Nidoqueen 2,Nidoqueen,Rival (Nugget Bridge),00:05:50.53,00:06:10.25,00:23:48.50,19,0,0,6,10,25,BODY SLAM,SCRATCH,TAIL WHIP,DOUBLE KICK,43,45,40,40,41,0,0,0,0,0,0,0,48,45,40,40,41,87751,41595,44107,0,2049,0,0,0,1418,1418,0,0,46,15,13,2,0,0,1171,924,52,52,53,8,18,0,0,0,0,0,8,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,29,5088,0,0,0,0,3,0,0,0,0,1,0,4,0,Flareon
Nidoqueen 2,Nidoqueen,Oddish Lass,00:08:13.45,00:08:22.08,00:32:28.33,23,0,0,8,22,8,BODY SLAM,SCRATCH,TAIL WHIP,DOUBLE KICK,52,54,48,48,49,0,0,0,0,0,0,0,58,54,48,48,49,118934,48771,67444,670,2049,0,0,0,1540,1540,0,0,65,25,23,2,0,0,2345,1740,76,76,79,8,23,0,0,0,0,0,16,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,50,9188,0,0,0,0,4,0,0,0,0,1,0,4,0,Flareon
Nidoqueen 2,Nidoqueen,Misty,00:09:04.75,00:09:16.42,00:36:03.21,24,0,0,9,16,42,BODY SLAM,SCRATCH,TAIL WHIP,DOUBLE KICK,54,57,50,50,51,0,0,0,0,0,0,0,60,57,50,50,51,131822,56319,72784,670,2049,0,0,0,1718,1718,0,0,72,27,25,2,0,0,2565,1889,125,125,86,9,25,0,0,0,0,0,17,0,2,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,15,3,0,0,0,53,10978,0,0,0,0,5,0,0,0,0,1,0,4,0,Flareon
Nidoqueen 2,Nidoqueen,Rocket,00:09:39.61,00:09:51.17,00:38:20.33,25,0,0,9,51,17,BODY SLAM,SCRATCH,BUBBLEBEAM,DOUBLE KICK,56,59,52,52,53,0,0,0,0,0,0,0,63,59,52,52,53,140054,59817,76133,2055,2049,0,0,0,1805,1805,0,0,76,28,26,2,0,0,2700,1992,133,133,90,9,27,0,0,0,0,0,17,0,2,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,17,3,0,0,0,55,11667,0,0,0,0,5,0,0,0,0,2,0,4,0,Flareon
Nidoqueen 2,Nidoqueen,Rival (SS Anne),00:11:00.73,00:11:13.02,00:43:43.05,26,0,0,11,13,2,BODY SLAM,SCRATCH,BUBBLEBEAM,DOUBLE KICK,59,61,54,54,55,0,0,0,0,0,0,0,66,61,54,54,55,159406,68784,86518,2055,2049,0,0,0,2120,2120,0,0,93,32,30,2,0,0,3396,2484,141,141,101,9,28,0,0,0,0,0,18,0,3,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,17,3,0,0,0,66,14888,0,0,0,0,7,3,0,0,0,2,0,4,0,Flareon
Nidoqueen 2,Nidoqueen,Lt. Surge,00:11:51.21,00:11:58.99,00:46:44.42,27,0,0,11,58,99,BODY SLAM,SCRATCH,BUBBLEBEAM,DOUBLE KICK,61,63,57,57,58,0,0,0,0,0,0,0,68,63,57,57,58,170303,75334,88908,4012,2049,0,0,0,2297,2297,0,0,100,33,31,2,0,0,3493,2560,141,141,104,10,29,0,0,0,0,0,18,0,3,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,18,3,0,0,0,67,15620,0,0,0,0,7,3,0,0,0,4,0,4,0,Flareon
Nidoqueen 2,Nidoqueen,RTG1 - Wrapping Lass,00:12:48.11,00:12:58.36,00:50:38.15,27,0,0,12,58,36,BODY SLAM,THUNDERBOLT,BUBBLEBEAM,DOUBLE KICK,61,63,57,57,58,0,0,0,0,0,0,0,68,70,57,57,58,184316,83819,91922,6526,2049,0,0,0,2502,2450,52,0,137,34,32,2,0,0,3758,2750,141,141,108,10,29,0,0,0,0,0,19,0,3,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,18,3,0,0,0,71,16868,0,0,0,0,7,3,0,0,0,5,0,4,0,Flareon
Nidoqueen 2,Nidoqueen,RTG4 - Status Jr Trainer,00:13:41.53,00:13:52.41,00:54:11.21,29,0,0,13,52,41,BODY SLAM,THUNDERBOLT,BUBBLEBEAM,DOUBLE KICK,65,68,61,61,62,0,0,0,0,0,0,0,73,76,61,61,15,197102,86849,100980,7224,2049,0,0,0,2709,2450,259,0,154,38,36,2,0,0,4456,3238,149,149,118,10,31,0,0,0,0,0,20,0,3,0,0,1,17,1,0,0,0,0,0,0,0,0,0,0,1,1,4,1,0,0,20,4,0,0,0,79,19748,0,0,0,0,7,3,0,0,0,5,0,4,0,Flareon
