date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
6-02,13:33:16,NINTEN,NidoranF,Rival1-Lab,1,Pallet Town - Oak's Lab,1,45.28,45,0h0m45s,0,0,0,6,0:02,11.63,TACKLE,GROWL,,,0,71,3,1,1,5,5,5,0,3000,Jolteon, ,Poison,Poison,232,NidoranF 3,NidoranF,Rival (Lab),00:00:33.66,00:00:45.28,00:02:26.25,6,0,0,0,45,28,TACKLE,GROWL,,,30,40,0,0,0,0,0,0,3,24,12,13,11,11,11,55,55,50,65,65,55,15,15,15,15,0,-1,0,0,0,0,0,12,8,11,11,11,10717,4771,3986,0,1960,0,0,0,71,71,0,0,3,2,1,1,0,0,21,21,21,21,5,1,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,22,0,Jolteon
6-02,13:34:46,NINTEN,NidoranF,Bug Catcher,1,Viridian Forest,2,2:15.45,2:15,0h2m15s,0,0,0,8,0:08,28.898,TACKLE,GROWL,SCRATCH,,0,492,29,2,2,20,20,20,0,3175,Flareon, ,Poison,Poison,390,NidoranF 3,NidoranF,,00:01:46.55,00:02:15.45,00:08:23.04,8,0,0,2,15,45,TACKLE,GROWL,SCRATCH,,23,37,35,0,0,0,0,0,20,29,15,15,13,13,14,145,115,120,105,105,145,15,15,15,15,0,0,0,0,-6,0,0,15,15,13,13,3,32116,17887,12269,0,1960,0,0,0,492,492,0,0,29,4,2,2,0,0,70,69,30,30,20,5,15,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,255,0,0,0,0,0,0,0,0,0,0,0,22,0,Flareon
6-02,13:35:17,NINTEN,NidoranF,Bug Catcher,2,Viridian Forest,3,2:47.07,2:47,0h2m47s,0,0,0,10,0:10,27.731,SCRATCH,GROWL,TACKLE,,0,506,29,3,2,35,35,32,0,3245,Flareon, ,Poison,Poison,639,NidoranF 3,NidoranF,,00:02:19.34,00:02:47.07,00:10:28.23,10,0,0,2,47,7,SCRATCH,GROWL,TACKLE,,20,37,23,0,0,0,0,0,23,34,17,18,16,16,16,290,185,265,175,175,250,15,15,15,15,0,0,0,0,0,0,0,17,18,16,16,16,39635,18366,19309,0,1960,0,0,0,506,506,0,0,29,5,3,2,0,0,156,135,32,32,35,6,16,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,504,0,0,0,0,0,0,0,0,0,1,0,22,0,Flareon
6-02,13:35:45,NINTEN,NidoranF,Bug Catcher,15,Viridian Forest,2,3:14.37,3:14,0h3m14s,0,0,0,11,0:12,21.897,SCRATCH,GROWL,TACKLE,,0,537,31,4,2,47,47,43,1,3305,Flareon, ,Poison,Poison,852,NidoranF 3,NidoranF,,00:02:52.47,00:03:14.37,00:12:16.33,11,0,0,3,14,37,SCRATCH,GROWL,TACKLE,,8,37,23,0,0,0,0,0,15,36,19,20,17,17,17,385,235,355,220,220,325,15,15,15,15,0,0,0,0,-2,0,0,19,20,17,17,8,46125,19188,24977,0,1960,0,0,0,537,537,0,0,31,6,4,2,0,0,215,188,42,42,47,7,22,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,717,0,0,0,0,1,0,0,0,0,1,0,22,0,Flareon
6-02,13:36:01,NINTEN,NidoranF,Bug Catcher,3,Viridian Forest,1,3:30.80,3:30,0h3m30s,0,0,0,11,0:13,8.818,SCRATCH,GROWL,TACKLE,,0,587,34,5,2,51,51,47,0,3385,Flareon, ,Poison,Poison,964,NidoranF 3,NidoranF,,00:03:21.98,00:03:30.80,00:13:21.23,11,0,0,3,30,80,SCRATCH,GROWL,TACKLE,,4,37,23,0,0,0,0,0,32,36,19,20,17,17,17,430,265,390,240,240,370,15,15,15,15,0,0,0,0,-2,0,0,19,20,17,17,8,50015,20186,27501,368,1960,0,0,0,587,587,0,0,34,7,5,2,0,0,248,218,45,45,51,8,25,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,829,0,0,0,0,1,0,0,0,0,1,0,22,0,Flareon
6-02,13:36:53,NINTEN,NidoranF,Brock,1,Pewter City - Gym,2,4:22.33,4:22,0h4m22s,0,0,0,13,0:16,25.88,SCRATCH,GROWL,TACKLE,DOUBLE KICK,0,713,43,6,3,65,65,53,0,3485,Flareon, ,Poison,Poison,1448,NidoranF 3,NidoranF,Brock,00:03:56.45,00:04:22.33,00:16:45.12,13,0,0,4,22,33,SCRATCH,GROWL,TACKLE,DOUBLE KICK,35,34,35,24,0,0,0,0,26,41,21,23,19,19,20,535,446,685,325,325,532,15,15,15,15,0,-2,0,0,0,0,0,21,11,19,19,20,62244,24065,35851,368,1960,0,0,0,713,713,0,0,43,9,6,3,0,0,351,294,60,60,65,9,28,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1313,0,0,0,0,1,0,0,0,0,2,0,22,0,Flareon
6-02,13:37:40,NINTEN,NidoranF,Bug Catcher,4,Route 3,3,5:09.43,5:09,0h5m9s,0,0,0,14,0:19,21.324,SCRATCH,GROWL,TACKLE,DOUBLE KICK,0,795,55,7,3,75,75,63,3,73,Flareon, ,Poison,Poison,1783,NidoranF 3,NidoranF,,00:04:48.10,00:05:09.43,00:19:51.40,14,0,0,5,9,43,SCRATCH,GROWL,TACKLE,DOUBLE KICK,25,34,35,24,0,0,0,0,19,44,23,24,21,21,21,665,541,785,385,385,672,15,15,15,15,0,0,0,0,-3,0,0,25,24,21,21,8,73432,29178,41926,368,1960,0,0,0,795,795,0,0,55,10,7,3,0,0,463,383,70,70,75,12,35,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1648,0,0,0,0,1,16,0,0,0,2,0,22,0,Flareon
6-02,13:38:00,NINTEN,NidoranF,Youngster Ben,1,Route 3,2,5:29.48,5:29,0h5m29s,0,0,0,15,0:21,14.152,SCRATCH,GROWL,TACKLE,DOUBLE KICK,0,799,55,8,3,81,80,67,3,173,Flareon, ,Poison,Poison,2061,NidoranF 3,NidoranF,,00:05:15.33,00:05:29.48,00:21:10.48,15,0,0,5,29,48,SCRATCH,GROWL,TACKLE,DOUBLE KICK,21,34,35,23,0,0,0,0,28,47,24,26,22,22,22,730,657,864,450,450,799,15,15,15,15,0,-2,0,0,0,0,0,27,13,22,22,22,78180,29413,45797,1010,1960,0,0,0,799,799,0,0,55,11,8,3,0,0,532,442,84,84,80,12,39,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1926,0,0,0,0,1,16,0,0,0,2,0,22,0,Flareon
6-02,13:38:16,NINTEN,NidoranF,Lass,2,Route 3,2,5:46.12,5:46,0h5m46s,0,0,0,15,0:22,10.92,SCRATCH,GROWL,TACKLE,DOUBLE KICK,0,807,56,9,3,85,84,70,3,338,Flareon, ,Poison,Poison,2309,NidoranF 3,NidoranF,,00:05:35.20,00:05:46.12,00:22:16.18,15,0,0,5,46,12,SCRATCH,GROWL,TACKLE,DOUBLE KICK,18,34,35,22,0,0,0,0,35,47,24,26,22,22,22,806,770,939,515,515,921,15,15,15,15,0,-1,0,0,0,0,0,30,17,22,22,22,82110,29902,48881,1367,1960,0,0,0,807,807,0,0,56,12,9,3,0,0,610,499,96,96,84,12,42,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2174,0,0,0,0,1,16,0,0,0,2,0,22,0,Flareon
6-02,13:38:42,NINTEN,NidoranF,Bug Catcher,6,Route 3,2,6:11.48,6:11,0h6m11s,0,0,0,16,0:23,16.666,SCRATCH,GROWL,TACKLE,DOUBLE KICK,0,873,69,10,3,94,93,77,3,488,Flareon, ,Poison,Poison,2602,NidoranF 3,NidoranF,,00:05:54.81,00:06:11.48,00:23:56.43,16,0,0,6,11,48,SCRATCH,GROWL,TACKLE,DOUBLE KICK,9,34,35,22,0,0,0,0,34,49,25,27,23,23,24,901,820,1029,560,560,996,15,15,15,15,0,0,0,0,0,0,0,28,27,23,23,24,88135,31489,53319,1367,1960,0,0,0,873,873,0,0,69,13,10,3,0,0,686,564,99,99,93,13,43,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2467,0,0,0,0,1,16,0,0,0,2,0,22,0,Flareon
