ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
NidoranF5,NidoranF,Rival (Lab),00:00:33.91,00:00:46.76,00:02:31.50,6,0,0,0,46,76,GROWL,TACKLE,,,12,13,11,11,11,0,-1,0,0,0,0,0,12,8,11,11,11,11075,4786,4296,0,1993,0,0,0,71,71,0,0,1,2,1,1,0,0,21,21,13,13,6,2,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,5,0,Jolteon
NidoranF5,NidoranF,Brock,00:04:15.95,00:04:39.33,00:17:52.07,13,0,0,4,39,33,SCRATCH,GROWL,TACKLE,DOUBLE KICK,21,23,19,19,20,0,0,0,0,0,0,0,21,23,19,19,20,66292,25990,37590,719,1993,0,0,0,743,743,0,0,43,8,6,2,0,0,305,282,103,103,70,6,32,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1465,0,0,0,0,1,13,0,0,0,2,0,5,0,Flareon
NidoranF5,NidoranF,Rival (Nugget Bridge),00:11:27.94,00:11:51.51,00:46:18.09,23,0,0,11,51,51,SCRATCH,GROWL,TACKLE,DOUBLE KICK,36,38,32,32,33,0,-2,0,0,0,0,0,40,19,32,32,33,168654,50784,112708,3169,1993,1,0,0,1529,1529,0,0,74,26,24,2,0,0,2095,1737,270,270,178,13,85,0,0,0,0,0,8,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,54,9535,0,0,0,0,4,13,0,0,0,2,0,5,0,Flareon
NidoranF5,NidoranF,Oddish Lass,00:15:28.95,00:15:43.10,01:01:32.17,27,0,0,15,43,10,SCRATCH,GROWL,TACKLE,DOUBLE KICK,42,45,38,38,39,0,0,0,0,0,0,0,47,45,38,38,39,223502,61476,156031,4002,1993,1,0,0,1759,1759,0,0,99,39,37,2,0,0,3361,2807,385,384,232,17,110,0,0,0,0,0,10,0,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,1,81,15279,0,0,0,0,7,13,0,0,0,2,1,5,1,Flareon
NidoranF5,NidoranF,Rocket,00:16:12.54,00:16:24.70,01:04:16.45,27,0,0,16,24,70,SCRATCH,GROWL,TACKLE,DOUBLE KICK,42,45,38,38,39,0,0,0,0,0,0,0,47,45,38,38,39,233370,67105,159749,4523,1993,2,0,0,1899,1899,0,0,110,40,38,2,0,0,3483,2910,396,395,237,17,113,0,0,0,0,0,11,0,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,1,83,15968,0,0,0,0,8,13,0,0,0,2,1,5,1,Flareon
NidoranF5,NidoranF,Rival (SS Anne),00:19:34.79,00:19:48.51,01:17:41.06,29,0,0,19,48,51,BODY SLAM,SCRATCH,TACKLE,DOUBLE KICK,45,48,41,41,42,0,0,0,0,0,0,0,50,48,41,41,42,281631,87293,181724,10621,1993,5,0,0,2427,2427,0,0,173,47,45,2,0,0,4412,3620,490,489,264,19,125,0,0,0,0,0,13,0,14,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,1,0,0,0,1,98,20597,0,0,0,0,14,37,4,0,0,3,1,5,1,Flareon
NidoranF5,NidoranF,Misty,00:22:26.17,00:22:35.52,01:28:40.07,31,0,0,22,35,52,BODY SLAM,SCRATCH,BITE,DOUBLE KICK,49,52,44,44,45,0,0,0,0,0,0,0,55,52,44,44,45,321172,102676,201697,14806,1993,6,0,0,2826,2826,0,0,192,54,52,2,0,0,5268,4294,546,545,287,20,131,0,0,0,0,0,18,0,14,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,2,0,0,0,1,113,26523,0,0,0,0,14,37,4,0,0,6,1,5,1,Flareon
NidoranF5,NidoranF,RTG1 - Wrapping Lass,00:22:57.57,00:23:08.58,01:30:50.15,32,0,0,23,8,58,BODY SLAM,SCRATCH,BITE,DOUBLE KICK,50,53,45,45,46,0,0,0,0,0,0,0,56,53,45,45,46,328980,105712,204901,16374,1993,6,0,0,2939,2887,52,0,199,55,53,2,0,0,5537,4484,546,545,291,20,131,0,0,0,0,0,19,0,14,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,2,0,0,0,1,117,27771,0,0,0,0,14,37,4,0,0,6,1,5,1,Flareon
NidoranF5,NidoranF,RTG4 - Status Jr Trainer,00:25:09.29,00:25:18.92,01:39:23.50,34,0,0,25,18,92,BODY SLAM,SCRATCH,BITE,DOUBLE KICK,54,57,48,48,49,0,0,0,0,0,0,0,60,57,48,48,49,359795,111698,226623,19481,1993,7,0,0,3199,2896,303,0,234,64,61,3,0,0,6693,5386,659,658,316,22,137,0,0,0,0,0,21,0,16,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,0,0,8,2,0,0,1,132,33596,0,0,0,0,14,37,4,0,0,6,1,5,1,Flareon
NidoranF5,NidoranF,RTG6 - Finisher,00:26:23.72,00:26:35.91,01:43:05.52,34,1,0,26,35,91,BODY SLAM,SCRATCH,BITE,DOUBLE KICK,54,57,48,48,49,0,0,0,0,0,0,0,60,57,48,48,12,373123,115527,234246,21200,2150,8,1,0,3367,2896,471,0,254,66,63,3,0,0,7155,5695,681,680,326,23,141,0,0,0,0,0,22,0,16,0,0,5,6,1,0,0,0,0,0,0,0,0,0,0,9,5,2,0,0,0,8,2,0,0,1,138,35836,0,0,0,0,14,37,4,0,0,6,1,5,2,Flareon
NidoranF5,NidoranF,Lt. Surge,00:33:09.04,00:33:15.07,02:09:21.48,37,1,0,33,15,7,BODY SLAM,SCRATCH,BITE,DOUBLE KICK,59,63,53,53,59,0,0,0,0,0,0,0,66,63,53,53,59,467679,170928,264090,30511,2150,10,1,0,4746,4144,602,0,366,76,72,4,0,0,9085,7092,746,745,362,25,153,0,0,0,0,0,25,0,16,0,0,5,9,1,0,0,0,0,0,0,0,0,0,0,9,5,2,0,0,0,11,3,0,0,1,162,45748,0,0,0,0,26,50,16,1,1,7,1,5,2,Flareon
NidoranF5,NidoranF,Rival (Pokemon Tower),00:34:01.70,00:34:25.70,02:14:00.42,38,1,0,34,25,70,BODY SLAM,THUNDERBOLT,BITE,DOUBLE KICK,61,65,54,54,61,0,0,0,0,0,0,0,68,73,54,54,61,484413,178291,270300,33672,2150,11,1,0,4847,4245,602,0,386,77,73,4,0,0,9525,7398,778,777,368,25,155,0,0,0,0,0,26,0,16,0,0,5,9,1,0,0,0,0,0,0,0,0,0,0,9,5,2,0,0,0,11,3,0,0,1,167,48398,0,0,0,0,26,59,17,1,1,8,1,5,2,Flareon
NidoranF5,NidoranF,Erika,00:41:56.85,00:42:18.05,02:43:42.45,42,2,0,42,18,5,BODY SLAM,THUNDERBOLT,BITE,DOUBLE KICK,69,72,61,61,69,0,-1,0,0,0,0,0,86,52,61,61,69,591341,218075,321419,49541,2306,17,2,0,6044,4894,1150,0,493,97,88,9,3,0,12803,9815,950,949,423,26,181,0,0,0,0,0,31,0,20,0,0,6,14,2,0,0,0,0,0,0,0,0,0,0,11,7,3,0,0,0,15,4,0,0,1,201,68893,0,0,0,0,37,69,19,1,1,9,1,5,3,Flareon
