ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
NidoranM 5,NidoranM,Rival (Lab),00:00:33.95,00:00:45.00,00:02:25.07,6,0,0,0,45,0,TACKLE,LEER,,,13,11,11,11,12,0,-1,0,0,0,0,0,13,7,11,11,12,10650,4819,3860,0,1971,0,0,0,71,71,0,0,1,2,1,1,0,0,24,21,15,15,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,19,0,Jolteon
NidoranM 5,NidoranM,Brock,00:03:27.38,00:03:46.93,00:14:24.09,13,0,0,3,46,93,HORN ATTACK,LEER,TACKLE,DOUBLE KICK,24,20,19,19,22,0,0,0,0,0,0,0,24,20,19,19,22,53792,24000,27025,796,1971,0,0,0,709,709,0,0,26,8,6,2,0,0,321,264,89,89,41,6,26,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1374,0,0,0,0,2,0,0,0,0,2,0,19,0,Flareon
NidoranM 5,NidoranM,Rival (Nugget Bridge),00:08:31.23,00:08:51.13,00:34:25.32,21,0,0,8,51,13,HORN ATTACK,LEER,TACKLE,DOUBLE KICK,37,30,29,29,34,0,-1,0,0,0,-1,0,46,19,29,29,34,125875,47030,73154,3720,1971,1,0,0,1474,1474,0,0,78,18,16,2,0,0,1432,1135,226,226,102,16,61,0,0,0,0,0,7,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,35,6750,0,0,0,0,4,16,0,0,0,2,0,19,0,Flareon
NidoranM 5,NidoranM,Oddish Lass,00:12:00.70,00:12:13.18,00:47:42.30,24,0,0,12,13,18,HORN ATTACK,TACKLE,LEER,DOUBLE KICK,42,34,33,33,39,0,0,0,0,0,0,0,47,34,33,33,39,173693,55360,110921,5441,1971,1,0,0,1654,1654,0,0,94,29,27,2,0,0,2676,2058,375,373,144,20,84,0,0,0,0,0,11,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,58,11451,0,0,0,0,5,16,0,0,0,2,1,19,1,Flareon
NidoranM 5,NidoranM,Rocket,00:12:40.67,00:12:51.28,00:50:12.55,25,0,0,12,51,28,HORN ATTACK,TACKLE,LEER,DOUBLE KICK,44,36,35,35,40,0,0,0,0,0,0,0,49,36,35,35,40,182718,60932,113934,5881,1971,1,0,0,1792,1792,0,0,101,30,28,2,0,0,2816,2161,394,392,148,20,86,0,0,0,0,0,12,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,60,12140,0,0,0,0,6,16,0,0,0,2,1,19,1,Flareon
NidoranM 5,NidoranM,Misty,00:13:53.91,00:14:06.92,00:52:38.07,26,2,0,14,6,92,HORN ATTACK,TACKLE,BIDE,DOUBLE KICK,46,37,36,36,42,0,0,0,0,0,0,0,51,37,36,36,42,191435,63919,117899,7485,2132,2,1,0,1864,1864,0,0,106,31,29,2,0,0,2953,2261,441,439,150,20,89,0,0,0,0,0,12,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,62,13479,0,0,0,0,6,16,0,0,0,3,1,19,3,Flareon
NidoranM 5,NidoranM,Rival (SS Anne),00:16:32.35,00:16:47.18,01:03:09.14,28,2,0,16,47,18,BODY SLAM,HORN ATTACK,TACKLE,DOUBLE KICK,49,40,39,39,45,0,0,0,0,0,-1,0,55,40,39,39,45,229302,80665,136332,10173,2132,3,1,0,2384,2384,0,0,151,37,35,2,0,0,3807,2892,505,503,172,22,99,0,0,0,0,0,13,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,76,17783,0,0,0,0,12,27,0,0,0,4,1,19,3,Flareon
NidoranM 5,NidoranM,Lt. Surge,00:17:31.03,00:17:37.32,01:06:27.17,28,2,0,17,37,32,BODY SLAM,HORN ATTACK,TACKLE,DOUBLE KICK,49,40,39,39,45,0,0,0,0,0,0,0,55,40,39,39,45,241185,87403,138705,12945,2132,4,1,0,2563,2563,0,0,160,38,36,2,0,0,3885,2968,550,548,174,22,100,0,0,0,0,0,14,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,77,18515,0,0,0,0,12,27,0,0,0,6,1,19,3,Flareon
NidoranM 5,NidoranM,RTG1 - Wrapping Lass,00:18:24.73,00:18:39.27,01:10:31.19,29,2,0,18,39,27,BODY SLAM,HORN ATTACK,THUNDERBOLT,DOUBLE KICK,51,41,40,40,47,0,0,0,0,0,0,0,57,46,40,40,47,255827,95495,142738,15462,2132,4,1,0,2752,2700,52,0,186,39,37,2,0,0,4152,3158,550,548,180,22,100,0,0,0,0,0,14,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,81,19763,0,0,0,0,12,27,0,0,0,7,1,19,3,Flareon
NidoranM 5,NidoranM,RTG4 - Status Jr Trainer,00:19:51.34,00:20:01.61,01:15:55.52,30,2,0,20,1,61,BODY SLAM,HORN ATTACK,THUNDERBOLT,DOUBLE KICK,53,43,42,42,48,0,0,0,0,0,0,0,59,48,42,42,48,275300,98754,155963,18451,2132,5,1,0,2951,2700,251,0,202,45,41,4,2,0,4839,3647,630,628,195,23,105,0,0,0,0,0,14,0,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,89,22643,0,0,0,0,12,27,0,0,0,7,1,19,3,Flareon
