date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
4-30,10:25:15,NINTEN,Nidorina,Rival1-Lab,1,Pallet Town - Oak's Lab,1,46.41,46,0h0m46s,0,0,0,6,0:02,12.655,SCRATCH,TACKLE,GROWL,,0,71,2,1,1,6,6,5,0,3000,Jolteon, ,Poison,Poison,232,Nidorina5,Nidorina,Rival (Lab),00:00:33.76,00:00:46.41,00:02:31.05,6,0,0,0,46,41,SCRATCH,TACKLE,GROWL,,29,35,40,0,0,0,0,0,16,26,14,14,13,13,13,55,55,50,65,65,55,15,15,15,15,0,-2,0,0,0,0,0,14,7,13,13,13,10992,4794,4243,0,1955,0,0,0,71,71,0,0,2,2,1,1,0,0,26,21,10,10,6,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,5,0,Jolteon
4-30,10:26:36,NINTEN,Nidorina,Bug Catcher,1,Viridian Forest,2,2:07.53,2:07,0h2m7s,0,0,0,8,0:07,21.526,SCRATCH,TACKLE,GROWL,,0,490,15,2,2,16,16,15,0,3175,Flareon, ,Poison,Poison,390,Nidorina5,Nidorina,,00:01:46.01,00:02:07.53,00:07:51.39,8,0,0,2,7,53,SCRATCH,TACKLE,GROWL,,25,35,40,0,0,0,0,0,17,31,17,18,16,16,16,145,115,120,105,105,145,15,15,15,15,0,0,0,0,-5,0,0,17,18,16,16,4,30226,17523,10748,0,1955,0,0,0,490,490,0,0,15,4,2,2,0,0,80,69,24,24,16,1,14,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,255,0,0,0,0,0,0,0,0,0,0,0,5,0,Flareon
4-30,10:27:03,NINTEN,Nidorina,Bug Catcher,15,Viridian Forest,2,2:34.30,2:34,0h2m34s,0,0,0,10,0:09,20.333,SCRATCH,TACKLE,GROWL,,0,537,22,3,2,27,27,24,1,3245,Flareon, ,Poison,Poison,603,Nidorina5,Nidorina,,00:02:13.96,00:02:34.30,00:09:37.39,10,0,0,2,34,30,SCRATCH,TACKLE,GROWL,,14,35,40,0,0,0,0,0,16,37,20,21,19,19,19,240,165,210,150,150,220,15,15,15,15,0,0,0,0,-1,0,0,20,21,19,19,12,36586,18612,16019,0,1955,0,0,0,537,537,0,0,22,5,3,2,0,0,135,122,31,31,27,3,18,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,468,0,0,0,0,1,0,0,0,0,0,0,5,0,Flareon
4-30,10:27:20,NINTEN,Nidorina,Bug Catcher,3,Viridian Forest,1,2:50.80,2:50,0h2m50s,0,0,0,10,0:10,9.374,SCRATCH,TACKLE,GROWL,,0,585,22,4,2,31,31,28,1,3325,Flareon, ,Poison,Poison,715,Nidorina5,Nidorina,,00:02:41.42,00:02:50.80,00:10:42.58,10,0,0,2,50,80,SCRATCH,TACKLE,GROWL,,10,35,40,0,0,0,0,0,10,37,20,21,19,19,19,285,195,245,170,170,265,15,15,15,15,0,0,0,0,-2,0,0,20,21,19,19,9,40505,19902,18648,0,1955,0,0,0,585,585,0,0,22,6,4,2,0,0,171,152,37,37,31,3,22,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,580,0,0,0,0,2,0,0,0,0,0,0,5,0,Flareon
4-30,10:27:56,NINTEN,Nidorina,Jr Trainer M,1,Pewter City - Gym,2,3:27.35,3:27,0h3m27s,0,0,0,12,0:13,20.061,SCRATCH,TACKLE,GROWL,DOUBLE KICK,0,701,27,5,2,40,40,36,1,3425,Flareon, ,Poison,Poison,1049,Nidorina5,Nidorina,,00:03:07.29,00:03:27.35,00:13:07.19,12,0,0,3,27,35,SCRATCH,TACKLE,GROWL,DOUBLE KICK,27,35,39,30,0,0,0,0,10,42,23,25,22,22,22,345,325,355,245,245,400,15,15,15,15,0,0,0,0,0,0,0,23,25,22,22,22,49166,23269,23942,0,1955,0,0,0,701,701,0,0,27,7,5,2,0,0,230,203,69,69,40,3,30,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,914,0,0,0,0,2,0,0,0,0,0,0,5,0,Flareon
4-30,10:28:29,NINTEN,Nidorina,Brock,1,Pewter City - Gym,2,3:59.64,3:59,0h3m59s,0,0,0,13,0:15,24.949,SCRATCH,TACKLE,GROWL,DOUBLE KICK,0,707,28,6,2,54,48,43,0,3605,Flareon, ,Poison,Poison,1509,Nidorina5,Nidorina,Brock,00:03:34.69,00:03:59.64,00:15:14.57,13,0,0,3,59,64,SCRATCH,TACKLE,GROWL,DOUBLE KICK,27,35,37,24,0,0,0,0,23,45,25,27,23,23,24,420,450,615,305,305,490,15,15,15,15,0,-2,0,0,0,0,0,25,13,23,23,24,56824,23846,30464,559,1955,0,0,0,707,707,0,0,28,8,6,2,0,0,297,264,91,91,48,5,34,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1374,0,0,0,0,2,0,0,0,0,1,0,5,0,Flareon
4-30,10:29:07,NINTEN,Nidorina,Bug Catcher,4,Route 3,3,4:38.49,4:38,0h4m38s,0,0,0,14,0:17,18.358,SCRATCH,TACKLE,GROWL,DOUBLE KICK,0,788,33,7,2,63,57,49,3,2893,Flareon, ,Poison,Poison,1844,Nidorina5,Nidorina,,00:04:20.13,00:04:38.49,00:17:48.39,14,0,0,4,38,49,SCRATCH,TACKLE,GROWL,DOUBLE KICK,18,35,37,24,0,0,0,0,19,48,27,28,25,25,25,550,545,715,365,365,630,15,15,15,15,0,0,0,0,-1,0,0,30,28,25,25,16,66046,27716,35816,559,1955,0,0,0,788,788,0,0,33,9,7,2,0,0,423,353,98,98,57,6,39,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1709,0,0,0,0,2,7,0,0,0,1,0,5,0,Flareon
4-30,10:29:26,NINTEN,Nidorina,Youngster Ben,1,Route 3,2,4:56.75,4:56,0h4m56s,0,0,0,15,0:19,11.591,SCRATCH,TACKLE,GROWL,DOUBLE KICK,0,792,33,8,2,67,61,52,3,2993,Flareon, ,Poison,Poison,2122,Nidorina5,Nidorina,,00:04:45.15,00:04:56.75,00:19:00.37,15,0,0,4,56,75,SCRATCH,TACKLE,GROWL,DOUBLE KICK,15,35,37,23,0,0,0,0,34,51,29,30,26,26,27,615,661,794,430,430,757,15,15,15,15,0,0,0,0,0,0,0,32,30,26,26,27,70364,28044,39071,1294,1955,0,0,0,792,792,0,0,33,10,8,2,0,0,486,412,106,106,61,6,42,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1987,0,0,0,0,2,7,0,0,0,1,0,5,0,Flareon
4-30,10:29:38,NINTEN,Nidorina,Lass,2,Route 3,2,5:09.19,5:09,0h5m9s,0,0,0,15,0:19,8.623,SCRATCH,TACKLE,GROWL,DOUBLE KICK,0,798,34,9,2,70,64,53,3,3158,Flareon, ,Poison,Poison,2370,Nidorina5,Nidorina,,00:05:00.57,00:05:09.19,00:19:49.41,15,0,0,5,9,19,SCRATCH,TACKLE,GROWL,DOUBLE KICK,13,35,37,22,0,0,0,0,29,51,29,30,26,26,27,691,774,869,495,495,879,15,15,15,15,0,0,0,0,0,0,0,32,30,26,26,27,73308,28441,41618,1294,1955,0,0,0,798,798,0,0,34,11,9,2,0,0,566,469,111,111,64,6,43,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2235,0,0,0,0,2,7,0,0,0,1,0,5,0,Flareon
4-30,10:30:01,NINTEN,Nidorina,Bug Catcher,6,Route 3,2,5:31.78,5:31,0h5m31s,0,0,0,16,0:21,15.609,SCRATCH,TACKLE,GROWL,DOUBLE KICK,0,856,35,10,2,78,72,59,3,3308,Flareon, ,Poison,Poison,2663,Nidorina5,Nidorina,,00:05:16.17,00:05:31.78,00:21:19.02,16,0,0,5,31,78,SCRATCH,TACKLE,GROWL,DOUBLE KICK,5,35,37,22,0,0,0,0,28,54,30,32,28,28,28,786,824,959,540,540,954,15,15,15,15,0,0,0,0,0,0,0,33,32,28,28,28,78669,29615,45805,1294,1955,0,0,0,856,856,0,0,35,12,10,2,0,0,641,534,115,115,72,6,45,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2528,0,0,0,0,2,7,0,0,0,1,0,5,0,Flareon
