date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
4-29,18:54:18,NINTEN,Nidorino,Rival1-Lab,1,Pallet Town - Oak's Lab,1,43.71,43,0h0m43s,0,0,0,6,0:02,9.955,HORN ATTACK,TACKLE,LEER,,0,71,2,1,1,4,4,3,0,3000,Jolteon, ,Poison,Poison,232,Nidorino6,Nidorino,Rival (Lab),00:00:33.76,00:00:43.71,00:02:20.19,6,0,0,0,43,71,HORN ATTACK,TACKLE,LEER,,21,35,30,0,0,0,0,0,9,25,15,13,13,13,14,55,55,50,65,65,55,15,15,15,15,0,0,0,0,0,0,0,15,13,13,13,14,10346,4793,3598,0,1955,0,0,0,71,71,0,0,2,2,1,1,0,0,25,21,16,16,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,6,0,Jolteon
4-29,18:55:33,NINTEN,Nidorino,Bug Catcher,1,Viridian Forest,2,1:58.30,1:58,0h1m58s,0,0,0,8,0:07,15.122,HORN ATTACK,TACKLE,LEER,,0,488,22,2,2,10,10,9,0,3175,Flareon, ,Poison,Poison,390,Nidorino6,Nidorino,,00:01:43.16,00:01:58.30,00:07:14.55,8,0,0,1,58,30,HORN ATTACK,TACKLE,LEER,,19,35,30,0,0,0,0,0,22,30,19,16,16,16,18,145,115,120,105,105,145,15,15,15,15,0,0,0,0,-2,0,0,19,16,16,16,9,28022,17500,8567,0,1955,0,0,0,488,488,0,0,22,4,2,2,0,0,78,69,24,24,10,1,8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,255,0,0,0,0,0,0,0,0,0,0,0,6,0,Flareon
4-29,18:55:56,NINTEN,Nidorino,Bug Catcher,15,Viridian Forest,2,2:21.98,2:21,0h2m21s,0,0,0,10,0:08,16.697,HORN ATTACK,TACKLE,LEER,,0,531,25,3,2,18,18,16,1,3245,Flareon, ,Poison,Poison,603,Nidorino6,Nidorino,,00:02:05.28,00:02:21.98,00:08:48.48,10,0,0,2,21,98,HORN ATTACK,TACKLE,LEER,,11,35,30,0,0,0,0,0,25,35,22,19,19,19,21,240,165,210,150,150,220,15,15,15,15,0,0,0,0,-1,0,0,22,19,19,19,13,33655,18705,12995,0,1955,0,0,0,531,531,0,0,25,5,3,2,0,0,155,122,26,26,18,3,10,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,468,0,0,0,0,1,0,0,0,0,0,0,6,0,Flareon
4-29,18:56:11,NINTEN,Nidorino,Bug Catcher,3,Viridian Forest,1,2:36.10,2:36,0h2m36s,0,0,0,10,0:09,7.797,HORN ATTACK,TACKLE,LEER,,0,583,30,4,2,21,21,19,1,3325,Flareon, ,Poison,Poison,715,Nidorino6,Nidorino,,00:02:28.30,00:02:36.10,00:09:44.39,10,0,0,2,36,10,HORN ATTACK,TACKLE,LEER,,8,35,30,0,0,0,0,0,22,35,22,19,19,19,21,285,195,245,170,170,265,15,15,15,15,0,0,0,0,-2,0,0,22,19,19,19,10,37006,19777,15274,0,1955,0,0,0,583,583,0,0,30,6,4,2,0,0,195,152,29,29,21,3,13,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,580,0,0,0,0,1,0,0,0,0,0,0,6,0,Flareon
4-29,18:56:43,NINTEN,Nidorino,Jr Trainer M,1,Pewter City - Gym,2,3:08.58,3:08,0h3m8s,0,0,0,12,0:11,16.047,HORN ATTACK,TACKLE,LEER,DOUBLE KICK,0,701,33,5,2,27,27,24,1,3425,Flareon, ,Poison,Poison,1049,Nidorino6,Nidorino,,00:02:52.53,00:03:08.58,00:11:52.50,12,0,0,3,8,58,HORN ATTACK,TACKLE,LEER,DOUBLE KICK,20,35,29,30,0,0,0,0,17,40,26,22,22,22,24,345,325,355,245,245,400,15,15,15,15,0,0,0,0,0,0,0,26,22,22,22,24,44697,23115,19627,0,1955,0,0,0,701,701,0,0,33,7,5,2,0,0,269,203,52,52,27,3,18,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,914,0,0,0,0,1,0,0,0,0,0,0,6,0,Flareon
4-29,18:57:05,NINTEN,Nidorino,Brock,1,Pewter City - Gym,2,3:30.88,3:30,0h3m30s,0,0,0,13,0:13,15.795,HORN ATTACK,TACKLE,LEER,DOUBLE KICK,0,707,33,6,2,34,32,27,0,3605,Flareon, ,Poison,Poison,1509,Nidorino6,Nidorino,Brock,00:03:15.10,00:03:30.88,00:13:20.57,13,0,0,3,30,88,HORN ATTACK,TACKLE,LEER,DOUBLE KICK,20,35,29,25,0,0,0,0,29,43,28,24,23,23,26,420,450,615,305,305,490,15,15,15,15,0,0,0,0,0,0,0,28,24,23,23,26,49984,23714,23963,352,1955,0,0,0,707,707,0,0,33,8,6,2,0,0,340,264,63,63,32,3,20,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1374,0,0,0,0,1,0,0,0,0,1,0,6,0,Flareon
4-29,18:57:41,NINTEN,Nidorino,Bug Catcher,4,Route 3,3,4:06.27,4:06,0h4m6s,0,0,0,14,0:15,15.146,HORN ATTACK,TACKLE,LEER,DOUBLE KICK,0,788,41,7,2,40,38,32,3,2893,Flareon, ,Poison,Poison,1844,Nidorino6,Nidorino,,00:03:51.12,00:04:06.27,00:15:40.51,14,0,0,4,6,27,HORN ATTACK,TACKLE,LEER,DOUBLE KICK,14,35,29,25,0,0,0,0,29,45,30,26,25,25,28,550,545,715,365,365,630,15,15,15,15,0,0,0,0,-3,0,0,41,26,25,25,11,58378,27505,28566,352,1955,0,0,0,788,788,0,0,41,9,7,2,0,0,494,353,65,65,38,4,24,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1709,0,0,0,0,1,7,0,0,0,1,0,6,0,Flareon
4-29,18:57:54,NINTEN,Nidorino,Youngster Ben,1,Route 3,2,4:19.84,4:19,0h4m19s,0,0,0,15,0:16,10.491,HORN ATTACK,TACKLE,LEER,DOUBLE KICK,0,792,44,8,2,43,41,34,3,2993,Flareon, ,Poison,Poison,2122,Nidorino6,Nidorino,,00:04:09.34,00:04:19.84,00:16:34.18,15,0,0,4,19,84,HORN ATTACK,TACKLE,LEER,DOUBLE KICK,12,35,29,24,0,0,0,0,24,48,32,27,26,26,30,615,661,794,430,430,757,15,15,15,15,0,0,0,0,0,0,0,36,27,26,26,30,61585,27723,31555,352,1955,0,0,0,792,792,0,0,44,10,8,2,0,0,572,412,73,73,41,4,26,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1987,0,0,0,0,1,7,0,0,0,1,0,6,0,Flareon
4-29,18:58:06,NINTEN,Nidorino,Lass,2,Route 3,2,4:31.75,4:31,0h4m31s,0,0,0,15,0:17,7.879,HORN ATTACK,TACKLE,LEER,DOUBLE KICK,0,800,45,9,2,46,44,35,3,3158,Flareon, ,Poison,Poison,2370,Nidorino6,Nidorino,,00:04:23.87,00:04:31.75,00:17:21.16,15,0,0,4,31,75,HORN ATTACK,TACKLE,LEER,DOUBLE KICK,10,35,29,23,0,0,0,0,24,48,32,27,26,26,30,691,774,869,495,495,879,15,15,15,15,0,0,0,0,0,0,0,36,27,26,26,30,64403,28183,33913,352,1955,0,0,0,800,800,0,0,45,11,9,2,0,0,650,469,73,73,44,5,26,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2235,0,0,0,0,1,7,0,0,0,1,0,6,0,Flareon
4-29,18:58:23,NINTEN,Nidorino,Bug Catcher,6,Route 3,2,4:49.00,4:49,0h4m49s,0,0,0,16,0:18,10.086,HORN ATTACK,TACKLE,LEER,DOUBLE KICK,0,860,46,10,2,50,48,37,3,3308,Flareon, ,Poison,Poison,2663,Nidorino6,Nidorino,,00:04:38.90,00:04:49.00,00:18:29.19,16,0,0,4,49,0,HORN ATTACK,TACKLE,LEER,DOUBLE KICK,6,35,29,23,0,0,0,0,24,51,33,29,28,28,31,786,824,959,540,540,954,15,15,15,15,0,0,0,0,0,0,0,37,29,28,28,31,68486,29410,36769,352,1955,0,0,0,860,860,0,0,46,12,10,2,0,0,735,534,76,76,48,5,27,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2528,0,0,0,0,1,7,0,0,0,1,0,6,0,Flareon
