ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Nidorino5,Nidorino,Rival (Lab),00:00:33.94,00:00:42.42,00:02:15.25,6,0,0,0,42,42,HORN ATTACK,TACKLE,LEER,,15,13,13,13,14,0,-1,0,0,0,0,0,15,8,13,13,14,10038,4853,3244,0,1941,0,0,0,71,71,0,0,5,2,1,1,0,0,22,21,5,5,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,5,0,Jolteon
Nidorino5,Nidorino,Brock,00:03:12.94,00:03:27.06,00:13:05.52,13,0,0,3,27,6,HORN ATTACK,TACKLE,LEER,DOUBLE KICK,28,24,23,23,26,0,-2,0,0,0,0,0,28,12,23,23,26,49065,23528,23246,350,1941,0,0,0,705,705,0,0,30,8,6,2,0,0,346,264,53,53,31,2,22,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1374,0,0,0,0,1,0,0,0,0,1,0,5,0,Flareon
Nidorino5,Nidorino,Rival (Nugget Bridge),00:06:36.42,00:06:55.57,00:26:49.33,20,0,0,6,55,57,HORN ATTACK,TACKLE,LEER,DOUBLE KICK,41,35,34,34,39,0,0,0,0,0,-1,0,46,35,34,34,39,98486,43473,52722,350,1941,0,0,0,1410,1410,0,0,55,16,14,2,0,0,1375,1010,92,92,70,5,38,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,5685,0,0,0,0,3,7,0,0,0,1,0,5,0,Flareon
Nidorino5,Nidorino,Oddish Lass,00:09:28.77,00:09:39.90,00:37:37.35,24,0,0,9,39,90,HORN ATTACK,TACKLE,BIDE,DOUBLE KICK,49,42,41,41,46,0,0,0,0,0,0,0,55,42,41,41,46,137368,50736,81758,2933,1941,0,0,0,1532,1532,0,0,77,26,24,2,0,0,2620,1905,153,153,104,7,52,0,0,0,0,0,14,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,10386,0,0,0,0,4,7,0,0,0,2,0,5,0,Flareon
Nidorino5,Nidorino,Misty,00:10:41.64,00:10:54.06,00:41:22.05,25,1,0,10,54,6,HORN ATTACK,TACKLE,BIDE,DOUBLE KICK,52,44,42,42,48,0,0,0,0,0,0,0,58,44,42,42,48,150843,58531,87034,3181,2097,1,1,0,1716,1716,0,0,109,28,26,2,0,0,2831,2054,198,198,108,7,54,0,0,0,0,0,15,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,12176,0,0,0,0,5,7,0,0,0,2,0,5,1,Flareon
Nidorino5,Nidorino,Rocket,00:11:16.42,00:11:24.69,00:43:22.49,25,1,0,11,24,69,HORN ATTACK,BUBBLEBEAM,BIDE,DOUBLE KICK,52,44,42,42,48,0,0,0,0,0,0,0,58,44,42,42,48,158087,61962,89593,4435,2097,1,1,0,1803,1803,0,0,113,29,27,2,0,0,2971,2157,202,202,111,7,55,0,0,0,0,0,16,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,12865,0,0,0,0,5,7,0,0,0,3,0,5,1,Flareon
Nidorino5,Nidorino,Rival (SS Anne),00:13:18.04,00:13:30.39,00:51:38.09,28,1,0,13,30,39,BODY SLAM,BUBBLEBEAM,HORN ATTACK,DOUBLE KICK,58,49,47,47,54,0,0,0,0,0,0,0,65,49,47,47,54,187807,73896,106035,5779,2097,1,1,0,2216,2216,0,0,142,35,33,2,0,0,3832,2788,242,242,129,8,60,0,0,0,0,0,16,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,74,17169,0,0,0,0,9,10,0,0,0,4,0,5,1,Flareon
Nidorino5,Nidorino,Lt. Surge,00:14:28.64,00:14:35.56,00:54:55.28,28,2,0,14,35,56,BODY SLAM,BUBBLEBEAM,HORN ATTACK,DOUBLE KICK,58,49,47,47,54,-1,0,0,0,0,0,0,42,49,47,47,54,199651,80800,108237,8362,2252,2,2,0,2393,2393,0,0,157,36,34,2,0,0,3912,2864,242,242,132,9,61,0,0,0,0,0,16,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,75,17901,0,0,0,0,9,10,0,0,0,6,0,5,2,Flareon
Nidorino5,Nidorino,RTG1 - Wrapping Lass,00:15:22.41,00:15:32.63,00:58:40.06,28,2,0,15,32,63,BODY SLAM,BUBBLEBEAM,THUNDERBOLT,DOUBLE KICK,58,49,47,47,54,0,0,0,0,0,0,0,65,55,47,47,54,213129,88725,111229,10923,2252,2,2,0,2582,2532,50,0,168,37,35,2,0,0,4191,3054,242,242,136,9,61,0,0,0,0,0,17,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,79,19149,0,0,0,0,9,10,0,0,0,7,0,5,2,Flareon
Nidorino5,Nidorino,RTG4 - Status Jr Trainer,00:16:20.92,00:16:29.65,01:02:24.59,30,2,0,16,29,65,BODY SLAM,BUBBLEBEAM,THUNDERBOLT,DOUBLE KICK,62,53,51,51,57,0,0,0,0,0,0,0,69,59,51,51,57,226622,91745,121027,11598,2252,2,2,0,2783,2532,251,0,196,41,39,2,0,0,5045,3542,292,292,147,9,65,0,0,0,0,0,20,0,7,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,87,22029,0,0,0,0,9,10,0,0,0,7,0,5,2,Flareon
Nidorino5,Nidorino,RTG6 - Finisher,00:16:58.82,00:17:08.30,01:04:57.19,31,2,0,17,8,30,BODY SLAM,BUBBLEBEAM,THUNDERBOLT,DOUBLE KICK,64,55,53,53,59,0,0,0,0,0,0,0,72,61,53,53,59,235762,94872,126197,12441,2252,2,2,0,2947,2532,415,0,219,43,41,2,0,0,5758,3850,292,292,153,9,65,0,0,0,0,0,21,0,7,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,93,24269,0,0,0,0,9,10,0,0,0,7,0,5,2,Flareon
Nidorino5,Nidorino,Rival (Pokemon Tower),00:20:01.77,00:20:23.84,01:17:48.17,32,2,0,20,23,84,BODY SLAM,ICE BEAM,THUNDERBOLT,DOUBLE KICK,66,56,54,54,64,0,0,0,0,0,0,0,74,63,54,54,64,282020,121744,139897,18127,2252,2,2,0,3669,3109,560,0,294,48,44,4,0,0,7006,4466,362,362,167,9,70,0,0,0,0,0,25,0,8,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,103,28585,0,0,0,0,14,31,2,1,1,9,0,5,2,Flareon
Nidorino5,Nidorino,Erika,00:24:22.93,00:24:38.96,01:34:35.06,37,2,0,24,38,96,BODY SLAM,ICE BEAM,THUNDERBOLT,DOUBLE KICK,77,66,63,63,74,0,0,0,0,0,0,0,86,74,63,63,18,342429,143199,172897,24081,2252,3,2,0,4347,3503,844,0,349,60,53,7,2,0,9022,6053,587,587,209,13,92,0,0,0,0,0,31,0,10,0,0,4,4,2,0,0,0,0,0,0,0,0,0,0,6,4,4,0,0,0,4,0,0,0,0,125,44521,0,0,0,0,19,31,2,1,1,9,0,5,2,Flareon
Nidorino5,Nidorino,Rival (Silph Co.),00:29:41.65,00:30:05.62,01:56:02.29,43,2,0,30,5,62,BODY SLAM,ICE BEAM,THUNDERBOLT,DOUBLE KICK,90,77,76,76,87,0,0,0,0,0,0,0,101,86,76,76,87,419672,172006,216943,28471,2252,4,2,0,5194,4350,844,0,452,72,65,7,2,0,12931,8785,944,944,271,17,118,0,0,0,0,0,38,0,12,0,0,5,7,3,0,0,0,0,0,0,0,0,0,0,8,4,8,1,0,0,7,1,0,0,0,162,75579,0,0,0,0,27,31,2,1,1,9,0,5,2,Flareon
Nidorino5,Nidorino,Giovanni (Silph),00:30:37.69,00:30:55.26,01:59:18.18,44,2,0,30,55,26,BODY SLAM,ICE BEAM,THUNDERBOLT,DOUBLE KICK,92,79,78,78,89,0,0,0,0,0,0,0,103,88,78,78,89,431421,174549,225422,29198,2252,4,2,0,5217,4373,844,0,453,74,67,7,2,0,13880,9461,1003,1003,284,18,122,0,0,0,0,0,40,0,12,0,0,5,7,3,0,0,0,0,0,0,0,0,0,0,8,4,8,1,0,0,7,1,0,0,0,169,82978,0,0,0,0,27,31,2,1,1,9,0,5,2,Flareon
Nidorino5,Nidorino,Koga,00:33:47.83,00:34:03.66,02:10:09.19,53,4,0,34,3,66,BODY SLAM,ICE BEAM,THUNDERBOLT,MIMIC,113,95,94,94,107,0,0,0,0,0,0,0,127,106,94,94,107,470488,184817,247553,35712,2406,7,3,0,5510,4629,881,0,491,81,74,7,2,0,17279,11330,1126,1126,311,19,126,0,0,0,0,0,43,0,12,0,0,5,9,3,0,0,0,0,0,0,0,0,0,0,8,4,8,1,0,0,9,1,0,0,0,190,100324,0,0,0,0,27,31,2,1,1,10,0,5,4,Flareon
