date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
7-23,13:37:34,NINTEN,Omastar,Rival1-Lab,1,Pallet Town - Oak's Lab,1,43.06,43,0h0m43s,0,0,0,6,0:02,9.066,WATER GUN,WITHDRAW,HORN ATTACK,,0,71,3,1,1,4,4,3,0,3000,Jolteon, ,Rock,Water,222,Omastar 1,Omastar,Rival (Lab),00:00:33.99,00:00:43.06,00:02:17.36,6,0,0,0,43,6,WATER GUN,WITHDRAW,HORN ATTACK,,21,40,25,0,0,0,0,0,24,26,14,21,20,20,13,55,55,50,65,65,55,15,15,15,15,0,-1,0,0,0,0,0,14,13,20,20,13,10191,4833,3395,0,1963,0,0,0,71,71,0,0,3,2,1,1,0,0,28,21,2,2,3,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,2,0,Jolteon
7-23,13:38:49,NINTEN,Omastar,Bug Catcher,3,Viridian Forest,1,1:57.96,1:57,0h1m57s,0,0,0,6,0:07,7.997,WATER GUN,WITHDRAW,HORN ATTACK,,0,581,17,2,2,7,7,6,1,3175,Flareon, ,Rock,Water,334,Omastar 1,Omastar,,00:01:49.96,00:01:57.96,00:07:13.37,6,0,0,1,57,96,WATER GUN,WITHDRAW,HORN ATTACK,,22,40,25,0,0,0,0,0,23,26,14,21,20,20,13,100,85,85,85,85,100,15,15,15,15,0,0,0,0,0,0,0,14,21,20,20,13,27952,19306,6683,0,1963,0,0,0,581,581,0,0,17,4,2,2,0,0,60,51,5,5,6,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,209,0,0,0,0,1,0,0,0,0,0,0,2,0,Flareon
7-23,13:39:10,NINTEN,Omastar,Brock,1,Pewter City - Gym,2,2:19.13,2:19,0h2m19s,0,0,0,9,0:08,8.546,WATER GUN,WITHDRAW,HORN ATTACK,,0,689,22,3,2,9,9,7,1,3275,Flareon, ,Rock,Water,794,Omastar 1,Omastar,Brock,00:02:10.57,00:02:19.13,00:08:37.06,9,0,0,2,19,13,WATER GUN,WITHDRAW,HORN ATTACK,,20,40,25,0,0,0,0,0,31,34,18,30,28,28,17,175,210,345,145,145,190,15,15,15,15,0,0,0,0,0,0,0,18,30,28,28,17,32961,21818,9180,0,1963,0,0,0,689,689,0,0,22,5,3,2,0,0,144,112,5,5,8,2,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,669,0,0,0,0,1,0,0,0,0,0,0,2,0,Flareon
7-23,13:39:45,NINTEN,Omastar,Bug Catcher,4,Route 3,3,2:54.09,2:54,0h2m54s,0,0,0,10,0:10,13.939,WATER GUN,WITHDRAW,HORN ATTACK,,0,770,33,4,2,14,14,10,4,1963,Flareon, ,Rock,Water,1129,Omastar 1,Omastar,,00:02:40.14,00:02:54.09,00:10:55.20,10,0,0,2,54,9,WATER GUN,WITHDRAW,HORN ATTACK,,16,40,24,0,0,0,0,0,33,37,20,33,31,31,19,305,305,445,205,205,330,15,15,15,15,0,0,0,0,-2,0,0,27,33,31,31,9,41255,25792,13500,0,1963,0,0,0,770,770,0,0,33,6,4,2,0,0,248,201,6,6,13,2,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1004,0,0,0,0,1,11,0,0,0,0,0,2,0,Flareon
7-23,13:40:03,NINTEN,Omastar,Youngster Ben,1,Route 3,2,3:11.33,3:11,0h3m11s,0,0,0,11,0:12,14.103,WATER GUN,WITHDRAW,HORN ATTACK,,0,774,34,5,2,19,19,14,4,2063,Flareon, ,Rock,Water,1407,Omastar 1,Omastar,,00:02:57.23,00:03:11.33,00:12:03.27,11,0,0,3,11,33,WATER GUN,WITHDRAW,HORN ATTACK,,13,40,22,0,0,0,0,0,30,40,22,36,34,34,20,370,421,524,270,270,457,15,15,15,15,0,0,0,0,0,0,0,24,36,34,34,20,45342,26015,17364,0,1963,0,0,0,774,774,0,0,34,7,5,2,0,0,319,260,12,12,18,2,13,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1282,0,0,0,0,1,11,0,0,0,0,0,2,0,Flareon
7-23,13:40:17,NINTEN,Omastar,Lass,2,Route 3,2,3:25.46,3:25,0h3m25s,0,0,0,11,0:12,10.115,WATER GUN,WITHDRAW,HORN ATTACK,,0,782,34,6,2,23,23,17,4,2228,Flareon, ,Rock,Water,1655,Omastar 1,Omastar,,00:03:15.34,00:03:25.46,00:12:59.13,11,0,0,3,25,46,WATER GUN,WITHDRAW,HORN ATTACK,,9,40,22,0,0,0,0,0,25,40,22,36,34,34,20,446,534,599,335,335,579,15,15,15,15,0,-1,0,0,0,0,0,27,23,34,34,20,48688,26463,20262,0,1963,0,0,0,782,782,0,0,34,8,6,2,0,0,398,317,17,17,22,2,16,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1530,0,0,0,0,1,11,0,0,0,0,0,2,0,Flareon
7-23,13:40:34,NINTEN,Omastar,Bug Catcher,6,Route 3,2,3:42.31,3:42,0h3m42s,0,0,0,12,0:14,9.649,WATER GUN,WITHDRAW,HORN ATTACK,,0,842,38,7,2,26,26,19,4,2378,Flareon, ,Rock,Water,1948,Omastar 1,Omastar,,00:03:32.66,00:03:42.31,00:14:05.47,12,0,0,3,42,31,WATER GUN,WITHDRAW,HORN ATTACK,,6,40,22,0,0,0,0,0,27,43,23,39,36,36,22,541,584,689,380,380,654,15,15,15,15,0,0,0,0,-1,0,0,25,39,36,36,14,52682,27696,23023,0,1963,0,0,0,842,842,0,0,38,9,7,2,0,0,479,382,18,18,25,2,18,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1823,0,0,0,0,1,11,0,0,0,0,0,2,0,Flareon
7-23,13:41:04,NINTEN,Omastar,Hiker,1,Mt Moon - 1,3,4:13.20,4:13,0h4m13s,0,0,0,13,0:16,10.112,WATER GUN,WITHDRAW,HORN ATTACK,,0,1073,49,8,2,29,29,19,5,2488,Flareon, ,Rock,Water,2545,Omastar 1,Omastar,,00:04:03.08,00:04:13.20,00:16:08.01,13,0,0,4,13,20,WATER GUN,WITHDRAW,HORN ATTACK,,3,40,22,0,0,0,0,0,29,45,25,42,39,39,23,656,789,1049,470,470,764,15,15,15,15,0,0,0,0,0,0,0,28,42,39,39,23,60016,32220,25833,0,1963,0,0,0,1073,1073,0,0,49,10,8,2,0,0,761,468,18,18,28,2,18,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2420,0,0,0,0,2,11,0,0,0,0,0,2,0,Flareon
7-23,13:41:46,NINTEN,Omastar,Fossil Nerd,2,Mt Moon - 3,3,4:54.95,4:54,0h4m54s,0,0,0,14,0:18,28.997,WATER GUN,WITHDRAW,HORN ATTACK,,0,1202,50,9,2,42,42,30,5,2838,Flareon,Poisoned,Rock,Water,3332,Omastar 1,Omastar,,00:04:25.95,00:04:54.95,00:18:53.25,14,0,0,4,54,95,WATER GUN,WITHDRAW,HORN ATTACK,,1,35,16,0,0,0,0,0,25,48,26,45,42,42,25,816,964,1244,625,625,924,15,15,15,15,0,3,0,0,0,0,0,45,112,42,42,25,69940,34833,33144,0,1963,0,0,0,1202,1202,0,0,50,11,9,2,0,0,888,577,25,25,36,7,24,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3207,0,0,0,0,2,11,0,0,0,0,0,2,0,Flareon
7-23,13:42:20,NINTEN,Omastar,Rocket,42,Mt Moon - 3,3,5:28.46,5:28,0h5m28s,0,0,0,15,0:21,22.5,WATER GUN,WITHDRAW,HORN ATTACK,,0,1218,52,10,2,52,52,38,6,3138,Flareon, ,Rock,Water,4067,Omastar 1,Omastar,,00:05:05.96,00:05:28.46,00:21:05.48,15,0,0,5,28,46,WATER GUN,WITHDRAW,HORN ATTACK,,0,33,9,0,0,0,0,0,40,51,28,48,44,44,27,931,1134,1418,765,765,1104,15,15,15,15,0,1,0,0,0,0,0,31,72,44,44,27,77883,36252,38898,770,1963,0,0,0,1218,1218,0,0,52,12,10,2,0,0,1007,687,33,33,44,7,32,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3942,0,0,0,0,2,11,0,0,0,0,0,2,0,Flareon
