date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
4-09,08:07:23,NINTEN,Pidgey,Rival1-Lab,1,Pallet Town - Oak's Lab,1,20.15,20,0h0m20s,0,0,0,6,0:02,3.292,SonicBoom,TACKLE,THUNDERSHOCK,,0,71,2,1,1,2,2,1,0,3000,Jolteon, ,Electric,Electric,222,Pidgey4,Pidgey,Rival (Lab),00:00:16.86,00:00:20.15,00:02:06.45,6,0,0,0,20,15,SonicBoom,TACKLE,THUNDERSHOCK,,19,35,29,0,0,0,0,0,20,23,14,18,21,21,15,55,55,50,65,65,55,15,15,15,15,0,0,0,0,0,0,0,14,18,21,21,15,9532,4779,2798,0,1955,0,0,0,71,71,0,0,2,2,1,1,0,0,27,21,3,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,4,0,Jolteon
4-09,08:08:09,NINTEN,Pidgey,Bug Catcher,3,Viridian Forest,1,1:06.09,1:06,0h1m6s,0,0,0,6,0:08,2.658,SonicBoom,TACKLE,THUNDERSHOCK,,0,624,26,2,3,5,5,3,3,75,Flareon, ,Electric,Electric,334,Pidgey4,Pidgey,,00:01:03.43,00:01:06.09,00:08:09.47,6,0,0,1,6,9,SonicBoom,TACKLE,THUNDERSHOCK,,17,35,30,0,0,0,0,0,20,23,14,18,21,21,15,100,85,85,85,85,100,15,15,15,15,0,0,0,0,0,0,0,14,18,21,21,15,31314,22039,7320,0,1955,0,0,0,624,624,0,0,26,5,2,3,0,0,87,71,6,6,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,97,0,0,0,0,1,13,0,1,1,0,0,4,0,Flareon
4-09,08:08:20,NINTEN,Pidgey,Brock,1,Pewter City - Gym,2,1:17.24,1:17,0h1m17s,0,0,0,9,0:09,5.079,SonicBoom,TACKLE,THUNDERSHOCK,,0,728,27,3,3,9,9,5,3,175,Flareon, ,Electric,Electric,794,Pidgey4,Pidgey,Brock,00:01:12.16,00:01:17.24,00:09:37.43,9,0,0,1,17,24,SonicBoom,TACKLE,THUNDERSHOCK,,13,35,30,0,0,0,0,0,22,30,18,25,29,29,20,175,210,345,145,145,190,15,15,15,15,0,0,0,0,0,0,0,18,25,29,29,20,36590,24411,10224,0,1955,0,0,0,728,728,0,0,27,6,3,3,0,0,167,132,11,11,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,669,0,0,0,0,1,13,0,1,1,0,0,4,0,Flareon
4-09,08:08:34,NINTEN,Pidgey,Bug Catcher,4,Route 3,3,1:30.95,1:30,0h1m30s,0,0,0,10,0:11,7.205,THUNDERSHOCK,TACKLE,SonicBoom,,0,799,28,4,3,15,15,10,4,1363,Flareon, ,Electric,Electric,1129,Pidgey4,Pidgey,,00:01:23.74,00:01:30.95,00:11:26.06,10,0,0,1,30,95,THUNDERSHOCK,TACKLE,SonicBoom,,24,35,13,0,0,0,0,0,18,33,20,27,32,32,22,305,305,445,205,205,330,15,15,15,15,0,0,0,0,-1,0,0,22,27,32,32,14,43093,26481,14657,0,1955,0,0,0,799,799,0,0,28,7,4,3,0,0,281,221,18,18,15,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,892,0,0,0,0,1,13,0,1,1,0,0,4,0,Flareon
4-09,08:08:41,NINTEN,Pidgey,Youngster Ben,1,Route 3,2,1:37.77,1:37,0h1m37s,0,0,0,11,0:12,5.193,THUNDERSHOCK,TACKLE,SonicBoom,,0,803,28,5,3,19,19,13,4,1463,Flareon, ,Electric,Electric,1407,Pidgey4,Pidgey,,00:01:32.58,00:01:37.77,00:12:19.52,11,0,0,1,37,77,THUNDERSHOCK,TACKLE,SonicBoom,,20,35,13,0,0,0,0,0,10,35,22,29,35,35,24,370,421,524,270,270,457,15,15,15,15,0,-1,0,0,0,0,0,24,19,35,35,24,46319,26747,17617,0,1955,0,0,0,803,803,0,0,28,8,5,3,0,0,350,280,28,28,19,1,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1282,0,0,0,0,1,13,0,1,1,0,0,4,0,Flareon
4-09,08:08:51,NINTEN,Pidgey,Bug Catcher,5,Route 3,4,1:48.28,1:48,0h1m48s,0,0,0,12,0:13,8.183,THUNDERSHOCK,TACKLE,SonicBoom,,0,807,29,6,3,26,26,15,4,1628,Flareon, ,Electric,Electric,1882,Pidgey4,Pidgey,,00:01:40.10,00:01:48.28,00:13:42.43,12,0,0,1,48,28,THUNDERSHOCK,TACKLE,SonicBoom,,15,33,13,0,0,0,0,0,33,38,23,32,37,37,26,550,531,694,360,360,617,15,15,15,15,0,0,0,0,0,0,0,25,32,37,37,26,51290,26975,21990,370,1955,0,0,0,807,807,0,0,29,9,6,3,0,0,509,392,28,28,26,2,11,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,13,1619,0,0,0,0,1,13,0,1,1,0,0,4,0,Flareon
4-09,08:08:58,NINTEN,Pidgey,Bug Catcher,6,Route 3,2,1:54.71,1:54,0h1m54s,0,0,0,12,0:14,4.361,THUNDERSHOCK,TACKLE,SonicBoom,,0,815,30,7,3,30,30,17,4,1718,Flareon, ,Electric,Electric,2175,Pidgey4,Pidgey,,00:01:50.35,00:01:54.71,00:14:33.19,12,0,0,1,54,71,THUNDERSHOCK,TACKLE,SonicBoom,,11,33,13,0,0,0,0,0,31,38,23,32,37,37,26,645,581,784,405,405,692,15,15,15,15,0,0,0,0,0,0,0,25,32,37,37,26,54326,27415,24586,370,1955,0,0,0,815,815,0,0,30,10,7,3,0,0,602,457,30,30,30,2,12,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,15,2050,0,0,0,0,1,13,0,1,1,0,0,4,0,Flareon
4-09,08:09:22,NINTEN,Pidgey,Fossil Nerd,2,Mt Moon - 3,3,2:19.49,2:19,0h2m19s,0,0,0,14,0:17,9.309,THUNDERSHOCK,TACKLE,SonicBoom,,0,1167,42,8,3,38,38,23,5,1828,Flareon, ,Electric,Electric,2962,Pidgey4,Pidgey,,00:02:10.18,00:02:19.49,00:17:49.37,14,0,0,2,19,49,THUNDERSHOCK,TACKLE,SonicBoom,,10,33,6,0,0,0,0,0,20,43,26,36,43,43,29,805,756,979,560,560,852,15,15,15,15,0,-6,0,0,0,0,0,29,9,43,43,29,66104,34357,29422,370,1955,0,0,0,1167,1167,0,0,42,11,8,3,0,0,738,566,46,46,37,3,18,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,18,2837,0,0,0,0,2,13,0,1,1,0,0,4,0,Flareon
4-09,08:09:34,NINTEN,Pidgey,Rocket,42,Mt Moon - 3,3,2:30.97,2:30,0h2m30s,0,0,0,15,0:19,6.823,THUNDERSHOCK,TACKLE,SonicBoom,,0,1183,43,9,3,44,44,26,6,2128,Flareon, ,Electric,Electric,3697,Pidgey4,Pidgey,,00:02:24.15,00:02:30.97,00:19:20.17,15,0,0,2,30,97,THUNDERSHOCK,TACKLE,SonicBoom,,6,33,4,0,0,0,0,0,29,45,28,39,46,46,31,920,926,1153,700,700,1032,15,15,15,15,0,0,0,0,0,0,0,31,39,46,46,31,71544,35803,33068,718,1955,0,0,0,1183,1183,0,0,43,12,9,3,0,0,854,676,59,59,43,3,21,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,21,3572,0,0,0,0,2,13,0,1,1,0,0,4,0,Flareon
4-09,08:10:00,NINTEN,Pidgey,Rival2-Nugget Bridge,3,Cerulean City,4,2:57.46,2:57,0h2m57s,0,0,0,16,0:22,12.742,THUNDERSHOCK,TACKLE,SonicBoom,,1,1363,47,10,3,57,57,37,6,2548,Flareon, ,Electric,Electric,4735,Pidgey4,Pidgey,Rival (Nugget Bridge),00:02:44.71,00:02:57.46,00:22:49.30,16,0,0,2,57,46,THUNDERSHOCK,TACKLE,SonicBoom,,26,34,12,0,0,0,0,0,11,48,30,41,49,49,33,1095,1172,1353,851,851,1269,15,15,15,15,0,-2,0,0,0,-1,0,41,20,49,49,33,84097,41259,39621,1262,1955,1,0,0,1363,1363,0,0,47,13,10,3,0,0,1159,847,96,96,53,8,30,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,25,4610,0,0,0,0,3,13,0,1,1,0,0,4,0,Flareon
