date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
9-24,13:03:03,NINTEN,Pikachu,Rival1-Lab,1,Pallet Town - Oak's Lab,1,42.91,42,0h0m42s,0,0,0,6,0:02,9.788,THUNDERSHOCK,GROWL,TAIL WHIP,,0,71,7,1,1,4,4,3,0,3000,Jolteon, ,Electric,Electric,222,Pikachu2,Pikachu,Rival (Lab),00:00:33.12,00:00:42.91,00:02:15.12,6,0,0,0,42,91,THUNDERSHOCK,GROWL,TAIL WHIP,,26,40,30,0,0,0,0,0,10,22,13,10,12,12,17,55,55,50,65,65,55,15,15,15,15,0,-1,0,0,0,0,0,13,6,12,12,17,10122,4563,3521,0,2038,0,0,0,71,71,0,0,7,2,1,1,0,0,23,21,12,12,4,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,2,0,Jolteon
9-24,13:05:30,NINTEN,Pikachu,Rival1a-Route 22,2,Route 22,2,3:09.88,3:09,0h3m9s,0,0,0,9,0:11,13.652,THUNDERSHOCK,GROWL,TAIL WHIP,THUNDER WAVE,1,546,37,2,14,29,29,12,4,75,Flareon, ,Electric,Electric,825,Pikachu2,Pikachu,Rival (Optional),00:02:56.23,00:03:09.88,00:11:45.33,9,0,0,3,9,88,THUNDERSHOCK,GROWL,TAIL WHIP,THUNDER WAVE,23,40,30,19,0,0,0,0,28,28,18,13,17,17,24,630,799,630,576,576,972,15,15,15,15,-1,-2,0,0,0,0,0,11,6,17,17,24,44343,20783,20983,539,2038,1,0,0,546,546,0,0,37,16,2,14,0,0,382,280,26,26,29,1,11,0,0,0,0,0,6,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,16,700,0,0,0,0,0,13,0,0,0,2,0,2,0,Flareon
9-24,13:06:18,NINTEN,Pikachu,Lass,19,Viridian Forest,2,3:58.16,3:58,0h3m58s,0,0,0,10,0:14,12.015,THUNDERSHOCK,GROWL,TAIL WHIP,THUNDER WAVE,1,713,43,3,16,37,37,17,4,355,Jolteon, ,Electric,Electric,1017,Pikachu2,Pikachu,,00:03:46.14,00:03:58.16,00:14:54.59,10,0,0,3,58,16,THUNDERSHOCK,GROWL,TAIL WHIP,THUNDER WAVE,22,40,30,20,0,0,0,0,27,30,19,14,18,18,26,781,923,777,681,681,1093,15,15,15,15,-2,-1,0,0,0,0,0,9,9,18,18,26,55709,26731,26401,539,2038,1,0,0,713,713,0,0,43,19,3,16,0,0,479,343,29,29,37,1,15,0,0,0,0,0,7,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,19,892,0,0,0,0,0,13,0,0,0,2,0,2,0,Jolteon
9-24,13:06:36,NINTEN,Pikachu,Bug Catcher,1,Viridian Forest,2,4:15.49,4:15,0h4m15s,0,0,0,10,0:16,7.409,THUNDERSHOCK,GROWL,TAIL WHIP,THUNDER WAVE,1,751,44,4,17,41,41,18,4,445,Jolteon, ,Electric,Electric,1237,Pikachu2,Pikachu,,00:04:08.08,00:04:15.49,00:16:02.04,10,0,0,4,15,49,THUNDERSHOCK,GROWL,TAIL WHIP,THUNDER WAVE,18,40,30,20,0,0,0,0,27,30,19,14,18,18,26,911,1028,887,756,756,1239,15,15,15,15,0,0,0,0,-1,0,0,19,14,18,18,17,59734,27728,29429,539,2038,1,0,0,751,751,0,0,44,21,4,17,0,0,585,416,29,29,41,1,16,0,0,0,0,0,9,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,22,1112,0,0,0,0,0,13,0,0,0,2,0,2,0,Jolteon
9-24,13:07:06,NINTEN,Pikachu,Bug Catcher,2,Viridian Forest,3,4:45.91,4:45,0h4m45s,0,0,0,11,0:18,12.012,THUNDERSHOCK,GROWL,TAIL WHIP,QUICK ATTACK,1,765,44,5,19,50,50,22,4,515,Jolteon, ,Electric,Electric,1588,Pikachu2,Pikachu,,00:04:33.89,00:04:45.91,00:18:00.17,11,0,0,4,45,91,THUNDERSHOCK,GROWL,TAIL WHIP,QUICK ATTACK,9,40,30,30,0,0,0,0,29,32,21,15,20,20,29,1156,1138,1142,876,876,1404,15,15,15,15,0,0,0,0,-1,0,0,21,15,20,20,19,66827,28268,35982,539,2038,1,0,0,765,765,0,0,44,24,5,19,0,0,763,523,29,29,50,1,17,0,0,0,0,0,10,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,27,1463,0,0,0,0,0,13,0,0,0,3,0,2,0,Jolteon
9-24,13:07:26,NINTEN,Pikachu,Bug Catcher,15,Viridian Forest,2,5:05.66,5:05,0h5m5s,0,0,0,12,0:19,9.522,THUNDERSHOCK,GROWL,TAIL WHIP,QUICK ATTACK,1,800,50,6,20,55,55,24,4,575,Jolteon, ,Electric,Electric,1842,Pikachu2,Pikachu,,00:04:56.14,00:05:05.66,00:19:16.58,12,0,0,5,5,66,THUNDERSHOCK,GROWL,TAIL WHIP,QUICK ATTACK,4,40,30,30,0,0,0,0,29,35,22,16,21,21,31,1301,1208,1287,946,946,1509,15,15,15,15,0,0,0,0,-1,0,0,22,16,21,21,20,71428,29364,39487,539,2038,1,0,0,800,800,0,0,50,26,6,20,0,0,853,594,32,32,55,1,19,0,0,0,0,0,11,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,30,1717,0,0,0,0,1,13,0,0,0,3,0,2,0,Jolteon
9-24,13:08:03,NINTEN,Pikachu,Bug Catcher,3,Viridian Forest,1,5:42.44,5:42,0h5m42s,0,1,1,12,0:21,5.169,THUNDERSHOCK,GROWL,TAIL WHIP,QUICK ATTACK,1,872,53,7,24,63,63,28,3,655,Jolteon, ,Electric,Electric,2047,Pikachu2,Pikachu,,00:05:37.27,00:05:42.44,00:21:38.48,12,0,0,5,42,44,THUNDERSHOCK,GROWL,TAIL WHIP,QUICK ATTACK,0,40,30,26,0,0,0,0,17,35,22,16,21,21,31,1486,1318,1447,1031,1031,1674,15,15,15,15,0,0,0,0,0,0,0,22,16,21,21,31,79938,30954,46407,539,2038,1,0,0,872,872,0,0,53,31,7,24,0,0,1007,697,44,44,63,2,22,0,0,0,0,0,13,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,34,1922,0,0,0,0,2,13,0,1,1,3,1,2,1,Jolteon
9-24,13:11:26,NINTEN,Pikachu,Jr Trainer M,1,Pewter City - Gym,2,9:06.29,9:06,0h9m6s,0,1,1,15,0:34,13.201,THUNDERSHOCK,GROWL,TAIL WHIP,QUICK ATTACK,1,1423,76,8,57,105,105,35,3,755,Jolteon, ,Electric,Electric,3715,Pikachu2,Pikachu,,00:08:53.09,00:09:06.29,00:34:39.25,15,0,0,9,6,29,THUNDERSHOCK,GROWL,TAIL WHIP,QUICK ATTACK,30,40,30,24,0,0,0,0,19,41,27,20,26,26,38,3034,2553,2947,2001,2001,3321,15,15,15,15,0,0,0,0,0,0,0,27,20,26,26,38,126775,43744,80454,539,2038,1,0,0,1423,1423,0,0,76,65,8,57,0,0,2154,1382,69,69,105,2,28,0,0,0,0,0,17,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,69,3590,0,0,0,0,2,13,0,1,1,3,1,2,1,Jolteon
9-24,13:12:35,NINTEN,Pikachu,Brock,1,Pewter City - Gym,2,10:14.84,10:14,0h10m14s,0,1,1,16,0:39,58.672,THUNDERSHOCK,GROWL,TAIL WHIP,QUICK ATTACK,2,1427,77,9,57,140,133,55,3,935,Jolteon, ,Electric,Electric,4175,Pikachu2,Pikachu,Brock,00:09:16.17,00:10:14.84,00:39:10.50,16,0,0,10,14,84,THUNDERSHOCK,GROWL,TAIL WHIP,QUICK ATTACK,30,30,22,14,0,0,0,0,14,44,29,21,27,27,40,3109,2678,3207,2061,2061,3411,15,15,15,15,0,-6,0,0,0,0,0,29,5,27,27,40,143060,44327,95000,1695,2038,2,0,0,1427,1427,0,0,77,66,9,57,0,0,2220,1443,99,99,133,7,43,0,0,0,0,0,17,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,71,4050,0,0,0,0,2,13,0,1,1,3,1,2,1,Jolteon
9-24,13:13:07,NINTEN,Pikachu,Bug Catcher,4,Route 3,3,10:46.49,10:46,0h10m46s,0,1,1,16,0:41,15.509,THUNDERSHOCK,GROWL,TAIL WHIP,QUICK ATTACK,2,1512,79,10,57,146,139,58,4,2123,Jolteon,Poisoned,Electric,Electric,4510,Pikachu2,Pikachu,,00:10:30.98,00:10:46.49,00:41:15.18,16,0,0,10,46,49,THUNDERSHOCK,GROWL,TAIL WHIP,QUICK ATTACK,27,30,22,11,0,0,0,0,23,44,29,21,27,27,40,3239,2773,3307,2121,2121,3551,15,15,15,15,0,0,0,0,0,0,0,32,21,27,27,40,150528,46726,99663,2101,2038,2,0,0,1512,1512,0,0,79,67,10,57,0,0,2343,1532,110,110,139,7,46,0,0,0,0,0,17,0,2,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,74,4385,0,0,0,0,2,13,0,1,1,3,1,2,1,Jolteon
