ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Pikachu7,Pikachu,Rival (Lab),00:00:33.59,00:00:43.13,00:02:17.07,6,0,0,0,43,13,THUNDERSHOCK,GROWL,TAIL WHIP,,13,10,12,12,17,0,-1,0,0,0,0,0,13,6,12,12,17,10169,4745,3454,0,1970,0,0,0,71,71,0,0,1,2,1,1,0,0,25,21,6,6,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,7,0,Jolteon
Pikachu7,Pikachu,Rival (Optional),00:02:16.21,00:02:29.88,00:09:13.47,8,0,0,2,29,88,THUNDERSHOCK,GROWL,TAIL WHIP,THUNDER WAVE,16,12,15,15,22,0,-1,0,0,0,0,0,16,7,15,15,22,35169,19882,13317,0,1970,0,0,0,475,475,0,0,25,9,2,7,0,0,233,171,35,35,20,3,9,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,520,0,0,0,0,0,13,0,0,0,1,0,7,0,Flareon
Pikachu7,Pikachu,Brock,00:08:28.56,00:09:19.14,00:35:33.34,15,0,0,9,19,14,THUNDERSHOCK,GROWL,TAIL WHIP,QUICK ATTACK,27,20,26,26,38,0,-2,0,0,0,0,0,27,10,26,26,38,129956,45428,81585,973,1970,1,0,0,1456,1456,0,0,60,58,9,49,0,0,2073,1313,99,99,123,12,39,0,0,0,0,0,24,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,64,3933,0,0,0,0,3,13,0,0,0,3,0,7,0,Jolteon
Pikachu7,Pikachu,Misty,00:15:38.80,00:15:49.01,01:00:56.44,23,0,0,15,49,1,THUNDERSHOCK,MEGA PUNCH,TAIL WHIP,QUICK ATTACK,40,29,38,38,57,0,0,0,0,0,0,0,45,29,38,38,57,221346,70150,142954,6272,1970,1,0,0,2206,2206,0,0,135,80,31,49,0,0,4301,2921,351,316,208,16,76,0,0,0,0,0,36,0,8,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,110,13167,0,0,0,0,6,13,0,0,0,4,1,7,1,Jolteon
Pikachu7,Pikachu,Rival (Nugget Bridge),00:16:11.11,00:16:32.90,01:03:49.21,24,0,0,16,32,90,THUNDERSHOCK,MEGA PUNCH,TAIL WHIP,QUICK ATTACK,42,30,39,39,59,-1,-1,0,0,0,-4,0,41,19,39,39,59,231703,74754,148707,6272,1970,1,0,0,2308,2308,0,0,138,81,32,49,0,0,4539,3092,358,323,214,23,83,0,0,0,0,0,38,0,8,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,114,14205,0,0,0,0,7,13,0,0,0,4,1,7,1,Jolteon
Pikachu7,Pikachu,Oddish Lass,00:19:55.24,00:20:09.14,01:17:55.01,27,0,0,20,9,14,THUNDERBOLT,SEISMIC TOSS,THUNDERSHOCK,QUICK ATTACK,47,34,44,44,67,0,0,0,0,0,0,0,52,34,44,44,67,282443,86160,185752,8561,1970,1,0,0,2566,2566,0,0,171,94,45,49,0,0,6411,4193,458,423,262,28,102,0,0,0,0,0,47,0,11,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,142,19992,0,0,0,0,9,13,0,0,0,6,1,7,1,Jolteon
Pikachu7,Pikachu,Rocket,00:20:40.96,00:20:48.97,01:20:27.34,27,0,0,20,48,97,THUNDERBOLT,SEISMIC TOSS,THUNDERSHOCK,QUICK ATTACK,47,34,44,44,67,0,0,0,0,0,0,0,52,34,44,44,67,291596,92971,188094,8561,1970,1,0,0,2713,2713,0,0,190,95,46,49,0,0,6606,4296,458,423,265,28,102,0,0,0,0,0,48,0,11,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,2,0,0,1,144,20681,0,0,0,0,10,13,0,0,0,6,1,7,1,Jolteon
Pikachu7,Pikachu,Rival (SS Anne),00:23:38.04,00:23:51.08,01:32:17.30,30,0,0,23,51,8,THUNDERBOLT,SEISMIC TOSS,THUNDERSHOCK,BODY SLAM,53,38,49,49,74,0,0,0,0,0,0,0,59,38,49,49,74,334192,108925,211605,11692,1970,1,0,0,3170,3170,0,0,235,106,57,49,0,0,9105,5393,480,445,291,28,105,0,0,0,0,0,55,0,11,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,2,0,0,1,169,28854,0,0,0,0,16,26,0,0,0,7,1,7,1,Jolteon
Pikachu7,Pikachu,Lt. Surge,00:24:49.27,00:24:56.00,01:35:42.45,30,1,0,24,56,0,THUNDERBOLT,SEISMIC TOSS,THUNDERSHOCK,BODY SLAM,53,38,49,49,74,0,0,0,0,0,0,0,59,38,49,49,74,346513,115458,213720,15207,2128,2,1,0,3347,3347,0,0,252,107,58,49,0,0,9192,5469,510,475,293,28,106,0,0,0,0,0,56,0,11,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,2,0,0,1,170,29586,0,0,0,0,16,26,0,0,0,9,1,7,2,Jolteon
Pikachu7,Pikachu,RTG1 - Wrapping Lass,00:25:42.17,00:25:53.26,01:39:26.09,31,1,0,25,53,26,THUNDERBOLT,SEISMIC TOSS,THUNDERSHOCK,BODY SLAM,55,40,51,51,77,0,0,0,0,0,0,0,61,45,51,51,77,359917,123863,216909,17017,2128,2,1,0,3537,3485,52,0,268,108,59,49,0,0,9472,5659,510,475,297,28,106,0,0,0,0,0,57,0,11,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,2,0,0,1,174,30834,0,0,0,0,16,26,0,0,0,9,1,7,2,Jolteon
