date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
6-26,20:20:20,NINTEN,Poliwag,Rival1-Lab,1,Pallet Town - Oak's Lab,1,45.11,45,0h0m45s,0,0,0,6,0:02,11.348,BUBBLE,,,,0,71,7,1,1,6,6,5,0,3000,Jolteon, ,Water,Water,232,Poliwag13,Poliwag,Rival (Lab),00:00:33.76,00:00:45.11,00:02:26.08,6,0,0,0,45,11,BUBBLE,,,,24,0,0,0,0,0,0,0,22,22,12,11,11,11,17,55,55,50,65,65,55,15,15,15,15,0,-5,0,0,0,0,0,12,3,11,11,17,10682,4809,3931,0,1942,0,0,0,71,71,0,0,7,2,1,1,0,0,22,21,0,0,6,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,13,0,Jolteon
6-26,20:21:46,NINTEN,Poliwag,Bug Catcher,1,Viridian Forest,2,2:10.26,2:10,0h2m10s,0,0,0,8,0:08,16.952,BUBBLE,,,,0,512,25,2,2,15,15,12,4,75,Flareon, ,Water,Water,390,Poliwag13,Poliwag,,00:01:53.30,00:02:10.26,00:08:02.34,8,0,0,2,10,26,BUBBLE,,,,21,0,0,0,0,0,0,0,18,27,15,13,13,13,22,145,115,120,105,105,145,15,15,15,15,0,0,0,0,-3,0,0,15,13,13,13,8,30868,19572,9354,0,1942,0,0,0,512,512,0,0,25,4,2,2,0,0,73,69,9,9,15,1,11,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,255,0,0,0,0,0,13,0,0,0,0,0,13,0,Flareon
6-26,20:22:10,NINTEN,Poliwag,Bug Catcher,2,Viridian Forest,3,2:35.13,2:35,0h2m35s,0,0,0,10,0:09,21.039,BUBBLE,,,,0,530,26,3,2,27,27,21,4,145,Flareon, ,Water,Water,639,Poliwag13,Poliwag,,00:02:14.10,00:02:35.13,00:09:41.00,10,0,0,2,35,13,BUBBLE,,,,9,0,0,0,0,0,0,0,22,31,18,16,16,16,26,290,185,265,175,175,250,15,15,15,15,0,0,0,0,-3,0,0,18,16,16,16,10,36774,20045,14787,0,1942,0,0,0,530,530,0,0,26,5,3,2,0,0,149,135,9,9,27,1,14,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,504,0,0,0,0,0,13,0,0,0,0,0,13,0,Flareon
6-26,20:22:40,NINTEN,Poliwag,Bug Catcher,15,Viridian Forest,2,3:05.16,3:05,0h3m5s,0,0,0,11,0:11,13.436,BUBBLE,,,,0,567,30,4,3,36,36,28,3,205,Flareon, ,Water,Water,852,Poliwag13,Poliwag,,00:02:51.72,00:03:05.16,00:11:39.28,11,0,0,3,5,16,BUBBLE,,,,0,0,0,0,0,0,0,0,25,33,19,17,17,17,28,385,235,355,220,220,325,15,15,15,15,0,0,0,0,0,0,0,19,17,17,17,28,43882,21002,20592,346,1942,0,0,0,567,567,0,0,30,7,4,3,0,0,216,200,22,22,36,1,19,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,717,0,0,0,0,1,13,0,1,1,0,0,13,0,Flareon
6-26,20:22:59,NINTEN,Poliwag,Bug Catcher,3,Viridian Forest,1,3:23.48,3:23,0h3m23s,0,0,0,11,0:12,9.026,BUBBLE,,,,0,617,30,5,3,40,40,31,3,285,Flareon, ,Water,Water,964,Poliwag13,Poliwag,,00:03:14.46,00:03:23.48,00:12:51.50,11,0,0,3,23,48,BUBBLE,,,,0,0,0,0,0,0,0,0,17,33,19,17,17,17,28,430,265,390,240,240,370,15,15,15,15,0,0,0,0,0,0,0,19,17,17,17,28,48224,22421,23153,708,1942,0,0,0,617,617,0,0,30,8,5,3,0,0,251,230,38,38,40,3,20,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,829,0,0,0,0,2,13,0,1,1,0,0,13,0,Flareon
6-26,20:23:26,NINTEN,Poliwag,Jr Trainer M,1,Pewter City - Gym,2,3:50.84,3:50,0h3m50s,0,0,0,13,0:14,10.828,BUBBLE,,,,0,733,32,6,3,44,44,33,3,385,Flareon, ,Water,Water,1298,Poliwag13,Poliwag,,00:03:40.00,00:03:50.84,00:14:39.38,13,0,0,3,50,84,BUBBLE,,,,26,0,0,0,0,0,0,0,28,37,22,19,19,19,32,490,395,500,315,315,505,15,15,15,15,0,0,0,0,0,0,0,22,19,19,19,32,54692,25779,26263,708,1942,0,0,0,733,733,0,0,32,9,6,3,0,0,316,281,47,47,44,3,22,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1163,0,0,0,0,2,13,0,1,1,0,0,13,0,Flareon
6-26,20:23:40,NINTEN,Poliwag,Brock,1,Pewter City - Gym,2,4:04.55,4:04,0h4m4s,0,0,0,14,0:15,9.194,BUBBLE,,,,0,737,33,7,3,48,47,34,3,565,Flareon, ,Water,Water,1758,Poliwag13,Poliwag,Brock,00:03:55.35,00:04:04.55,00:15:33.48,14,0,0,4,4,55,BUBBLE,,,,23,0,0,0,0,0,0,0,27,40,23,21,21,21,35,565,520,760,375,375,595,15,15,15,15,0,0,0,0,0,0,0,23,21,21,21,35,57942,26256,29036,708,1942,0,0,0,737,737,0,0,33,10,7,3,0,0,404,342,51,51,47,3,23,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1623,0,0,0,0,2,13,0,1,1,0,0,13,0,Flareon
6-26,20:24:10,NINTEN,Poliwag,Bug Catcher,4,Route 3,3,4:34.28,4:34,0h4m34s,0,0,0,15,0:17,16.414,BUBBLE,,,,0,810,33,8,3,57,56,40,4,1753,Flareon, ,Water,Water,2093,Poliwag13,Poliwag,,00:04:17.87,00:04:34.28,00:17:31.23,15,0,0,4,34,28,BUBBLE,,,,14,0,0,0,0,0,0,0,17,42,25,22,22,22,37,695,615,860,435,435,735,15,15,15,15,0,0,0,0,0,0,0,28,22,22,22,37,64997,28414,33933,708,1942,0,0,0,810,810,0,0,33,11,8,3,0,0,505,431,63,63,56,5,27,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1958,0,0,0,0,2,13,0,1,1,0,0,13,0,Flareon
6-26,20:24:41,NINTEN,Poliwag,Youngster Ben,1,Route 3,2,5:05.36,5:05,0h5m5s,0,0,0,15,0:19,15.278,BUBBLE,,,,0,924,41,9,3,65,63,45,4,1853,Flareon,Poisoned,Water,Water,2371,Poliwag13,Poliwag,,00:04:50.08,00:05:05.36,00:19:34.15,15,0,0,5,5,36,BUBBLE,,,,23,0,0,0,0,0,0,0,11,42,25,22,22,22,37,760,731,939,500,500,862,15,15,15,15,0,0,0,0,0,0,0,28,22,22,22,37,72369,31641,38078,708,1942,0,0,0,924,924,0,0,41,12,9,3,0,0,576,490,94,94,63,5,32,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2236,0,0,0,0,2,13,0,1,1,0,0,13,0,Flareon
6-26,20:25:03,NINTEN,Poliwag,Lass,2,Route 3,2,5:28.12,5:28,0h5m28s,0,0,0,16,0:21,14.768,BUBBLE,HYPNOSIS,,,0,930,42,10,3,72,70,50,4,2018,Flareon, ,Water,Water,2619,Poliwag13,Poliwag,,00:05:13.35,00:05:28.12,00:21:03.40,16,0,0,5,28,12,BUBBLE,HYPNOSIS,,,16,20,0,0,0,0,0,0,9,44,26,23,23,23,39,836,844,1014,565,565,984,15,15,15,15,0,-2,0,0,0,0,0,29,11,23,23,39,77734,32091,42100,1601,1942,0,0,0,930,930,0,0,42,13,10,3,0,0,644,547,129,129,70,5,37,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2484,0,0,0,0,2,13,0,1,1,0,0,13,0,Flareon
