date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
6-27,11:18:21,NINTEN,Poliwag,Rival1-Lab,1,Pallet Town - Oak's Lab,1,19.87,19,0h0m19s,1,0,1,6,0:02,5.593,BUBBLE,,,,0,71,16,1,1,5,5,4,0,3000,Jolteon, ,Water,Water,232,Poliwag13,Poliwag,Rival (Lab),00:00:14.28,00:00:19.87,00:02:21.44,6,1,0,0,19,87,BUBBLE,,,,25,0,0,0,0,0,0,0,6,22,12,11,11,11,17,55,55,50,65,65,55,15,15,15,15,0,-2,0,0,0,0,0,12,5,11,11,17,10542,4874,3602,0,2066,0,0,0,71,71,0,0,16,2,1,1,0,0,22,21,16,16,5,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,13,1,Jolteon
6-27,11:19:28,NINTEN,Poliwag,Rival1-Lab,1,Pallet Town - Oak's Lab,1,44.54,44,0h0m44s,0,0,0,6,0:02,9.979,BUBBLE,,,,0,71,16,1,1,5,5,4,0,3000,Jolteon, ,Water,Water,232,Poliwag13,Poliwag,Rival (Lab),00:00:34.56,00:00:44.54,00:02:21.40,6,0,0,0,44,54,BUBBLE,,,,25,0,0,0,0,0,0,0,6,22,12,11,11,11,17,55,55,50,65,65,55,15,15,15,15,0,-2,0,0,0,0,0,12,5,11,11,17,10538,4874,3598,0,2066,0,0,0,71,71,0,0,16,2,1,1,0,0,22,21,16,16,5,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,13,0,Jolteon
6-27,11:21:00,NINTEN,Poliwag,Bug Catcher,2,Viridian Forest,3,2:17.14,2:17,0h2m17s,0,0,0,9,0:08,21.843,BUBBLE,,,,0,540,39,2,2,18,18,14,4,75,Flareon, ,Water,Water,481,Poliwag13,Poliwag,,00:01:55.29,00:02:17.14,00:08:27.40,9,0,0,2,17,14,BUBBLE,,,,17,0,0,0,0,0,0,0,25,29,16,15,15,15,24,200,125,195,135,135,160,15,15,15,15,0,0,0,0,0,0,0,16,15,15,15,24,32498,20236,10196,0,2066,0,0,0,540,540,0,0,39,4,2,2,0,0,102,87,20,20,18,1,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,346,0,0,0,0,0,13,0,0,0,0,0,13,0,Flareon
6-27,11:21:32,NINTEN,Poliwag,Bug Catcher,3,Viridian Forest,1,2:48.43,2:48,0h2m48s,0,0,0,10,0:10,9.343,BUBBLE,,,,0,631,40,3,3,25,25,20,3,135,Flareon, ,Water,Water,593,Poliwag13,Poliwag,,00:02:39.08,00:02:48.43,00:10:31.17,10,0,0,2,48,43,BUBBLE,,,,10,0,0,0,0,0,0,0,23,31,18,16,16,16,26,245,155,230,155,155,205,15,15,15,15,0,0,0,0,-1,0,0,18,16,16,16,17,39915,22241,15226,382,2066,0,0,0,631,631,0,0,40,6,3,3,0,0,151,133,34,34,25,2,11,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,458,0,0,0,0,1,13,0,1,1,0,0,13,0,Flareon
6-27,11:21:56,NINTEN,Poliwag,Jr Trainer M,1,Pewter City - Gym,2,3:12.51,3:12,0h3m12s,0,0,0,11,0:12,12.997,BUBBLE,,,,0,727,40,4,3,31,31,24,3,235,Flareon, ,Water,Water,927,Poliwag13,Poliwag,,00:02:59.52,00:03:12.51,00:12:06.18,11,0,0,3,12,51,BUBBLE,,,,4,0,0,0,0,0,0,0,2,33,19,17,17,17,28,305,285,340,230,230,340,15,15,15,15,0,0,0,0,0,0,0,19,17,17,17,28,45616,24317,18851,382,2066,0,0,0,727,727,0,0,40,7,4,3,0,0,223,184,57,57,31,2,15,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,792,0,0,0,0,1,13,0,1,1,0,0,13,0,Flareon
6-27,11:22:11,NINTEN,Poliwag,Brock,1,Pewter City - Gym,2,3:28.07,3:28,0h3m28s,0,0,0,13,0:13,7.909,BUBBLE,,,,0,731,41,5,3,33,33,24,3,415,Flareon, ,Water,Water,1387,Poliwag13,Poliwag,Brock,00:03:20.16,00:03:28.07,00:13:07.23,13,0,0,3,28,7,BUBBLE,,,,2,0,0,0,0,0,0,0,37,37,22,20,19,19,32,380,410,600,290,290,430,15,15,15,15,0,0,0,0,0,0,0,22,20,19,19,32,49281,24957,21306,952,2066,0,0,0,731,731,0,0,41,8,5,3,0,0,297,245,57,57,33,2,15,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1252,0,0,0,0,1,13,0,1,1,0,0,13,0,Flareon
6-27,11:22:49,NINTEN,Poliwag,Bug Catcher,4,Route 3,3,4:06.24,4:06,0h4m6s,0,0,0,14,0:15,18.022,BUBBLE,,,,0,842,41,6,3,43,43,31,4,1603,Flareon, ,Water,Water,1722,Poliwag13,Poliwag,,00:03:48.21,00:04:06.24,00:15:38.21,14,0,0,4,6,24,BUBBLE,,,,20,0,0,0,0,0,0,0,34,40,23,21,20,20,35,510,505,700,350,350,570,15,15,15,15,0,0,0,0,-4,0,0,25,21,20,20,11,58339,28713,26608,952,2066,0,0,0,842,842,0,0,41,9,6,3,0,0,393,334,63,63,43,3,21,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1587,0,0,0,0,1,13,0,1,1,0,0,13,0,Flareon
6-27,11:23:07,NINTEN,Poliwag,Youngster Ben,1,Route 3,2,4:23.56,4:23,0h4m23s,0,0,0,14,0:16,13.759,BUBBLE,,,,0,846,41,7,3,51,51,37,4,1703,Flareon, ,Water,Water,2000,Poliwag13,Poliwag,,00:04:09.81,00:04:23.56,00:16:46.49,14,0,0,4,23,56,BUBBLE,,,,12,0,0,0,0,0,0,0,23,40,23,21,20,20,35,575,621,779,415,415,697,15,15,15,15,0,-3,0,0,0,0,0,34,8,20,20,35,62447,29043,30386,952,2066,0,0,0,846,846,0,0,41,10,7,3,0,0,456,393,74,74,51,4,26,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1865,0,0,0,0,1,13,0,1,1,0,0,13,0,Flareon
6-27,11:23:27,NINTEN,Poliwag,Lass,2,Route 3,2,4:44.19,4:44,0h4m44s,0,0,0,15,0:18,14.744,BUBBLE,,,,0,852,42,8,3,59,59,44,4,1868,Flareon, ,Water,Water,2248,Poliwag13,Poliwag,,00:04:29.45,00:04:44.19,00:18:08.07,15,0,0,4,44,19,BUBBLE,,,,4,0,0,0,0,0,0,0,3,42,25,22,22,22,37,651,734,854,480,480,819,15,15,15,15,0,-2,0,0,0,0,0,28,11,22,22,37,67325,29496,34387,1376,2066,0,0,0,852,852,0,0,42,11,8,3,0,0,525,450,113,113,59,5,32,0,0,0,0,0,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2113,0,0,0,0,1,13,0,1,1,0,0,13,0,Flareon
6-27,11:23:51,NINTEN,Poliwag,Bug Catcher,6,Route 3,2,5:07.37,5:07,0h5m7s,0,0,0,16,0:19,13.431,BUBBLE,HYPNOSIS,,,0,910,46,9,3,65,65,48,4,2018,Flareon, ,Water,Water,2541,Poliwag13,Poliwag,,00:04:53.94,00:05:07.37,00:19:39.26,16,0,0,5,7,37,BUBBLE,HYPNOSIS,,,0,20,0,0,0,0,0,0,26,44,26,23,23,23,39,746,784,944,525,525,894,15,15,15,15,0,0,0,0,0,0,0,29,23,23,23,39,72804,30714,38054,1970,2066,0,0,0,910,910,0,0,46,12,9,3,0,0,596,515,131,131,65,5,34,0,0,0,0,0,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2406,0,0,0,0,1,13,0,1,1,0,0,13,0,Flareon
