ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Poliwhirl3,Poliwhirl,Rival (Lab),00:00:32.92,00:00:43.72,00:02:20.15,6,0,0,0,43,72,WATER GUN,HYPNOSIS,BUBBLE,,14,14,12,12,17,0,-2,0,0,0,0,0,14,7,12,12,17,10354,4578,3809,0,1967,0,0,0,71,71,0,0,1,2,1,1,0,0,22,21,9,9,4,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,3,0,Jolteon
Poliwhirl3,Poliwhirl,Brock,00:03:14.17,00:03:22.51,00:12:46.13,12,0,0,3,22,51,WATER GUN,HYPNOSIS,BUBBLE,,24,24,20,20,30,0,0,0,0,0,0,0,24,24,20,20,30,47912,24700,20851,394,1967,0,0,0,737,737,0,0,38,15,4,11,8,0,230,174,29,29,15,2,8,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1003,0,0,0,0,1,13,0,1,1,0,0,3,0,Flareon
Poliwhirl3,Poliwhirl,Misty,00:08:20.22,00:09:20.50,00:36:20.22,21,0,0,9,20,50,WATER GUN,HYPNOSIS,BUBBLE,,40,40,34,34,51,0,0,0,0,0,0,0,45,40,34,34,51,132761,44086,85016,1692,1967,1,0,0,1409,1409,0,0,93,42,14,28,25,0,1210,1012,157,157,103,10,34,0,0,0,0,0,22,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,31,6742,0,0,0,0,2,13,0,1,1,0,0,3,0,Flareon
Poliwhirl3,Poliwhirl,Rival (Nugget Bridge),00:09:48.35,00:10:04.06,00:39:12.12,22,0,0,10,4,6,BUBBLEBEAM,HYPNOSIS,BUBBLE,WATER GUN,42,42,35,35,53,0,0,0,0,0,0,0,47,42,35,35,53,143071,48785,89364,2955,1967,2,0,0,1518,1518,0,0,109,43,15,28,25,0,1565,1183,170,170,109,10,36,0,0,0,0,0,25,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,35,7780,0,0,0,0,3,13,0,1,1,1,0,3,0,Flareon
Poliwhirl3,Poliwhirl,Oddish Lass,00:12:20.31,00:12:37.72,00:49:17.51,25,0,0,12,37,72,BUBBLEBEAM,HYPNOSIS,BUBBLE,WATER GUN,48,48,40,40,60,0,0,0,0,0,0,0,54,48,40,40,60,179410,56048,115968,5427,1967,2,0,0,1640,1640,0,0,138,53,25,28,25,0,2733,2011,253,253,141,10,49,0,0,0,0,0,29,0,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,56,11880,0,0,0,0,4,13,0,1,1,1,0,3,0,Flareon
Poliwhirl3,Poliwhirl,Rocket,00:13:04.27,00:13:15.34,00:51:46.37,25,0,0,13,15,34,BUBBLEBEAM,HYPNOSIS,BUBBLE,WATER GUN,48,48,40,40,60,0,0,0,0,0,0,0,54,48,40,40,60,188336,61857,119085,5427,1967,2,0,0,1783,1783,0,0,153,54,26,28,25,0,2843,2114,274,274,145,10,50,0,0,0,0,0,30,0,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,58,12569,0,0,0,0,5,13,0,1,1,1,0,3,0,Flareon
Poliwhirl3,Poliwhirl,Rival (SS Anne),00:15:54.66,00:16:08.60,01:03:09.06,27,0,0,16,8,60,BUBBLEBEAM,HYPNOSIS,WATER GUN,BODY SLAM,52,52,43,43,65,0,0,0,0,0,0,0,58,52,43,43,65,229285,78638,138382,10298,1967,2,0,0,2261,2261,0,0,223,61,32,29,26,0,3875,2745,333,333,166,11,59,0,0,0,0,0,37,0,7,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,72,16873,0,0,0,0,11,21,0,1,1,2,0,3,0,Flareon
Poliwhirl3,Poliwhirl,Lt. Surge,00:17:22.58,00:17:30.59,01:06:51.09,28,2,0,17,30,59,BUBBLEBEAM,HYPNOSIS,WATER GUN,BODY SLAM,54,54,45,45,68,-1,0,0,0,0,0,0,39,54,45,45,68,242613,85946,140853,13692,2122,3,1,0,2448,2448,0,0,249,62,33,29,26,0,3996,2821,333,333,169,12,60,0,0,0,0,0,39,0,7,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,73,17605,0,0,0,0,11,21,0,1,1,4,0,3,2,Flareon
Poliwhirl3,Poliwhirl,RTG1 - Wrapping Lass,00:18:21.14,00:18:35.52,01:11:07.07,28,2,0,18,35,52,BUBBLEBEAM,HYPNOSIS,WATER GUN,BODY SLAM,54,54,45,45,68,0,0,0,0,0,0,0,60,60,45,45,68,257971,94068,144855,16926,2122,4,1,0,2640,2588,52,0,264,63,34,29,26,0,4348,3017,345,345,175,12,62,0,0,0,0,0,40,0,7,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,4,2,0,0,0,0,1,0,0,0,0,77,18853,0,0,0,0,11,21,0,1,1,4,0,3,2,Flareon
Poliwhirl3,Poliwhirl,RTG4 - Status Jr Trainer,00:19:40.04,00:19:52.22,01:16:09.57,30,2,0,19,52,22,BUBBLEBEAM,HYPNOSIS,WATER GUN,BODY SLAM,58,58,48,48,72,0,0,0,0,0,0,0,65,65,48,48,72,276141,97709,155559,20751,2122,5,1,0,2851,2588,263,0,288,67,38,29,26,0,5101,3511,379,379,188,12,68,0,0,0,0,0,44,0,7,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,4,2,0,0,0,0,3,0,0,0,0,85,21733,0,0,0,0,11,21,0,1,1,4,0,3,2,Flareon
