date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
11-30,10:41:53,NINTEN,Poliwhirl,Rival1-Lab,1,Pallet Town - Oak's Lab,1,44.52,44,0h0m44s,0,0,0,6,0:02,11.006,WATER GUN,HYPNOSIS,BUBBLE,,0,71,1,1,1,4,4,3,0,3000,Jolteon, ,Water,Water,232,Poliwhirl9,Poliwhirl,Rival (Lab),00:00:33.51,00:00:44.52,00:02:23.18,6,0,0,0,44,52,WATER GUN,HYPNOSIS,BUBBLE,,22,20,29,0,0,0,0,0,16,25,14,14,12,12,17,55,55,50,65,65,55,15,15,15,15,0,-2,0,0,0,0,0,14,7,12,12,17,10538,4717,3853,0,1968,0,0,0,71,71,0,0,1,2,1,1,0,0,23,21,9,9,4,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,9,0,Jolteon
11-30,10:43:32,NINTEN,Poliwhirl,Bug Catcher,3,Viridian Forest,1,2:24.35,2:24,0h2m24s,0,0,0,8,0:08,10.559,WATER GUN,HYPNOSIS,BUBBLE,,0,629,26,2,3,14,14,12,3,75,Flareon, ,Water,Water,344,Poliwhirl9,Poliwhirl,,00:02:13.79,00:02:24.35,00:08:57.53,8,0,0,2,24,35,WATER GUN,HYPNOSIS,BUBBLE,,15,20,30,0,0,0,0,0,7,30,17,17,15,15,21,100,85,85,85,85,100,15,15,15,15,0,0,0,0,0,0,0,17,17,15,15,21,34213,21555,10690,0,1968,0,0,0,629,629,0,0,26,5,2,3,0,0,69,67,32,32,11,5,10,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,209,0,0,0,0,1,13,0,1,1,0,0,9,0,Flareon
11-30,10:43:57,NINTEN,Poliwhirl,Jr Trainer M,1,Pewter City - Gym,2,2:49.25,2:49,0h2m49s,0,0,0,10,0:10,12.121,WATER GUN,HYPNOSIS,BUBBLE,,0,725,27,3,3,18,18,15,3,175,Flareon, ,Water,Water,678,Poliwhirl9,Poliwhirl,,00:02:37.12,00:02:49.25,00:10:35.55,10,0,0,2,49,25,WATER GUN,HYPNOSIS,BUBBLE,,11,20,30,0,0,0,0,0,20,36,21,21,18,18,26,160,215,195,160,160,235,15,15,15,15,0,0,0,0,0,0,0,21,21,18,18,26,40095,23677,14080,370,1968,0,0,0,725,725,0,0,27,6,3,3,0,0,145,118,45,45,15,5,13,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,543,0,0,0,0,1,13,0,1,1,0,0,9,0,Flareon
11-30,10:44:10,NINTEN,Poliwhirl,Brock,1,Pewter City - Gym,2,3:01.69,3:01,0h3m1s,0,0,0,12,0:11,8.136,WATER GUN,HYPNOSIS,BUBBLE,,0,729,27,4,3,20,20,15,3,355,Flareon, ,Water,Water,1138,Poliwhirl9,Poliwhirl,Brock,00:02:53.55,00:03:01.69,00:11:24.57,12,0,0,3,1,69,WATER GUN,HYPNOSIS,BUBBLE,,9,20,30,0,0,0,0,0,25,41,24,24,20,20,30,235,340,455,220,220,325,15,15,15,15,0,0,0,0,0,0,0,24,24,20,20,30,43037,24131,16568,370,1968,0,0,0,729,729,0,0,27,7,4,3,0,0,238,179,45,45,17,5,13,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1003,0,0,0,0,1,13,0,1,1,0,0,9,0,Flareon
11-30,10:44:47,NINTEN,Poliwhirl,Bug Catcher,4,Route 3,3,3:38.85,3:38,0h3m38s,0,0,0,13,0:13,17.349,WATER GUN,HYPNOSIS,BUBBLE,,0,840,28,5,3,27,27,21,4,1543,Flareon, ,Water,Water,1473,Poliwhirl9,Poliwhirl,,00:03:21.51,00:03:38.85,00:13:51.55,13,0,0,3,38,85,WATER GUN,HYPNOSIS,BUBBLE,,19,20,29,0,0,0,0,0,37,44,26,26,22,22,32,365,435,555,280,280,465,15,15,15,15,0,0,0,0,-3,0,0,29,26,22,22,12,51855,27827,21690,370,1968,0,0,0,840,840,0,0,28,8,5,3,0,0,346,268,52,52,24,5,19,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1338,0,0,0,0,1,13,0,1,1,0,0,9,0,Flareon
11-30,10:45:06,NINTEN,Poliwhirl,Youngster Ben,1,Route 3,2,3:58.27,3:58,0h3m58s,0,0,0,14,0:15,15.834,WATER GUN,HYPNOSIS,BUBBLE,,0,844,30,6,3,36,32,24,4,1643,Flareon, ,Water,Water,1751,Poliwhirl9,Poliwhirl,,00:03:42.43,00:03:58.27,00:15:08.37,14,0,0,3,58,27,WATER GUN,HYPNOSIS,BUBBLE,,15,20,28,0,0,0,0,0,18,47,28,28,23,23,35,430,551,634,345,345,592,15,15,15,15,0,0,0,0,0,0,0,31,28,23,23,35,56457,28174,25945,370,1968,0,0,0,844,844,0,0,30,9,6,3,0,0,419,327,74,74,29,5,22,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1616,0,0,0,0,1,13,0,1,1,0,0,9,0,Flareon
11-30,10:45:30,NINTEN,Poliwhirl,Bug Catcher,5,Route 3,4,4:21.66,4:21,0h4m21s,0,0,0,15,0:16,18.526,WATER GUN,HYPNOSIS,BUBBLE,,0,850,30,7,3,44,40,28,4,1808,Flareon, ,Water,Water,2226,Poliwhirl9,Poliwhirl,,00:04:03.13,00:04:21.66,00:16:40.48,15,0,0,4,21,66,WATER GUN,HYPNOSIS,BUBBLE,,10,20,25,0,0,0,0,0,35,49,29,30,25,25,37,610,661,804,435,435,752,15,15,15,15,0,0,0,0,0,0,0,32,30,25,25,37,61988,28467,30833,720,1968,0,0,0,850,850,0,0,30,10,7,3,0,0,552,439,79,79,37,5,24,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2091,0,0,0,0,1,13,0,1,1,0,0,9,0,Flareon
11-30,10:45:44,NINTEN,Poliwhirl,Bug Catcher,6,Route 3,2,4:35.74,4:35,0h4m35s,0,0,0,15,0:17,9.499,WATER GUN,HYPNOSIS,BUBBLE,,0,858,31,8,3,48,44,30,4,1898,Flareon, ,Water,Water,2519,Poliwhirl9,Poliwhirl,,00:04:26.24,00:04:35.74,00:17:36.21,15,0,0,4,35,74,WATER GUN,HYPNOSIS,BUBBLE,,6,20,25,0,0,0,0,0,35,49,29,30,25,25,37,705,711,894,480,480,827,15,15,15,15,0,0,0,0,-1,0,0,36,30,25,25,24,65321,29027,33606,720,1968,0,0,0,858,858,0,0,31,11,8,3,0,0,654,504,79,79,41,5,25,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2384,0,0,0,0,1,13,0,1,1,0,0,9,0,Flareon
11-30,10:46:23,NINTEN,Poliwhirl,Hiker,1,Mt Moon - 1,3,5:14.63,5:14,0h5m14s,0,0,0,16,0:20,9.714,WATER GUN,HYPNOSIS,BUBBLE,MEGA PUNCH,0,1127,44,9,3,51,47,30,5,2008,Flareon, ,Water,Water,3116,Poliwhirl9,Poliwhirl,,00:05:04.91,00:05:14.63,00:20:09.45,16,0,0,5,14,63,WATER GUN,HYPNOSIS,BUBBLE,MEGA PUNCH,6,20,22,20,0,0,0,0,38,52,31,31,26,26,39,820,916,1254,570,570,937,15,15,15,15,0,0,0,0,0,0,0,34,31,26,26,39,74525,34784,36316,1457,1968,0,0,0,1127,1127,0,0,44,12,9,3,0,0,789,590,79,79,44,5,25,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2981,0,0,0,0,3,13,0,1,1,1,0,9,0,Flareon
11-30,10:46:53,NINTEN,Poliwhirl,Fossil Nerd,2,Mt Moon - 3,3,5:44.55,5:44,0h5m44s,0,0,0,18,0:22,17.52,WATER GUN,HYPNOSIS,BUBBLE,MEGA PUNCH,0,1248,50,10,3,59,55,35,5,2358,Flareon, ,Water,Water,3903,Poliwhirl9,Poliwhirl,,00:05:27.03,00:05:44.55,00:22:08.03,18,0,0,5,44,55,WATER GUN,HYPNOSIS,BUBBLE,MEGA PUNCH,6,20,22,12,0,0,0,0,29,58,35,35,29,29,44,980,1091,1449,725,725,1097,15,15,15,15,0,-2,0,0,0,0,0,39,17,29,29,44,81623,37324,40874,1457,1968,0,0,0,1248,1248,0,0,50,13,10,3,0,0,965,699,94,94,50,8,29,0,0,0,0,0,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3768,0,0,0,0,3,13,0,1,1,1,0,9,0,Flareon
