date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
11-30,12:05:54,NINTEN,Poliwhirl,Rival1-Lab,1,Pallet Town - Oak's Lab,1,43.08,43,0h0m43s,0,0,0,6,0:02,9.628,WATER GUN,HYPNOSIS,BUBBLE,,0,71,3,1,1,4,4,3,0,3000,Jolteon, ,Water,Water,232,Poliwhirl13,Poliwhirl,Rival (Lab),00:00:33.45,00:00:43.08,00:02:17.49,6,0,0,0,43,8,WATER GUN,HYPNOSIS,BUBBLE,,21,20,30,0,0,0,0,0,15,25,14,14,12,12,17,55,55,50,65,65,55,15,15,15,15,0,0,0,0,0,0,0,14,14,12,12,17,10196,4709,3532,0,1955,0,0,0,71,71,0,0,3,2,1,1,0,0,23,21,10,10,4,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,13,0,Jolteon
11-30,12:07:32,NINTEN,Poliwhirl,Bug Catcher,3,Viridian Forest,1,2:21.14,2:21,0h2m21s,0,0,0,8,0:08,9.823,WATER GUN,HYPNOSIS,BUBBLE,,0,629,32,2,3,11,11,9,3,75,Flareon, ,Water,Water,344,Poliwhirl13,Poliwhirl,,00:02:11.32,00:02:21.14,00:08:45.15,8,0,0,2,21,14,WATER GUN,HYPNOSIS,BUBBLE,,18,20,30,0,0,0,0,0,26,30,17,17,15,15,21,100,85,85,85,85,100,15,15,15,15,0,0,0,0,0,0,0,17,17,15,15,21,33442,21714,9444,329,1955,0,0,0,629,629,0,0,32,5,2,3,0,0,69,65,22,22,11,4,5,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,209,0,0,0,0,1,13,0,1,1,0,0,13,0,Flareon
11-30,12:07:53,NINTEN,Poliwhirl,Brock,1,Pewter City - Gym,2,2:41.72,2:41,0h2m41s,0,0,0,11,0:10,8.245,WATER GUN,HYPNOSIS,BUBBLE,,0,735,36,3,3,13,13,9,3,175,Flareon, ,Water,Water,804,Poliwhirl13,Poliwhirl,Brock,00:02:33.48,00:02:41.72,00:10:06.25,11,0,0,2,41,72,WATER GUN,HYPNOSIS,BUBBLE,,16,20,30,0,0,0,0,0,34,38,22,23,19,19,28,175,210,345,145,145,190,15,15,15,15,0,0,0,0,0,0,0,22,23,19,19,28,38312,24149,11879,329,1955,0,0,0,735,735,0,0,36,6,3,3,0,0,161,126,22,22,13,4,5,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,669,0,0,0,0,1,13,0,1,1,0,0,13,0,Flareon
11-30,12:08:26,NINTEN,Poliwhirl,Bug Catcher,4,Route 3,3,3:14.85,3:14,0h3m14s,0,0,0,12,0:12,17.605,WATER GUN,HYPNOSIS,BUBBLE,,0,836,43,4,3,21,21,14,4,1363,Flareon, ,Water,Water,1139,Poliwhirl13,Poliwhirl,,00:02:57.24,00:03:14.85,00:12:17.32,12,0,0,3,14,85,WATER GUN,HYPNOSIS,BUBBLE,,12,20,26,0,0,0,0,0,25,41,24,24,20,20,30,305,305,445,205,205,330,15,15,15,15,0,0,0,0,-1,0,0,27,24,20,20,19,46179,26825,17070,329,1955,0,0,0,836,836,0,0,43,7,4,3,0,0,266,215,34,34,21,4,10,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1004,0,0,0,0,1,13,0,1,1,0,0,13,0,Flareon
11-30,12:08:46,NINTEN,Poliwhirl,Youngster Ben,1,Route 3,2,3:35.02,3:35,0h3m35s,0,0,0,13,0:13,14.83,WATER GUN,HYPNOSIS,BUBBLE,,0,840,43,5,3,27,27,19,4,1463,Flareon, ,Water,Water,1417,Poliwhirl13,Poliwhirl,,00:03:20.18,00:03:35.02,00:13:37.02,13,0,0,3,35,2,WATER GUN,HYPNOSIS,BUBBLE,,8,20,24,0,0,0,0,0,14,44,26,26,22,22,32,370,421,524,270,270,457,15,15,15,15,0,-1,0,0,0,0,0,29,17,22,22,32,50949,27167,21082,745,1955,0,0,0,840,840,0,0,43,8,5,3,0,0,342,274,64,64,27,4,15,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1282,0,0,0,0,1,13,0,1,1,0,0,13,0,Flareon
11-30,12:09:09,NINTEN,Poliwhirl,Bug Catcher,5,Route 3,4,3:58.16,3:58,0h3m58s,0,0,0,14,0:15,18.51,WATER GUN,HYPNOSIS,BUBBLE,,0,844,44,6,3,35,35,23,4,1628,Flareon, ,Water,Water,1892,Poliwhirl13,Poliwhirl,,00:03:39.65,00:03:58.16,00:15:08.10,14,0,0,3,58,16,WATER GUN,HYPNOSIS,BUBBLE,,4,20,20,0,0,0,0,0,35,47,28,28,23,23,35,550,531,694,360,360,617,15,15,15,15,0,0,0,0,0,0,0,31,28,23,23,35,56417,27380,25951,1131,1955,0,0,0,844,844,0,0,44,9,6,3,0,0,468,386,66,66,35,5,16,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1757,0,0,0,0,1,13,0,1,1,0,0,13,0,Flareon
11-30,12:09:25,NINTEN,Poliwhirl,Bug Catcher,6,Route 3,2,4:14.16,4:14,0h4m14s,0,0,0,15,0:16,11.207,WATER GUN,HYPNOSIS,BUBBLE,,0,852,45,7,3,40,40,26,4,1718,Flareon, ,Water,Water,2185,Poliwhirl13,Poliwhirl,,00:04:02.95,00:04:14.16,00:16:11.21,15,0,0,4,14,16,WATER GUN,HYPNOSIS,BUBBLE,,1,20,18,0,0,0,0,0,35,49,29,30,25,25,37,645,581,784,405,405,692,15,15,15,15,0,0,0,0,0,0,0,32,30,25,25,37,60209,27975,29148,1131,1955,0,0,0,852,852,0,0,45,10,7,3,0,0,548,451,68,68,40,5,17,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2050,0,0,0,0,1,13,0,1,1,0,0,13,0,Flareon
11-30,12:10:08,NINTEN,Poliwhirl,Hiker,1,Mt Moon - 1,3,4:57.55,4:57,0h4m57s,0,0,0,16,0:19,10.039,WATER GUN,HYPNOSIS,BUBBLE,MEGA PUNCH,0,1131,56,8,3,43,43,26,5,1828,Flareon, ,Water,Water,2782,Poliwhirl13,Poliwhirl,,00:04:47.51,00:04:57.55,00:19:02.39,16,0,0,4,57,55,WATER GUN,HYPNOSIS,BUBBLE,MEGA PUNCH,22,20,30,20,0,0,0,0,52,52,31,31,26,26,39,760,786,1144,495,495,802,15,15,15,15,0,0,0,0,0,0,0,34,31,26,26,39,70486,34733,31936,1862,1955,0,0,0,1131,1131,0,0,56,11,8,3,0,0,793,537,68,68,43,5,17,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2647,0,0,0,0,3,13,0,1,1,1,0,13,0,Flareon
11-30,12:10:36,NINTEN,Poliwhirl,Fossil Nerd,2,Mt Moon - 3,3,5:24.84,5:24,0h5m24s,0,0,0,17,0:20,14.792,WATER GUN,HYPNOSIS,BUBBLE,MEGA PUNCH,0,1258,56,9,3,49,49,29,5,2178,Flareon, ,Water,Water,3569,Poliwhirl13,Poliwhirl,,00:05:10.05,00:05:24.84,00:20:50.29,17,0,0,5,24,84,WATER GUN,HYPNOSIS,BUBBLE,MEGA PUNCH,22,20,30,14,0,0,0,0,43,55,33,33,28,28,41,920,961,1339,650,650,962,15,15,15,15,0,0,0,0,0,0,0,37,33,28,28,41,76956,37295,35844,1862,1955,0,0,0,1258,1258,0,0,56,12,9,3,0,0,929,646,80,80,49,5,20,0,0,0,0,0,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3434,0,0,0,0,3,13,0,1,1,1,0,13,0,Flareon
11-30,12:11:01,NINTEN,Poliwhirl,Rocket,42,Mt Moon - 3,3,5:50.35,5:50,0h5m50s,0,0,0,18,0:22,17.786,WATER GUN,HYPNOSIS,BUBBLE,MEGA PUNCH,0,1276,59,10,3,57,57,34,6,2478,Flareon,Poisoned,Water,Water,4304,Poliwhirl13,Poliwhirl,,00:05:32.56,00:05:50.35,00:22:31.26,18,0,0,5,50,35,WATER GUN,HYPNOSIS,BUBBLE,MEGA PUNCH,21,20,30,7,0,0,0,0,21,58,35,35,29,29,44,1035,1131,1513,790,790,1142,15,15,15,15,0,0,0,0,0,0,0,39,35,29,29,44,83013,38730,40466,1862,1955,0,0,0,1276,1276,0,0,59,13,10,3,0,0,1076,756,105,105,56,6,25,0,0,0,0,0,11,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4169,0,0,0,0,3,13,0,1,1,1,0,13,0,Flareon
