ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Poliwhirl7,Poliwhirl,Rival (Lab),00:00:33.55,00:00:43.58,00:02:18.50,6,0,0,0,43,58,WATER GUN,HYPNOSIS,BUBBLE,,14,14,12,12,17,0,-1,0,0,0,0,0,14,9,12,12,17,10315,4685,3617,0,2013,0,0,0,71,71,0,0,1,2,1,1,0,0,23,21,12,12,4,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,7,0,Jolteon
Poliwhirl7,Poliwhirl,Brock,00:02:39.04,00:02:47.17,00:10:27.09,12,0,0,2,47,17,WATER GUN,HYPNOSIS,BUBBLE,,24,24,20,20,30,0,0,0,0,0,0,0,24,24,20,20,30,39614,24196,13405,0,2013,0,0,0,730,730,0,0,40,6,4,2,0,0,222,163,30,30,15,3,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1003,0,0,0,0,1,13,0,0,0,0,0,7,0,Flareon
Poliwhirl7,Poliwhirl,Misty,00:06:20.68,00:06:39.61,00:25:45.38,20,0,0,6,39,61,WATER GUN,HYPNOSIS,BUBBLE,MEGA PUNCH,38,39,32,32,48,0,0,0,0,0,0,0,42,39,32,32,48,94723,43317,47733,1660,2013,1,0,0,1420,1420,0,0,71,15,13,2,0,0,1184,942,80,80,64,11,24,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,6293,0,0,0,0,3,13,0,0,0,1,0,7,0,Flareon
Poliwhirl7,Poliwhirl,Rival (Nugget Bridge),00:07:05.96,00:07:21.93,00:28:32.32,21,0,0,7,21,93,BUBBLEBEAM,HYPNOSIS,WATER GUN,MEGA PUNCH,40,40,33,33,51,0,-1,0,0,0,0,0,45,26,33,33,51,104737,47622,52125,2977,2013,1,0,0,1524,1524,0,0,75,16,14,2,0,0,1416,1113,89,89,69,11,26,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,7331,0,0,0,0,4,13,0,0,0,2,0,7,0,Flareon
Poliwhirl7,Poliwhirl,Oddish Lass,00:09:30.22,00:09:42.35,00:37:46.28,25,0,0,9,42,35,BUBBLEBEAM,HYPNOSIS,WATER GUN,MEGA PUNCH,48,48,40,40,60,0,0,0,0,0,0,0,54,48,40,40,60,137973,54516,78467,2977,2013,1,0,0,1642,1642,0,0,92,26,24,2,0,0,3091,2007,135,135,98,13,34,0,0,0,0,0,18,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,12032,0,0,0,0,5,13,0,0,0,2,0,7,0,Flareon
Poliwhirl7,Poliwhirl,Rocket,00:10:12.21,00:10:23.05,00:40:26.54,25,0,0,10,23,5,BUBBLEBEAM,HYPNOSIS,WATER GUN,MEGA PUNCH,48,48,40,40,60,0,0,0,0,0,0,0,54,48,40,40,60,147599,60211,81519,3856,2013,1,0,0,1782,1782,0,0,100,27,25,2,0,0,3249,2110,145,145,102,13,37,0,0,0,0,0,18,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,12721,0,0,0,0,6,13,0,0,0,2,0,7,0,Flareon
Poliwhirl7,Poliwhirl,Rival (SS Anne),00:11:59.49,00:12:11.67,00:47:34.36,27,0,0,12,11,67,BODY SLAM,HYPNOSIS,WATER GUN,BUBBLEBEAM,52,52,43,43,65,0,0,0,0,0,0,0,58,52,43,43,65,173261,70016,94557,6675,2013,1,0,0,2110,2110,0,0,130,32,30,2,0,0,4001,2655,164,164,116,13,40,0,0,0,0,0,20,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,16212,0,0,0,0,9,16,0,0,0,3,0,7,0,Flareon
Poliwhirl7,Poliwhirl,Lt. Surge,00:12:58.38,00:13:06.16,00:51:09.51,27,0,0,13,6,16,BODY SLAM,HYPNOSIS,WATER GUN,BUBBLEBEAM,52,52,43,43,65,0,0,0,0,0,0,0,58,52,43,43,65,186176,76561,96968,10634,2013,2,0,0,2287,2287,0,0,137,33,31,2,0,0,4077,2731,164,164,119,13,40,0,0,0,0,0,21,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,16944,0,0,0,0,9,16,0,0,0,5,0,7,0,Flareon
Poliwhirl7,Poliwhirl,RTG1 - Wrapping Lass,00:13:48.35,00:14:05.76,00:55:04.42,28,0,0,14,5,76,BODY SLAM,HYPNOSIS,WATER GUN,BUBBLEBEAM,54,54,45,45,68,0,0,0,0,0,0,0,60,60,45,45,68,200267,84268,101687,12299,2013,2,0,0,2476,2424,52,0,148,34,32,2,0,0,4329,2921,179,179,125,13,41,0,0,0,0,0,21,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,18192,0,0,0,0,9,16,0,0,0,5,0,7,0,Flareon
Poliwhirl7,Poliwhirl,RTG4 - Status Jr Trainer,00:15:04.59,00:15:11.89,00:59:25.10,29,0,0,15,11,89,BODY SLAM,HYPNOSIS,WATER GUN,BUBBLEBEAM,56,56,46,46,70,0,0,0,0,0,0,0,63,63,46,46,70,215895,87828,111060,14994,2013,3,0,0,2675,2424,251,0,176,38,36,2,0,0,4959,3409,203,203,138,13,45,0,0,0,0,0,23,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,83,21072,0,0,0,0,9,16,0,0,0,5,0,7,0,Flareon
