ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Poliwrath7,Poliwrath,Rival (Lab),00:00:33.77,00:00:40.29,00:02:05.46,6,0,0,0,40,29,BODY SLAM,WATER GUN,DOUBLESLAP,HYPNOSIS,17,18,15,15,15,0,-1,0,0,0,0,0,17,11,15,15,15,9531,4724,2794,0,2013,0,0,0,73,73,0,0,2,2,1,1,0,0,21,21,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,7,0,Jolteon
Poliwrath7,Poliwrath,Brock,00:02:29.34,00:02:38.75,00:09:53.44,11,0,0,2,38,75,BODY SLAM,WATER GUN,DOUBLESLAP,HYPNOSIS,27,29,24,24,24,0,-2,0,0,0,0,0,27,14,24,24,24,37609,24038,11558,0,2013,0,0,0,735,735,0,0,32,6,3,3,0,0,142,121,19,19,9,2,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,669,0,0,0,0,2,5,0,1,1,0,0,7,0,Flareon
Poliwrath7,Poliwrath,Rival (Nugget Bridge),00:05:38.97,00:05:53.90,00:22:44.20,19,0,0,5,53,90,BODY SLAM,HYPNOSIS,DOUBLESLAP,WATER GUN,44,48,38,38,38,0,-1,0,0,0,0,0,49,31,38,38,38,83845,43148,38684,0,2013,0,0,0,1440,1440,0,0,57,14,11,3,0,0,1419,867,59,59,47,4,19,0,0,0,0,0,4,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,26,4980,0,0,0,0,4,5,0,1,1,0,0,7,0,Flareon
Poliwrath7,Poliwrath,Oddish Lass,00:07:54.08,00:08:02.54,00:31:11.34,23,0,0,8,2,54,BODY SLAM,HYPNOSIS,DOUBLESLAP,WATER GUN,53,58,46,46,46,0,0,0,0,0,0,0,59,58,46,46,46,114279,50018,61739,509,2013,0,0,0,1560,1560,0,0,73,24,21,3,0,0,2608,1683,83,83,74,4,26,0,0,0,0,0,6,0,5,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0,0,0,47,9080,0,0,0,0,5,5,0,1,1,0,0,7,0,Flareon
Poliwrath7,Poliwrath,Misty,00:08:43.76,00:08:56.10,00:34:43.18,24,0,0,8,56,10,BODY SLAM,HYPNOSIS,DOUBLESLAP,WATER GUN,56,60,48,48,48,0,0,0,0,0,0,0,63,60,48,48,48,126983,57617,66844,509,2013,0,0,0,1740,1740,0,0,86,26,23,3,0,0,2805,1832,96,96,82,4,29,0,0,0,0,0,7,0,6,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,2,0,0,0,50,10870,0,0,0,0,6,5,0,1,1,0,0,7,0,Flareon
Poliwrath7,Poliwrath,Rocket,00:09:13.39,00:09:23.13,00:36:29.53,24,0,0,9,23,13,BODY SLAM,HYPNOSIS,DOUBLESLAP,WATER GUN,56,60,48,48,48,0,0,0,0,0,0,0,63,60,48,48,48,133378,61077,69779,509,2013,0,0,0,1827,1827,0,0,91,27,24,3,0,0,2958,1935,126,126,86,4,31,0,0,0,0,0,7,0,7,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,2,0,0,0,52,11559,0,0,0,0,6,5,0,1,1,0,0,7,0,Flareon
Poliwrath7,Poliwrath,Rival (SS Anne),00:10:59.17,00:11:12.22,00:43:39.30,27,0,0,11,12,22,BODY SLAM,HYPNOSIS,WATER GUN,BUBBLEBEAM,63,68,54,54,54,0,0,0,0,0,0,0,70,68,54,54,54,159155,72833,82068,2241,2013,0,0,0,2240,2240,0,0,137,32,29,3,0,0,3976,2513,140,140,100,4,33,0,0,0,0,0,9,0,8,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,2,0,0,0,65,15593,0,0,0,0,11,8,0,1,1,1,0,7,0,Flareon
Poliwrath7,Poliwrath,Lt. Surge,00:12:28.16,00:12:34.31,00:47:15.36,27,2,0,12,34,31,BODY SLAM,HYPNOSIS,WATER GUN,BUBBLEBEAM,63,68,54,54,54,0,0,0,0,0,0,0,70,68,54,54,54,172126,79845,84075,6036,2170,1,1,0,2421,2421,0,0,158,33,30,3,0,0,4073,2589,174,174,102,4,34,0,0,0,0,0,10,0,9,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,2,0,0,0,66,16325,0,0,0,0,11,8,0,1,1,3,0,7,2,Flareon
Poliwrath7,Poliwrath,RTG1 - Wrapping Lass,00:13:17.33,00:13:28.18,00:50:47.36,28,2,0,13,28,18,BODY SLAM,HYPNOSIS,WATER GUN,BUBBLEBEAM,65,70,56,56,56,0,0,0,0,0,0,0,73,78,56,56,56,184846,87678,87229,7769,2170,1,1,0,2610,2558,52,0,173,34,31,3,0,0,4309,2779,174,174,106,4,34,0,0,0,0,0,10,0,9,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,2,0,0,0,70,17573,0,0,0,0,11,8,0,1,1,3,0,7,2,Flareon
Poliwrath7,Poliwrath,RTG4 - Status Jr Trainer,00:14:16.90,00:14:30.27,00:54:52.32,29,2,0,14,30,27,BODY SLAM,HYPNOSIS,WATER GUN,BUBBLEBEAM,67,73,58,58,58,0,0,0,0,0,0,0,75,82,58,58,58,199542,91184,97534,8654,2170,1,1,0,2813,2558,255,0,192,38,35,3,0,0,4973,3291,261,261,117,4,41,0,0,0,0,0,12,0,10,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,2,0,0,0,78,20453,0,0,0,0,11,8,0,1,1,3,0,7,2,Flareon
