ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Ponyta2,Ponyta,Rival (Lab),00:00:33.99,00:00:42.47,00:02:15.01,6,0,0,0,42,47,EMBER,,,,17,13,14,14,17,0,-1,0,0,0,0,0,17,8,14,14,17,10046,4832,3241,0,1973,0,0,0,71,71,0,0,3,2,1,1,0,0,24,21,14,14,4,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,2,0,Jolteon
Ponyta2,Ponyta,Brock,00:03:25.24,00:03:46.55,00:14:21.38,12,0,0,3,46,55,EMBER,,,,29,22,24,24,30,0,0,0,0,0,0,0,29,22,24,24,30,53643,25917,25386,367,1973,0,0,0,741,741,0,0,43,11,7,4,0,0,471,362,66,66,32,0,18,0,0,0,0,0,7,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1654,0,0,0,0,1,13,0,1,1,0,0,2,0,Flareon
Ponyta2,Ponyta,Rival (Nugget Bridge),00:07:41.79,00:08:00.68,00:31:03.57,19,0,0,8,0,68,EMBER,,,,45,33,37,37,46,-1,0,0,0,0,0,0,32,33,37,37,46,113782,48017,62107,1685,1973,0,0,0,1464,1464,0,0,83,23,19,4,0,0,1993,1421,147,147,87,5,36,0,0,0,0,0,17,0,4,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,7386,0,0,0,0,4,13,0,1,1,0,0,2,0,Flareon
Ponyta2,Ponyta,Oddish Lass,00:10:26.19,00:10:35.41,00:41:13.57,22,0,0,10,35,41,EMBER,,,,51,38,42,42,54,0,0,0,0,0,0,0,57,38,42,42,54,150382,57277,88337,2795,1973,0,0,0,1674,1674,0,0,111,33,29,4,0,0,3203,2237,202,202,125,10,49,0,0,0,0,0,23,0,4,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,11486,0,0,0,0,5,13,0,1,1,0,0,2,0,Flareon
Ponyta2,Ponyta,Rocket,00:11:09.33,00:11:21.94,00:44:17.53,23,0,0,11,21,94,EMBER,,,,54,40,44,44,56,0,0,0,0,0,0,0,60,40,44,44,56,161418,64828,91822,2795,1973,0,0,0,1868,1868,0,0,123,34,30,4,0,0,3333,2340,231,231,130,10,51,0,0,0,0,0,24,0,5,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,12175,0,0,0,0,6,13,0,1,1,0,0,2,0,Flareon
Ponyta2,Ponyta,Rival (SS Anne),00:13:28.15,00:13:43.56,00:53:35.14,25,0,0,13,43,56,BODY SLAM,EMBER,,,58,43,48,48,61,0,0,0,0,0,-1,0,73,43,48,48,61,194859,79041,108714,5131,1973,0,0,0,2326,2326,0,0,160,40,36,4,0,0,4243,2971,309,309,152,15,63,0,0,0,0,0,28,0,6,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,16479,0,0,0,0,12,22,0,1,1,1,0,2,0,Flareon
Ponyta2,Ponyta,Misty,00:14:41.79,00:14:50.23,00:57:58.24,26,0,0,14,50,23,BODY SLAM,EMBER,,,61,45,50,50,64,0,0,0,0,0,0,0,68,45,50,50,64,210649,87727,112906,8043,1973,1,0,0,2523,2523,0,0,177,42,38,4,0,0,4447,3120,337,337,157,16,64,0,0,0,0,0,29,0,6,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,18269,0,0,0,0,12,22,0,1,1,3,0,2,0,Flareon
Ponyta2,Ponyta,Lt. Surge,00:15:25.86,00:15:32.31,01:00:44.10,26,0,0,15,32,31,BODY SLAM,EMBER,,,61,45,50,50,64,0,0,0,0,0,0,0,68,45,50,50,64,220595,94250,115039,9333,1973,2,0,0,2747,2747,0,0,186,43,39,4,0,0,4535,3196,400,400,159,16,66,0,0,0,0,0,30,0,6,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,19001,0,0,0,0,12,22,0,1,1,3,0,2,0,Flareon
Ponyta2,Ponyta,RTG1 - Wrapping Lass,00:16:15.84,00:16:28.87,01:04:26.55,27,0,0,16,28,87,BODY SLAM,EMBER,,,63,47,52,52,66,0,0,0,0,0,0,0,70,52,52,52,66,233960,102353,118717,10917,1973,2,0,0,2941,2884,57,0,199,44,40,4,0,0,4851,3386,400,400,164,16,67,0,0,0,0,0,31,0,6,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,20249,0,0,0,0,12,22,0,1,1,3,0,2,0,Flareon
Ponyta2,Ponyta,RTG4 - Status Jr Trainer,00:17:31.99,00:17:42.60,01:09:17.31,28,0,0,17,42,60,BODY SLAM,EMBER,,,65,48,54,54,68,0,0,0,0,0,0,0,73,54,54,54,68,251396,105592,129438,14393,1973,2,0,0,3142,2884,258,0,216,48,44,4,0,0,5544,3875,462,462,179,17,73,0,0,0,0,0,32,0,6,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,23129,0,0,0,0,12,22,0,1,1,3,0,2,0,Flareon
