ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Psyduck 1,Psyduck,Rival (Lab),00:00:33.53,00:00:45.19,00:02:25.52,6,0,0,0,45,19,SCRATCH,,,,13,12,12,12,13,0,-1,0,0,0,0,0,13,7,12,12,13,10696,4721,4003,0,1972,0,0,0,71,71,0,0,2,2,1,1,0,0,24,21,20,20,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,10,0,Jolteon
Psyduck 1,Psyduck,Rival (Optional),00:11:07.42,00:11:16.95,00:43:58.41,15,0,0,11,16,95,SCRATCH,,,,26,25,25,25,27,0,-2,0,0,0,0,0,26,12,25,25,27,160266,51316,105216,1761,1972,0,0,0,1836,1836,0,0,107,50,16,34,0,0,1606,1263,459,440,169,2,101,0,0,0,0,0,22,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,54,3859,0,0,0,0,3,12,0,0,0,0,9,10,9,Flareon
Psyduck 1,Psyduck,Brock,00:18:24.51,00:18:58.04,01:14:12.55,19,0,0,18,58,4,SCRATCH,,,,33,32,32,32,35,0,0,0,0,0,0,0,33,32,32,32,35,269119,74096,190488,2563,1972,1,0,0,2928,2928,0,0,125,121,20,101,0,0,3698,2739,608,589,280,2,118,0,0,0,0,0,33,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,130,7214,0,0,0,0,3,12,0,0,0,0,11,10,11,Jolteon
Psyduck 1,Psyduck,Misty,00:22:22.40,00:22:44.11,01:29:06.08,22,0,0,22,44,11,MEGA PUNCH,SCRATCH,WATER GUN,,38,37,37,37,40,0,0,0,0,0,0,0,42,37,37,37,40,322712,95142,221121,4477,1972,2,0,0,3696,3696,0,0,149,130,28,102,1,0,4572,3377,677,658,324,7,138,0,0,0,0,0,38,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,148,11680,0,0,0,0,6,12,0,0,0,2,11,10,11,Jolteon
Psyduck 1,Psyduck,Rival (Nugget Bridge),00:23:07.82,00:23:20.88,01:31:30.58,23,0,0,23,20,88,BUBBLEBEAM,SCRATCH,WATER GUN,MEGA PUNCH,39,38,38,38,42,0,0,0,0,0,-1,0,48,38,38,38,42,331402,99441,224821,5168,1972,2,0,0,3798,3798,0,0,153,131,29,102,1,0,4894,3548,677,658,329,7,139,0,0,0,0,0,40,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,152,12718,0,0,0,0,7,12,0,0,0,3,11,10,11,Jolteon
Psyduck 1,Psyduck,Oddish Lass,00:25:35.71,00:25:46.51,01:41:05.03,26,0,0,25,46,51,BUBBLEBEAM,SCRATCH,WATER GUN,MEGA PUNCH,45,43,43,43,47,0,0,0,0,0,0,0,50,43,43,43,47,365847,106933,251338,5604,1972,2,0,0,3930,3930,0,0,168,142,40,102,1,0,6601,4512,715,696,357,7,145,0,0,0,0,0,43,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,177,17776,0,0,0,0,9,12,0,0,0,3,11,10,11,Jolteon
Psyduck 1,Psyduck,Rocket,00:26:15.37,00:26:25.87,01:43:40.34,26,0,0,26,25,87,BUBBLEBEAM,SCRATCH,WATER GUN,MEGA PUNCH,45,43,43,43,47,0,0,0,0,0,0,0,50,43,43,43,47,375178,112617,254311,6278,1972,2,0,0,4070,4070,0,0,190,143,41,102,1,0,6723,4615,715,696,361,7,146,0,0,0,0,0,43,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,179,18465,0,0,0,0,10,12,0,0,0,3,11,10,11,Jolteon
Psyduck 1,Psyduck,Rival (SS Anne),00:28:09.39,00:28:25.79,01:51:33.18,28,0,0,28,25,79,BUBBLEBEAM,DIG,WATER GUN,BODY SLAM,48,46,46,46,50,0,0,0,0,0,-1,0,54,46,46,46,50,403542,123623,267641,10306,1972,2,0,0,4401,4401,0,0,225,148,46,102,1,0,7509,5160,746,727,376,7,150,0,0,0,0,0,45,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,191,21956,0,0,0,0,13,20,0,0,0,5,11,10,11,Jolteon
Psyduck 1,Psyduck,Lt. Surge,00:29:23.50,00:29:30.86,01:55:50.05,28,0,0,29,30,86,BUBBLEBEAM,DIG,WATER GUN,BODY SLAM,48,46,46,46,50,0,0,0,0,0,0,0,54,46,46,46,50,418949,132332,272024,12621,1972,3,0,0,4662,4662,0,0,241,150,48,102,1,0,7708,5322,746,727,380,9,150,0,0,0,0,0,45,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,194,23501,0,0,0,0,14,20,0,0,0,6,11,10,11,Jolteon
Psyduck 1,Psyduck,RTG1 - Wrapping Lass,00:30:16.32,00:30:33.44,01:59:56.46,29,0,0,30,33,44,BUBBLEBEAM,DIG,WATER GUN,BODY SLAM,50,48,48,48,52,0,0,0,0,0,0,0,56,54,48,48,52,433750,140066,276676,15036,1972,3,0,0,4851,4799,52,0,255,151,49,102,1,0,7948,5512,756,737,384,12,151,0,0,0,0,0,46,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,198,24749,0,0,0,0,14,20,0,0,0,6,11,10,11,Jolteon
