date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
8-05,14:23:06,NINTEN,Pumpkaboo,Rival1-Lab,1,Pallet Town - Oak's Lab,1,1:08.05,1:08,0h1m8s,0,0,0,6,0:03,34.55,LICK,CONFUSE RAY,TRICKORTREAT,,0,72,2,1,1,17,17,12,0,3000,Jolteon, ,Ghost,Grass,222,Pumpkaboo1,Pumpkaboo,Rival (Lab),00:00:33.50,00:01:08.05,00:03:54.55,6,0,0,1,8,5,LICK,CONFUSE RAY,TRICKORTREAT,,22,1,20,0,0,0,0,0,23,23,14,15,13,13,13,55,55,50,65,65,55,15,15,15,15,0,-2,0,0,0,0,0,14,7,13,13,13,16169,4578,9489,0,2102,0,0,0,72,72,0,0,2,2,1,1,0,0,25,21,0,0,17,4,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,1,0,Jolteon
8-05,14:24:46,NINTEN,Pumpkaboo,Bug Catcher,1,Viridian Forest,2,2:47.45,2:47,0h2m47s,0,0,0,7,0:10,17.271,LICK,CONFUSE RAY,TRICKORTREAT,,0,517,24,2,6,25,25,18,4,75,Flareon, ,Ghost,Grass,380,Pumpkaboo1,Pumpkaboo,,00:02:30.18,00:02:47.45,00:10:27.05,7,0,0,2,47,45,LICK,CONFUSE RAY,TRICKORTREAT,,24,10,18,0,0,0,0,0,25,25,16,17,14,14,15,145,115,120,105,105,145,15,15,15,15,0,0,0,0,-2,0,0,16,17,14,14,7,39699,19591,18006,0,2102,0,0,0,517,517,0,0,24,8,2,6,4,0,89,69,0,0,25,5,13,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,1,1,0,0,0,0,0,3,255,0,0,0,0,0,13,0,0,0,0,0,1,0,Flareon
8-05,14:25:14,NINTEN,Pumpkaboo,Bug Catcher,2,Viridian Forest,3,3:15.82,3:15,0h3m15s,0,0,0,8,0:12,24.392,LICK,CONFUSE RAY,TRICKORTREAT,,0,535,25,3,6,37,37,27,4,145,Flareon, ,Ghost,Grass,629,Pumpkaboo1,Pumpkaboo,,00:02:51.43,00:03:15.82,00:12:19.25,8,0,0,3,15,82,LICK,CONFUSE RAY,TRICKORTREAT,,15,10,15,0,0,0,0,0,27,27,18,18,16,16,16,290,185,265,175,175,250,15,15,15,15,0,0,0,0,0,0,0,18,18,16,16,16,46439,20112,24225,0,2102,0,0,0,535,535,0,0,25,9,3,6,4,0,163,135,0,0,37,6,14,0,0,0,0,0,1,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,6,1,0,0,0,0,0,6,504,0,0,0,0,0,13,0,0,0,0,0,1,0,Flareon
8-05,14:26:09,NINTEN,Pumpkaboo,Bug Catcher,3,Viridian Forest,1,4:11.14,4:11,0h4m11s,0,0,0,9,0:15,9.801,LICK,CONFUSE RAY,TRICKORTREAT,,0,624,39,4,11,54,54,39,4,205,Flareon, ,Ghost,Grass,875,Pumpkaboo1,Pumpkaboo,,00:04:01.34,00:04:11.14,00:15:57.59,9,0,0,4,11,14,LICK,CONFUSE RAY,TRICKORTREAT,,4,10,9,0,0,0,0,0,30,30,19,20,17,17,18,560,365,475,295,295,520,15,15,15,15,0,0,0,0,-1,0,0,19,20,17,17,11,59553,22285,35166,0,2102,0,0,0,624,624,0,0,39,15,4,11,4,0,328,248,0,0,54,7,25,0,0,0,0,0,1,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,6,1,0,0,0,0,0,12,750,0,0,0,0,1,13,0,0,0,0,0,1,0,Flareon
8-05,14:26:50,NINTEN,Pumpkaboo,Jr Trainer M,1,Pewter City - Gym,2,4:51.52,4:51,0h4m51s,0,0,0,10,0:18,15.464,LICK,CONFUSE RAY,TRICKORTREAT,,1,742,42,5,12,63,63,46,4,305,Flareon, ,Ghost,Grass,1231,Pumpkaboo1,Pumpkaboo,,00:04:36.05,00:04:51.52,00:18:37.23,10,0,0,4,51,52,LICK,CONFUSE RAY,TRICKORTREAT,,25,10,18,0,0,0,0,0,32,32,21,22,19,19,19,665,525,620,390,390,700,15,15,15,15,0,0,0,0,0,0,0,21,22,19,19,19,69117,25734,40734,547,2102,1,0,0,742,742,0,0,42,17,5,12,4,0,402,315,0,0,63,7,32,0,0,0,0,0,1,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,8,1,0,0,0,0,0,15,1106,0,0,0,0,1,13,0,0,0,0,0,1,0,Flareon
8-05,14:27:40,NINTEN,Pumpkaboo,Brock,1,Pewter City - Gym,2,5:42.23,5:42,0h5m42s,0,0,0,11,0:21,43.537,LICK,CONFUSE RAY,TRICKORTREAT,LEECH SEED,2,746,42,6,12,81,80,56,4,485,Flareon, ,Ghost,Grass,1691,Pumpkaboo1,Pumpkaboo,Brock,00:04:58.69,00:05:42.23,00:21:58.49,11,0,0,5,42,23,LICK,CONFUSE RAY,TRICKORTREAT,LEECH SEED,20,7,13,6,0,0,0,0,34,34,23,24,20,20,21,740,650,880,450,450,790,15,15,15,15,0,-4,0,0,0,0,0,23,7,20,20,21,81203,26279,51674,1148,2102,2,0,0,746,746,0,0,42,18,6,12,4,0,467,376,0,0,80,13,40,0,0,0,0,0,1,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,8,1,0,0,0,0,0,17,1566,0,0,0,0,1,13,0,0,0,1,0,1,0,Flareon
8-05,14:28:25,NINTEN,Pumpkaboo,Bug Catcher,4,Route 3,3,6:26.37,6:26,0h6m26s,0,0,0,12,0:24,23.126,LICK,TRICKORTREAT,CONFUSE RAY,LEECH SEED,2,873,49,7,12,90,89,64,5,1673,Flareon, ,Ghost,Grass,2026,Pumpkaboo1,Pumpkaboo,,00:06:03.24,00:06:26.37,00:24:53.33,12,0,0,6,26,37,LICK,TRICKORTREAT,CONFUSE RAY,LEECH SEED,24,17,10,10,0,0,0,0,33,37,25,26,22,22,22,870,745,980,510,510,930,15,15,15,15,0,0,0,0,-1,0,0,31,26,22,22,14,91687,30248,58189,1148,2102,2,0,0,873,873,0,0,49,19,7,12,4,0,581,465,4,4,89,13,48,0,0,0,0,0,1,0,0,0,10,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,9,1,0,0,0,0,0,20,1901,0,0,0,0,1,13,0,0,0,1,0,1,0,Flareon
8-05,14:29:14,NINTEN,Pumpkaboo,Youngster Ben,1,Route 3,2,7:15.97,7:15,0h7m15s,0,0,0,13,0:28,46.266,LICK,TRICKORTREAT,CONFUSE RAY,LEECH SEED,2,877,49,8,12,110,104,75,5,1773,Flareon, ,Ghost,Grass,2304,Pumpkaboo1,Pumpkaboo,,00:06:29.70,00:07:15.97,00:28:10.32,13,0,0,7,15,97,LICK,TRICKORTREAT,CONFUSE RAY,LEECH SEED,21,15,7,3,0,0,0,0,39,39,26,28,23,23,24,935,861,1059,575,575,1057,15,15,15,15,0,-2,0,0,0,0,0,29,14,23,23,24,103506,30541,69715,1148,2102,2,0,0,877,877,0,0,49,20,8,12,4,0,649,524,4,4,100,14,59,0,0,0,0,0,1,0,0,0,12,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,12,9,1,0,0,0,0,0,22,2179,0,0,0,0,1,13,0,0,0,1,0,1,0,Flareon
8-05,14:29:46,NINTEN,Pumpkaboo,Bug Catcher,5,Route 3,4,7:48.35,7:48,0h7m48s,0,0,0,14,0:30,26.941,LICK,TRICKORTREAT,CONFUSE RAY,LEECH SEED,2,881,50,9,12,123,117,84,5,1938,Flareon, ,Ghost,Grass,2779,Pumpkaboo1,Pumpkaboo,,00:07:21.40,00:07:48.35,00:30:18.48,14,0,0,7,48,35,LICK,TRICKORTREAT,CONFUSE RAY,LEECH SEED,12,11,7,3,0,0,0,0,41,41,28,30,25,25,26,1115,971,1229,665,665,1217,15,15,15,15,0,0,0,0,-1,0,0,31,30,25,25,17,111202,31341,76611,1148,2102,2,0,0,881,881,0,0,50,21,9,12,4,0,813,636,4,4,113,16,61,0,0,0,0,0,2,0,0,0,12,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,12,10,1,0,0,0,0,0,26,2654,0,0,0,0,1,13,0,0,0,1,0,1,0,Flareon
8-05,14:30:05,NINTEN,Pumpkaboo,Bug Catcher,6,Route 3,2,8:07.29,8:07,0h8m7s,0,0,0,14,0:31,15.101,LICK,TRICKORTREAT,CONFUSE RAY,LEECH SEED,2,889,51,10,12,130,124,89,5,2028,Flareon, ,Ghost,Grass,3072,Pumpkaboo1,Pumpkaboo,,00:07:52.18,00:08:07.29,00:31:33.40,14,0,0,8,7,29,LICK,TRICKORTREAT,CONFUSE RAY,LEECH SEED,7,9,7,3,0,0,0,0,41,41,28,30,25,25,26,1210,1021,1319,710,710,1292,15,15,15,15,0,0,0,0,-1,0,0,34,30,25,25,17,115694,31717,80727,1148,2102,2,0,0,889,889,0,0,51,22,10,12,4,0,888,701,4,4,120,16,63,0,0,0,0,0,2,0,0,0,12,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,12,12,1,0,0,0,0,0,28,2947,0,0,0,0,1,13,0,0,0,1,0,1,0,Flareon
