player_name,pokemon,trainer_name,real_time_hmmss,resets,blackouts,level,game_time,battle_duration,move1,move2,move3,move4
NINTEN,Pumpkaboo,Rival1-Lab,1:08,0,0,6,0:03,34.55,LICK,CONFUSE RAY,TRICKORTREAT,
NINTEN,Pumpkaboo,Brock,5:42,0,0,11,0:21,43.537,LICK,CONFUSE RAY,TRICKORTREAT,LEECH SEED
NINTEN,Pumpkaboo,Misty,13:22,0,0,21,0:52,11.258,RAZOR LEAF,TRICKORTREAT,CONFUSE RAY,LICK
NINTEN,Pumpkaboo,Rival2-Nugget Bridge,14:04,0,0,22,0:55,17.878,RAZOR LEAF,TRICKORTREAT,CONFUSE RAY,LICK
NINTEN,Pumpkaboo,Cerulean Rocket,17:52,0,0,25,1:10,9.175,RAZOR LEAF,TRICKORTREAT,LICK,CONFUSE RAY
NINTEN,Pumpkaboo,Rival3-SS Anne,20:24,0,0,27,1:20,27.608,RAZOR LEAF,TRICKORTREAT,LICK,BARRAGE
NINTEN,Pumpkaboo,Surge,21:24,0,0,27,1:24,7.995,RAZOR LEAF,TRICKORTREAT,LICK,BARRAGE
NINTEN,Pumpkaboo,Rival4-Pkmn Tower,32:19,0,0,32,2:07,24.479,RAZOR LEAF,PSYCHIC,LICK,ROCK SLIDE
NINTEN,Pumpkaboo,Erika,38:05,0,0,38,2:29,17.437,PSYCHIC,RAZOR LEAF,NIGHT SHADE,ROCK SLIDE
NINTEN,Pumpkaboo,Rival5-Silph,44:42,1,0,44,2:53,23.403,PSYCHIC,RAZOR LEAF,SWORDS DANCE,ROCK SLIDE
NINTEN,Pumpkaboo,Koga,46:31,1,0,46,3:01,22.92,PSYCHIC,RAZOR LEAF,SWORDS DANCE,ROCK SLIDE
NINTEN,Pumpkaboo,Blaine,51:12,4,0,49,3:16,16.471,PSYCHIC,RAZOR LEAF,SWORDS DANCE,ROCK SLIDE
NINTEN,Pumpkaboo,Sabrina,53:23,7,0,49,3:19,16.636,PSYCHIC,RAZOR LEAF,SWORDS DANCE,ROCK SLIDE
NINTEN,Pumpkaboo,Giovanni,55:07,8,0,51,3:25,31.222,PSYCHIC,RAZOR LEAF,SWORDS DANCE,ROCK SLIDE
NINTEN,Pumpkaboo,Rival6-Route 22,56:00,8,0,52,3:29,33.556,PSYCHIC,RAZOR LEAF,SWORDS DANCE,ROCK SLIDE
NINTEN,Pumpkaboo,Lorelei,1:00:06,8,0,63,3:45,26.889,PSYCHIC,RAZOR LEAF,SWORDS DANCE,ROCK SLIDE
NINTEN,Pumpkaboo,Bruno,1:00:45,8,0,64,3:48,26.212,PSYCHIC,RAZOR LEAF,SWORDS DANCE,ROCK SLIDE
NINTEN,Pumpkaboo,Agatha,1:01:50,8,0,65,3:52,35.351,PSYCHIC,MIMIC,SWORDS DANCE,ROCK SLIDE
NINTEN,Pumpkaboo,Lance,1:02:38,8,0,66,3:55,24.714,PSYCHIC,MIMIC,SWORDS DANCE,ROCK SLIDE
NINTEN,Pumpkaboo,Champion,1:03:48,8,0,68,4:00,44.118,PSYCHIC,MIMIC,SWORDS DANCE,ROCK SLIDE
NINTEN,Pumpkaboo,Champion,1:03:48,8,0,68,4:01,66.609,PSYCHIC,MIMIC,SWORDS DANCE,ROCK SLIDE
