date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
8-05,16:10:42,NINTEN,Pumpkaboo,Rival1-Lab,1,Pallet Town - Oak's Lab,1,57.32,57,0h0m57s,0,0,0,6,0:03,23.037,LICK,CONFUSE RAY,TRICKORTREAT,,0,71,3,1,1,11,11,6,0,3000,Jolteon, ,Ghost,Grass,222,Pumpkaboo2,Pumpkaboo,Rival (Lab),00:00:34.29,00:00:57.32,00:03:13.48,6,0,0,0,57,32,LICK,CONFUSE RAY,TRICKORTREAT,,25,5,19,0,0,0,0,0,23,23,14,15,13,13,13,55,55,50,65,65,55,15,15,15,15,0,-1,0,0,0,0,0,14,9,13,13,13,13597,4861,6739,0,1997,0,0,0,71,71,0,0,3,2,1,1,0,0,25,21,0,0,11,2,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,2,0,Jolteon
8-05,16:12:23,NINTEN,Pumpkaboo,Bug Catcher,3,Viridian Forest,1,2:37.85,2:37,0h2m37s,0,0,0,6,0:09,11.16,LICK,CONFUSE RAY,TRICKORTREAT,,0,624,15,2,4,19,18,13,3,75,Flareon, ,Ghost,Grass,334,Pumpkaboo2,Pumpkaboo,,00:02:26.69,00:02:37.85,00:09:51.08,6,0,0,2,37,85,LICK,CONFUSE RAY,TRICKORTREAT,,25,9,19,0,0,0,0,0,23,23,14,15,13,13,13,100,85,85,85,85,100,15,15,15,15,0,0,0,0,-2,0,0,14,15,13,13,6,37437,21788,13652,0,1997,0,0,0,624,624,0,0,15,6,2,4,2,0,59,51,0,0,18,4,10,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,3,0,0,0,0,0,0,2,209,0,0,0,0,1,13,0,1,0,0,0,2,0,Flareon
8-05,16:13:03,NINTEN,Pumpkaboo,Jr Trainer M,1,Pewter City - Gym,2,3:18.32,3:18,0h3m18s,0,0,0,8,0:12,20.56,LICK,CONFUSE RAY,TRICKORTREAT,,0,742,23,3,5,30,29,21,3,175,Flareon, ,Ghost,Grass,668,Pumpkaboo2,Pumpkaboo,,00:02:57.77,00:03:18.32,00:12:30.57,8,0,0,3,18,32,LICK,CONFUSE RAY,TRICKORTREAT,,22,9,18,0,0,0,0,0,27,27,18,18,16,16,16,160,215,195,160,160,235,15,15,15,15,0,0,0,0,0,0,0,18,18,16,16,16,47026,25312,19717,0,1997,0,0,0,742,742,0,0,23,8,3,5,3,0,123,102,0,0,29,4,18,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,7,1,0,0,0,0,0,4,543,0,0,0,0,1,13,0,1,0,0,0,2,0,Flareon
8-05,16:13:41,NINTEN,Pumpkaboo,Brock,1,Pewter City - Gym,2,3:56.07,3:56,0h3m56s,0,0,0,10,0:15,33.549,LICK,CONFUSE RAY,TRICKORTREAT,,0,746,24,4,5,46,45,29,3,355,Flareon, ,Ghost,Grass,1128,Pumpkaboo2,Pumpkaboo,Brock,00:03:22.53,00:03:56.07,00:15:00.47,10,0,0,3,56,7,LICK,CONFUSE RAY,TRICKORTREAT,,14,6,13,0,0,0,0,0,32,32,21,22,19,19,19,235,340,455,220,220,325,15,15,15,15,0,0,0,0,0,0,0,21,22,19,19,19,56016,25779,28240,0,1997,0,0,0,746,746,0,0,24,9,4,5,3,0,186,163,0,0,44,9,22,0,0,0,0,0,1,0,0,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,9,7,1,0,0,0,0,0,6,1003,0,0,0,0,1,13,0,1,0,0,0,2,0,Flareon
8-05,16:14:22,NINTEN,Pumpkaboo,Bug Catcher,4,Route 3,3,4:36.85,4:36,0h4m36s,0,0,0,11,0:17,21.313,LICK,TRICKORTREAT,CONFUSE RAY,LEECH SEED,0,857,26,5,5,55,54,35,4,1543,Flareon, ,Ghost,Grass,1463,Pumpkaboo2,Pumpkaboo,,00:04:15.54,00:04:36.85,00:17:42.06,11,0,0,4,36,85,LICK,TRICKORTREAT,CONFUSE RAY,LEECH SEED,24,17,10,10,0,0,0,0,31,34,23,24,20,20,21,365,435,555,280,280,465,15,15,15,15,0,0,0,0,-1,0,0,28,24,20,20,13,65695,29379,34319,0,1997,0,0,0,857,857,0,0,26,10,5,5,3,0,293,252,3,3,53,10,26,0,0,0,0,0,2,0,0,0,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,9,7,1,0,0,0,0,0,9,1338,0,0,0,0,1,13,0,1,0,1,0,2,0,Flareon
8-05,16:14:56,NINTEN,Pumpkaboo,Youngster Ben,1,Route 3,2,5:10.63,5:10,0h5m10s,0,0,0,12,0:19,30.501,LICK,TRICKORTREAT,CONFUSE RAY,LEECH SEED,0,861,26,6,5,67,65,43,4,1643,Flareon, ,Ghost,Grass,1741,Pumpkaboo2,Pumpkaboo,,00:04:40.13,00:05:10.63,00:19:56.05,12,0,0,5,10,63,LICK,TRICKORTREAT,CONFUSE RAY,LEECH SEED,22,16,8,4,0,0,0,0,36,36,25,26,22,22,22,430,551,634,345,345,592,15,15,15,15,0,-4,0,0,0,0,0,28,8,22,22,22,73734,29660,42077,0,1997,0,0,0,861,861,0,0,26,11,6,5,3,0,362,312,3,3,64,10,34,0,0,0,0,0,2,0,0,0,11,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,12,7,1,0,0,0,0,0,11,1616,0,0,0,0,1,13,0,1,0,1,0,2,0,Flareon
8-05,16:15:27,NINTEN,Pumpkaboo,Bug Catcher,5,Route 3,4,5:42.31,5:42,0h5m42s,0,0,0,13,0:22,28.865,LICK,TRICKORTREAT,CONFUSE RAY,LEECH SEED,0,865,26,7,5,81,79,54,4,1808,Flareon, ,Ghost,Grass,2216,Pumpkaboo2,Pumpkaboo,,00:05:13.45,00:05:42.31,00:22:01.27,13,0,0,5,42,31,LICK,TRICKORTREAT,CONFUSE RAY,LEECH SEED,12,12,8,4,0,0,0,0,37,39,26,28,23,23,24,610,661,804,435,435,752,15,15,15,15,0,0,0,0,-1,0,0,29,28,23,23,15,81256,29830,49429,0,1997,0,0,0,865,865,0,0,26,12,7,5,3,0,511,424,5,5,78,12,37,0,0,0,0,0,2,0,0,0,11,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,12,9,1,0,0,0,0,0,15,2091,0,0,0,0,1,13,0,1,0,1,0,2,0,Flareon
8-05,16:15:45,NINTEN,Pumpkaboo,Bug Catcher,6,Route 3,2,5:59.58,5:59,0h5m59s,0,0,0,13,0:23,13.442,LICK,TRICKORTREAT,CONFUSE RAY,LEECH SEED,0,873,27,8,5,88,86,57,4,1898,Flareon, ,Ghost,Grass,2509,Pumpkaboo2,Pumpkaboo,,00:05:46.14,00:05:59.58,00:23:09.43,13,0,0,5,59,58,LICK,TRICKORTREAT,CONFUSE RAY,LEECH SEED,7,10,8,4,0,0,0,0,37,39,26,28,23,23,24,705,711,894,480,480,827,15,15,15,15,0,0,0,0,0,0,0,29,28,23,23,24,85352,30211,53144,0,1997,0,0,0,873,873,0,0,27,13,8,5,3,0,598,489,5,5,85,12,39,0,0,0,0,0,3,0,0,0,11,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,12,11,3,0,0,0,0,0,17,2384,0,0,0,0,1,13,0,1,0,1,0,2,0,Flareon
8-05,16:16:18,NINTEN,Pumpkaboo,Super Nerd,1,Mt Moon - 1,2,6:32.40,6:32,0h6m32s,0,0,0,14,0:25,15.224,LICK,TRICKORTREAT,CONFUSE RAY,LEECH SEED,0,1018,38,9,5,95,93,62,4,2008,Flareon, ,Ghost,Grass,2958,Pumpkaboo2,Pumpkaboo,,00:06:17.18,00:06:32.40,00:25:19.30,14,0,0,6,32,40,LICK,TRICKORTREAT,CONFUSE RAY,LEECH SEED,25,18,10,10,0,0,0,0,41,41,28,29,25,25,26,770,776,1014,630,630,972,15,15,15,15,0,-2,0,0,0,0,0,31,14,25,25,26,93139,33973,57169,0,1997,0,0,0,1018,1018,0,0,38,14,9,5,3,0,677,548,5,5,92,12,44,0,0,0,0,0,4,0,0,0,11,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,12,11,3,0,0,0,0,0,19,2833,0,0,0,0,1,13,0,1,0,1,0,2,0,Flareon
8-05,16:17:26,NINTEN,Pumpkaboo,Youngster,3,Mt Moon - 1,3,7:40.98,7:40,0h7m40s,0,0,0,14,0:29,57.019,LICK,TRICKORTREAT,CONFUSE RAY,LEECH SEED,0,1099,41,10,5,120,117,81,5,2283,Flareon, ,Ghost,Grass,3315,Pumpkaboo2,Pumpkaboo,,00:06:43.96,00:07:40.98,00:29:51.58,14,0,0,7,40,98,LICK,TRICKORTREAT,CONFUSE RAY,LEECH SEED,23,11,1,4,0,0,0,0,38,41,28,29,25,25,26,870,933,1119,720,720,1171,15,15,15,15,0,-2,0,0,0,0,0,38,14,25,25,26,109487,36323,71167,0,1997,0,0,0,1099,1099,0,0,41,15,10,5,3,0,791,632,8,8,114,22,59,0,0,0,0,0,4,0,0,0,18,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,17,11,3,0,0,0,0,0,22,3190,0,0,0,0,2,13,0,1,0,1,0,2,0,Flareon
