ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Rayquaza2,Rayquaza,Rival (Lab),00:00:24.50,00:00:31.04,00:01:38.53,5,0,0,0,31,4,GUST,STRING SHOT,,,21,15,21,21,16,0,0,0,0,0,0,0,21,15,21,21,16,7325,3291,2614,0,1420,0,0,0,71,71,0,0,3,2,1,1,0,0,24,21,11,11,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,2,0,Jolteon
Rayquaza2,Rayquaza,Rival (Optional),00:03:44.13,00:03:54.27,00:14:59.46,10,0,0,3,54,27,GUST,STRING SHOT,,,38,26,38,38,27,0,0,0,0,0,0,0,38,26,38,38,27,55378,24184,29774,0,1420,0,0,0,849,849,0,0,27,19,5,14,0,0,659,451,35,35,49,2,20,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1319,0,0,0,0,0,11,0,0,0,0,0,2,0,Flareon
Rayquaza2,Rayquaza,Brock,00:06:42.10,00:07:17.35,00:28:19.18,13,0,0,7,17,35,GUST,STRING SHOT,,,49,33,49,49,35,0,-2,0,0,0,0,0,49,16,49,49,35,103350,35082,66030,818,1420,1,0,0,1331,1331,0,0,47,46,9,37,1,0,1503,1046,101,101,102,8,40,0,0,0,0,0,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,3205,0,0,0,0,1,11,0,0,0,0,0,2,0,Jolteon
Rayquaza2,Rayquaza,Misty,00:11:21.14,00:11:38.27,00:45:27.06,19,0,0,11,38,27,WATER GUN,BIDE,ROCK THROW,GUST,70,47,69,69,49,0,0,0,0,0,0,0,78,47,69,69,49,165018,52346,106342,4910,1420,2,0,0,1999,1999,0,0,74,70,18,52,14,0,3185,1885,213,213,149,9,62,0,0,0,0,0,31,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,76,8752,0,0,0,0,3,11,0,0,0,3,0,2,0,Jolteon
Rayquaza2,Rayquaza,Rival (Nugget Bridge),00:12:02.50,00:12:15.94,00:47:55.28,19,0,0,12,15,94,BUBBLEBEAM,WATER GUN,ROCK THROW,GUST,70,47,69,69,49,0,0,0,0,0,0,0,78,47,69,69,49,173920,56234,109991,6275,1420,2,0,0,2105,2105,0,0,88,71,19,52,14,0,3431,2056,231,231,155,9,65,0,0,0,0,0,31,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,80,9790,0,0,0,0,4,11,0,0,0,4,0,2,0,Jolteon
Rayquaza2,Rayquaza,Oddish Lass,00:13:55.47,00:14:04.72,00:55:03.52,22,0,0,14,4,72,BUBBLEBEAM,DRAGON RAGE,WATER GUN,GUST,81,54,80,80,57,0,0,0,0,0,0,0,91,54,80,80,57,199624,61685,130244,6275,1420,2,0,0,2227,2227,0,0,109,81,29,52,14,0,4831,2872,234,234,179,10,68,0,0,0,0,0,35,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,101,13890,0,0,0,0,5,11,0,0,0,5,0,2,0,Jolteon
Rayquaza2,Rayquaza,Rocket,00:14:33.74,00:14:41.31,00:57:28.10,22,0,0,14,41,31,BUBBLEBEAM,DRAGON RAGE,WATER GUN,GUST,81,54,80,80,57,0,0,0,0,0,0,0,91,54,80,80,57,208282,67140,132440,7282,1420,2,0,0,2366,2366,0,0,117,82,30,52,14,0,4992,2975,237,237,182,10,69,0,0,0,0,0,37,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,103,14579,0,0,0,0,6,11,0,0,0,5,0,2,0,Jolteon
Rayquaza2,Rayquaza,Rival (SS Anne),00:16:05.77,00:16:17.45,01:03:46.30,24,0,0,16,17,45,BUBBLEBEAM,DRAGON RAGE,WATER GUN,BODY SLAM,88,59,87,87,62,0,0,0,0,0,-1,0,111,59,87,87,62,230982,76212,143846,9504,1420,2,0,0,2691,2691,0,0,144,88,35,53,15,0,5962,3520,246,246,196,10,72,0,0,0,0,0,39,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,115,18070,0,0,0,0,9,17,0,0,0,6,0,2,0,Jolteon
Rayquaza2,Rayquaza,Lt. Surge,00:17:01.22,00:17:06.83,01:07:01.28,24,0,0,17,6,83,BODY SLAM,DRAGON RAGE,WATER GUN,BUBBLEBEAM,88,59,87,87,62,0,0,0,0,0,0,0,99,59,87,87,62,242680,81943,145596,13721,1420,3,0,0,2870,2870,0,0,150,89,36,53,15,0,6049,3596,246,246,198,10,72,0,0,0,0,0,39,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,116,18802,0,0,0,0,9,17,0,0,0,8,0,2,0,Jolteon
Rayquaza2,Rayquaza,RTG1 - Wrapping Lass,00:17:57.60,00:18:07.00,01:10:57.53,25,0,0,18,7,0,BODY SLAM,DRAGON RAGE,THUNDERBOLT,BUBBLEBEAM,92,62,91,91,64,0,0,0,0,0,0,0,103,69,91,91,64,256865,88576,148273,18596,1420,3,0,0,3061,3007,54,0,168,90,37,53,15,0,6428,3786,246,246,202,10,72,0,0,0,0,0,40,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,120,20050,0,0,0,0,9,17,0,0,0,9,0,2,0,Jolteon
