date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
4-18,12:49:28,NINTEN,Raticate,Rival1-Lab,1,Pallet Town - Oak's Lab,1,41.67,41,0h0m41s,0,0,0,6,0:02,6.951,QUICK ATTACK,TAIL WHIP,TACKLE,,0,71,29,1,1,2,2,1,0,3000,Jolteon, ,Normal,Normal,222,Raticate14,Raticate,Rival (Lab),00:00:34.72,00:00:41.67,00:02:09.59,6,0,0,0,41,67,QUICK ATTACK,TAIL WHIP,TACKLE,,28,30,35,0,0,0,0,0,19,24,16,14,12,12,18,55,55,50,65,65,55,15,15,15,15,0,0,0,0,0,0,0,16,14,12,12,18,9859,4886,2885,0,2088,0,0,0,71,71,0,0,29,2,1,1,0,0,22,21,5,5,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,14,0,Jolteon
4-18,12:52:12,NINTEN,Raticate,Rival1a-Route 22,2,Route 22,2,3:25.99,3:25,0h3m25s,0,3,3,9,0:12,14.495,QUICK ATTACK,TAIL WHIP,TACKLE,,0,639,67,5,2,39,39,33,4,9,Flareon, ,Normal,Normal,823,Raticate14,Raticate,Rival (Optional),00:03:11.49,00:03:25.99,00:12:59.46,9,0,0,3,25,99,QUICK ATTACK,TAIL WHIP,TACKLE,,23,30,35,0,0,0,0,0,19,31,22,18,17,17,25,270,350,220,254,254,390,15,15,15,15,-1,0,0,0,0,-1,0,14,18,17,17,25,48846,24044,22714,0,2088,0,0,0,639,639,0,0,67,7,5,2,1,0,224,210,102,97,34,13,25,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,698,0,0,0,0,0,13,0,0,0,0,3,14,3,Flareon
4-18,12:52:53,NINTEN,Raticate,Bug Catcher,2,Viridian Forest,3,4:07.02,4:07,0h4m7s,0,3,3,10,0:15,15.541,QUICK ATTACK,TAIL WHIP,TACKLE,,0,800,80,6,3,46,46,37,4,289,Jolteon, ,Normal,Normal,1072,Raticate14,Raticate,,00:03:51.48,00:04:07.02,00:15:41.57,10,0,0,4,7,2,QUICK ATTACK,TAIL WHIP,TACKLE,,16,30,35,0,0,0,0,0,20,34,24,20,18,18,27,415,420,365,324,324,495,15,15,15,15,0,0,0,0,0,0,0,24,20,18,18,27,58577,28772,27717,0,2088,0,0,0,800,800,0,0,80,9,6,3,1,0,305,276,104,99,41,13,26,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,947,0,0,0,0,0,13,0,0,0,0,3,14,3,Jolteon
4-18,12:53:22,NINTEN,Raticate,Bug Catcher,15,Viridian Forest,2,4:36.44,4:36,0h4m36s,0,3,3,10,0:17,9.515,QUICK ATTACK,TAIL WHIP,TACKLE,,0,841,105,7,5,52,52,40,3,349,Jolteon, ,Normal,Normal,1316,Raticate14,Raticate,,00:04:26.93,00:04:36.44,00:17:37.54,10,0,0,4,36,44,QUICK ATTACK,TAIL WHIP,TACKLE,,12,30,33,0,0,0,0,0,15,34,24,20,18,18,27,550,515,495,404,404,626,15,15,15,15,0,0,0,0,0,0,0,24,20,18,18,27,65534,29919,33527,0,2088,0,0,0,841,841,0,0,105,12,7,5,1,0,403,362,109,104,47,13,28,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,1191,0,0,0,0,1,13,0,1,1,0,3,14,3,Jolteon
4-18,12:53:35,NINTEN,Raticate,Bug Catcher,3,Viridian Forest,1,4:48.85,4:48,0h4m48s,0,3,3,11,0:18,6.372,QUICK ATTACK,TAIL WHIP,TACKLE,,0,891,105,8,5,54,54,41,3,429,Jolteon, ,Normal,Normal,1428,Raticate14,Raticate,,00:04:42.48,00:04:48.85,00:18:26.56,11,0,0,4,48,85,QUICK ATTACK,TAIL WHIP,TACKLE,,10,30,33,0,0,0,0,0,18,37,26,22,19,19,30,595,545,530,424,424,671,15,15,15,15,0,0,0,0,-1,0,0,26,22,19,19,19,68476,30945,35443,0,2088,0,0,0,891,891,0,0,105,13,8,5,1,0,438,392,109,104,49,13,29,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,1303,0,0,0,0,1,13,0,1,1,0,3,14,3,Jolteon
4-18,12:54:04,NINTEN,Raticate,Jr Trainer M,1,Pewter City - Gym,2,5:17.65,5:17,0h5m17s,0,3,3,12,0:20,11.787,QUICK ATTACK,TAIL WHIP,TACKLE,,0,1007,138,9,5,59,59,44,3,529,Jolteon, ,Normal,Normal,1762,Raticate14,Raticate,,00:05:05.87,00:05:17.65,00:20:20.34,12,0,0,5,17,65,QUICK ATTACK,TAIL WHIP,TACKLE,,25,30,35,0,0,0,0,0,28,39,28,23,21,21,32,655,675,640,499,499,806,15,15,15,15,0,0,0,0,0,0,0,28,23,21,21,32,75294,34447,38759,0,2088,0,0,0,1007,1007,0,0,138,14,9,5,1,0,509,443,120,115,54,13,32,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,1637,0,0,0,0,1,13,0,1,1,0,3,14,3,Jolteon
4-18,12:54:43,NINTEN,Raticate,Brock,1,Pewter City - Gym,2,5:57.22,5:57,0h5m57s,0,3,3,13,0:22,33.151,QUICK ATTACK,TAIL WHIP,TACKLE,,0,1011,139,10,5,78,78,55,3,709,Jolteon, ,Normal,Normal,2222,Raticate14,Raticate,Brock,00:05:24.07,00:05:57.22,00:22:57.19,13,0,0,5,57,22,QUICK ATTACK,TAIL WHIP,TACKLE,,16,20,35,0,0,0,0,0,10,42,30,25,22,22,35,730,800,900,559,559,896,15,15,15,15,0,-4,0,0,0,0,0,30,8,22,22,35,84699,34994,47220,397,2088,0,0,0,1011,1011,0,0,139,15,10,5,1,0,573,504,152,147,73,16,40,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,2097,0,0,0,0,1,13,0,1,1,0,3,14,3,Jolteon
4-18,12:55:10,NINTEN,Raticate,Bug Catcher,4,Route 3,3,6:23.98,6:23,0h6m23s,0,3,3,13,0:24,11.522,QUICK ATTACK,TAIL WHIP,TACKLE,,0,1084,143,11,5,83,83,57,4,1897,Jolteon, ,Normal,Normal,2557,Raticate14,Raticate,,00:06:12.46,00:06:23.98,00:24:42.53,13,0,0,6,23,98,QUICK ATTACK,TAIL WHIP,TACKLE,,11,20,35,0,0,0,0,0,27,42,30,25,22,22,35,860,895,1000,619,619,1036,15,15,15,15,0,0,0,0,0,0,0,33,25,22,22,35,91033,37162,50946,837,2088,0,0,0,1084,1084,0,0,143,16,11,5,1,0,690,593,155,150,78,17,41,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,2432,0,0,0,0,1,13,0,1,1,0,3,14,3,Jolteon
4-18,12:55:25,NINTEN,Raticate,Youngster Ben,1,Route 3,2,6:38.70,6:38,0h6m38s,0,3,3,14,0:25,11.33,QUICK ATTACK,TAIL WHIP,TACKLE,HYPER FANG,0,1088,143,12,5,87,87,59,4,1997,Jolteon, ,Normal,Normal,2835,Raticate14,Raticate,,00:06:27.37,00:06:38.70,00:25:41.01,14,0,0,6,38,70,QUICK ATTACK,TAIL WHIP,TACKLE,HYPER FANG,8,20,34,15,0,0,0,0,29,44,33,27,24,24,37,925,1011,1079,684,684,1163,15,15,15,15,0,-2,0,0,0,0,0,37,13,24,24,37,94521,37464,54132,837,2088,0,0,0,1088,1088,0,0,143,17,12,5,1,0,783,652,155,150,82,17,43,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,2710,0,0,0,0,1,13,0,1,1,0,3,14,3,Jolteon
4-18,12:55:39,NINTEN,Raticate,Bug Catcher,5,Route 3,4,6:52.98,6:52,0h6m52s,0,3,3,14,0:26,11.312,HYPER FANG,TAIL WHIP,TACKLE,QUICK ATTACK,0,1092,144,13,5,91,91,59,4,2162,Jolteon, ,Normal,Normal,3310,Raticate14,Raticate,,00:06:41.67,00:06:52.98,00:26:37.13,14,0,0,6,52,98,HYPER FANG,TAIL WHIP,TACKLE,QUICK ATTACK,11,20,34,8,0,0,0,0,29,44,33,27,24,24,37,1105,1121,1249,774,774,1323,15,15,15,15,0,0,0,0,0,0,0,37,27,24,24,37,97893,37668,57300,837,2088,0,0,0,1092,1092,0,0,144,18,13,5,1,0,983,764,155,150,86,17,43,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26,3185,0,0,0,0,1,13,0,1,1,1,3,14,3,Jolteon
4-18,12:55:50,NINTEN,Raticate,Bug Catcher,6,Route 3,2,7:03.73,7:03,0h7m3s,0,3,3,15,0:27,6.833,HYPER FANG,TAIL WHIP,TACKLE,QUICK ATTACK,0,1100,145,14,5,93,93,59,4,2252,Jolteon, ,Normal,Normal,3603,Raticate14,Raticate,,00:06:56.89,00:07:03.73,00:27:19.33,15,0,0,7,3,73,HYPER FANG,TAIL WHIP,TACKLE,QUICK ATTACK,9,20,34,8,0,0,0,0,32,47,35,28,25,25,39,1200,1171,1339,819,819,1398,15,15,15,15,0,0,0,0,0,0,0,39,28,25,25,39,100433,38070,59438,837,2088,0,0,0,1100,1100,0,0,145,19,14,5,1,0,1087,829,155,150,88,17,43,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,28,3478,0,0,0,0,1,13,0,1,1,1,3,14,3,Jolteon
4-18,12:56:30,NINTEN,Raticate,Hiker,1,Mt Moon - 1,3,7:44.17,7:44,0h7m44s,0,3,3,16,0:29,10.362,HYPER FANG,WATER GUN,TACKLE,QUICK ATTACK,0,1355,156,15,5,96,96,59,5,2362,Jolteon, ,Normal,Normal,4200,Raticate14,Raticate,,00:07:33.81,00:07:44.17,00:29:59.46,16,0,0,7,44,17,HYPER FANG,WATER GUN,TACKLE,QUICK ATTACK,9,22,34,8,0,0,0,0,34,49,37,30,26,26,42,1315,1376,1699,909,909,1508,15,15,15,15,0,0,0,0,0,0,0,41,30,26,26,42,110046,43428,62304,2226,2088,0,0,0,1355,1355,0,0,156,20,15,5,1,0,1294,915,155,150,91,17,43,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,31,4075,0,0,0,0,3,13,0,1,1,2,3,14,3,Jolteon
4-18,12:56:52,NINTEN,Raticate,Fossil Nerd,2,Mt Moon - 3,3,8:06.08,8:06,0h8m6s,0,3,3,17,0:31,9.687,HYPER FANG,WATER GUN,TACKLE,QUICK ATTACK,0,1474,159,16,5,99,99,59,5,2712,Jolteon, ,Normal,Normal,4987,Raticate14,Raticate,,00:07:56.40,00:08:06.08,00:31:26.16,17,0,0,8,6,8,HYPER FANG,WATER GUN,TACKLE,QUICK ATTACK,6,22,34,8,0,0,0,0,37,52,39,32,28,28,44,1475,1551,1894,1064,1064,1668,15,15,15,15,0,0,0,0,0,0,0,43,32,28,28,44,115236,45922,65000,2226,2088,0,0,0,1474,1474,0,0,159,21,16,5,1,0,1435,1024,155,150,94,17,43,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,34,4862,0,0,0,0,3,13,0,1,1,2,3,14,3,Jolteon
4-18,12:57:10,NINTEN,Raticate,Rocket,42,Mt Moon - 3,3,8:24.31,8:24,0h8m24s,0,3,3,17,0:32,10.272,HYPER FANG,WATER GUN,TACKLE,QUICK ATTACK,0,1492,164,17,5,103,103,60,6,3012,Jolteon, ,Normal,Normal,5722,Raticate14,Raticate,,00:08:14.04,00:08:24.31,00:32:38.17,17,0,0,8,24,31,HYPER FANG,WATER GUN,TACKLE,QUICK ATTACK,3,22,34,7,0,0,0,0,32,52,39,32,28,28,44,1590,1721,2068,1204,1204,1848,15,15,15,15,0,0,0,0,0,0,0,43,32,28,28,44,119557,47412,67831,2226,2088,0,0,0,1492,1492,0,0,164,22,17,5,1,0,1561,1134,160,155,98,17,44,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,37,5597,0,0,0,0,3,13,0,1,1,2,3,14,3,Jolteon
4-18,12:57:54,NINTEN,Raticate,Rival2-Nugget Bridge,3,Cerulean City,4,9:08.03,9:08,0h9m8s,0,3,3,18,0:35,19.044,HYPER FANG,WATER GUN,TACKLE,QUICK ATTACK,0,1670,167,18,5,112,112,65,6,3432,Jolteon, ,Normal,Normal,6760,Raticate14,Raticate,Rival (Nugget Bridge),00:08:48.99,00:09:08.03,00:35:30.44,18,0,0,9,8,3,HYPER FANG,WATER GUN,TACKLE,QUICK ATTACK,10,22,35,29,0,0,0,0,40,55,41,33,30,30,47,1765,1967,2268,1355,1355,2085,15,15,15,15,0,0,0,0,0,-2,0,57,33,30,30,47,129904,52752,72838,2226,2088,0,0,0,1670,1670,0,0,167,23,18,5,1,0,1837,1305,175,170,104,21,48,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,41,6635,0,0,0,0,4,13,0,1,1,2,3,14,3,Jolteon
