ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Raticate17,Raticate,Rival (Lab),00:00:35.27,00:00:48.97,00:02:36.48,6,0,0,0,48,97,QUICK ATTACK,TAIL WHIP,TACKLE,,16,14,12,12,18,0,-2,0,0,0,0,0,16,7,12,12,18,11603,4879,4501,0,2223,0,0,0,71,71,0,0,4,2,1,1,0,0,27,21,0,0,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,17,0,Jolteon
Raticate17,Raticate,Rival (Optional),00:01:55.18,00:02:15.57,00:08:19.11,7,0,0,2,15,57,QUICK ATTACK,TAIL WHIP,TACKLE,,18,15,14,14,20,0,-2,0,0,0,-5,0,18,7,14,14,20,32146,20049,9874,0,2223,0,0,0,478,478,0,0,26,3,2,1,0,0,84,76,23,23,11,5,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,365,0,0,0,0,0,12,0,0,0,0,0,17,0,Flareon
Raticate17,Raticate,Brock,00:05:26.90,00:06:01.02,00:23:10.54,13,0,0,6,1,2,QUICK ATTACK,TAIL WHIP,TACKLE,,30,25,22,22,35,0,0,0,0,0,0,0,30,25,22,22,35,85649,33568,49114,744,2223,0,0,0,953,953,0,0,40,12,10,2,0,0,540,483,160,159,82,14,43,0,0,0,0,0,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,2257,0,0,0,0,1,12,0,0,0,0,2,17,2,Jolteon
Raticate17,Raticate,Rival (Nugget Bridge),00:09:02.62,00:09:18.76,00:36:11.14,19,0,0,9,18,76,HYPER FANG,WATER GUN,TACKLE,QUICK ATTACK,43,35,31,31,49,0,-1,0,0,0,-1,0,48,23,31,31,49,132469,51108,75796,3342,2223,0,0,0,1612,1612,0,0,73,20,18,2,0,0,1891,1284,185,184,114,19,53,0,0,0,0,0,25,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,41,6795,0,0,0,0,4,12,0,0,0,2,2,17,2,Jolteon
Raticate17,Raticate,Oddish Lass,00:11:14.53,00:11:27.97,00:44:40.56,22,0,0,11,27,97,HYPER FANG,WATER GUN,TACKLE,QUICK ATTACK,50,41,36,36,57,0,0,0,0,0,0,0,56,41,36,36,57,163051,57674,99812,3342,2223,0,0,0,1738,1738,0,0,99,30,28,2,0,0,3210,2058,211,210,142,22,60,0,0,0,0,0,31,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,61,10730,0,0,0,0,4,12,0,0,0,2,2,17,2,Jolteon
Raticate17,Raticate,Rocket,00:11:57.30,00:12:03.40,00:47:00.40,22,0,0,12,3,40,HYPER FANG,WATER GUN,TACKLE,QUICK ATTACK,50,41,36,36,57,0,0,0,0,0,0,0,56,41,36,36,57,171435,63149,101740,4323,2223,0,0,0,1876,1876,0,0,103,31,29,2,0,0,3314,2161,211,210,144,22,60,0,0,0,0,0,31,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,63,11419,0,0,0,0,5,12,0,0,0,2,2,17,2,Jolteon
Raticate17,Raticate,Misty,00:12:31.11,00:12:41.31,00:49:30.22,23,0,0,12,41,31,HYPER FANG,WATER GUN,DIG,QUICK ATTACK,52,42,37,37,59,0,0,0,0,0,0,0,58,42,37,37,59,180417,64953,106507,6734,2223,1,0,0,1916,1916,0,0,107,33,31,2,0,0,3508,2310,224,223,150,22,62,0,0,0,0,0,32,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,66,13209,0,0,0,0,5,12,0,0,0,3,2,17,2,Jolteon
Raticate17,Raticate,Rival (SS Anne),00:14:18.85,00:14:31.51,00:56:44.27,25,0,0,14,31,51,BODY SLAM,WATER GUN,DIG,QUICK ATTACK,56,46,40,40,64,0,0,0,0,0,0,0,63,46,40,40,64,206462,77643,118391,8205,2223,1,0,0,2332,2332,0,0,140,38,36,2,0,0,4554,2875,230,229,163,22,63,0,0,0,0,0,36,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,78,16700,0,0,0,0,8,15,0,0,0,4,2,17,2,Jolteon
Raticate17,Raticate,Lt. Surge,00:15:12.73,00:15:19.32,00:59:53.17,25,0,0,15,19,32,BODY SLAM,WATER GUN,DIG,QUICK ATTACK,56,46,40,40,64,0,0,0,0,0,0,0,63,46,40,40,64,217792,84783,120477,10309,2223,2,0,0,2515,2515,0,0,163,39,37,2,0,0,4664,2951,297,296,164,22,64,0,0,0,0,0,37,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,79,17432,0,0,0,0,8,15,0,0,0,5,2,17,2,Jolteon
Raticate17,Raticate,RTG1 - Wrapping Lass,00:16:07.93,00:16:19.18,01:03:49.00,26,0,0,16,19,18,BODY SLAM,WATER GUN,DIG,THUNDERBOLT,59,48,42,42,67,0,0,0,0,0,0,0,66,54,42,42,67,231935,92912,123726,13074,2223,2,0,0,2710,2652,58,0,183,40,38,2,0,0,5156,3141,297,296,168,22,64,0,0,0,0,0,40,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,83,18680,0,0,0,0,8,15,0,0,0,6,2,17,2,Jolteon
Raticate17,Raticate,RTG4 - Status Jr Trainer,00:17:27.07,00:17:33.05,01:08:40.39,27,0,0,17,33,5,BODY SLAM,BUBBLEBEAM,DIG,THUNDERBOLT,61,50,43,43,70,0,0,0,0,0,0,0,68,56,43,43,70,249434,96966,134340,15905,2223,2,0,0,2915,2652,263,0,196,44,42,2,0,0,5808,3629,308,307,179,22,67,0,0,0,0,0,42,0,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,91,21560,0,0,0,0,8,15,0,0,0,7,2,17,2,Jolteon
