date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
9-12,11:50:58,NINTEN,Rattata,Rival1-Lab,1,Pallet Town - Oak's Lab,1,42.82,42,0h0m42s,0,0,0,6,0:02,8.868,TACKLE,TAIL WHIP,,,0,71,7,1,1,4,4,3,0,3000,Jolteon, ,Normal,Normal,222,Rattata 1,Rattata,Rival (Lab),00:00:33.96,00:00:42.82,00:02:15.53,6,0,0,0,42,82,TACKLE,TAIL WHIP,,,31,30,0,0,0,0,0,0,9,21,13,11,9,9,15,55,55,50,65,65,55,15,15,15,15,0,0,0,0,0,0,0,13,11,9,9,15,10132,4790,3335,0,2007,0,0,0,71,71,0,0,7,2,1,1,0,0,24,21,12,12,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,2,0,Jolteon
9-12,11:52:15,NINTEN,Rattata,Bug Catcher,1,Viridian Forest,2,2:00.22,2:00,0h2m0s,0,0,0,7,0:07,18.982,TACKLE,TAIL WHIP,QUICK ATTACK,,0,486,17,2,2,12,12,11,0,3175,Flareon, ,Normal,Normal,380,Rattata 1,Rattata,,00:01:41.25,00:02:00.23,00:07:21.43,7,0,0,2,0,23,TACKLE,TAIL WHIP,QUICK ATTACK,,29,28,30,0,0,0,0,0,11,23,15,12,10,10,17,145,115,120,105,105,145,15,15,15,15,0,0,0,0,-2,0,0,15,12,10,10,8,28482,17267,9208,0,2007,0,0,0,486,486,0,0,17,4,2,2,0,0,74,69,24,24,12,3,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,255,0,0,0,0,0,0,0,0,0,0,0,2,0,Flareon
9-12,11:52:42,NINTEN,Rattata,Bug Catcher,15,Viridian Forest,2,2:27.17,2:27,0h2m27s,0,0,0,8,0:09,18.847,QUICK ATTACK,TAIL WHIP,TACKLE,,0,531,20,3,2,21,21,18,0,3245,Flareon, ,Normal,Normal,593,Rattata 1,Rattata,,00:02:08.33,00:02:27.17,00:09:08.16,8,0,0,2,27,17,QUICK ATTACK,TAIL WHIP,TACKLE,,21,28,29,0,0,0,0,0,8,25,16,13,11,11,19,240,165,210,150,150,220,15,15,15,15,0,0,0,0,0,0,0,16,13,11,11,19,34875,18390,14116,362,2007,0,0,0,531,531,0,0,20,5,3,2,0,0,138,122,41,41,21,3,12,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,468,0,0,0,0,1,0,0,0,0,1,0,2,0,Flareon
9-12,11:52:59,NINTEN,Rattata,Bug Catcher,3,Viridian Forest,1,2:44.09,2:44,0h2m44s,0,0,0,8,0:10,8.265,QUICK ATTACK,TAIL WHIP,TACKLE,,0,579,21,4,2,25,25,21,0,3325,Flareon, ,Normal,Normal,705,Rattata 1,Rattata,,00:02:35.82,00:02:44.09,00:10:15.03,8,0,0,2,44,9,QUICK ATTACK,TAIL WHIP,TACKLE,,17,28,29,0,0,0,0,0,16,25,16,13,11,11,19,285,195,245,170,170,265,15,15,15,15,0,0,0,0,0,0,0,16,13,11,11,19,38882,19642,16495,738,2007,0,0,0,579,579,0,0,21,6,4,2,0,0,168,152,50,50,25,4,14,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,580,0,0,0,0,2,0,0,0,0,1,0,2,0,Flareon
9-12,11:57:45,NINTEN,Rattata,Jr Trainer M,1,Pewter City - Gym,2,7:30.01,7:30,0h7m30s,0,11,11,14,0:29,12.556,QUICK ATTACK,TAIL WHIP,TACKLE,HYPER FANG,0,1240,62,16,2,108,108,91,3,0,Flareon, ,Normal,Normal,2755,Rattata 1,Rattata,,00:07:17.46,00:07:30.02,00:29:05.24,14,0,0,7,30,2,QUICK ATTACK,TAIL WHIP,TACKLE,HYPER FANG,25,30,35,15,0,0,0,0,23,37,25,19,17,17,30,455,930,630,740,740,1445,15,15,15,15,0,0,0,0,0,0,0,25,19,17,17,30,106703,37714,66244,738,2007,0,0,0,1240,1240,0,0,62,18,16,2,0,0,741,445,431,409,108,5,83,0,0,0,0,0,6,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,19,2630,0,0,0,0,2,13,0,0,0,1,11,2,11,Flareon
9-12,11:58:27,NINTEN,Rattata,Brock,1,Pewter City - Gym,2,8:12.50,8:12,0h8m12s,0,11,11,14,0:31,24.046,QUICK ATTACK,TAIL WHIP,TACKLE,HYPER FANG,1,1348,64,17,2,122,120,97,3,180,Flareon, ,Normal,Normal,3215,Rattata 1,Rattata,Brock,00:07:48.46,00:08:12.51,00:31:53.34,14,0,0,8,12,51,QUICK ATTACK,TAIL WHIP,TACKLE,HYPER FANG,30,22,35,11,0,0,0,0,8,37,25,19,17,17,30,530,1055,890,800,800,1535,15,15,15,15,0,0,0,0,0,0,0,25,19,17,17,30,116793,40994,72530,1262,2007,1,0,0,1348,1348,0,0,64,19,17,2,0,0,803,506,460,438,119,7,88,0,0,0,0,0,6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,21,3090,0,0,0,0,2,13,0,0,0,2,11,2,11,Flareon
9-12,11:58:52,NINTEN,Rattata,Bug Catcher,4,Route 3,3,8:37.30,8:37,0h8m37s,0,11,11,15,0:33,9.508,HYPER FANG,TAIL WHIP,TACKLE,QUICK ATTACK,1,1423,64,18,2,125,123,97,4,1368,Flareon, ,Normal,Normal,3550,Rattata 1,Rattata,,00:08:27.79,00:08:37.30,00:33:31.21,15,0,0,8,37,30,HYPER FANG,TAIL WHIP,TACKLE,QUICK ATTACK,8,22,35,30,0,0,0,0,30,39,27,21,18,18,32,660,1150,990,860,860,1675,15,15,15,15,0,0,0,0,0,0,0,30,21,18,18,32,122660,43160,75779,1714,2007,1,0,0,1423,1423,0,0,64,20,18,2,0,0,924,595,460,438,122,7,88,0,0,0,0,0,6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,24,3425,0,0,0,0,2,13,0,0,0,2,11,2,11,Flareon
9-12,11:59:01,NINTEN,Rattata,Youngster Ben,1,Route 3,2,8:46.25,8:46,0h8m46s,0,11,11,15,0:34,5.912,HYPER FANG,TAIL WHIP,TACKLE,QUICK ATTACK,1,1427,65,19,2,127,125,97,4,1468,Flareon, ,Normal,Normal,3828,Rattata 1,Rattata,,00:08:40.34,00:08:46.25,00:34:06.32,15,0,0,8,46,25,HYPER FANG,TAIL WHIP,TACKLE,QUICK ATTACK,6,22,35,30,0,0,0,0,30,39,27,21,18,18,32,725,1266,1069,925,925,1802,15,15,15,15,0,0,0,0,0,0,0,30,21,18,18,32,124771,43376,77674,1714,2007,1,0,0,1427,1427,0,0,65,21,19,2,0,0,1016,654,460,438,124,7,88,0,0,0,0,0,7,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,26,3703,0,0,0,0,2,13,0,0,0,2,11,2,11,Flareon
9-12,11:59:15,NINTEN,Rattata,Bug Catcher,5,Route 3,4,9:00.32,9:00,0h9m0s,0,11,11,16,0:35,11.014,HYPER FANG,TAIL WHIP,TACKLE,QUICK ATTACK,1,1433,66,20,2,131,129,97,4,1633,Flareon, ,Normal,Normal,4303,Rattata 1,Rattata,,00:08:49.32,00:09:00.33,00:35:01.56,16,0,0,9,0,33,HYPER FANG,TAIL WHIP,TACKLE,QUICK ATTACK,2,22,35,30,0,0,0,0,32,41,29,22,19,19,34,905,1376,1239,1015,1015,1962,15,15,15,15,0,0,0,0,0,0,0,32,22,19,19,34,128095,43608,80766,1714,2007,1,0,0,1433,1433,0,0,66,22,20,2,0,0,1191,766,460,438,128,7,88,0,0,0,0,0,7,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,30,4178,0,0,0,0,2,13,0,0,0,2,11,2,11,Flareon
9-12,11:59:26,NINTEN,Rattata,Bug Catcher,6,Route 3,2,9:11.10,9:11,0h9m11s,0,11,11,16,0:35,6.062,HYPER FANG,TAIL WHIP,TACKLE,QUICK ATTACK,1,1441,67,21,2,133,131,97,4,1723,Flareon, ,Normal,Normal,4596,Rattata 1,Rattata,,00:09:05.05,00:09:11.11,00:35:44.24,16,0,0,9,11,11,HYPER FANG,TAIL WHIP,TACKLE,QUICK ATTACK,0,22,35,30,0,0,0,0,32,41,29,22,19,19,34,1000,1426,1329,1060,1060,2037,15,15,15,15,0,0,0,0,0,0,0,32,22,19,19,34,130643,44186,82736,1714,2007,1,0,0,1441,1441,0,0,67,23,21,2,0,0,1289,831,460,438,130,7,88,0,0,0,0,0,8,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,32,4471,0,0,0,0,2,13,0,0,0,2,11,2,11,Flareon
