ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Rattata 2,Rattata,Rival (Lab),00:00:33.43,00:00:43.52,00:02:19.21,6,0,0,0,43,52,TACKLE,TAIL WHIP,,,13,11,9,9,15,0,-2,0,0,0,0,0,13,5,9,9,15,10297,4712,3621,0,1964,0,0,0,71,71,0,0,2,2,1,1,0,0,23,21,9,9,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,5,0,Jolteon
Rattata 2,Rattata,Brock,00:07:56.16,00:08:18.69,00:30:03.45,14,1,0,8,18,69,QUICK ATTACK,TAIL WHIP,TACKLE,HYPER FANG,25,19,17,17,30,0,-2,0,0,0,0,0,25,9,17,17,30,110166,38164,69334,547,2121,1,1,0,1268,1268,0,0,59,19,17,2,0,0,653,506,439,415,118,6,92,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,21,3090,0,0,0,0,3,14,0,0,0,2,11,5,12,Flareon
Rattata 2,Rattata,Rival (Nugget Bridge),00:11:09.64,00:11:33.02,00:42:51.25,19,1,0,11,33,2,HYPER FANG,WATER GUN,TACKLE,QUICK ATTACK,34,26,21,21,40,-1,-1,0,0,0,-1,0,24,17,21,21,40,156226,58192,93572,2341,2121,2,1,0,1977,1977,0,0,81,26,24,2,0,0,1663,1221,468,444,150,10,98,0,0,0,0,0,14,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,42,7031,0,0,0,0,6,14,0,0,0,3,11,5,12,Flareon
Rattata 2,Rattata,Oddish Lass,00:13:45.73,00:13:53.45,00:52:04.37,22,1,0,13,53,45,HYPER FANG,WATER GUN,TACKLE,QUICK ATTACK,39,29,25,25,46,0,0,0,0,0,0,0,43,29,25,25,46,189418,64904,118454,3939,2121,3,1,0,2097,2097,0,0,97,36,34,2,0,0,2781,2115,499,475,177,12,104,0,0,0,0,0,16,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,65,11732,0,0,0,0,7,14,0,0,0,3,11,5,12,Flareon
Rattata 2,Rattata,Rocket,00:14:18.87,00:14:29.69,00:54:27.55,23,1,0,14,29,69,HYPER FANG,WATER GUN,TACKLE,QUICK ATTACK,40,31,26,26,48,0,0,0,0,0,0,0,45,31,26,26,48,198016,70455,121501,3939,2121,3,1,0,2239,2239,0,0,101,37,35,2,0,0,2894,2218,509,485,180,12,105,0,0,0,0,0,16,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,67,12421,0,0,0,0,8,14,0,0,0,3,11,5,12,Flareon
Rattata 2,Rattata,Rival (SS Anne),00:16:14.18,00:16:28.81,01:02:17.18,25,1,0,16,28,81,BODY SLAM,WATER GUN,DIG,QUICK ATTACK,44,33,28,28,52,0,0,0,0,0,0,0,49,33,28,28,52,226179,80977,135520,7561,2121,3,1,0,2573,2573,0,0,124,42,40,2,0,0,3758,2783,529,505,195,19,108,0,0,0,0,0,19,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,79,15912,0,0,0,0,11,21,0,0,0,5,11,5,12,Flareon
Rattata 2,Rattata,Misty,00:17:20.81,00:17:29.68,01:06:17.22,26,1,0,17,29,68,BODY SLAM,WATER GUN,DIG,QUICK ATTACK,46,34,29,29,54,0,0,0,0,0,0,0,51,34,29,29,54,240583,89280,140595,8587,2121,4,1,0,2766,2766,0,0,129,44,42,2,0,0,3964,2932,547,523,200,20,111,0,0,0,0,0,20,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,82,17702,0,0,0,0,11,21,0,0,0,5,11,5,12,Flareon
Rattata 2,Rattata,Lt. Surge,00:18:11.96,00:18:19.61,01:09:34.06,26,1,0,18,19,61,BODY SLAM,BUBBLEBEAM,DIG,QUICK ATTACK,46,34,29,29,54,0,0,0,0,0,0,0,51,34,29,29,54,252387,94599,143353,12314,2121,5,1,0,2976,2976,0,0,139,45,43,2,0,0,4040,3008,600,576,202,21,112,0,0,0,0,0,20,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,83,18434,0,0,0,0,11,21,0,0,0,7,11,5,12,Flareon
Rattata 2,Rattata,RTG1 - Wrapping Lass,00:19:05.41,00:19:17.27,01:13:21.04,27,1,0,19,17,27,BODY SLAM,BUBBLEBEAM,DIG,THUNDERBOLT,47,36,30,30,56,0,0,0,0,0,0,0,52,40,30,30,56,266005,102303,146752,14829,2121,5,1,0,3163,3113,50,0,151,46,44,2,0,0,4291,3198,600,576,206,22,113,0,0,0,0,0,20,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,87,19682,0,0,0,0,11,21,0,0,0,8,11,5,12,Flareon
Rattata 2,Rattata,RTG4 - Status Jr Trainer,00:20:06.71,00:20:13.81,01:17:03.38,28,1,0,20,13,81,BODY SLAM,BUBBLEBEAM,DIG,THUNDERBOLT,49,37,31,31,58,0,0,0,0,0,0,0,55,41,31,31,58,279359,105389,155823,16026,2121,5,1,0,3360,3113,247,0,169,50,48,2,0,0,4919,3686,616,592,216,22,114,0,0,0,0,0,22,0,8,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,11,95,22562,0,0,0,0,11,21,0,0,0,8,11,5,12,Flareon
Rattata 2,Rattata,RTG6 - Finisher,00:20:43.46,00:20:52.83,01:19:37.31,29,1,0,20,52,83,BODY SLAM,BUBBLEBEAM,DIG,THUNDERBOLT,51,39,32,32,60,0,0,0,0,0,0,0,57,43,32,32,60,288592,108942,160914,16615,2121,5,1,0,3526,3113,413,0,188,52,50,2,0,0,5435,3994,624,600,222,22,115,0,0,0,0,0,23,0,8,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,11,101,24802,0,0,0,0,11,21,0,0,0,8,11,5,12,Flareon
Rattata 2,Rattata,Rival (Pokemon Tower),00:23:49.89,00:24:08.09,01:32:27.26,31,1,0,24,8,9,BODY SLAM,BUBBLEBEAM,DIG,THUNDERBOLT,54,41,35,35,67,0,0,0,0,0,0,0,60,46,35,35,67,334787,135274,176593,20799,2121,6,1,0,4222,3662,560,0,240,57,54,3,0,0,6557,4753,635,611,238,27,117,0,0,0,0,0,25,0,8,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,11,113,30556,0,0,0,0,17,40,4,1,1,9,11,5,12,Flareon
Rattata 2,Rattata,Rival (Silph Co.),00:34:26.96,00:34:49.61,02:13:27.37,46,2,0,34,49,61,BODY SLAM,BUBBLEBEAM,DIG,THUNDERBOLT,84,62,54,54,101,0,0,0,0,0,0,0,94,69,54,54,101,482403,188394,252368,39363,2279,8,2,0,5933,4744,1189,0,371,79,73,6,2,0,12809,9054,869,845,317,64,132,0,0,0,0,0,38,0,9,0,0,1,2,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,2,2,0,0,11,174,76601,0,0,0,0,34,40,4,1,1,10,11,5,13,Flareon
Rattata 2,Rattata,Giovanni (Silph),00:35:21.43,00:35:39.90,02:16:46.06,47,2,0,35,39,90,BODY SLAM,BUBBLEBEAM,DIG,THUNDERBOLT,86,64,55,55,103,0,0,0,0,0,0,0,96,72,55,55,103,494312,190943,261116,39975,2279,8,2,0,5956,4767,1189,0,372,81,75,6,2,0,13857,9730,896,872,327,69,134,0,0,0,0,0,39,0,9,0,0,1,2,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,2,2,0,0,11,181,84000,0,0,0,0,34,40,4,1,1,10,11,5,13,Flareon
Rattata 2,Rattata,Erika,00:36:20.22,00:36:33.18,02:20:15.59,48,2,0,36,33,18,BODY SLAM,BUBBLEBEAM,DIG,THUNDERBOLT,88,65,56,56,105,0,0,0,0,0,0,0,99,73,56,56,105,506905,195733,267500,41394,2279,9,2,0,6083,4798,1285,0,385,83,77,6,2,0,14698,10256,934,910,335,69,135,0,0,0,0,0,40,0,10,0,0,1,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,2,2,0,0,11,187,89182,0,0,0,0,34,40,4,1,1,10,11,5,13,Flareon
Rattata 2,Rattata,Koga,00:38:22.04,00:38:48.04,02:29:07.55,49,2,0,38,48,4,BODY SLAM,MIMIC,DIG,THUNDERBOLT,90,67,58,58,107,0,0,0,0,0,0,0,101,75,58,58,107,538821,203223,287454,45866,2279,11,2,0,6234,4949,1285,0,401,88,82,6,2,0,17158,11725,986,962,360,76,142,0,0,0,0,0,46,0,11,0,0,1,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,2,2,0,0,11,202,103295,0,0,0,0,34,40,4,1,1,11,11,5,13,Flareon
Rattata 2,Rattata,Sabrina,00:42:00.20,00:42:09.82,02:42:23.20,52,2,0,42,9,82,BODY SLAM,MIMIC,DIG,THUNDERBOLT,96,72,63,63,116,0,0,0,0,0,0,0,108,81,63,63,130,586546,223547,308860,51861,2279,12,2,0,6878,5462,1285,131,450,95,89,6,2,0,20524,13674,986,962,384,77,143,0,0,0,0,0,50,0,11,0,0,1,5,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,4,2,0,0,11,224,125366,0,0,0,0,41,40,4,1,1,12,11,5,13,Flareon
Rattata 2,Rattata,Blaine,00:44:44.06,00:45:03.70,02:52:28.39,58,3,0,45,3,70,BODY SLAM,MIMIC,DIG,THUNDERBOLT,107,79,71,71,129,0,0,0,0,0,0,0,120,88,71,71,145,622871,242420,317583,60432,2437,13,3,0,7385,5780,1447,158,514,97,91,6,2,0,21533,14385,996,972,394,84,145,0,0,0,0,0,50,0,11,0,0,1,5,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,4,2,0,0,11,230,134276,0,0,0,0,43,45,10,1,1,12,11,5,14,Flareon
Rattata 2,Rattata,Giovanni,00:46:06.70,00:46:41.00,02:58:53.13,60,3,0,46,41,0,BODY SLAM,MIMIC,DIG,THUNDERBOLT,111,83,73,73,134,0,-2,0,0,0,0,6,124,46,82,82,150,645945,249099,332311,62099,2437,14,3,0,7542,5937,1447,158,544,100,94,6,2,0,23410,15608,1136,1112,407,100,149,0,0,0,0,0,51,0,12,0,0,1,5,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,4,2,0,0,11,239,148831,0,0,0,0,43,45,10,1,1,12,11,5,14,Flareon
Rattata 2,Rattata,Rival (Final),00:47:09.03,00:47:37.36,03:02:36.11,60,3,0,47,37,36,BODY SLAM,MIMIC,DIG,THUNDERBOLT,111,83,73,73,134,0,0,0,0,0,0,0,124,93,82,82,150,659323,253740,340080,63067,2437,15,3,0,7682,6023,1501,158,550,101,95,6,2,0,24659,16325,1222,1198,417,102,151,0,0,0,0,0,58,0,12,0,0,1,5,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,4,2,0,0,11,245,158795,0,0,0,0,43,45,10,1,1,12,11,5,14,Flareon
Rattata 2,Rattata,Lorelei,00:53:57.52,00:54:35.22,03:19:36.14,63,8,0,54,35,22,BODY SLAM,MIMIC,DIG,THUNDERBOLT,117,88,78,78,141,0,0,5,5,0,0,0,208,156,307,307,250,720531,281584,365778,70576,2594,18,4,0,8391,6497,1700,194,718,107,100,7,3,0,28291,18820,1450,1426,446,106,157,0,0,0,0,0,63,0,12,0,0,1,6,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,4,2,0,0,11,262,189596,0,0,0,0,45,49,10,1,1,12,11,5,19,Flareon
Rattata 2,Rattata,Bruno,00:54:51.07,00:55:34.38,03:23:30.17,64,8,0,55,34,38,BODY SLAM,MIMIC,DIG,THUNDERBOLT,119,89,79,79,143,0,0,0,0,0,0,6,133,100,88,88,160,734574,282505,376904,72572,2594,19,4,0,8402,6508,1700,194,719,108,101,7,3,0,29256,19479,1583,1559,457,120,161,0,0,0,0,0,65,0,13,0,0,1,6,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,4,2,0,0,11,267,197803,0,0,0,0,45,49,10,1,1,12,11,5,19,Flareon
Rattata 2,Rattata,Agatha,00:55:49.29,00:56:24.41,03:26:47.47,65,8,0,56,24,41,BODY SLAM,MIMIC,DIG,THUNDERBOLT,122,91,81,81,146,0,0,0,0,0,0,0,137,102,91,91,164,746424,283450,386058,74323,2594,20,4,0,8413,6519,1700,194,720,109,102,7,3,0,30541,20212,1731,1707,466,124,164,0,0,0,0,0,65,0,15,0,0,2,7,0,0,0,0,0,0,3,0,0,0,0,4,1,0,0,0,0,5,3,0,0,11,272,207889,0,0,0,0,45,49,10,1,1,12,11,5,19,Flareon
