date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
5-13,21:41:30,NINTEN,Roselia,Rival1-Lab,1,Pallet Town - Oak's Lab,1,46.36,46,0h0m46s,0,0,0,6,0:02,11.406,ABSORB,GROWTH,,,0,71,5,1,1,5,5,4,0,3000,Jolteon, ,Grass,Poison,232,Roselia1,Roselia,Rival (Lab),00:00:34.96,00:00:46.36,00:02:29.53,6,0,0,0,46,36,ABSORB,GROWTH,,,17,38,0,0,0,0,0,0,15,23,14,12,18,18,14,55,55,50,65,65,55,15,15,15,15,0,-1,2,2,0,0,0,14,7,36,36,14,10972,5010,3955,0,2007,0,0,0,71,71,0,0,5,2,1,1,0,0,23,21,18,18,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,1,0,Jolteon
5-13,21:43:25,NINTEN,Roselia,Bug Catcher,3,Viridian Forest,1,2:41.09,2:41,0h2m41s,0,0,0,8,0:10,19.228,ABSORB,GROWTH,,,0,655,36,2,3,18,18,17,2,375,Flareon, ,Grass,Poison,344,Roselia1,Roselia,,00:02:21.86,00:02:41.09,00:10:03.45,8,0,0,2,41,9,ABSORB,GROWTH,,,12,35,0,0,0,0,0,0,20,28,17,14,23,23,17,100,85,85,85,85,100,15,15,15,15,0,0,3,3,-6,0,0,17,14,57,57,4,38204,23119,13078,0,2007,0,0,0,655,655,0,0,36,5,2,3,0,0,64,62,43,43,11,1,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,209,0,0,0,0,2,10,0,1,1,0,0,1,0,Flareon
5-13,21:43:56,NINTEN,Roselia,Jr Trainer M,1,Pewter City - Gym,2,3:12.45,3:12,0h3m12s,0,0,0,10,0:12,15.178,ABSORB,GROWTH,POISON STING,,0,769,37,3,3,23,23,21,2,475,Flareon, ,Grass,Poison,678,Roselia1,Roselia,,00:02:57.28,00:03:12.45,00:12:07.32,10,0,0,3,12,45,ABSORB,GROWTH,POISON STING,,16,39,35,0,0,0,0,0,31,33,20,17,28,28,21,160,215,195,160,160,235,15,15,15,15,0,0,1,1,0,0,0,20,17,42,42,21,45631,26424,17200,0,2007,0,0,0,769,769,0,0,37,6,3,3,0,0,135,113,64,64,15,1,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,543,0,0,0,0,2,10,0,1,1,1,0,1,0,Flareon
5-13,21:44:11,NINTEN,Roselia,Brock,1,Pewter City - Gym,2,3:27.06,3:27,0h3m27s,0,0,0,12,0:13,10.242,ABSORB,GROWTH,POISON STING,,0,773,38,4,3,26,26,22,2,655,Flareon, ,Grass,Poison,1138,Roselia1,Roselia,Brock,00:03:16.82,00:03:27.06,00:13:05.16,12,0,0,3,27,6,ABSORB,GROWTH,POISON STING,,14,38,35,0,0,0,0,0,38,38,23,20,32,32,24,235,340,455,220,220,325,15,15,15,15,0,0,1,1,0,0,0,23,20,48,48,24,49095,26884,20204,0,2007,0,0,0,773,773,0,0,38,7,4,3,0,0,241,174,70,70,17,1,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1003,0,0,0,0,2,10,0,1,1,1,0,1,0,Flareon
5-13,21:44:43,NINTEN,Roselia,Bug Catcher,4,Route 3,3,3:59.74,3:59,0h3m59s,0,0,0,13,0:15,19.602,ABSORB,GROWTH,POISON STING,STUN SPORE,0,846,38,5,3,35,35,29,3,1843,Flareon, ,Grass,Poison,1473,Roselia1,Roselia,,00:03:40.14,00:03:59.74,00:15:14.38,13,0,0,3,59,74,ABSORB,GROWTH,POISON STING,STUN SPORE,14,38,26,30,0,0,0,0,28,40,25,21,35,35,26,365,435,555,280,280,465,15,15,15,15,0,0,0,0,-1,0,0,28,21,35,35,17,56857,28987,25863,0,2007,0,0,0,846,846,0,0,38,8,5,3,0,0,335,263,82,82,26,3,26,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1338,0,0,0,0,2,10,0,1,1,2,0,1,0,Flareon
5-13,21:45:07,NINTEN,Roselia,Youngster Ben,1,Route 3,2,4:23.86,4:23,0h4m23s,0,0,0,14,0:16,20.738,ABSORB,GROWTH,POISON STING,STUN SPORE,0,850,38,6,3,46,43,35,3,1943,Flareon, ,Grass,Poison,1751,Roselia1,Roselia,,00:04:03.11,00:04:23.86,00:16:49.59,14,0,0,4,23,86,ABSORB,GROWTH,POISON STING,STUN SPORE,8,36,26,30,0,0,0,0,12,42,26,22,37,37,28,430,551,634,345,345,592,15,15,15,15,0,0,2,2,0,0,0,29,22,74,74,28,62578,29292,31279,0,2007,0,0,0,850,850,0,0,38,9,6,3,0,0,420,322,127,127,32,3,32,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1616,0,0,0,0,2,10,0,1,1,2,0,1,0,Flareon
5-13,21:45:37,NINTEN,Roselia,Bug Catcher,5,Route 3,4,4:53.14,4:53,0h4m53s,0,0,0,15,0:18,23.712,ABSORB,GROWTH,POISON STING,STUN SPORE,0,856,39,7,3,58,55,43,3,2108,Flareon, ,Grass,Poison,2226,Roselia1,Roselia,,00:04:29.43,00:04:53.14,00:18:45.37,15,0,0,4,53,14,ABSORB,GROWTH,POISON STING,STUN SPORE,8,36,14,30,0,0,0,0,33,45,28,24,40,40,29,610,661,804,435,435,752,15,15,15,15,0,0,0,0,-1,0,0,31,24,40,40,19,69516,29678,37403,428,2007,0,0,0,856,856,0,0,39,10,7,3,0,0,546,434,129,129,44,3,34,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2091,0,0,0,0,2,10,0,1,1,2,0,1,0,Flareon
5-13,21:45:51,NINTEN,Roselia,Bug Catcher,6,Route 3,2,5:07.01,5:07,0h5m7s,0,0,0,15,0:19,9.753,ABSORB,GROWTH,POISON STING,STUN SPORE,0,864,40,8,3,62,59,45,3,2198,Flareon, ,Grass,Poison,2519,Roselia1,Roselia,,00:04:57.26,00:05:07.01,00:19:40.20,15,0,0,5,7,1,ABSORB,GROWTH,POISON STING,STUN SPORE,8,36,10,30,0,0,0,0,33,45,28,24,40,40,29,705,711,894,480,480,827,15,15,15,15,0,0,0,0,-1,0,0,34,24,40,40,19,72799,30124,40240,428,2007,0,0,0,864,864,0,0,40,11,8,3,0,0,616,499,129,129,48,3,35,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2384,0,0,0,0,2,10,0,1,1,2,0,1,0,Flareon
5-13,21:46:26,NINTEN,Roselia,Hiker,1,Mt Moon - 1,3,5:42.84,5:42,0h5m42s,0,0,0,16,0:22,10.13,ABSORB,GROWTH,POISON STING,STUN SPORE,0,1109,50,9,3,65,62,45,4,2308,Flareon, ,Grass,Poison,3116,Roselia1,Roselia,,00:05:32.71,00:05:42.84,00:22:02.02,16,0,0,5,42,84,ABSORB,GROWTH,POISON STING,STUN SPORE,17,40,35,30,0,0,0,0,47,47,30,25,42,42,31,820,916,1254,570,570,937,15,15,15,15,0,0,0,0,0,0,0,33,25,42,42,31,81301,35815,43051,428,2007,0,0,0,1109,1109,0,0,50,12,9,3,0,0,866,585,129,129,51,3,35,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2981,0,0,0,0,3,10,0,1,1,2,0,1,0,Flareon
5-13,21:47:08,NINTEN,Roselia,Fossil Nerd,2,Mt Moon - 3,3,6:23.88,6:23,0h6m23s,0,0,0,18,0:24,27.917,MEGA DRAIN,GROWTH,POISON STING,ABSORB,0,1230,56,10,3,75,72,52,4,2658,Flareon, ,Grass,Poison,3903,Roselia1,Roselia,,00:05:55.97,00:06:23.88,00:24:44.39,18,0,0,6,23,88,MEGA DRAIN,GROWTH,POISON STING,ABSORB,7,37,35,13,0,0,0,0,52,52,33,28,47,47,35,980,1091,1449,725,725,1097,15,15,15,15,0,0,3,3,0,0,0,37,28,117,117,35,91058,38525,50098,428,2007,0,0,0,1230,1230,0,0,56,13,10,3,0,0,1015,694,148,148,58,5,41,0,0,0,0,0,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3768,0,0,0,0,3,10,0,1,1,3,0,1,0,Flareon
5-13,21:47:33,NINTEN,Roselia,Rocket,42,Mt Moon - 3,3,6:48.91,6:48,0h6m48s,0,0,0,19,0:26,17.124,MEGA DRAIN,GROWTH,POISON STING,ABSORB,0,1246,57,11,3,82,79,56,5,2958,Flareon, ,Grass,Poison,4638,Roselia1,Roselia,,00:06:31.78,00:06:48.91,00:26:23.42,19,0,0,6,48,91,MEGA DRAIN,GROWTH,POISON STING,ABSORB,2,35,35,13,0,0,0,0,55,55,35,29,50,50,37,1095,1261,1623,865,865,1277,15,15,15,15,0,0,2,2,0,0,0,39,29,100,100,37,97001,39997,54569,428,2007,0,0,0,1246,1246,0,0,57,14,11,3,0,0,1140,804,154,154,63,7,43,0,0,0,0,0,13,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,4503,0,0,0,0,3,10,0,1,1,3,0,1,0,Flareon
5-13,21:47:58,NINTEN,Roselia,Swimmer,1,Cerulean City - Gym,2,7:14.07,7:14,0h7m14s,0,0,0,19,0:28,6.543,MEGA DRAIN,GROWTH,POISON STING,ABSORB,0,1384,61,12,3,84,81,56,5,3378,Flareon, ,Grass,Poison,5252,Roselia1,Roselia,,00:07:07.53,00:07:14.07,00:28:02.53,19,0,0,7,14,7,MEGA DRAIN,GROWTH,POISON STING,ABSORB,8,40,35,20,0,0,0,0,55,55,35,29,50,50,37,1155,1366,1793,980,980,1377,15,15,15,15,0,0,0,0,0,0,0,39,29,50,50,37,102952,43920,56597,428,2007,0,0,0,1384,1384,0,0,61,15,12,3,0,0,1230,880,154,154,65,7,43,0,0,0,0,0,13,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,5117,0,0,0,0,3,10,0,1,1,3,0,1,0,Flareon
