date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
8-14,15:21:17,NINTEN,Sableye,Rival1-Lab,1,Pallet Town - Oak's Lab,1,44.88,44,0h0m44s,0,0,0,6,0:02,10.926,SCRATCH,LEER,,,0,71,3,1,1,5,5,4,0,3000,Jolteon, ,Dark,Ghost,232,Sableye2,Sableye,Rival (Lab),00:00:33.95,00:00:44.88,00:02:23.42,6,0,0,0,44,88,SCRATCH,LEER,,,30,30,0,0,0,0,0,0,23,23,15,15,14,14,12,55,55,50,65,65,55,15,15,15,15,0,-2,0,0,0,0,0,15,7,14,14,12,10624,4745,3849,0,2030,0,0,0,71,71,0,0,3,2,1,1,0,0,25,21,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,2,0,Jolteon
8-14,15:22:57,NINTEN,Sableye,Bug Catcher,3,Viridian Forest,1,2:24.64,2:24,0h2m24s,0,0,0,8,0:08,14.801,SCRATCH,LEER,,,0,624,24,2,3,14,14,13,3,75,Flareon, ,Dark,Ghost,344,Sableye2,Sableye,,00:02:09.84,00:02:24.64,00:08:58.07,8,0,0,2,24,64,SCRATCH,LEER,,,28,28,0,0,0,0,0,0,28,28,19,19,17,17,15,100,85,85,85,85,100,15,15,15,15,0,0,0,0,-5,0,0,19,19,17,17,4,34289,21401,10858,0,2030,0,0,0,624,624,0,0,24,5,2,3,0,0,70,63,0,0,14,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,209,0,0,0,0,1,13,0,1,1,0,0,2,0,Flareon
8-14,15:24:17,NINTEN,Sableye,Brock,1,Pewter City - Gym,2,3:44.62,3:44,0h3m44s,0,0,0,11,0:14,67.657,SCRATCH,LEER,,,0,728,48,3,3,68,52,42,3,175,Flareon, ,Dark,Ghost,804,Sableye2,Sableye,Brock,00:02:36.97,00:03:44.62,00:14:15.41,11,0,0,3,44,62,SCRATCH,LEER,,,10,8,0,0,0,0,0,0,17,35,25,25,22,22,19,175,210,345,145,145,190,15,15,15,15,0,-6,0,0,0,0,0,25,6,22,22,19,53343,23829,27484,0,2030,0,0,0,728,728,0,0,48,6,3,3,0,0,138,124,18,18,52,1,36,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,669,0,0,0,0,1,13,0,1,1,0,0,2,0,Flareon
8-14,15:24:56,NINTEN,Sableye,Bug Catcher,4,Route 3,3,4:23.80,4:23,0h4m23s,0,0,0,12,0:16,19.321,SCRATCH,LEER,,,0,839,49,4,3,76,60,50,4,1363,Flareon, ,Dark,Ghost,1139,Sableye2,Sableye,,00:04:04.48,00:04:23.80,00:16:50.43,12,0,0,4,23,80,SCRATCH,LEER,,,27,30,0,0,0,0,0,0,37,38,27,27,24,24,21,305,305,445,205,205,330,15,15,15,15,0,0,0,0,-6,0,0,41,27,24,24,5,62645,27523,33092,0,2030,0,0,0,839,839,0,0,49,7,4,3,0,0,246,213,19,19,60,2,43,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1004,0,0,0,0,1,13,0,1,1,0,0,2,0,Flareon
8-14,15:25:14,NINTEN,Sableye,Youngster Ben,1,Route 3,2,4:41.82,4:41,0h4m41s,0,0,0,13,0:18,14.661,SCRATCH,LEER,NIGHT SHADE,,0,843,49,5,3,84,66,55,4,1463,Flareon, ,Dark,Ghost,1417,Sableye2,Sableye,,00:04:27.16,00:04:41.82,00:18:01.57,13,0,0,4,41,82,SCRATCH,LEER,NIGHT SHADE,,24,30,12,0,0,0,0,0,39,40,28,29,26,26,22,370,421,524,270,270,457,15,15,15,15,0,-1,0,0,0,0,0,31,19,26,26,22,66919,27816,37073,0,2030,0,0,0,843,843,0,0,49,8,5,3,0,0,319,272,19,19,66,2,47,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1282,0,0,0,0,1,13,0,1,1,1,0,2,0,Flareon
8-14,15:25:36,NINTEN,Sableye,Bug Catcher,5,Route 3,4,5:03.42,5:03,0h5m3s,0,0,0,14,0:19,18.792,SCRATCH,LEER,NIGHT SHADE,,0,847,50,6,3,93,75,60,4,1628,Flareon, ,Dark,Ghost,1892,Sableye2,Sableye,,00:04:44.63,00:05:03.42,00:19:27.14,14,0,0,5,3,42,SCRATCH,LEER,NIGHT SHADE,,16,30,11,0,0,0,0,0,41,42,30,31,27,27,24,550,531,694,360,360,617,15,15,15,15,0,0,0,0,0,0,0,33,31,27,27,24,72036,27990,42016,0,2030,0,0,0,847,847,0,0,50,9,6,3,0,0,442,384,19,19,75,3,48,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1757,0,0,0,0,1,13,0,1,1,1,0,2,0,Flareon
8-14,15:25:54,NINTEN,Sableye,Bug Catcher,6,Route 3,2,5:21.35,5:21,0h5m21s,0,0,0,15,0:20,14.211,SCRATCH,LEER,NIGHT SHADE,,0,855,51,7,3,99,81,66,4,1718,Flareon, ,Dark,Ghost,2185,Sableye2,Sableye,,00:05:07.14,00:05:21.35,00:20:38.08,15,0,0,5,21,35,SCRATCH,LEER,NIGHT SHADE,,12,30,9,0,0,0,0,0,44,45,32,33,29,29,25,645,581,784,405,405,692,15,15,15,15,0,0,0,0,-2,0,0,36,33,29,29,12,76290,28344,45916,0,2030,0,0,0,855,855,0,0,51,10,7,3,0,0,524,449,19,19,81,3,51,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2050,0,0,0,0,1,13,0,1,1,1,0,2,0,Flareon
8-14,15:26:31,NINTEN,Sableye,Super Nerd,1,Mt Moon - 1,2,5:59.11,5:59,0h5m59s,0,0,0,16,0:23,11.791,SCRATCH,NIGHT SHADE,LEER,WATER GUN,0,1058,55,8,3,103,85,69,4,1828,Flareon, ,Dark,Ghost,2634,Sableye2,Sableye,,00:05:47.32,00:05:59.11,00:23:07.28,16,0,0,5,59,11,SCRATCH,NIGHT SHADE,LEER,WATER GUN,33,13,30,25,0,0,0,0,47,47,34,34,31,31,26,710,646,904,555,555,837,15,15,15,15,0,-2,0,0,0,0,0,38,17,31,31,26,85250,33379,49116,725,2030,0,0,0,1058,1058,0,0,55,11,8,3,0,0,588,508,19,19,85,3,54,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2499,0,0,0,0,2,13,0,1,1,2,0,2,0,Flareon
8-14,15:27:06,NINTEN,Sableye,Hiker,1,Mt Moon - 1,3,6:33.55,6:33,0h6m33s,0,0,0,17,0:25,13.014,MEGA PUNCH,NIGHT SHADE,SCRATCH,WATER GUN,0,1194,60,9,3,106,88,69,5,2103,Flareon, ,Dark,Ghost,3231,Sableye2,Sableye,,00:06:20.54,00:06:33.55,00:25:23.31,17,0,0,6,33,55,MEGA PUNCH,NIGHT SHADE,SCRATCH,WATER GUN,20,13,33,22,0,0,0,0,50,50,36,37,33,33,28,825,851,1264,645,645,947,15,15,15,15,0,0,0,0,0,0,0,40,37,33,33,28,93413,36681,52611,2091,2030,0,0,0,1194,1194,0,0,60,12,9,3,0,0,785,594,19,19,88,3,54,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3096,0,0,0,0,4,13,0,1,1,3,0,2,0,Flareon
8-14,15:27:32,NINTEN,Sableye,Fossil Nerd,2,Mt Moon - 3,3,6:59.60,6:59,0h6m59s,0,0,0,18,0:27,14.18,MEGA PUNCH,NIGHT SHADE,SCRATCH,WATER GUN,0,1315,60,10,3,112,94,73,5,2453,Flareon, ,Dark,Ghost,4018,Sableye2,Sableye,,00:06:45.41,00:06:59.60,00:27:06.23,18,0,0,6,59,60,MEGA PUNCH,NIGHT SHADE,SCRATCH,WATER GUN,18,9,33,22,0,0,0,0,52,52,38,39,35,35,29,985,1026,1459,800,800,1107,15,15,15,15,0,0,0,0,0,0,0,42,39,35,35,29,99585,39103,56361,2091,2030,0,0,0,1315,1315,0,0,60,13,10,3,0,0,906,703,19,19,94,4,57,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3883,0,0,0,0,4,13,0,1,1,3,0,2,0,Flareon
