player_name,pokemon,trainer_name,real_time_hmmss,resets,blackouts,level,game_time,battle_duration,move1,move2,move3,move4
NINTEN,Sandile,Rival1-Lab,47,0,0,6,0:02,12.004,LEER,RAGE,,
NINTEN,Sandile,Brock,8:08,0,0,16,0:31,30.869,BITE,RAGE,LEER,SAND-ATTACK
NINTEN,Sandile,Rival2-Nugget Bridge,12:09,0,0,22,0:47,28.07,DIG,BITE,LEER,SAND-ATTACK
NINTEN,Sandile,Cerulean Rocket,15:22,0,0,26,1:00,7.552,DIG,BITE,LEER,SAND-ATTACK
NINTEN,Sandile,Rival3-SS Anne,17:40,0,0,28,1:09,12.378,BODY SLAM,BITE,SAND-ATTACK,DIG
NINTEN,Sandile,Misty,19:15,1,0,30,1:14,8.021,BODY SLAM,BITE,SAND-ATTACK,DIG
NINTEN,Sandile,Surge,20:08,1,0,30,1:17,5.561,BODY SLAM,BITE,SAND-ATTACK,DIG
NINTEN,Sandile,Rival4-Pkmn Tower,25:58,1,0,34,1:40,24.677,EARTHQUAKE,BODY SLAM,ROCK SLIDE,DIG
NINTEN,Sandile,Rival5-Silph,33:26,1,0,42,2:10,22.086,EARTHQUAKE,ROCK SLIDE,SWORDS DANCE,DIG
NINTEN,Sandile,Sabrina,34:59,1,0,44,2:16,17.814,EARTHQUAKE,ROCK SLIDE,SWORDS DANCE,DIG
NINTEN,Sandile,Koga,37:19,1,0,50,2:25,17.235,EARTHQUAKE,ROCK SLIDE,SWORDS DANCE,DIG
NINTEN,Sandile,Blaine,39:37,1,0,51,2:34,12.967,EARTHQUAKE,ROCK SLIDE,SWORDS DANCE,DIG
NINTEN,Sandile,Erika,40:43,1,0,52,2:39,14.487,EARTHQUAKE,ROCK SLIDE,SWORDS DANCE,DIG
NINTEN,Sandile,Giovanni,42:54,1,0,57,2:47,18.271,EARTHQUAKE,ROCK SLIDE,SWORDS DANCE,DIG
NINTEN,Sandile,Rival6-Route 22,43:57,1,0,58,2:51,27.65,EARTHQUAKE,ROCK SLIDE,SWORDS DANCE,DIG
NINTEN,Sandile,Lorelei,50:28,15,0,59,3:01,25.025,EARTHQUAKE,ROCK SLIDE,SWORDS DANCE,DIG
NINTEN,Sandile,Bruno,51:02,15,0,60,3:04,19.003,EARTHQUAKE,ROCK SLIDE,SWORDS DANCE,DIG
NINTEN,Sandile,Agatha,51:45,15,0,61,3:07,33.06,EARTHQUAKE,ROCK SLIDE,SWORDS DANCE,DIG
NINTEN,Sandile,Lance,53:56,22,0,62,3:10,23.256,EARTHQUAKE,ROCK SLIDE,SWORDS DANCE,DIG
NINTEN,Sandile,Champion,55:20,23,0,64,3:14,34.496,EARTHQUAKE,ROCK SLIDE,SWORDS DANCE,REST
NINTEN,Sandile,Champion,55:20,23,0,64,3:15,58.406,EARTHQUAKE,ROCK SLIDE,SWORDS DANCE,REST
