date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
8-28,15:10:25,NINTEN,Sandile,Bug Catcher,1,Viridian Forest,2,3:03.01,3:03,0h3m3s,0,1,1,8,0:11,20.045,RAGE,LEER,,,0,535,16,2,8,28,28,23,4,0,Vaporeon, ,Ground,Dark,386,Sandile1,Sandile,,00:02:42.96,00:03:03.01,00:11:28.28,8,0,0,3,3,1,RAGE,LEER,,,19,30,0,0,0,0,0,0,9,28,19,13,13,13,18,240,251,225,170,170,330,15,15,15,15,5,0,0,0,-1,0,0,66,13,13,13,11,43316,22525,18755,0,2036,0,0,0,535,535,0,0,16,10,2,8,2,0,142,119,77,74,27,5,19,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,251,0,0,0,0,0,12,0,0,0,0,1,1,1,Vaporeon
8-28,15:11:00,NINTEN,Sandile,Bug Catcher,2,Viridian Forest,3,3:38.03,3:38,0h3m38s,0,1,1,10,0:13,28.101,RAGE,LEER,BITE,,0,557,16,3,8,44,44,36,4,70,Vaporeon, ,Ground,Dark,635,Sandile1,Sandile,,00:03:09.94,00:03:38.03,00:13:47.07,10,0,0,3,38,3,RAGE,LEER,BITE,,18,30,25,0,0,0,0,0,29,33,22,15,15,15,21,385,321,370,240,240,435,15,15,15,15,2,0,0,0,0,0,0,44,15,15,15,21,51635,23231,25887,481,2036,0,0,0,557,557,0,0,16,11,3,8,2,0,217,185,81,78,43,6,21,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,500,0,0,0,0,0,12,0,0,0,0,1,1,1,Vaporeon
8-28,15:11:25,NINTEN,Sandile,Lass,19,Viridian Forest,2,4:02.92,4:02,0h4m2s,0,1,1,11,0:15,9.667,BITE,LEER,RAGE,,0,619,22,4,9,49,49,39,3,130,Vaporeon, ,Ground,Dark,786,Sandile1,Sandile,,00:03:53.26,00:04:02.92,00:15:25.16,11,0,0,4,2,92,BITE,LEER,RAGE,,20,30,18,0,0,0,0,0,20,35,24,16,16,16,23,486,425,462,320,320,526,15,15,15,15,0,0,0,0,0,0,0,24,16,16,16,23,57524,24469,30538,481,2036,0,0,0,619,619,0,0,22,13,4,9,2,0,293,247,92,89,48,6,24,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,651,0,0,0,0,0,12,0,1,1,1,1,1,1,Vaporeon
8-28,15:11:51,NINTEN,Sandile,Rival1a-Route 22,2,Route 22,2,4:29.06,4:29,0h4m29s,0,1,1,12,0:17,9,BITE,LEER,RAGE,,1,747,32,5,9,53,53,41,3,220,Vaporeon, ,Ground,Dark,1054,Sandile1,Sandile,Rival (Optional),00:04:20.06,00:04:29.06,00:17:08.32,12,0,0,4,29,6,BITE,LEER,RAGE,,16,30,18,0,0,0,0,0,17,38,26,17,17,17,24,581,540,542,416,416,651,15,15,15,15,0,0,0,0,0,0,0,26,17,17,17,24,63720,27509,33147,1028,2036,1,0,0,747,747,0,0,32,14,5,9,2,0,365,302,98,95,52,7,25,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,919,0,0,0,0,0,12,0,1,1,1,1,1,1,Vaporeon
8-28,15:12:36,NINTEN,Sandile,Bug Catcher,15,Viridian Forest,2,5:14.33,5:14,0h5m14s,0,1,1,13,0:20,9.175,BITE,LEER,RAGE,,1,929,44,6,13,61,61,43,3,500,Vaporeon, ,Ground,Dark,1385,Sandile1,Sandile,,00:05:05.16,00:05:14.33,00:20:06.46,13,0,0,5,14,33,BITE,LEER,RAGE,,8,30,18,0,0,0,0,0,14,40,28,18,18,18,26,871,717,809,566,566,887,15,15,15,15,0,0,0,0,0,0,0,28,18,18,18,26,74414,31953,39397,1028,2036,1,0,0,929,929,0,0,44,19,6,13,2,0,536,423,103,100,60,7,27,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,1250,0,0,0,0,1,12,0,1,1,1,1,1,1,Vaporeon
8-28,15:13:04,NINTEN,Sandile,Bug Catcher,3,Viridian Forest,1,5:42.56,5:42,0h5m42s,0,1,1,14,0:21,5.783,BITE,LEER,RAGE,,1,997,47,7,17,67,67,44,3,580,Vaporeon, ,Ground,Dark,1627,Sandile1,Sandile,,00:05:36.78,00:05:42.56,00:21:57.35,14,0,0,5,42,56,BITE,LEER,RAGE,,2,30,18,0,0,0,0,0,17,43,30,20,19,19,28,1101,857,1004,671,671,1097,15,15,15,15,0,0,0,0,-1,0,0,30,20,19,19,18,81063,33368,44631,1028,2036,1,0,0,997,997,0,0,47,24,7,17,2,0,684,523,103,100,66,7,28,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,1492,0,0,0,0,2,12,0,1,1,1,1,1,1,Vaporeon
8-28,15:13:36,NINTEN,Sandile,Jr Trainer M,1,Pewter City - Gym,2,6:13.90,6:13,0h6m13s,0,1,1,14,0:24,9.227,BITE,LEER,RAGE,,1,1117,49,8,18,72,72,46,3,680,Vaporeon, ,Ground,Dark,1998,Sandile1,Sandile,,00:06:04.67,00:06:13.90,00:24:01.00,14,0,0,6,13,90,BITE,LEER,RAGE,,21,30,20,0,0,0,0,0,33,43,30,20,19,19,28,1206,1017,1149,766,766,1277,15,15,15,15,0,0,0,0,0,0,0,30,20,19,19,28,88468,37194,48210,1028,2036,1,0,0,1117,1117,0,0,49,26,8,18,2,0,792,593,113,110,71,7,30,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,1863,0,0,0,0,3,12,0,1,1,1,1,1,1,Vaporeon
8-28,15:14:14,NINTEN,Sandile,Brock,1,Pewter City - Gym,2,6:52.66,6:52,0h6m52s,0,1,1,15,0:26,30.421,BITE,LEER,RAGE,,2,1121,50,9,18,90,88,57,3,860,Vaporeon, ,Ground,Dark,2458,Sandile1,Sandile,Brock,00:06:22.24,00:06:52.66,00:26:34.33,15,0,0,6,52,66,BITE,LEER,RAGE,,15,20,20,0,0,0,0,0,8,45,32,21,21,21,30,1281,1142,1409,826,826,1367,15,15,15,15,0,-6,0,0,0,0,0,32,5,21,21,30,97681,37735,56037,1873,2036,2,0,0,1121,1121,0,0,50,27,9,18,2,0,864,654,150,147,86,10,39,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,2323,0,0,0,0,3,12,0,1,1,1,1,1,1,Vaporeon
8-28,15:14:46,NINTEN,Sandile,Bug Catcher,4,Route 3,3,7:24.33,7:24,0h7m24s,0,1,1,16,0:28,11.871,BITE,LEER,RAGE,SAND-ATTACK,2,1232,51,10,18,95,93,59,4,2048,Vaporeon, ,Ground,Dark,2793,Sandile1,Sandile,,00:07:12.46,00:07:24.33,00:28:39.44,16,0,0,7,24,33,BITE,LEER,RAGE,SAND-ATTACK,20,30,20,15,0,0,0,0,48,48,34,22,22,22,32,1411,1237,1509,886,886,1507,15,15,15,15,0,0,0,0,-2,0,0,42,22,22,22,16,105192,41417,59866,1873,2036,2,0,0,1232,1232,0,0,51,28,10,18,2,0,1003,743,150,147,91,10,41,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,2658,0,0,0,0,3,12,0,1,1,2,1,1,1,Vaporeon
8-28,15:14:58,NINTEN,Sandile,Youngster Ben,1,Route 3,2,7:36.32,7:36,0h7m36s,0,1,1,16,0:29,8.525,BITE,LEER,RAGE,SAND-ATTACK,2,1236,51,11,18,99,97,61,4,2148,Vaporeon, ,Ground,Dark,3071,Sandile1,Sandile,,00:07:27.80,00:07:36.32,00:29:26.59,16,0,0,7,36,32,BITE,LEER,RAGE,SAND-ATTACK,16,30,20,15,0,0,0,0,41,48,34,22,22,22,32,1476,1353,1588,951,951,1634,15,15,15,15,0,0,0,0,0,0,0,38,22,22,22,32,108027,41722,62396,1873,2036,2,0,0,1236,1236,0,0,51,29,11,18,2,0,1096,802,157,154,95,10,43,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,2936,0,0,0,0,3,12,0,1,1,2,1,1,1,Vaporeon
