ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Sandile7,Sandile,Rival (Lab),00:00:34.03,00:00:47.26,00:02:33.31,6,0,0,0,47,26,RAGE,LEER,,,15,11,11,11,14,0,-5,0,0,0,0,0,15,3,11,11,14,11192,4786,4397,0,2009,0,0,0,71,71,0,0,5,2,1,1,0,0,25,21,0,0,7,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,7,0,Jolteon
Sandile7,Sandile,Rival (Optional),00:05:05.78,00:05:14.66,00:20:07.54,14,0,0,5,14,66,BITE,LEER,RAGE,,30,20,19,19,28,0,0,0,0,0,0,0,30,20,19,19,28,74455,29649,42797,0,2009,0,0,0,859,859,0,0,58,24,5,19,0,0,728,544,51,51,69,4,33,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1478,0,0,0,0,1,13,0,1,1,1,0,7,0,Flareon
Sandile7,Sandile,Brock,00:07:12.00,00:07:42.01,00:29:48.51,17,0,0,7,42,1,BITE,LEER,RAGE,SAND-ATTACK,36,23,23,23,34,0,0,0,0,0,0,0,36,23,23,23,34,109312,39861,67107,335,2009,0,0,0,1261,1261,0,0,69,39,9,30,0,0,1335,951,80,80,108,16,41,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,3020,0,0,0,0,2,13,0,1,1,2,0,7,0,Jolteon
Sandile7,Sandile,Rival (Nugget Bridge),00:11:11.92,00:11:30.73,00:44:51.00,22,0,0,11,30,73,DIG,BITE,RAGE,SAND-ATTACK,46,30,29,29,43,0,-1,0,0,0,0,0,51,19,29,29,43,163441,61162,99497,773,2009,0,0,0,1988,1988,0,0,106,50,20,30,0,0,2833,1942,110,110,153,20,53,0,0,0,0,0,14,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,74,8371,0,0,0,0,5,13,0,1,1,3,0,7,0,Jolteon
Sandile7,Sandile,Oddish Lass,00:13:51.23,00:14:02.78,00:54:50.28,26,0,0,14,2,78,DIG,BITE,RAGE,SAND-ATTACK,54,35,34,34,51,0,0,0,0,0,0,0,60,35,34,34,51,199409,68074,127657,1669,2009,0,0,0,2104,2104,0,0,120,61,31,30,0,0,5255,2877,140,140,180,33,57,0,0,0,0,0,16,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,98,13465,0,0,0,0,6,13,0,1,1,3,0,7,0,Jolteon
Sandile7,Sandile,Rocket,00:14:28.34,00:14:36.28,00:57:02.53,26,0,0,14,36,28,DIG,BITE,RAGE,SAND-ATTACK,54,35,34,34,51,0,0,0,0,0,0,0,60,35,34,34,51,207354,73632,130044,1669,2009,0,0,0,2247,2247,0,0,124,62,32,30,0,0,5414,2980,140,140,183,33,57,0,0,0,0,0,16,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100,14154,0,0,0,0,7,13,0,1,1,3,0,7,0,Jolteon
Sandile7,Sandile,Rival (SS Anne),00:16:50.00,00:17:01.66,01:06:35.38,28,0,0,17,1,66,BODY SLAM,BITE,SAND-ATTACK,DIG,58,38,37,37,55,0,0,0,0,0,0,0,65,38,37,37,55,241719,87335,148339,4036,2009,0,0,0,2690,2690,0,0,175,69,39,30,0,0,7134,3711,165,165,199,40,60,0,0,0,0,0,17,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,116,19160,0,0,0,0,13,16,0,1,1,4,0,7,0,Jolteon
Sandile7,Sandile,Misty,00:17:53.69,00:18:04.23,01:10:42.26,29,0,0,18,4,23,BODY SLAM,BITE,SAND-ATTACK,DIG,60,39,38,38,56,0,0,0,0,0,0,0,67,39,38,38,56,256527,95942,153628,4948,2009,1,0,0,2883,2883,0,0,186,71,41,30,0,0,7388,3860,200,200,203,43,61,0,0,0,0,0,17,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,119,20950,0,0,0,0,13,16,0,1,1,4,0,7,0,Jolteon
Sandile7,Sandile,Lt. Surge,00:18:41.30,00:18:47.75,01:13:33.56,30,0,0,18,47,75,BODY SLAM,BITE,SAND-ATTACK,DIG,62,40,39,39,59,0,0,0,0,0,0,0,69,40,39,39,59,266817,101402,155778,7628,2009,1,0,0,3097,3097,0,0,198,72,42,30,0,0,7515,3936,200,200,204,44,61,0,0,0,0,0,17,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,120,21682,0,0,0,0,13,16,0,1,1,5,0,7,0,Jolteon
Sandile7,Sandile,RTG1 - Wrapping Lass,00:19:37.90,00:19:48.17,01:17:31.52,30,0,0,19,48,17,BODY SLAM,BITE,SAND-ATTACK,DIG,62,40,39,39,59,0,0,0,0,0,0,0,69,45,39,39,59,281093,109324,159174,10586,2009,1,0,0,3286,3234,52,0,215,73,43,30,0,0,7819,4126,200,200,208,44,61,0,0,0,0,0,18,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,124,22930,0,0,0,0,13,16,0,1,1,5,0,7,0,Jolteon
Sandile7,Sandile,RTG4 - Status Jr Trainer,00:20:37.57,00:20:45.49,01:21:17.50,31,0,0,20,45,49,BODY SLAM,BITE,SAND-ATTACK,DIG,65,42,41,41,60,0,0,0,0,0,0,0,73,47,41,41,60,294651,112499,169227,10916,2009,1,0,0,3495,3234,261,0,241,77,47,30,0,0,8549,4614,225,225,219,47,64,0,0,0,0,0,20,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,132,25810,0,0,0,0,13,16,0,1,1,5,0,7,0,Jolteon
Sandile7,Sandile,RTG6 - Finisher,00:21:21.76,00:21:30.33,01:24:14.47,32,0,0,21,30,33,BODY SLAM,BITE,SAND-ATTACK,DIG,67,43,42,42,62,0,0,0,0,0,0,0,75,48,42,42,62,305268,116319,175289,11651,2009,1,0,0,3665,3234,431,0,269,79,49,30,0,0,9066,4922,233,233,225,49,65,0,0,0,0,0,20,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,138,28050,0,0,0,0,13,16,0,1,1,5,0,7,0,Jolteon
Sandile7,Sandile,Rival (Pokemon Tower),00:24:13.84,00:24:32.70,01:36:14.34,33,0,0,24,32,70,BODY SLAM,ROCK SLIDE,BITE,DIG,69,44,43,43,67,0,0,0,0,0,0,0,77,49,43,43,67,348455,145902,184336,16208,2009,1,0,0,4377,3799,578,0,331,82,52,30,0,0,10019,5438,238,238,234,53,66,0,0,0,0,0,20,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,147,32099,0,0,0,0,19,32,12,1,1,7,0,7,0,Jolteon
Sandile7,Sandile,Rival (Silph Co.),00:34:58.06,00:35:22.72,02:06:16.53,41,9,0,35,22,72,EARTHQUAKE,ROCK SLIDE,SWORDS DANCE,DIG,87,56,55,55,85,6,0,0,0,0,-1,0,391,63,55,55,85,456600,193039,234201,27190,2170,2,1,0,5921,4810,1111,0,472,101,66,35,4,0,18291,8303,267,267,276,60,69,0,0,0,0,0,24,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,187,64485,0,0,0,0,35,32,12,1,1,10,0,7,9,Jolteon
Sandile7,Sandile,Giovanni (Silph),00:35:51.50,00:36:09.36,02:09:20.57,43,9,0,36,9,36,EARTHQUAKE,ROCK SLIDE,SWORDS DANCE,DIG,91,59,58,58,90,1,0,0,0,0,0,0,153,66,58,58,90,467644,195657,242627,27190,2170,2,1,0,5946,4835,1111,0,477,103,68,35,4,0,19687,8979,303,303,283,60,71,0,0,0,0,0,25,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,194,71884,0,0,0,0,35,32,12,1,1,10,0,7,9,Jolteon
