ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Sandslash25,Sandslash,Rival (Lab),00:00:34.12,00:00:43.52,00:02:19.31,6,0,0,0,43,52,SCRATCH,SAND-ATTACK,,,18,20,13,13,14,0,-3,0,0,0,0,0,18,8,13,13,14,10299,4874,3469,0,1956,0,0,0,71,71,0,0,2,2,1,1,0,0,26,21,0,0,4,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,25,0,Jolteon
Sandslash25,Sandslash,Brock,00:04:25.98,00:05:48.58,00:22:26.52,12,0,0,5,48,58,SCRATCH,SAND-ATTACK,,,33,35,22,22,25,0,-2,0,0,0,0,0,33,17,22,22,25,82740,30107,50677,0,1956,0,0,0,893,893,0,0,37,12,7,5,0,0,426,362,65,65,99,33,36,0,0,0,0,0,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1679,0,0,0,0,2,13,0,1,1,0,0,25,0,Flareon
Sandslash25,Sandslash,Rival (Nugget Bridge),00:09:30.50,00:09:48.67,00:38:15.15,18,0,0,9,48,67,SLASH,SAND-ATTACK,SCRATCH,,48,51,31,31,35,-1,0,0,0,0,-1,0,34,51,31,31,35,139643,50061,87241,385,1956,0,0,0,1594,1594,0,0,64,21,16,5,0,0,1481,1193,118,118,155,39,63,0,0,0,0,0,27,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,6317,0,0,0,0,4,13,0,1,1,1,0,25,0,Flareon
Sandslash25,Sandslash,Oddish Lass,00:11:52.12,00:12:00.88,00:46:56.37,21,0,0,12,0,88,SLASH,SAND-ATTACK,SCRATCH,,55,60,36,36,41,0,0,0,0,0,0,0,61,60,36,36,41,170925,56945,110816,1208,1956,0,0,0,1714,1714,0,0,103,31,26,5,0,0,2814,2009,130,130,180,39,66,0,0,0,0,0,50,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,10417,0,0,0,0,5,13,0,1,1,1,0,25,0,Flareon
Sandslash25,Sandslash,Rocket,00:12:26.22,00:12:35.76,00:49:14.30,22,0,0,12,35,76,SLASH,SAND-ATTACK,SCRATCH,,58,63,38,38,43,0,0,0,0,0,0,0,65,63,38,38,43,179198,62453,113581,1208,1956,0,0,0,1852,1852,0,0,106,32,27,5,0,0,2945,2112,135,135,183,39,67,0,0,0,0,0,52,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,11106,0,0,0,0,6,13,0,1,1,1,0,25,0,Flareon
Sandslash25,Sandslash,Misty,00:13:19.65,00:13:30.14,00:52:49.04,25,0,0,13,30,14,SLASH,SAND-ATTACK,SCRATCH,DIG,66,71,43,43,48,0,0,0,0,0,0,0,74,71,43,43,48,192072,64517,121307,4292,1956,1,0,0,1888,1888,0,0,110,35,30,5,0,0,3305,2337,166,166,190,43,68,0,0,0,0,0,54,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,13510,0,0,0,0,6,13,0,1,1,2,0,25,0,Flareon
Sandslash25,Sandslash,Rival (SS Anne),00:15:13.15,00:15:25.40,01:00:23.15,27,0,0,15,25,40,SLASH,SAND-ATTACK,SCRATCH,DIG,71,76,46,46,52,0,0,0,0,0,0,0,79,76,46,46,52,219323,78701,134374,4292,1956,1,0,0,2369,2369,0,0,140,40,35,5,0,0,4415,2915,171,171,203,43,69,0,0,0,0,0,66,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,17544,0,0,0,0,9,16,0,1,1,2,0,25,0,Flareon
Sandslash25,Sandslash,Lt. Surge,00:16:00.53,00:16:06.38,01:03:05.09,27,0,0,16,6,38,SLASH,SAND-ATTACK,SCRATCH,DIG,71,76,46,46,52,0,0,0,0,0,0,0,79,76,46,46,52,229037,85382,136335,5364,1956,1,0,0,2546,2546,0,0,147,41,36,5,0,0,4551,2991,194,194,204,44,70,0,0,0,0,0,66,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,18276,0,0,0,0,9,16,0,1,1,3,0,25,0,Flareon
Sandslash25,Sandslash,RTG1 - Wrapping Lass,00:16:48.10,00:17:00.44,01:06:38.05,28,0,0,17,0,44,SLASH,SAND-ATTACK,SCRATCH,DIG,73,79,48,48,54,0,0,0,0,0,0,0,82,88,48,48,54,241813,92052,139847,7958,1956,1,0,0,2725,2675,50,0,154,42,37,5,0,0,4933,3181,194,194,208,44,70,0,0,0,0,0,70,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,19524,0,0,0,0,9,16,0,1,1,3,0,25,0,Flareon
Sandslash25,Sandslash,RTG4 - Status Jr Trainer,00:17:54.96,00:18:01.64,01:10:39.20,29,0,0,18,1,64,SLASH,SAND-ATTACK,SCRATCH,DIG,76,82,49,49,56,0,0,0,0,0,0,0,85,92,49,49,56,256288,95484,149553,9295,1956,1,0,0,2924,2675,249,0,171,46,41,5,0,0,5661,3669,205,205,218,47,72,0,0,0,0,0,76,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,22404,0,0,0,0,9,16,0,1,1,3,0,25,0,Flareon
