player_name,pokemon,trainer_name,real_time_hmmss,resets,blackouts,level,game_time,battle_duration,move1,move2,move3,move4
NINTEN,Sandslash,Rival1-Lab,49,0,0,6,0:02,9.155,SCRATCH,SAND-ATTACK,,
NINTEN,Sandslash,Brock,8:22,0,0,13,0:32,54.854,SCRATCH,SAND-ATTACK,,
NINTEN,Sandslash,Rival2-Nugget Bridge,13:05,0,0,19,0:51,18.244,SLASH,SAND-ATTACK,SCRATCH,
NINTEN,Sandslash,Cerulean Rocket,15:55,0,0,23,1:02,7.558,SLASH,SAND-ATTACK,SCRATCH,
NINTEN,Sandslash,Misty,16:24,0,0,24,1:04,9.989,SLASH,SAND-ATTACK,SCRATCH,
NINTEN,Sandslash,Rival3-SS Anne,18:47,0,0,26,1:13,13.468,SLASH,SAND-ATTACK,BODY SLAM,DIG
NINTEN,Sandslash,Surge,19:36,0,0,26,1:16,5.792,SLASH,SAND-ATTACK,BODY SLAM,DIG
NINTEN,Sandslash,Rival4-Pkmn Tower,26:46,0,0,32,1:45,20.382,SLASH,ROCK SLIDE,BODY SLAM,DIG
NINTEN,Sandslash,Rival5-Silph,36:18,0,0,42,2:22,23.073,SWORDS DANCE,ROCK SLIDE,BODY SLAM,DIG
NINTEN,Sandslash,Koga,39:06,0,0,46,2:33,24.139,SWORDS DANCE,ROCK SLIDE,BODY SLAM,DIG
NINTEN,Sandslash,Blaine,41:17,0,0,48,2:42,15.782,SWORDS DANCE,ROCK SLIDE,BODY SLAM,DIG
NINTEN,Sandslash,Sabrina,42:11,0,0,48,2:45,14.202,SWORDS DANCE,ROCK SLIDE,BODY SLAM,DIG
NINTEN,Sandslash,Erika,43:18,0,0,49,2:50,11.481,SWORDS DANCE,ROCK SLIDE,BODY SLAM,DIG
NINTEN,Sandslash,Giovanni,44:45,0,0,51,2:56,27.611,SWORDS DANCE,ROCK SLIDE,BODY SLAM,DIG
NINTEN,Sandslash,Rival6-Route 22,45:37,0,0,52,2:59,23.737,SWORDS DANCE,ROCK SLIDE,BODY SLAM,DIG
NINTEN,Sandslash,Lorelei,52:02,0,1,61,3:24,26.549,SWORDS DANCE,ROCK SLIDE,BODY SLAM,DIG
NINTEN,Sandslash,Bruno,52:41,0,1,62,3:27,26.394,SWORDS DANCE,ROCK SLIDE,BODY SLAM,DIG
NINTEN,Sandslash,Agatha,53:16,0,1,63,3:29,22.011,SWORDS DANCE,ROCK SLIDE,BODY SLAM,DIG
NINTEN,Sandslash,Lance,54:51,2,1,64,3:32,24.069,SWORDS DANCE,ROCK SLIDE,BODY SLAM,DIG
NINTEN,Sandslash,Champion,56:04,2,1,68,3:37,36.847,SWORDS DANCE,ROCK SLIDE,BODY SLAM,EARTHQUAKE
NINTEN,Sandslash,Champion,56:04,2,1,68,3:38,59.021,SWORDS DANCE,ROCK SLIDE,BODY SLAM,EARTHQUAKE
