date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
7-15,17:10:02,NINTEN,Seadra,Rival1-Lab,1,Pallet Town - Oak's Lab,1,44.74,44,0h0m44s,0,0,0,6,0:02,9.393,BUBBLE,SMOKESCREEN,,,0,71,6,1,1,5,5,4,0,3000,Jolteon, ,Water,Water,222,Seadra4,Seadra,Rival (Lab),00:00:35.34,00:00:44.74,00:02:21.08,6,0,0,0,44,74,BUBBLE,SMOKESCREEN,,,25,20,0,0,0,0,0,0,21,24,14,18,18,18,17,55,55,50,65,65,55,15,15,15,15,0,-2,0,0,0,0,0,14,9,18,18,17,10594,4957,3483,0,2154,0,0,0,71,71,0,0,6,2,1,1,0,0,25,21,3,3,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,4,0,Jolteon
7-15,17:11:39,NINTEN,Seadra,Bug Catcher,3,Viridian Forest,1,2:21.70,2:21,0h2m21s,0,0,0,6,0:08,10.088,BUBBLE,SMOKESCREEN,,,0,635,29,2,3,13,13,11,3,75,Flareon, ,Water,Water,334,Seadra4,Seadra,,00:02:11.61,00:02:21.70,00:08:44.22,6,0,0,2,21,70,BUBBLE,SMOKESCREEN,,,22,20,0,0,0,0,0,0,5,24,14,18,18,18,17,100,85,85,85,85,100,15,15,15,15,0,0,0,0,-1,0,0,14,18,18,18,11,33588,21956,9478,0,2154,0,0,0,635,635,0,0,29,5,2,3,0,0,67,63,22,22,13,2,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,209,0,0,0,0,1,13,0,1,1,0,0,4,0,Flareon
7-15,17:12:06,NINTEN,Seadra,Jr Trainer M,1,Pewter City - Gym,2,2:49.04,2:49,0h2m49s,0,0,0,8,0:10,13.547,BUBBLE,SMOKESCREEN,,,0,733,36,3,3,19,19,15,3,175,Flareon, ,Water,Water,668,Seadra4,Seadra,,00:02:35.49,00:02:49.04,00:10:32.07,8,0,0,2,49,4,BUBBLE,SMOKESCREEN,,,16,20,0,0,0,0,0,0,11,29,18,22,22,22,21,160,215,195,160,160,235,15,15,15,15,0,0,0,0,0,0,0,18,22,22,22,21,40053,24252,13198,449,2154,0,0,0,733,733,0,0,36,6,3,3,0,0,129,114,40,40,19,2,13,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,543,0,0,0,0,1,13,0,1,1,0,0,4,0,Flareon
7-15,17:12:23,NINTEN,Seadra,Brock,1,Pewter City - Gym,2,3:05.57,3:05,0h3m5s,0,0,0,10,0:11,10.281,BUBBLE,SMOKESCREEN,,,0,737,37,4,3,23,23,17,3,355,Flareon, ,Water,Water,1128,Seadra4,Seadra,Brock,00:02:55.29,00:03:05.57,00:11:37.18,10,0,0,3,5,57,BUBBLE,SMOKESCREEN,,,12,20,0,0,0,0,0,0,29,34,21,27,27,27,25,235,340,455,220,220,325,15,15,15,15,0,0,0,0,0,0,0,21,27,27,27,25,43964,24790,16215,805,2154,0,0,0,737,737,0,0,37,7,4,3,0,0,231,175,45,45,23,2,14,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1003,0,0,0,0,1,13,0,1,1,0,0,4,0,Flareon
7-15,17:13:00,NINTEN,Seadra,Bug Catcher,4,Route 3,3,3:43.05,3:43,0h3m43s,0,0,0,11,0:14,16.821,BUBBLE,SMOKESCREEN,,,0,852,41,5,3,32,32,24,4,1543,Flareon, ,Water,Water,1463,Seadra4,Seadra,,00:03:26.23,00:03:43.05,00:14:05.30,11,0,0,3,43,5,BUBBLE,SMOKESCREEN,,,21,20,0,0,0,0,0,0,30,36,23,29,29,29,27,365,435,555,280,280,465,15,15,15,15,0,0,0,0,-3,0,0,28,29,29,29,10,52856,28666,21231,805,2154,0,0,0,852,852,0,0,41,8,5,3,0,0,325,264,51,51,32,4,19,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1338,0,0,0,0,1,13,0,1,1,0,0,4,0,Flareon
7-15,17:13:19,NINTEN,Seadra,Youngster Ben,1,Route 3,2,4:02.10,4:02,0h4m2s,0,0,0,12,0:15,15.042,BUBBLE,SMOKESCREEN,,,0,855,41,6,3,41,39,29,4,1643,Flareon, ,Water,Water,1741,Seadra4,Seadra,,00:03:47.06,00:04:02.10,00:15:20.49,12,0,0,4,2,10,BUBBLE,SMOKESCREEN,,,14,20,0,0,0,0,0,0,14,39,24,32,31,31,29,430,551,634,345,345,592,15,15,15,15,0,-1,0,0,0,0,0,27,21,31,31,29,57375,29100,25316,805,2154,0,0,0,855,855,0,0,41,9,6,3,0,0,394,323,70,70,39,4,24,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1616,0,0,0,0,1,13,0,1,1,0,0,4,0,Flareon
7-15,17:13:38,NINTEN,Seadra,Lass,2,Route 3,2,4:20.26,4:20,0h4m20s,0,0,0,12,0:16,12.501,BUBBLE,SMOKESCREEN,,,0,862,41,7,3,48,46,34,4,1808,Flareon, ,Water,Water,1989,Seadra4,Seadra,,00:04:07.76,00:04:20.26,00:16:32.18,12,0,0,4,20,26,BUBBLE,SMOKESCREEN,,,7,20,0,0,0,0,0,0,8,39,24,32,31,31,29,506,664,709,410,410,714,15,15,15,15,0,-1,0,0,0,0,0,30,21,31,31,29,61664,29546,28785,1179,2154,0,0,0,862,862,0,0,41,10,7,3,0,0,460,380,96,96,46,4,29,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1864,0,0,0,0,1,13,0,1,1,0,0,4,0,Flareon
7-15,17:13:59,NINTEN,Seadra,Bug Catcher,6,Route 3,2,4:41.74,4:41,0h4m41s,0,0,0,13,0:17,11.619,BUBBLE,SMOKESCREEN,,,0,922,48,8,3,54,52,38,4,1958,Flareon, ,Water,Water,2282,Seadra4,Seadra,,00:04:30.12,00:04:41.74,00:17:57.03,13,0,0,4,41,74,BUBBLE,SMOKESCREEN,,,1,20,0,0,0,0,0,0,28,41,26,34,34,34,31,601,714,799,455,455,789,15,15,15,15,0,0,0,0,0,0,0,29,34,34,34,31,66749,31009,32022,1564,2154,0,0,0,922,922,0,0,48,11,8,3,0,0,532,445,98,98,52,5,30,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2157,0,0,0,0,1,13,0,1,1,0,0,4,0,Flareon
7-15,17:14:36,NINTEN,Seadra,Super Nerd,1,Mt Moon - 1,2,5:18.59,5:18,0h5m18s,0,0,0,13,0:20,13.173,WATER GUN,SMOKESCREEN,BUBBLE,,0,1089,54,9,3,60,58,42,4,2068,Flareon, ,Water,Water,2731,Seadra4,Seadra,,00:05:05.42,00:05:18.59,00:20:22.42,13,0,0,5,18,59,WATER GUN,SMOKESCREEN,BUBBLE,,20,20,29,0,0,0,0,0,32,41,26,34,34,34,31,666,779,919,605,605,934,15,15,15,15,0,0,0,0,0,0,0,29,34,34,34,31,75488,35274,35563,2497,2154,0,0,0,1089,1089,0,0,54,12,9,3,0,0,591,504,107,107,57,6,34,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2606,0,0,0,0,2,13,0,1,1,1,0,4,0,Flareon
7-15,17:14:54,NINTEN,Seadra,Bug Catcher,8,Mt Moon - 1,3,5:36.63,5:36,0h5m36s,0,0,0,14,0:21,13.119,WATER GUN,SMOKESCREEN,BUBBLE,,0,1111,54,10,3,65,63,44,5,2343,Flareon, ,Water,Water,3108,Seadra4,Seadra,,00:05:23.51,00:05:36.63,00:21:33.59,14,0,0,5,36,63,WATER GUN,SMOKESCREEN,BUBBLE,,16,20,28,0,0,0,0,0,35,44,28,36,36,36,34,806,859,1044,670,670,1054,15,15,15,15,0,0,0,0,-1,0,0,31,36,36,36,22,79765,36022,39092,2497,2154,0,0,0,1111,1111,0,0,54,13,10,3,0,0,739,595,107,107,62,6,35,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2983,0,0,0,0,3,13,0,1,1,1,0,4,0,Flareon
