player_name,pokemon,trainer_name,real_time_hmmss,resets,blackouts,level,game_time,battle_duration,move1,move2,move3,move4
NINTEN,Seadra,Rival1-Lab,44,0,0,6,0:02,9.393,BUBBLE,SMOKESCREEN,,
NINTEN,Seadra,Brock,3:05,0,0,10,0:11,10.281,BUBBLE,SMOKESCREEN,,
NINTEN,Seadra,Rival2-Nugget Bridge,8:18,0,0,19,0:32,18.547,WATER GUN,SMOKESCREEN,BUBBLE,
NINTEN,Seadra,Misty,12:59,0,0,24,0:50,27.271,WATER GUN,SMOKESCREEN,BUBBLE,LEER
NINTEN,Seadra,Cerulean Rocket,13:31,0,0,24,0:52,8.271,BUBBLEBEAM,SMOKESCREEN,BUBBLE,WATER GUN
NINTEN,Seadra,Rival3-SS Anne,15:14,0,0,26,0:59,12.906,BUBBLEBEAM,SMOKESCREEN,BUBBLE,WATER GUN
NINTEN,Seadra,Surge,16:07,0,0,27,1:03,9.873,BUBBLEBEAM,SMOKESCREEN,BUBBLE,WATER GUN
NINTEN,Seadra,Rival4-Pkmn Tower,24:15,0,0,31,1:35,22.274,BUBBLEBEAM,SWIFT,REST,ICE BEAM
NINTEN,Seadra,Erika,30:11,1,0,37,1:57,12.937,SURF,SWIFT,REST,ICE BEAM
NINTEN,Seadra,Koga,33:57,4,0,40,2:06,24.284,SURF,SWIFT,REST,ICE BEAM
NINTEN,Seadra,Rival5-Silph,37:59,4,0,43,2:21,18.994,SURF,SWIFT,AGILITY,ICE BEAM
NINTEN,Seadra,Sabrina,39:39,4,0,45,2:28,24.012,SURF,SWIFT,AGILITY,ICE BEAM
NINTEN,Seadra,Blaine,40:41,4,0,46,2:32,19.435,SURF,SWIFT,AGILITY,ICE BEAM
NINTEN,Seadra,Giovanni,42:20,5,0,51,2:37,18.211,SURF,SWIFT,AGILITY,ICE BEAM
NINTEN,Seadra,Rival6-Route 22,43:57,6,0,52,2:41,35.224,SURF,SWIFT,AGILITY,ICE BEAM
NINTEN,Seadra,Lorelei,47:15,6,0,59,2:54,48.606,SURF,MIMIC,AGILITY,ICE BEAM
NINTEN,Seadra,Bruno,47:44,6,0,59,2:56,15.259,SURF,MIMIC,AGILITY,ICE BEAM
NINTEN,Seadra,Agatha,48:29,6,0,60,2:59,33.556,SURF,MIMIC,AGILITY,ICE BEAM
NINTEN,Seadra,Lance,49:09,6,0,62,3:02,22.647,SURF,MIMIC,AGILITY,ICE BEAM
NINTEN,Seadra,Champion,50:25,6,0,64,3:07,57.663,SURF,MIMIC,AGILITY,ICE BEAM
NINTEN,Seadra,Champion,50:25,6,0,64,3:08,79.884,SURF,MIMIC,AGILITY,ICE BEAM
