ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Seadra18,Seadra,Rival (Lab),00:00:43.09,00:00:53.84,00:03:00.08,6,0,0,0,53,84,BUBBLE,SMOKESCREEN,,,14,18,18,18,17,0,-1,0,0,0,0,0,14,11,18,18,17,12768,6989,3791,0,1988,0,0,0,71,71,0,0,19,2,1,1,0,0,21,21,3,3,5,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,18,0,Jolteon
Seadra18,Seadra,Brock,00:04:08.65,00:04:15.88,00:16:16.31,11,0,0,4,15,88,BUBBLE,SMOKESCREEN,,,23,29,29,29,27,0,0,0,0,0,0,0,23,29,29,29,27,60551,28390,29622,551,1988,0,0,0,746,746,0,0,47,19,5,14,8,0,380,311,24,24,36,2,10,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1416,0,0,0,0,1,13,0,1,0,0,0,18,0,Flareon
Seadra18,Seadra,Misty,00:11:03.93,00:11:35.98,00:45:13.40,21,0,0,11,35,98,WATER GUN,SMOKESCREEN,BIDE,BUBBLE,41,54,53,53,49,0,0,0,0,0,0,0,46,54,53,53,49,164780,53656,103955,5181,1988,1,0,0,1592,1592,0,0,118,51,20,31,21,0,2311,1600,205,205,124,10,59,0,0,0,0,0,24,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,52,9394,0,0,0,0,5,13,0,1,0,2,0,18,0,Flareon
Seadra18,Seadra,Rival (Nugget Bridge),00:12:05.70,00:12:18.28,00:48:00.30,21,0,0,12,18,28,BUBBLEBEAM,SMOKESCREEN,BIDE,WATER GUN,41,54,53,53,49,0,0,0,0,0,0,0,46,54,53,53,49,174790,58202,107548,7052,1988,1,0,0,1700,1700,0,0,129,52,21,31,21,0,2540,1771,205,205,128,10,59,0,0,0,0,0,25,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,56,10432,0,0,0,0,6,13,0,1,0,3,0,18,0,Flareon
Seadra18,Seadra,Oddish Lass,00:14:34.72,00:14:48.00,00:57:50.44,25,0,0,14,48,0,BUBBLEBEAM,SMOKESCREEN,BIDE,WATER GUN,49,64,63,63,58,0,0,0,0,0,0,0,55,64,63,63,58,210204,65815,134569,7832,1988,1,0,0,1836,1836,0,0,160,64,33,31,21,0,5360,2782,217,217,156,10,61,0,0,0,0,0,30,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,82,15883,0,0,0,0,7,13,0,1,0,3,0,18,0,Flareon
Seadra18,Seadra,Rocket,00:15:25.73,00:15:34.20,01:00:53.14,25,0,0,15,34,20,BUBBLEBEAM,SMOKESCREEN,BIDE,WATER GUN,49,64,63,63,58,0,0,0,0,0,0,0,55,64,63,63,58,221154,72341,138993,7832,1988,1,0,0,2014,2014,0,0,176,66,35,31,21,0,5777,2961,230,230,161,10,62,0,0,0,0,0,31,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,86,17037,0,0,0,0,8,13,0,1,0,3,0,18,0,Flareon
Seadra18,Seadra,Rival (SS Anne),00:17:33.90,00:17:45.67,01:09:30.33,27,0,0,17,45,67,BUBBLEBEAM,SMOKESCREEN,BIDE,WATER GUN,53,69,68,68,63,0,0,0,0,0,0,0,59,69,68,68,63,252193,84681,154955,10569,1988,1,0,0,2427,2427,0,0,211,73,41,32,22,0,6819,3618,258,258,179,10,68,0,0,0,0,0,32,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,100,21396,0,0,0,0,13,16,0,1,0,3,0,18,0,Flareon
Seadra18,Seadra,Lt. Surge,00:18:53.69,00:19:02.84,01:14:35.36,28,0,0,19,2,84,BUBBLEBEAM,SMOKESCREEN,BIDE,WATER GUN,54,71,70,70,66,-1,0,0,0,0,0,0,39,71,70,70,66,270496,93457,160726,14325,1988,2,0,0,2692,2692,0,0,223,75,43,32,22,0,7092,3793,291,291,187,10,72,0,0,0,0,0,33,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,103,22813,0,0,0,0,13,16,0,1,0,5,0,18,0,Flareon
Seadra18,Seadra,RTG1 - Wrapping Lass,00:20:02.09,00:20:28.34,01:20:13.04,28,0,0,20,28,34,BUBBLEBEAM,SMOKESCREEN,BIDE,WATER GUN,54,71,70,70,66,0,0,0,0,0,0,0,60,79,70,70,66,290745,102627,167549,18581,1988,3,0,0,2886,2834,52,0,249,76,44,32,22,0,7373,3989,346,346,197,12,76,0,0,0,0,0,35,0,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,107,24061,0,0,0,0,13,16,0,1,0,5,0,18,0,Flareon
Seadra18,Seadra,RTG4 - Status Jr Trainer,00:21:43.88,00:21:59.35,01:26:12.39,30,0,0,21,59,35,BUBBLEBEAM,SMOKESCREEN,BIDE,WATER GUN,58,77,76,76,70,0,0,0,0,0,0,0,65,86,76,76,70,312319,106604,181182,22545,1988,4,0,0,3092,2834,258,0,281,80,48,32,22,0,8037,4482,430,430,210,13,87,0,0,0,0,0,38,0,6,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,115,26941,0,0,0,0,13,16,0,1,0,5,0,18,0,Flareon
