date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
9-10,15:12:33,NINTEN,Seaking,Rival1-Lab,1,Pallet Town - Oak's Lab,1,43.83,43,0h0m43s,0,0,0,6,0:02,9.949,PECK,TAIL WHIP,SUPERSONIC,,0,71,2,1,1,4,4,3,0,3000,Jolteon, ,Water,Water,222,Seaking18,Seaking,Rival (Lab),00:00:33.87,00:00:43.83,00:02:19.34,6,0,0,0,43,83,PECK,TAIL WHIP,SUPERSONIC,,32,29,20,0,0,0,0,0,27,27,17,14,16,16,15,55,55,50,65,65,55,15,15,15,15,0,-3,0,0,0,0,0,17,5,16,16,15,10375,4741,3605,0,2029,0,0,0,71,71,0,0,2,2,1,1,0,0,24,21,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,18,0,Jolteon
9-10,15:13:56,NINTEN,Seaking,Bug Catcher,1,Viridian Forest,2,2:07.34,2:07,0h2m7s,0,0,0,7,0:07,13.957,PECK,TAIL WHIP,SUPERSONIC,,0,516,30,2,2,9,9,7,4,75,Flareon, ,Water,Water,380,Seaking18,Seaking,,00:01:53.39,00:02:07.34,00:07:49.34,7,0,0,2,7,34,PECK,TAIL WHIP,SUPERSONIC,,30,30,20,0,0,0,0,0,21,30,20,16,18,18,16,145,115,120,105,105,145,15,15,15,15,0,0,0,0,-1,0,0,20,16,18,18,10,30175,19866,8280,0,2029,0,0,0,516,516,0,0,30,4,2,2,0,0,79,69,9,9,9,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,255,0,0,0,0,0,13,0,0,0,0,0,18,0,Flareon
9-10,15:14:18,NINTEN,Seaking,Bug Catcher,2,Viridian Forest,3,2:28.98,2:28,0h2m28s,0,0,0,8,0:09,17.412,PECK,TAIL WHIP,SUPERSONIC,,0,536,35,3,2,16,16,11,4,145,Flareon, ,Water,Water,629,Seaking18,Seaking,,00:02:11.57,00:02:28.98,00:09:15.06,8,0,0,2,28,98,PECK,TAIL WHIP,SUPERSONIC,,23,30,20,0,0,0,0,0,22,33,22,18,20,20,18,290,185,265,175,175,250,15,15,15,15,0,0,0,0,0,0,0,22,18,20,20,18,35307,20445,12833,0,2029,0,0,0,536,536,0,0,35,5,3,2,0,0,154,135,11,11,16,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,504,0,0,0,0,0,13,0,0,0,0,0,18,0,Flareon
9-10,15:14:45,NINTEN,Seaking,Bug Catcher,15,Viridian Forest,2,2:56.02,2:56,0h2m56s,0,0,0,9,0:11,12.894,PECK,TAIL WHIP,SUPERSONIC,,0,571,48,4,3,22,22,15,3,205,Flareon, ,Water,Water,842,Seaking18,Seaking,,00:02:43.12,00:02:56.02,00:11:01.50,9,0,0,2,56,2,PECK,TAIL WHIP,SUPERSONIC,,17,30,20,0,0,0,0,0,19,36,24,19,22,22,20,385,235,355,220,220,325,15,15,15,15,0,0,0,0,0,0,0,24,19,22,22,20,41711,21519,18163,0,2029,0,0,0,571,571,0,0,48,7,4,3,0,0,242,197,17,17,22,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,717,0,0,0,0,1,13,0,1,1,0,0,18,0,Flareon
9-10,15:14:59,NINTEN,Seaking,Bug Catcher,3,Viridian Forest,1,3:10.27,3:10,0h3m10s,0,0,0,9,0:11,8.327,PECK,TAIL WHIP,SUPERSONIC,,0,621,49,5,3,25,25,18,3,285,Flareon, ,Water,Water,954,Seaking18,Seaking,,00:03:01.94,00:03:10.27,00:11:58.12,9,0,0,3,10,27,PECK,TAIL WHIP,SUPERSONIC,,14,30,20,0,0,0,0,0,19,36,24,19,22,22,20,430,265,390,240,240,370,15,15,15,15,0,0,0,0,-2,0,0,24,19,22,22,10,45093,22519,20545,0,2029,0,0,0,621,621,0,0,49,8,5,3,0,0,283,227,17,17,25,1,12,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,829,0,0,0,0,1,13,0,1,1,0,0,18,0,Flareon
9-10,15:15:34,NINTEN,Seaking,Jr Trainer M,1,Pewter City - Gym,2,3:44.59,3:44,0h3m44s,0,0,0,10,0:14,17.817,PECK,TAIL WHIP,SUPERSONIC,,0,735,50,6,3,33,33,25,3,385,Flareon, ,Water,Water,1288,Seaking18,Seaking,,00:03:26.77,00:03:44.59,00:14:13.40,10,0,0,3,44,59,PECK,TAIL WHIP,SUPERSONIC,,28,29,20,0,0,0,0,0,5,39,26,21,24,24,22,490,395,500,315,315,505,15,15,15,15,0,0,0,0,0,0,0,26,21,24,24,22,53221,25891,25301,0,2029,0,0,0,735,735,0,0,50,9,6,3,0,0,348,278,51,51,33,1,19,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1163,0,0,0,0,1,13,0,1,1,0,0,18,0,Flareon
9-10,15:16:26,NINTEN,Seaking,Brock,1,Pewter City - Gym,2,4:36.81,4:36,0h4m36s,0,0,0,12,0:17,45.07,PECK,TAIL WHIP,SUPERSONIC,,0,739,52,7,3,57,54,39,3,565,Flareon, ,Water,Water,1748,Seaking18,Seaking,Brock,00:03:51.74,00:04:36.81,00:17:40.38,12,0,0,4,36,81,PECK,TAIL WHIP,SUPERSONIC,,23,21,12,0,0,0,0,0,5,45,31,25,28,28,25,565,520,760,375,375,595,15,15,15,15,0,-2,0,0,0,0,0,31,12,28,28,25,65639,26429,36611,570,2029,0,0,0,739,739,0,0,52,10,7,3,0,0,412,339,91,91,50,7,28,0,0,0,0,0,5,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,0,0,0,0,0,0,13,1623,0,0,0,0,1,13,0,1,1,0,0,18,0,Flareon
9-10,15:16:56,NINTEN,Seaking,Bug Catcher,4,Route 3,3,5:07.48,5:07,0h5m7s,0,0,0,12,0:19,11.078,PECK,TAIL WHIP,SUPERSONIC,,0,850,53,8,3,61,58,40,4,1753,Flareon, ,Water,Water,2083,Seaking18,Seaking,,00:04:56.40,00:05:07.48,00:19:41.49,12,0,0,5,7,48,PECK,TAIL WHIP,SUPERSONIC,,31,30,20,0,0,0,0,0,45,45,31,25,28,28,25,695,615,860,435,435,735,15,15,15,15,0,0,0,0,-1,0,0,38,25,28,28,16,72910,30063,40248,570,2029,0,0,0,850,850,0,0,53,11,8,3,0,0,536,428,91,91,54,7,29,0,0,0,0,0,7,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,0,0,0,0,0,0,16,1958,0,0,0,0,1,13,0,1,1,0,0,18,0,Flareon
9-10,15:17:12,NINTEN,Seaking,Youngster Ben,1,Route 3,2,5:22.54,5:22,0h5m22s,0,0,0,13,0:20,11.866,PECK,TAIL WHIP,SUPERSONIC,,0,854,53,9,3,66,63,43,4,1853,Flareon, ,Water,Water,2361,Seaking18,Seaking,,00:05:10.67,00:05:22.54,00:20:41.19,13,0,0,5,22,54,PECK,TAIL WHIP,SUPERSONIC,,26,30,20,0,0,0,0,0,43,48,33,26,30,30,27,760,731,939,500,500,862,15,15,15,15,0,-2,0,0,0,0,0,41,13,30,30,27,76480,30325,43556,570,2029,0,0,0,854,854,0,0,53,12,9,3,0,0,603,487,96,96,59,7,32,0,0,0,0,0,8,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,0,0,0,0,0,0,18,2236,0,0,0,0,1,13,0,1,1,0,0,18,0,Flareon
9-10,15:17:31,NINTEN,Seaking,Bug Catcher,5,Route 3,4,5:42.44,5:42,0h5m42s,0,0,0,14,0:21,17.099,PECK,TAIL WHIP,SUPERSONIC,,0,858,54,10,3,73,70,46,4,2018,Flareon, ,Water,Water,2836,Seaking18,Seaking,,00:05:25.35,00:05:42.44,00:21:59.54,14,0,0,5,42,44,PECK,TAIL WHIP,SUPERSONIC,,19,30,20,0,0,0,0,0,46,51,35,28,32,32,29,940,841,1109,590,590,1022,15,15,15,15,0,0,0,0,0,0,0,39,28,32,32,29,81195,30500,48096,570,2029,0,0,0,858,858,0,0,54,13,10,3,0,0,759,599,96,96,65,8,32,0,0,0,0,0,9,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,0,0,0,0,0,0,22,2711,0,0,0,0,1,13,0,1,1,0,0,18,0,Flareon
