date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
9-10,16:41:11,NINTEN,Seaking,Rival1-Lab,1,Pallet Town - Oak's Lab,1,43.57,43,0h0m43s,0,0,0,6,0:02,9.964,PECK,TAIL WHIP,SUPERSONIC,,0,71,3,1,1,4,4,3,0,3000,Jolteon, ,Water,Water,222,Seaking21,Seaking,Rival (Lab),00:00:33.60,00:00:43.57,00:02:19.30,6,0,0,0,43,57,PECK,TAIL WHIP,SUPERSONIC,,32,29,20,0,0,0,0,0,22,27,17,14,16,16,15,55,55,50,65,65,55,15,15,15,15,0,-2,0,0,0,0,0,17,7,16,16,15,10316,4730,3612,0,1974,0,0,0,71,71,0,0,3,2,1,1,0,0,25,21,5,5,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,21,0,Jolteon
9-10,16:42:34,NINTEN,Seaking,Bug Catcher,1,Viridian Forest,2,2:06.90,2:06,0h2m6s,0,0,0,7,0:07,13.644,PECK,TAIL WHIP,SUPERSONIC,,0,521,31,2,2,9,9,8,4,75,Flareon, ,Water,Water,380,Seaking21,Seaking,,00:01:53.26,00:02:06.90,00:07:48.43,7,0,0,2,6,90,PECK,TAIL WHIP,SUPERSONIC,,30,30,20,0,0,0,0,0,23,30,20,16,18,18,16,145,115,120,105,105,145,15,15,15,15,0,0,0,0,-2,0,0,20,16,18,18,8,30069,19880,8215,0,1974,0,0,0,521,521,0,0,31,4,2,2,0,0,84,69,12,12,9,1,7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,255,0,0,0,0,0,13,0,0,0,0,0,21,0,Flareon
9-10,16:42:55,NINTEN,Seaking,Bug Catcher,2,Viridian Forest,3,2:28.09,2:28,0h2m28s,0,0,0,8,0:09,17.301,PECK,TAIL WHIP,SUPERSONIC,,0,541,32,3,2,16,16,12,4,145,Flareon, ,Water,Water,629,Seaking21,Seaking,,00:02:10.79,00:02:28.09,00:09:12.28,8,0,0,2,28,9,PECK,TAIL WHIP,SUPERSONIC,,23,30,20,0,0,0,0,0,24,33,22,18,20,20,18,290,185,265,175,175,250,15,15,15,15,0,0,0,0,0,0,0,22,18,20,20,18,35094,20376,12744,0,1974,0,0,0,541,541,0,0,32,5,3,2,0,0,159,135,14,14,16,1,8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,504,0,0,0,0,0,13,0,0,0,0,0,21,0,Flareon
9-10,16:43:23,NINTEN,Seaking,Bug Catcher,15,Viridian Forest,2,2:55.20,2:55,0h2m55s,0,0,0,9,0:10,11.421,PECK,TAIL WHIP,SUPERSONIC,,0,576,33,4,3,21,21,16,3,205,Flareon, ,Water,Water,842,Seaking21,Seaking,,00:02:43.77,00:02:55.20,00:10:59.31,9,0,0,2,55,20,PECK,TAIL WHIP,SUPERSONIC,,18,30,20,0,0,0,0,0,24,36,24,19,22,22,20,385,235,355,220,220,325,15,15,15,15,0,0,0,0,-1,0,0,24,19,22,22,13,41517,21553,17990,0,1974,0,0,0,576,576,0,0,33,7,4,3,0,0,230,196,17,17,21,3,10,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,717,0,0,0,0,1,13,0,1,1,0,0,21,0,Flareon
9-10,16:43:36,NINTEN,Seaking,Bug Catcher,3,Viridian Forest,1,3:08.29,3:08,0h3m8s,0,0,0,9,0:11,7.225,PECK,TAIL WHIP,SUPERSONIC,,0,626,33,5,3,23,23,18,3,285,Flareon, ,Water,Water,954,Seaking21,Seaking,,00:03:01.07,00:03:08.29,00:11:51.19,9,0,0,3,8,29,PECK,TAIL WHIP,SUPERSONIC,,16,30,20,0,0,0,0,0,21,36,24,19,22,22,20,430,265,390,240,240,370,15,15,15,15,0,0,0,0,-1,0,0,24,19,22,22,13,44625,22542,20109,0,1974,0,0,0,626,626,0,0,33,8,5,3,0,0,267,226,20,20,23,3,12,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,829,0,0,0,0,1,13,0,1,1,0,0,21,0,Flareon
9-10,16:44:10,NINTEN,Seaking,Jr Trainer M,1,Pewter City - Gym,2,3:42.98,3:42,0h3m42s,0,0,0,10,0:14,18.529,PECK,TAIL WHIP,SUPERSONIC,,0,740,33,6,3,32,32,26,3,385,Flareon, ,Water,Water,1288,Seaking21,Seaking,,00:03:24.46,00:03:42.98,00:14:08.18,10,0,0,3,42,98,PECK,TAIL WHIP,SUPERSONIC,,27,29,20,0,0,0,0,0,4,39,26,21,24,24,22,490,395,500,315,315,505,15,15,15,15,0,0,0,0,0,0,0,26,21,24,24,22,52844,25838,25032,0,1974,0,0,0,740,740,0,0,33,9,6,3,0,0,327,277,55,55,31,4,20,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1163,0,0,0,0,1,13,0,1,1,0,0,21,0,Flareon
9-10,16:44:53,NINTEN,Seaking,Brock,1,Pewter City - Gym,2,4:25.58,4:25,0h4m25s,0,0,0,12,0:16,35.667,PECK,TAIL WHIP,SUPERSONIC,,0,744,34,7,3,49,46,33,3,565,Flareon, ,Water,Water,1748,Seaking21,Seaking,Brock,00:03:49.92,00:04:25.58,00:16:56.59,12,0,0,4,25,58,PECK,TAIL WHIP,SUPERSONIC,,25,21,16,0,0,0,0,0,20,45,31,25,28,28,25,565,520,760,375,375,595,15,15,15,15,0,0,0,0,0,0,0,31,25,28,28,25,62965,26342,34098,551,1974,0,0,0,744,744,0,0,34,10,7,3,0,0,393,338,80,80,45,4,25,0,0,0,0,0,4,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,0,0,0,0,0,0,0,13,1623,0,0,0,0,1,13,0,1,1,0,0,21,0,Flareon
9-10,16:45:23,NINTEN,Seaking,Bug Catcher,4,Route 3,3,4:55.29,4:55,0h4m55s,0,0,0,12,0:18,14.657,PECK,TAIL WHIP,SUPERSONIC,,0,819,35,8,3,55,52,37,4,1753,Flareon, ,Water,Water,2083,Seaking21,Seaking,,00:04:40.63,00:04:55.29,00:18:54.18,12,0,0,4,55,29,PECK,TAIL WHIP,SUPERSONIC,,19,21,16,0,0,0,0,0,32,45,31,25,28,28,25,695,615,860,435,435,735,15,15,15,15,0,0,0,0,-1,0,0,38,25,28,28,16,70004,28514,38570,946,1974,0,0,0,819,819,0,0,35,11,8,3,0,0,536,427,88,88,51,4,29,0,0,0,0,0,4,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,0,0,0,0,0,0,0,16,1958,0,0,0,0,1,13,0,1,1,0,0,21,0,Flareon
9-10,16:45:39,NINTEN,Seaking,Youngster Ben,1,Route 3,2,5:11.79,5:11,0h5m11s,0,0,0,13,0:19,13.155,PECK,TAIL WHIP,SUPERSONIC,,0,823,35,9,3,61,58,41,4,1853,Flareon, ,Water,Water,2361,Seaking21,Seaking,,00:04:58.63,00:05:11.79,00:19:59.29,13,0,0,5,11,79,PECK,TAIL WHIP,SUPERSONIC,,13,21,16,0,0,0,0,0,24,48,33,26,30,30,27,760,731,939,500,500,862,15,15,15,15,0,-2,0,0,0,0,0,46,13,30,30,27,73915,28811,42184,946,1974,0,0,0,823,823,0,0,35,12,9,3,0,0,607,486,99,99,57,4,33,0,0,0,0,0,4,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,0,0,0,0,0,0,0,18,2236,0,0,0,0,1,13,0,1,1,0,0,21,0,Flareon
9-10,16:45:58,NINTEN,Seaking,Bug Catcher,5,Route 3,4,5:30.36,5:30,0h5m30s,0,0,0,14,0:21,15.722,PECK,TAIL WHIP,SUPERSONIC,,0,827,36,10,3,67,64,43,4,2018,Flareon, ,Water,Water,2836,Seaking21,Seaking,,00:05:14.64,00:05:30.36,00:21:12.44,14,0,0,5,30,36,PECK,TAIL WHIP,SUPERSONIC,,7,21,16,0,0,0,0,0,27,51,35,28,32,32,29,940,841,1109,590,590,1022,15,15,15,15,0,0,0,0,0,0,0,39,28,32,32,29,78310,28983,46407,946,1974,0,0,0,827,827,0,0,36,13,10,3,0,0,754,598,99,99,63,4,33,0,0,0,0,0,4,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,0,0,0,0,0,0,0,22,2711,0,0,0,0,1,13,0,1,1,0,0,21,0,Flareon
