date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
8-17,16:01:47,NINTEN,Shedinja,Rival1-Lab,1,Pallet Town - Oak's Lab,1,51.95,51,0h0m51s,0,0,0,5,0:02,10.524,SCRATCH,HARDEN,LEECH LIFE,,0,0,0,0,0,0,0,0,0,3000,Jolteon, ,Bug,Ghost,334,Shedinja1,Shedinja,Rival (Lab),00:00:41.43,00:00:51.95,00:02:22.10,5,0,0,0,51,95,SCRATCH,HARDEN,LEECH LIFE,,30,30,15,0,0,0,0,0,16,16,15,11,9,9,10,55,55,50,65,65,55,15,15,15,15,0,-3,0,0,0,0,0,15,4,9,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Jolteon
8-17,16:03:31,NINTEN,Shedinja,Rival1-Lab,1,Pallet Town - Oak's Lab,1,49.15,49,0h0m49s,0,0,0,5,0:02,9.748,SCRATCH,HARDEN,LEECH LIFE,,0,0,0,0,0,0,0,0,0,3000,Jolteon, ,Bug,Ghost,334,Shedinja1,Shedinja,Rival (Lab),00:00:39.41,00:00:49.15,00:02:17.47,5,0,0,0,49,15,SCRATCH,HARDEN,LEECH LIFE,,30,30,15,0,0,0,0,0,16,16,15,11,9,9,10,55,55,50,65,65,55,15,15,15,15,0,-1,0,0,0,0,0,15,7,9,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Jolteon
8-17,16:05:23,NINTEN,Shedinja,Bug Catcher,1,Viridian Forest,2,2:40.79,2:40,0h2m40s,0,0,0,6,0:09,18.487,SCRATCH,HARDEN,LEECH LIFE,,0,0,0,0,0,0,0,0,1,2975,Flareon, ,Bug,Ghost,571,Shedinja1,Shedinja,,00:02:22.30,00:02:40.79,00:09:38.25,6,0,0,2,40,79,SCRATCH,HARDEN,LEECH LIFE,,15,30,15,0,0,0,0,0,1,1,17,12,10,10,11,275,328,265,215,215,417,15,15,15,15,0,0,0,0,-3,0,0,17,12,10,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Flareon
8-17,16:05:42,NINTEN,Shedinja,Lass,19,Viridian Forest,2,3:00.23,3:00,0h3m0s,0,0,0,7,0:10,14.299,SCRATCH,HARDEN,LEECH LIFE,,0,0,0,0,0,0,0,0,1,3045,Flareon, ,Bug,Ghost,722,Shedinja1,Shedinja,,00:02:45.93,00:03:00.23,00:10:55.22,7,0,0,3,0,23,SCRATCH,HARDEN,LEECH LIFE,,15,30,9,0,0,0,0,0,1,1,20,13,11,11,13,376,432,357,295,295,508,15,15,15,15,-1,-1,0,0,0,0,0,13,8,11,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Flareon
8-17,16:06:19,NINTEN,Shedinja,Bug Catcher,2,Viridian Forest,3,3:37.69,3:37,0h3m37s,0,0,0,8,0:13,30.807,SCRATCH,HARDEN,LEECH LIFE,,0,0,0,0,0,0,0,0,1,3135,Flareon, ,Bug,Ghost,971,Shedinja1,Shedinja,,00:03:06.89,00:03:37.69,00:13:23.57,8,0,0,3,37,69,SCRATCH,HARDEN,LEECH LIFE,,0,30,8,0,0,0,0,0,1,1,22,15,12,12,14,521,502,502,365,365,613,15,15,15,15,0,0,0,0,-1,0,0,22,15,12,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Flareon
8-17,16:07:12,NINTEN,Shedinja,Bug Catcher,15,Viridian Forest,2,4:30.35,4:30,0h4m30s,0,0,0,8,0:16,15.349,SCRATCH,HARDEN,LEECH LIFE,,0,0,0,0,0,0,0,0,2,3195,Flareon, ,Bug,Ghost,1225,Shedinja1,Shedinja,,00:04:14.99,00:04:30.35,00:16:52.05,8,0,0,4,30,35,SCRATCH,HARDEN,LEECH LIFE,,24,30,15,0,0,0,0,0,1,1,22,15,12,12,14,666,572,647,435,435,718,15,15,15,15,0,0,0,0,-1,0,0,22,15,12,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Flareon
8-17,16:08:08,NINTEN,Shedinja,Bug Catcher,3,Viridian Forest,1,5:25.78,5:25,0h5m25s,0,0,0,9,0:20,9.399,SCRATCH,HARDEN,LEECH LIFE,SAND-ATTACK,0,0,0,0,0,0,0,0,2,3275,Flareon, ,Bug,Ghost,1548,Shedinja1,Shedinja,,00:05:16.39,00:05:25.78,00:20:30.40,9,0,0,5,25,78,SCRATCH,HARDEN,LEECH LIFE,SAND-ATTACK,6,30,15,15,0,0,0,0,1,1,24,16,13,13,15,981,792,942,615,615,1025,15,15,15,15,0,0,0,0,-3,0,0,24,16,13,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Flareon
8-17,16:09:05,NINTEN,Shedinja,Jr Trainer M,1,Pewter City - Gym,2,6:23.24,6:23,0h6m23s,0,0,0,10,0:24,15.403,SCRATCH,HARDEN,SAND-ATTACK,LEECH LIFE,0,0,0,0,0,0,0,0,1,3375,Flareon, ,Bug,Ghost,1953,Shedinja1,Shedinja,,00:06:07.83,00:06:23.24,00:24:17.22,10,0,0,6,23,24,SCRATCH,HARDEN,SAND-ATTACK,LEECH LIFE,27,30,15,15,0,0,0,0,1,1,26,17,14,14,16,1136,972,1142,735,735,1235,15,15,15,15,0,0,0,0,0,0,0,26,17,14,14,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Flareon
8-17,16:21:46,NINTEN,Shedinja,Brock,1,Pewter City - Gym,2,19:04.06,19:04,0h19m4s,1,0,1,15,1:12,29.339,SCRATCH,HARDEN,FURY SWIPES,LEECH LIFE,0,0,0,0,0,0,0,0,1,3555,Flareon, ,Bug,Ghost,6219,Shedinja1,Shedinja,Brock,00:18:34.71,00:19:04.06,01:12:21.21,15,1,0,19,4,6,SCRATCH,HARDEN,FURY SWIPES,LEECH LIFE,35,23,15,6,0,0,0,0,1,1,38,25,20,20,24,5709,4152,5512,3250,3250,5647,15,15,15,15,0,6,0,0,0,0,0,38,100,20,20,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Flareon
8-17,16:22:16,NINTEN,Shedinja,Bug Catcher,4,Route 3,3,19:34.22,19:34,0h19m34s,1,0,1,15,1:14,14.259,SCRATCH,HARDEN,FURY SWIPES,LEECH LIFE,0,0,0,0,0,0,0,0,2,4743,Flareon, ,Bug,Ghost,6554,Shedinja1,Shedinja,,00:19:19.97,00:19:34.22,01:14:20.46,15,1,0,19,34,22,SCRATCH,HARDEN,FURY SWIPES,LEECH LIFE,30,23,15,6,0,0,0,0,1,1,38,25,20,20,24,5839,4247,5612,3310,3310,5787,15,15,15,15,0,0,0,0,-3,0,0,58,25,20,20,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Flareon
