player_name,pokemon,trainer_name,real_time_hmmss,resets,blackouts,level,game_time,battle_duration,move1,move2,move3,move4
NINTEN,Shedinja,Rival1-Lab,50,0,0,5,0:02,8.738,SCRATCH,HARDEN,LEECH LIFE,
NINTEN,Shedinja,Brock,11:13,0,6,13,0:43,28.017,LEECH LIFE,HARDEN,SCRATCH,SAND-ATTACK
NINTEN,Shedinja,Misty,20:09,4,6,22,1:15,16.173,SCRATCH,HARDEN,FURY SWIPES,LEECH LIFE
NINTEN,Shedinja,Rival2-Nugget Bridge,20:55,4,6,22,1:18,25.216,SCRATCH,HARDEN,FURY SWIPES,LEECH LIFE
NINTEN,Shedinja,Cerulean Rocket,24:24,4,6,24,1:32,14.423,FURY SWIPES,HARDEN,SCRATCH,LEECH LIFE
NINTEN,Shedinja,Rival3-SS Anne,29:51,9,6,27,1:50,17.155,SCRATCH,DIG,HARDEN,LEECH LIFE
NINTEN,Shedinja,Surge,30:34,9,6,28,1:52,6.029,SCRATCH,DIG,HARDEN,LEECH LIFE
NINTEN,Shedinja,Erika,37:42,9,7,32,2:20,16.5,SCRATCH,DIG,HARDEN,LEECH LIFE
NINTEN,Shedinja,Rival4-Pkmn Tower,38:32,9,7,33,2:24,22.953,SCRATCH,DIG,HARDEN,LEECH LIFE
NINTEN,Shedinja,Koga,45:39,9,7,39,2:52,26.419,DIG,SHADOW BALL,HARDEN,LEECH LIFE
NINTEN,Shedinja,Koga,48:06,10,8,39,2:52,24.805,DIG,SHADOW BALL,HARDEN,LEECH LIFE
NINTEN,Shedinja,Rival5-Silph,52:45,10,8,45,3:10,19.285,SHADOW BALL,DIG,HARDEN,LEECH LIFE
NINTEN,Shedinja,Sabrina,54:18,10,8,48,3:16,16.885,SHADOW BALL,DIG,HARDEN,LEECH LIFE
NINTEN,Shedinja,Blaine,57:43,10,8,57,3:30,19.112,SHADOW BALL,DIG,HARDEN,LEECH LIFE
NINTEN,Shedinja,Giovanni,59:26,10,8,60,3:36,29.206,SHADOW BALL,DIG,HARDEN,LEECH LIFE
NINTEN,Shedinja,Rival6-Route 22,1:00:22,10,8,61,3:40,27.792,SHADOW BALL,DIG,HARDEN,LEECH LIFE
NINTEN,Shedinja,Lorelei,1:04:55,10,8,63,3:58,37.341,SHADOW BALL,DIG,HARDEN,LEECH LIFE
NINTEN,Shedinja,Bruno,1:06:13,13,8,64,4:00,24.827,SHADOW BALL,DIG,HARDEN,LEECH LIFE
NINTEN,Shedinja,Agatha,1:08:56,20,8,66,4:04,29.49,SHADOW BALL,DIG,HARDEN,LEECH LIFE
NINTEN,Shedinja,Lance,1:11:37,24,8,68,4:08,44.23,SHADOW BALL,DIG,HARDEN,LEECH LIFE
NINTEN,Shedinja,Champion,1:12:27,24,8,69,4:11,34.258,SHADOW BALL,DIG,HARDEN,LEECH LIFE
NINTEN,Shedinja,Champion,1:12:27,24,8,69,4:12,56.581,SHADOW BALL,DIG,HARDEN,LEECH LIFE
