date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
5-28,16:51:13,NINTEN,Shellder,Rival1-Lab,1,Pallet Town - Oak's Lab,1,47.23,47,0h0m47s,0,0,0,5,0:02,12.5,TACKLE,WITHDRAW,,,0,71,3,1,1,6,6,6,0,3000,Jolteon, ,Water,Water,253,Shellder9,Shellder,Rival (Lab),00:00:34.73,00:00:47.23,00:02:32.27,5,0,0,0,47,23,TACKLE,WITHDRAW,,,29,40,0,0,0,0,0,0,1,19,13,16,11,11,10,55,55,50,65,65,55,15,15,15,15,0,-3,0,0,0,0,0,13,6,11,11,10,11181,4916,4203,0,2062,0,0,0,71,71,0,0,3,2,1,1,0,0,24,21,18,18,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,9,0,Jolteon
5-28,16:54:24,NINTEN,Shellder,Bug Catcher,1,Viridian Forest,2,3:58.90,3:58,0h3m58s,0,0,0,7,0:15,22.959,TACKLE,WITHDRAW,,,0,633,46,2,12,46,45,39,4,1275,Flareon, ,Water,Water,608,Shellder9,Shellder,,00:03:35.94,00:03:58.90,00:15:08.54,7,0,0,3,58,90,TACKLE,WITHDRAW,,,19,38,0,0,0,0,0,0,19,23,16,21,13,13,13,461,498,435,380,380,603,15,15,15,15,0,2,0,0,-4,0,0,16,42,13,13,4,56568,26145,27888,473,2062,0,0,0,633,633,0,0,46,14,2,12,2,1,234,201,78,78,42,6,34,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,452,0,0,0,0,1,9,0,0,0,0,0,9,0,Flareon
5-28,16:55:20,NINTEN,Shellder,Bug Catcher,3,Viridian Forest,1,4:54.48,4:54,0h4m54s,0,0,0,8,0:18,16.693,TACKLE,WITHDRAW,,,0,740,56,3,16,62,61,53,4,1345,Flareon, ,Water,Water,794,Shellder9,Shellder,,00:04:37.79,00:04:54.48,00:18:48.29,8,0,0,4,54,48,TACKLE,WITHDRAW,,,6,35,0,0,0,0,0,0,19,25,18,23,15,15,14,596,588,540,440,440,738,15,15,15,15,0,3,0,0,-4,0,0,18,57,15,15,4,69743,28839,37930,912,2062,0,0,0,740,740,0,0,56,19,3,16,4,1,312,270,93,93,55,8,46,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,638,0,0,0,0,3,9,0,0,0,0,0,9,0,Flareon
5-28,17:00:55,NINTEN,Shellder,Jr Trainer M,1,Pewter City - Gym,2,10:24.96,10:24,0h10m24s,0,10,10,13,0:40,16.926,TACKLE,WITHDRAW,,,0,1348,67,14,18,185,184,174,5,0,Flareon, ,Water,Water,2749,Shellder9,Shellder,,00:10:08.03,00:10:24.96,00:40:35.40,13,0,0,10,24,96,TACKLE,WITHDRAW,,,27,40,0,0,0,0,0,0,15,35,26,35,21,21,20,806,1288,955,990,990,1853,15,15,15,15,0,0,0,0,0,0,0,26,35,21,21,20,148174,45167,100033,912,2062,0,0,0,1348,1348,0,0,67,32,14,18,5,1,884,782,420,413,139,12,163,0,0,0,0,0,16,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,27,2593,0,0,0,0,3,12,0,0,0,0,10,9,10,Flareon
5-28,17:01:42,NINTEN,Shellder,Bug Catcher,15,Viridian Forest,2,11:12.07,11:12,0h11m12s,0,10,10,13,0:43,12.731,TACKLE,WITHDRAW,,,0,1527,72,15,21,194,193,180,5,180,Flareon, ,Water,Water,3040,Shellder9,Shellder,,00:10:59.33,00:11:12.07,00:43:41.20,13,0,0,11,12,7,TACKLE,WITHDRAW,,,26,40,0,0,0,0,0,0,34,35,26,35,21,21,20,1037,1455,1155,1115,1115,2068,15,15,15,15,0,0,0,0,-4,0,0,26,35,21,21,6,159314,49569,106771,912,2062,0,0,0,1527,1527,0,0,72,36,15,21,5,1,1009,884,421,414,148,12,169,0,0,0,0,0,18,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,32,2884,0,0,0,0,3,12,0,0,0,0,10,9,10,Flareon
5-28,17:02:09,NINTEN,Shellder,Bug Catcher,2,Viridian Forest,3,11:39.53,11:39,0h11m39s,0,10,10,13,0:45,16.004,TACKLE,WITHDRAW,,,0,1564,77,16,22,204,203,186,5,260,Flareon, ,Water,Water,3311,Shellder9,Shellder,,00:11:23.53,00:11:39.53,00:45:29.47,13,0,0,11,39,53,TACKLE,WITHDRAW,,,16,40,0,0,0,0,0,0,33,35,26,35,21,21,20,1227,1555,1335,1205,1205,2218,15,15,15,15,0,0,0,0,0,0,0,26,35,21,21,20,165821,50582,112265,912,2062,0,0,0,1564,1564,0,0,77,38,16,22,5,1,1116,966,422,415,157,13,171,0,0,0,0,0,19,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,36,3155,0,0,0,0,3,12,0,0,0,0,10,9,10,Flareon
5-28,17:02:41,NINTEN,Shellder,Lass,19,Viridian Forest,2,12:11.77,12:11,0h12m11s,0,10,10,14,0:47,19.37,TACKLE,WITHDRAW,,,0,1628,82,17,23,217,216,196,5,320,Flareon, ,Water,Water,3503,Shellder9,Shellder,,00:11:52.41,00:12:11.77,00:47:37.23,14,0,0,12,11,77,TACKLE,WITHDRAW,,,3,40,0,0,0,0,0,0,26,37,28,38,23,23,22,1378,1679,1482,1310,1310,2339,15,15,15,15,-3,-1,0,0,0,0,0,11,25,23,23,22,173477,51912,118591,912,2062,0,0,0,1628,1628,0,0,82,40,17,23,5,1,1186,1030,431,424,167,16,180,0,0,0,0,0,19,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,39,3347,0,0,0,0,3,12,0,0,0,0,10,9,10,Flareon
5-28,17:04:45,NINTEN,Shellder,Rival1a-Route 22,2,Route 22,2,14:15.38,14:15,0h14m15s,0,10,10,14,0:55,15.017,TACKLE,WITHDRAW,,,0,1941,92,18,35,249,248,216,4,410,Flareon, ,Water,Water,4185,Shellder9,Shellder,Rival (Optional),00:14:00.36,00:14:15.38,00:55:44.27,14,0,0,14,15,38,TACKLE,WITHDRAW,,,6,40,0,0,0,0,0,0,32,37,28,38,23,23,22,1893,2170,1952,1676,1676,2970,15,15,15,15,-1,-3,0,0,0,-1,0,18,15,23,23,22,202701,59802,139014,1823,2062,0,0,0,1941,1941,0,0,92,53,18,35,6,1,1550,1311,449,442,195,21,196,0,0,0,0,0,20,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,51,4029,0,0,0,0,3,12,0,1,1,0,10,9,10,Flareon
5-28,17:09:31,NINTEN,Shellder,Brock,1,Pewter City - Gym,2,19:00.86,19:00,0h19m0s,0,10,10,16,1:14,68.664,TACKLE,WITHDRAW,,,1,2580,138,19,64,337,334,259,3,690,Jolteon, ,Water,Water,5618,Shellder9,Shellder,Brock,00:17:52.19,00:19:00.86,01:14:30.56,16,0,0,19,0,86,TACKLE,WITHDRAW,,,7,23,0,0,0,0,0,0,11,42,33,44,26,26,25,3106,3824,3360,2686,2686,4794,15,15,15,15,0,6,0,0,0,0,0,33,176,26,26,25,270290,75326,190016,2886,2062,1,0,0,2580,2580,0,0,138,83,19,64,6,1,2416,1879,494,487,260,34,228,0,0,0,0,0,26,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,82,5462,0,0,0,0,3,12,0,1,1,0,10,9,10,Jolteon
5-28,17:10:07,NINTEN,Shellder,Bug Catcher,4,Route 3,3,19:37.00,19:37,0h19m37s,0,10,10,16,1:16,16.158,TACKLE,WITHDRAW,,,1,2693,139,20,64,344,341,265,4,1878,Jolteon, ,Water,Water,5953,Shellder9,Shellder,,00:19:20.84,00:19:37.00,01:16:53.51,16,0,0,19,37,0,TACKLE,WITHDRAW,,,28,40,0,0,0,0,0,0,40,42,33,44,26,26,25,3236,3919,3460,2746,2746,4934,15,15,15,15,0,0,0,0,-5,0,0,64,44,26,26,7,278865,79059,194858,2886,2062,1,0,0,2693,2693,0,0,139,84,20,64,6,1,2540,1968,496,489,266,35,234,0,0,0,0,0,27,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,85,5797,0,0,0,0,3,12,0,1,1,0,10,9,10,Jolteon
