date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
11-24,08:29:50,NINTEN,Slowbro,Rival1-Lab,1,Pallet Town - Oak's Lab,1,41.78,41,0h0m41s,0,0,0,6,0:02,7.75,CONFUSION,DISABLE,HEADBUTT,,0,71,3,1,1,3,3,3,0,3000,Jolteon, ,Water,Psychic,222,Slowbro4,Slowbro,Rival (Lab),00:00:34.03,00:00:41.78,00:02:12.23,6,0,0,0,41,78,CONFUSION,DISABLE,HEADBUTT,,22,20,15,0,0,0,0,0,21,29,15,20,16,16,10,55,55,50,65,65,55,15,15,15,15,0,-1,0,0,0,0,0,15,13,16,16,10,9886,4823,3092,0,1971,0,0,0,71,71,0,0,3,2,1,1,0,0,24,21,8,8,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,4,0,Jolteon
11-24,08:33:06,NINTEN,Slowbro,Rival1-Lab,1,Pallet Town - Oak's Lab,1,41.85,41,0h0m41s,0,0,0,6,0:02,7.502,CONFUSION,DISABLE,HEADBUTT,,0,71,1,1,1,3,3,3,0,3000,Jolteon, ,Water,Psychic,222,Slowbro4,Slowbro,Rival (Lab),00:00:34.35,00:00:41.85,00:02:11.26,6,0,0,0,41,85,CONFUSION,DISABLE,HEADBUTT,,22,20,15,0,0,0,0,0,24,29,15,20,16,16,10,55,55,50,65,65,55,15,15,15,15,0,-1,0,0,0,0,0,15,13,16,16,10,9901,4826,3032,0,2043,0,0,0,71,71,0,0,1,2,1,1,0,0,23,21,5,5,3,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,4,0,Jolteon
11-24,08:40:04,NINTEN,Slowbro,Rival1-Lab,1,Pallet Town - Oak's Lab,1,41.99,41,0h0m41s,0,0,0,6,0:02,7.937,CONFUSION,DISABLE,HEADBUTT,,0,71,3,1,1,3,3,3,0,3000,Jolteon, ,Water,Psychic,222,Slowbro4,Slowbro,Rival (Lab),00:00:34.06,00:00:41.99,00:02:12.29,6,0,0,0,41,99,CONFUSION,DISABLE,HEADBUTT,,22,20,15,0,0,0,0,0,23,29,15,20,16,16,10,55,55,50,65,65,55,15,15,15,15,0,-2,0,0,0,0,0,15,10,16,16,10,9939,4784,3137,0,2018,0,0,0,71,71,0,0,3,2,1,1,0,0,26,21,6,6,3,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,4,0,Jolteon
11-24,09:05:19,NINTEN,Slowbro,Rival1-Lab,1,Pallet Town - Oak's Lab,1,42.11,42,0h0m42s,0,0,0,6,0:02,7.859,CONFUSION,DISABLE,HEADBUTT,,0,71,1,1,1,3,3,3,0,3000,Jolteon, ,Water,Psychic,222,Slowbro4,Slowbro,Rival (Lab),00:00:34.25,00:00:42.11,00:02:12.04,6,0,0,0,42,11,CONFUSION,DISABLE,HEADBUTT,,22,20,15,0,0,0,0,0,21,29,15,20,16,16,10,55,55,50,65,65,55,15,15,15,15,0,-1,0,0,0,0,0,15,13,16,16,10,9967,4780,3116,0,2071,0,0,0,71,71,0,0,1,2,1,1,0,0,23,21,8,8,3,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,4,0,Jolteon
11-24,09:06:50,NINTEN,Slowbro,Bug Catcher,3,Viridian Forest,1,2:12.89,2:12,0h2m12s,0,0,0,6,0:08,6.782,CONFUSION,DISABLE,HEADBUTT,,0,616,21,2,3,7,7,7,3,75,Flareon, ,Water,Psychic,334,Slowbro4,Slowbro,,00:02:06.10,00:02:12.89,00:08:10.43,6,0,0,2,12,89,CONFUSION,DISABLE,HEADBUTT,,22,20,14,0,0,0,0,0,24,29,15,20,16,16,10,100,85,85,85,85,100,15,15,15,15,0,0,0,0,-1,0,0,15,20,16,16,6,31486,21369,8046,0,2071,0,0,0,616,616,0,0,21,5,2,3,0,0,65,60,13,13,7,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,209,0,0,0,0,1,13,0,1,1,0,0,4,0,Flareon
11-24,09:07:20,NINTEN,Slowbro,Brock,1,Pewter City - Gym,2,2:42.90,2:42,0h2m42s,0,0,0,9,0:10,17.813,CONFUSION,DISABLE,HEADBUTT,,0,722,21,3,3,19,14,14,3,175,Flareon, ,Water,Psychic,794,Slowbro4,Slowbro,Brock,00:02:25.10,00:02:42.90,00:10:09.16,9,0,0,2,42,90,CONFUSION,DISABLE,HEADBUTT,,15,20,14,0,0,0,0,0,9,39,21,27,22,22,13,175,210,345,145,145,190,15,15,15,15,0,0,0,0,0,0,0,21,27,22,22,13,38599,23769,12759,0,2071,0,0,0,722,722,0,0,21,6,3,3,0,0,135,121,38,38,14,2,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,669,0,0,0,0,1,13,0,1,1,0,0,4,0,Flareon
11-24,09:07:50,NINTEN,Slowbro,Bug Catcher,4,Route 3,3,3:13.37,3:13,0h3m13s,0,0,0,10,0:12,14.406,CONFUSION,DISABLE,HEADBUTT,,0,811,21,4,3,24,19,18,4,1363,Flareon, ,Water,Psychic,1129,Slowbro4,Slowbro,,00:02:58.95,00:03:13.37,00:12:09.32,10,0,0,3,13,37,CONFUSION,DISABLE,HEADBUTT,,10,20,14,0,0,0,0,0,28,42,23,30,24,24,14,305,305,445,205,205,330,15,15,15,15,0,0,0,0,-2,0,0,28,30,24,24,7,45815,26194,17175,375,2071,0,0,0,811,811,0,0,21,7,4,3,0,0,254,210,42,42,19,2,15,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,7,1004,0,0,0,0,1,13,0,1,1,0,0,4,0,Flareon
11-24,09:08:06,NINTEN,Slowbro,Youngster,1,Route 3,2,3:28.40,3:28,0h3m28s,0,0,0,11,0:13,9.671,CONFUSION,DISABLE,HEADBUTT,,0,814,21,5,3,27,22,21,4,1463,Flareon, ,Water,Psychic,1407,Slowbro4,Slowbro,,00:03:18.73,00:03:28.40,00:13:08.44,11,0,0,3,28,40,CONFUSION,DISABLE,HEADBUTT,,7,20,14,0,0,0,0,0,32,45,25,33,26,26,15,370,421,524,270,270,457,15,15,15,15,0,-1,0,0,0,0,0,28,21,26,26,15,49367,26564,19959,773,2071,0,0,0,814,814,0,0,21,8,5,3,0,0,342,269,55,55,22,2,18,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,9,1282,0,0,0,0,1,13,0,1,1,0,0,4,0,Flareon
11-24,09:08:18,NINTEN,Slowbro,Lass,2,Route 3,2,3:41.25,3:41,0h3m41s,0,0,0,11,0:13,8.784,CONFUSION,DISABLE,HEADBUTT,,0,821,23,6,3,30,25,24,4,1628,Flareon, ,Water,Psychic,1655,Slowbro4,Slowbro,,00:03:32.47,00:03:41.25,00:13:59.23,11,0,0,3,41,25,CONFUSION,DISABLE,HEADBUTT,,4,20,14,0,0,0,0,0,24,45,25,33,26,26,15,446,534,599,335,335,579,15,15,15,15,0,-2,0,0,0,0,0,34,16,26,26,15,52406,27037,22525,773,2071,0,0,0,821,821,0,0,23,9,6,3,0,0,435,326,63,63,25,2,21,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,11,1530,0,0,0,0,1,13,0,1,1,0,0,4,0,Flareon
11-24,09:08:39,NINTEN,Slowbro,Bug Catcher,6,Route 3,2,4:01.69,4:01,0h4m1s,0,0,0,12,0:15,10.516,CONFUSION,DISABLE,HEADBUTT,,0,881,28,7,3,34,29,28,4,1778,Flareon, ,Water,Psychic,1948,Slowbro4,Slowbro,,00:03:51.17,00:04:01.69,00:15:19.57,12,0,0,4,1,69,CONFUSION,DISABLE,HEADBUTT,,0,20,14,0,0,0,0,0,46,49,27,35,28,28,16,541,584,689,380,380,654,15,15,15,15,0,0,0,0,-1,0,0,30,35,28,28,10,57240,28553,25484,1132,2071,0,0,0,881,881,0,0,28,10,7,3,0,0,522,391,65,65,29,2,23,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,13,1823,0,0,0,0,1,13,0,1,1,0,0,4,0,Flareon
