date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
9-22,15:21:09,NINTEN,Slowpoke,Rival1-Lab,1,Pallet Town - Oak's Lab,1,42.88,42,0h0m42s,0,0,0,6,0:02,9.627,CONFUSION,,,,0,71,2,1,1,4,3,3,0,3000,Jolteon, ,Water,Psychic,222,Slowpoke 2,Slowpoke,Rival (Lab),00:00:33.26,00:00:42.89,00:02:17.25,6,0,0,0,42,89,CONFUSION,,,,22,0,0,0,0,0,0,0,18,28,14,14,11,11,8,55,55,50,65,65,55,15,15,15,15,0,-1,0,0,0,0,0,14,9,11,11,8,10147,4703,3514,0,1930,0,0,0,71,71,0,0,2,2,1,1,0,0,23,21,10,10,3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,14,0,Jolteon
9-22,15:22:25,NINTEN,Slowpoke,Bug Catcher,2,Viridian Forest,3,1:59.15,1:59,0h1m59s,0,0,0,7,0:07,16.16,CONFUSION,,,,0,499,19,2,2,12,11,11,0,3175,Flareon, ,Water,Psychic,471,Slowpoke 2,Slowpoke,,00:01:42.99,00:01:59.15,00:07:18.39,7,0,0,1,59,15,CONFUSION,,,,17,0,0,0,0,0,0,0,31,31,16,16,12,12,9,200,125,195,135,135,160,15,15,15,15,0,0,0,0,-1,0,0,16,16,12,12,5,28221,17576,8715,0,1930,0,0,0,499,499,0,0,19,4,2,2,0,0,100,87,10,10,11,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,4,255,0,0,0,0,0,0,0,0,0,0,0,14,0,Flareon
9-22,15:22:45,NINTEN,Slowpoke,Bug Catcher,3,Viridian Forest,1,2:18.75,2:18,0h2m18s,0,0,0,8,0:08,9.7,CONFUSION,,,,0,581,25,3,2,17,16,16,1,3235,Flareon, ,Water,Psychic,583,Slowpoke 2,Slowpoke,,00:02:09.05,00:02:18.75,00:08:36.21,8,0,0,2,18,75,CONFUSION,,,,12,0,0,0,0,0,0,0,23,35,18,18,14,14,10,245,155,230,155,155,205,15,15,15,15,0,0,0,0,0,0,0,18,18,14,14,10,32883,19502,11451,0,1930,0,0,0,581,581,0,0,25,5,3,2,0,0,143,117,22,22,16,4,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,5,458,0,0,0,0,2,0,0,0,0,0,0,14,0,Flareon
9-22,15:23:13,NINTEN,Slowpoke,Brock,1,Pewter City - Gym,2,2:46.91,2:46,0h2m46s,0,0,0,10,0:10,14.422,CONFUSION,,,,0,685,26,4,2,23,22,20,1,3335,Flareon, ,Water,Psychic,1043,Slowpoke 2,Slowpoke,Brock,00:02:32.50,00:02:46.92,00:10:27.25,10,0,0,2,46,92,CONFUSION,,,,6,0,0,0,0,0,0,0,41,41,21,21,16,16,11,320,280,490,215,215,295,15,15,15,15,0,-4,0,0,0,0,0,21,6,16,16,11,39547,21929,15357,331,1930,0,0,0,685,685,0,0,26,6,4,2,0,0,209,178,22,22,22,5,9,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,7,918,0,0,0,0,2,0,0,0,0,0,0,14,0,Flareon
9-22,15:23:58,NINTEN,Slowpoke,Bug Catcher,4,Route 3,3,3:32.43,3:32,0h3m32s,0,0,0,11,0:13,16.46,CONFUSION,,,,0,804,34,5,2,30,29,27,4,23,Flareon,Poisoned,Water,Psychic,1378,Slowpoke 2,Slowpoke,,00:03:15.98,00:03:32.44,00:13:27.26,11,0,0,3,32,44,CONFUSION,,,,18,0,0,0,0,0,0,0,30,44,23,23,17,17,12,450,375,590,275,275,435,15,15,15,15,0,0,0,0,-1,0,0,25,23,17,17,7,50348,27810,20277,331,1930,0,0,0,804,804,0,0,34,7,5,2,0,0,327,267,36,36,29,8,13,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,10,1253,0,0,0,0,2,18,0,0,0,0,0,14,0,Flareon
9-22,15:24:24,NINTEN,Slowpoke,Youngster Ben,1,Route 3,2,3:58.10,3:58,0h3m58s,0,0,0,11,0:15,17.178,CONFUSION,BIDE,,,0,808,35,6,2,42,34,35,3,123,Flareon, ,Water,Psychic,1656,Slowpoke 2,Slowpoke,,00:03:40.93,00:03:58.11,00:15:08.31,11,0,0,3,58,11,CONFUSION,BIDE,,,13,10,0,0,0,0,0,0,10,44,23,23,17,17,12,515,491,669,340,340,562,15,15,15,15,0,-1,0,0,0,0,0,28,15,17,17,12,56413,28074,24853,1556,1930,0,0,0,808,808,0,0,35,8,6,2,0,0,407,326,70,70,34,9,20,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,12,1531,0,0,0,0,2,18,0,0,0,1,0,14,0,Flareon
9-22,15:24:45,NINTEN,Slowpoke,Bug Catcher,5,Route 3,4,4:19.23,4:19,0h4m19s,0,0,0,12,0:16,15.083,CONFUSION,BIDE,,,0,814,36,7,2,48,40,40,3,288,Flareon, ,Water,Psychic,2131,Slowpoke 2,Slowpoke,,00:04:04.16,00:04:19.24,00:16:31.28,12,0,0,4,19,24,CONFUSION,BIDE,,,7,10,0,0,0,0,0,0,47,47,24,24,18,18,12,695,601,839,430,430,722,15,15,15,15,0,0,0,0,-1,0,0,30,24,18,18,7,61390,28332,28911,2217,1930,0,0,0,814,814,0,0,36,9,7,2,0,0,535,438,70,70,40,11,21,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,16,2006,0,0,0,0,2,18,0,0,0,1,0,14,0,Flareon
9-22,15:25:02,NINTEN,Slowpoke,Bug Catcher,6,Route 3,2,4:35.98,4:35,0h4m35s,0,0,0,13,0:17,12.856,CONFUSION,BIDE,,,0,822,37,8,2,54,46,46,3,378,Flareon, ,Water,Psychic,2424,Slowpoke 2,Slowpoke,,00:04:23.14,00:04:35.99,00:17:37.42,13,0,0,4,35,99,CONFUSION,BIDE,,,1,10,0,0,0,0,0,0,45,51,26,26,19,19,13,790,651,929,475,475,797,15,15,15,15,0,0,0,0,-1,0,0,29,26,19,19,8,65364,28731,32486,2217,1930,0,0,0,822,822,0,0,37,10,8,2,0,0,626,503,76,76,46,11,24,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,18,2299,0,0,0,0,2,18,0,0,0,1,0,14,0,Flareon
9-22,15:25:44,NINTEN,Slowpoke,Hiker,1,Mt Moon - 1,3,5:17.57,5:17,0h5m17s,0,0,0,14,0:20,10.938,CONFUSION,BIDE,WATER GUN,,0,1089,48,9,2,57,49,47,4,488,Flareon, ,Water,Psychic,3021,Slowpoke 2,Slowpoke,,00:05:06.64,00:05:17.57,00:20:22.12,14,0,0,5,17,57,CONFUSION,BIDE,WATER GUN,,25,10,22,0,0,0,0,0,51,54,28,28,21,21,14,905,856,1289,565,565,907,15,15,15,15,0,0,0,0,0,0,0,31,28,21,21,14,75234,34989,35487,2828,1930,0,0,0,1089,1089,0,0,48,11,9,2,0,0,802,589,79,79,49,11,25,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,21,2896,0,0,0,0,4,18,0,0,0,2,0,14,0,Flareon
9-22,15:26:11,NINTEN,Slowpoke,Fossil Nerd,2,Mt Moon - 3,3,5:45.35,5:45,0h5m45s,0,0,0,15,0:22,15.378,CONFUSION,BIDE,WATER GUN,,0,1210,52,10,2,64,55,52,4,838,Flareon, ,Water,Psychic,3808,Slowpoke 2,Slowpoke,,00:05:29.98,00:05:45.36,00:22:12.02,15,0,0,5,45,36,CONFUSION,BIDE,WATER GUN,,19,10,22,0,0,0,0,0,42,57,30,30,22,22,15,1065,1031,1484,720,720,1067,15,15,15,15,0,0,0,0,0,0,0,33,30,22,22,15,81824,37535,39531,2828,1930,0,0,0,1210,1210,0,0,52,12,10,2,0,0,930,698,91,91,55,13,28,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,24,3683,0,0,0,0,4,18,0,0,0,2,0,14,0,Flareon
