date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
9-22,11:48:32,NINTEN,Slowpoke,Rival1-Lab,1,Pallet Town - Oak's Lab,1,42.07,42,0h0m42s,0,0,0,6,0:02,8.66,CONFUSION,,,,0,71,3,1,1,4,4,4,0,3000,Jolteon, ,Water,Psychic,222,Slowpoke 1,Slowpoke,Rival (Lab),00:00:33.41,00:00:42.07,00:02:13.58,6,0,0,0,42,7,CONFUSION,,,,21,0,0,0,0,0,0,0,13,28,14,14,11,11,8,55,55,50,65,65,55,15,15,15,15,0,0,0,0,0,0,0,14,14,11,11,8,9954,4724,3286,0,1944,0,0,0,71,71,0,0,3,2,1,1,0,0,24,21,15,15,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,2,0,Jolteon
9-22,11:49:58,NINTEN,Slowpoke,Bug Catcher,2,Viridian Forest,3,2:08.70,2:08,0h2m8s,0,0,0,7,0:07,17.686,CONFUSION,,,,0,534,45,2,2,13,13,13,3,75,Flareon, ,Water,Psychic,471,Slowpoke 1,Slowpoke,,00:01:51.03,00:02:08.72,00:07:56.17,7,0,0,2,8,72,CONFUSION,,,,16,0,0,0,0,0,0,0,31,31,16,16,12,12,9,200,125,195,135,135,160,15,15,15,15,0,0,0,0,-2,0,0,16,16,12,12,4,30493,19708,8841,0,1944,0,0,0,534,534,0,0,45,4,2,2,0,0,107,87,15,15,13,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,346,0,0,0,0,0,13,0,0,0,0,0,2,0,Flareon
9-22,11:50:16,NINTEN,Slowpoke,Bug Catcher,3,Viridian Forest,1,2:26.42,2:26,0h2m26s,0,0,0,8,0:09,8.786,CONFUSION,,,,0,619,47,3,2,17,17,17,3,135,Flareon, ,Water,Psychic,583,Slowpoke 1,Slowpoke,,00:02:17.65,00:02:26.43,00:09:06.27,8,0,0,2,26,43,CONFUSION,,,,12,0,0,0,0,0,0,0,35,35,18,18,14,14,10,245,155,230,155,155,205,15,15,15,15,0,0,0,0,-3,0,0,18,18,14,14,4,34703,21401,11358,0,1944,0,0,0,619,619,0,0,47,5,3,2,0,0,139,117,15,15,17,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,458,0,0,0,0,1,13,0,0,0,0,0,2,0,Flareon
9-22,11:50:44,NINTEN,Slowpoke,Brock,1,Pewter City - Gym,2,2:53.81,2:53,0h2m53s,0,0,0,10,0:10,15.201,CONFUSION,,,,0,725,48,4,2,24,24,22,3,235,Flareon, ,Water,Psychic,1043,Slowpoke 1,Slowpoke,Brock,00:02:38.61,00:02:53.82,00:10:54.35,10,0,0,2,53,82,CONFUSION,,,,5,0,0,0,0,0,0,0,23,41,21,21,16,16,11,320,280,490,215,215,295,15,15,15,15,0,0,0,0,0,0,0,21,21,16,16,11,41191,23799,15448,0,1944,0,0,0,725,725,0,0,48,6,4,2,0,0,205,178,33,33,24,4,11,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,918,0,0,0,0,1,13,0,0,0,0,0,2,0,Flareon
9-22,11:51:20,NINTEN,Slowpoke,Bug Catcher,4,Route 3,3,3:30.69,3:30,0h3m30s,0,0,0,11,0:13,16.9,CONFUSION,,,,0,838,51,5,2,32,31,29,4,1423,Flareon, ,Water,Psychic,1378,Slowpoke 1,Slowpoke,,00:03:13.80,00:03:30.70,00:13:20.30,11,0,0,3,30,70,CONFUSION,,,,18,0,0,0,0,0,0,0,32,44,23,23,17,17,12,450,375,590,275,275,435,15,15,15,15,0,0,0,0,-1,0,0,25,23,17,17,7,49946,27536,20466,0,1944,0,0,0,838,838,0,0,51,7,5,2,0,0,311,267,45,45,30,7,16,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,10,1253,0,0,0,0,1,13,0,0,0,0,0,2,0,Flareon
9-22,11:51:37,NINTEN,Slowpoke,Youngster Ben,1,Route 3,2,3:47.27,3:47,0h3m47s,0,0,0,11,0:14,13.542,CONFUSION,,,,0,842,52,6,2,40,34,33,4,1523,Flareon, ,Water,Psychic,1656,Slowpoke 1,Slowpoke,,00:03:33.75,00:03:47.29,00:14:26.00,11,0,0,3,47,29,CONFUSION,,,,15,0,0,0,0,0,0,0,20,44,23,23,17,17,12,515,491,669,340,340,562,15,15,15,15,0,-3,0,0,0,0,0,34,9,17,17,12,53876,27756,24176,0,1944,0,0,0,842,842,0,0,52,8,6,2,0,0,375,326,57,57,33,7,20,0,0,0,0,0,2,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,12,1531,0,0,0,0,1,13,0,0,0,0,0,2,0,Flareon
9-22,11:51:58,NINTEN,Slowpoke,Bug Catcher,5,Route 3,4,4:08.02,4:08,0h4m8s,0,0,0,12,0:15,17.681,CONFUSION,,,,0,848,53,7,2,46,40,39,4,1688,Flareon,Poisoned,Water,Psychic,2131,Slowpoke 1,Slowpoke,,00:03:50.36,00:04:08.04,00:15:47.52,12,0,0,4,8,4,CONFUSION,,,,9,0,0,0,0,0,0,0,15,47,24,24,18,18,12,695,601,839,430,430,722,15,15,15,15,0,0,0,0,-1,0,0,30,24,18,18,7,58788,27983,28861,0,1944,0,0,0,848,848,0,0,53,9,7,2,0,0,505,438,65,65,39,7,23,0,0,0,0,0,2,0,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,16,2006,0,0,0,0,1,13,0,0,0,0,0,2,0,Flareon
9-22,11:52:18,NINTEN,Slowpoke,Bug Catcher,6,Route 3,2,4:27.79,4:27,0h4m27s,0,0,0,13,0:17,11.84,CONFUSION,,,,0,856,54,8,2,51,45,44,4,1778,Flareon, ,Water,Psychic,2424,Slowpoke 1,Slowpoke,,00:04:15.96,00:04:27.80,00:17:05.23,13,0,0,4,27,80,CONFUSION,,,,4,0,0,0,0,0,0,0,47,51,26,26,19,19,13,790,651,929,475,475,797,15,15,15,15,0,0,0,0,-2,0,0,29,26,19,19,6,63439,28375,32197,923,1944,0,0,0,856,856,0,0,54,10,8,2,0,0,585,503,69,69,44,7,26,0,0,0,0,0,2,0,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,18,2299,0,0,0,0,1,13,0,0,0,0,0,2,0,Flareon
9-22,11:53:03,NINTEN,Slowpoke,Hiker,1,Mt Moon - 1,3,5:13.33,5:13,0h5m13s,0,0,0,14,0:20,10.749,CONFUSION,WATER GUN,BIDE,,0,1125,66,9,2,54,48,45,4,1888,Flareon, ,Water,Psychic,3021,Slowpoke 1,Slowpoke,,00:05:02.59,00:05:13.34,00:20:05.26,14,0,0,5,13,34,CONFUSION,WATER GUN,BIDE,,25,22,10,0,0,0,0,0,54,54,28,28,21,21,14,905,856,1289,565,565,907,15,15,15,15,0,0,0,0,0,0,0,31,28,21,21,14,74242,34756,35154,2388,1944,0,0,0,1125,1125,0,0,66,11,9,2,0,0,746,589,69,69,47,8,26,0,0,0,0,0,2,0,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,21,2896,0,0,0,0,3,13,0,0,0,2,0,2,0,Flareon
9-22,11:53:31,NINTEN,Slowpoke,Fossil Nerd,2,Mt Moon - 3,3,5:41.31,5:41,0h5m41s,0,0,0,15,0:21,16.072,CONFUSION,WATER GUN,BIDE,,0,1244,67,10,2,61,55,51,4,2238,Flareon, ,Water,Psychic,3808,Slowpoke 1,Slowpoke,,00:05:25.25,00:05:41.32,00:21:56.02,15,0,0,5,41,32,CONFUSION,WATER GUN,BIDE,,18,22,10,0,0,0,0,0,39,57,30,30,22,22,15,1065,1031,1484,720,720,1067,15,15,15,15,0,-4,0,0,0,0,0,33,9,22,22,15,80878,37181,39365,2388,1944,0,0,0,1244,1244,0,0,67,12,10,2,0,0,894,698,87,87,54,9,31,0,0,0,0,0,2,0,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,24,3683,0,0,0,0,3,13,0,0,0,2,0,2,0,Flareon
