date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
10-07,20:13:54,NINTEN,Slugma,Bug Catcher,2,Viridian Forest,3,4:43.60,4:43,0h4m43s,0,2,2,8,0:18,41.735,SMOG,EMBER,,,0,897,48,2,13,64,60,59,4,0,Vaporeon, ,Fire,Fire,595,Slugma2,Slugma,,00:04:01.86,00:04:43.60,00:18:07.41,8,0,0,4,43,60,SMOG,EMBER,,,0,25,0,0,0,0,0,0,6,27,14,14,18,18,10,425,230,395,200,200,345,15,15,15,15,0,0,0,0,-3,0,0,14,14,18,18,4,67230,28114,36627,492,1997,0,0,0,897,897,0,0,48,15,2,13,4,2,208,193,89,79,41,22,26,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,470,0,0,0,0,0,13,0,0,0,0,2,2,2,Vaporeon
10-07,20:14:10,NINTEN,Slugma,Bug Catcher,1,Viridian Forest,2,4:59.23,4:59,0h4m59s,0,2,2,9,0:19,9.112,EMBER,SMOG,,,0,917,48,3,13,66,62,61,4,60,Vaporeon, ,Fire,Fire,753,Slugma2,Slugma,,00:04:50.12,00:04:59.23,00:19:09.18,9,0,0,4,59,23,EMBER,SMOG,,,23,0,0,0,0,0,0,0,24,29,15,15,20,20,11,515,290,465,240,240,435,15,15,15,15,0,0,0,0,-1,0,0,15,15,20,20,7,70927,28696,39228,1006,1997,0,0,0,917,917,0,0,48,16,3,13,4,2,267,241,93,83,43,22,28,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,628,0,0,0,0,0,13,0,0,0,1,2,2,2,Vaporeon
10-07,20:14:26,NINTEN,Slugma,Lass,19,Viridian Forest,2,5:14.79,5:14,0h5m14s,0,2,2,9,0:20,9.231,EMBER,SMOG,,,0,961,56,4,13,70,66,64,4,130,Vaporeon, ,Fire,Fire,904,Slugma2,Slugma,,00:05:05.56,00:05:14.79,00:20:10.45,9,0,0,5,14,79,EMBER,SMOG,,,19,0,0,0,0,0,0,0,18,29,15,15,20,20,11,616,394,557,320,320,526,15,15,15,15,-1,0,0,0,0,0,0,9,15,20,20,11,74614,29755,41856,1006,1997,0,0,0,961,961,0,0,56,17,4,13,4,2,319,286,99,89,47,22,31,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,779,0,0,0,0,0,13,0,0,0,1,2,2,2,Vaporeon
10-07,20:16:36,NINTEN,Slugma,Rival1a-Route 22,2,Route 22,2,7:24.96,7:24,0h7m24s,0,2,2,12,0:28,11.972,EMBER,SMOG,,,0,1334,65,5,31,95,91,72,3,220,Vaporeon, ,Fire,Fire,1754,Slugma2,Slugma,Rival (Optional),00:07:13.00,00:07:24.96,00:28:43.10,12,0,0,7,24,96,EMBER,SMOG,,,20,20,0,0,0,0,0,0,30,36,19,19,26,26,14,1476,1034,1307,816,816,1404,15,15,15,15,0,-2,0,0,0,-1,0,19,9,26,26,14,105359,38327,64029,1006,1997,0,0,0,1334,1334,0,0,65,36,5,31,4,2,1120,667,112,102,72,24,37,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,32,1629,0,0,0,0,0,13,0,1,1,1,2,2,2,Vaporeon
10-07,20:17:22,NINTEN,Slugma,Bug Catcher,15,Viridian Forest,2,8:10.93,8:10,0h8m10s,0,2,2,12,0:31,6.412,EMBER,SMOG,,,0,1524,71,6,35,103,99,75,3,500,Vaporeon, ,Fire,Fire,2151,Slugma2,Slugma,,00:08:04.51,00:08:10.93,00:31:44.18,12,0,0,8,10,93,EMBER,SMOG,,,12,20,0,0,0,0,0,0,25,36,19,19,26,26,14,1746,1224,1567,976,976,1666,15,15,15,15,0,0,0,0,0,0,0,19,19,26,26,14,116227,42749,70475,1006,1997,0,0,0,1524,1524,0,0,71,41,6,35,4,2,1356,803,117,107,79,25,40,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,38,2026,0,0,0,0,1,13,0,1,1,1,2,2,2,Vaporeon
10-07,20:17:40,NINTEN,Slugma,Bug Catcher,3,Viridian Forest,1,8:29.68,8:29,0h8m29s,0,2,2,13,0:32,4.051,EMBER,SMOG,,,0,1572,72,7,37,106,102,75,3,580,Vaporeon, ,Fire,Fire,2341,Slugma2,Slugma,,00:08:25.63,00:08:29.68,00:32:58.09,13,0,0,8,29,68,EMBER,SMOG,,,9,20,0,0,0,0,0,0,27,38,20,20,28,28,15,1886,1304,1692,1041,1041,1786,15,15,15,15,0,0,0,0,0,0,0,20,20,28,28,15,120658,43716,73939,1006,1997,0,0,0,1572,1572,0,0,72,44,7,37,4,2,1507,870,117,107,82,25,40,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,41,2216,0,0,0,0,1,13,0,1,1,1,2,2,2,Vaporeon
10-07,20:18:11,NINTEN,Slugma,Jr Trainer M,1,Pewter City - Gym,2,9:00.48,9:00,0h9m0s,0,2,2,13,0:34,10.293,EMBER,SMOG,,,0,1688,73,8,38,111,107,78,3,680,Vaporeon, ,Fire,Fire,2716,Slugma2,Slugma,,00:08:50.19,00:09:00.48,00:34:59.24,13,0,0,9,0,48,EMBER,SMOG,,,21,20,0,0,0,0,0,0,24,38,20,20,28,28,15,1996,1454,1857,1141,1141,1951,15,15,15,15,0,0,0,0,0,0,0,20,20,28,28,15,127933,47032,77898,1006,1997,0,0,0,1688,1688,0,0,73,46,8,38,4,2,1657,939,131,121,87,25,43,0,0,0,0,0,4,0,2,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,44,2591,0,0,0,0,1,13,0,1,1,1,2,2,2,Vaporeon
10-07,20:18:41,NINTEN,Slugma,Brock,1,Pewter City - Gym,2,9:30.09,9:30,0h9m30s,0,2,2,14,0:36,20.633,EMBER,SMOG,,,1,1692,74,9,38,124,120,83,3,860,Vaporeon, ,Fire,Fire,3176,Slugma2,Slugma,Brock,00:09:09.46,00:09:30.09,00:36:56.31,14,0,0,9,30,9,EMBER,SMOG,,,13,15,0,0,0,0,0,0,5,40,21,21,29,29,16,2071,1579,2117,1201,1201,2041,15,15,15,15,0,0,0,0,0,0,0,21,21,29,29,16,134960,47589,83404,1970,1997,1,0,0,1692,1692,0,0,74,47,9,38,4,2,1726,1000,166,156,98,31,44,0,0,0,0,0,4,0,2,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,46,3051,0,0,0,0,1,13,0,1,1,1,2,2,2,Vaporeon
10-07,20:19:11,NINTEN,Slugma,Bug Catcher,4,Route 3,3,10:00.69,10:00,0h10m0s,0,2,2,15,0:38,10.879,EMBER,SMOG,ROCK THROW,,1,1803,74,10,38,127,123,84,4,2048,Vaporeon, ,Fire,Fire,3511,Slugma2,Slugma,,00:09:49.82,00:10:00.69,00:38:57.28,15,0,0,10,0,69,EMBER,SMOG,ROCK THROW,,22,20,15,0,0,0,0,0,40,43,23,23,31,31,17,2201,1674,2217,1261,1261,2181,15,15,15,15,0,0,0,0,0,0,0,25,23,31,31,17,142217,51265,86985,1970,1997,1,0,0,1803,1803,0,0,74,48,10,38,4,2,1882,1089,169,159,101,31,45,0,0,0,0,0,4,0,2,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,49,3386,0,0,0,0,1,13,0,1,1,2,2,2,2,Vaporeon
10-07,20:19:24,NINTEN,Slugma,Youngster Ben,1,Route 3,2,10:13.67,10:13,0h10m13s,0,2,2,15,0:39,9.635,EMBER,SMOG,ROCK THROW,,1,1807,74,11,38,131,127,88,4,2148,Vaporeon, ,Fire,Fire,3789,Slugma2,Slugma,,00:10:04.04,00:10:13.67,00:39:48.38,15,0,0,10,13,67,EMBER,SMOG,ROCK THROW,,18,20,15,0,0,0,0,0,31,43,23,23,31,31,17,2266,1790,2296,1326,1326,2308,15,15,15,15,0,-1,0,0,0,0,0,28,15,31,31,17,145287,51548,89772,1970,1997,1,0,0,1807,1807,0,0,74,49,11,38,4,2,1990,1148,178,168,105,33,47,0,0,0,0,0,5,0,2,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,51,3664,0,0,0,0,1,13,0,1,1,2,2,2,2,Vaporeon
10-07,20:19:39,NINTEN,Slugma,Bug Catcher,5,Route 3,4,10:28.35,10:28,0h10m28s,0,2,2,16,0:40,11.792,EMBER,SMOG,ROCK THROW,,1,1811,74,12,38,135,131,88,4,2313,Vaporeon, ,Fire,Fire,4264,Slugma2,Slugma,,00:10:16.56,00:10:28.35,00:40:46.25,16,0,0,10,28,35,EMBER,SMOG,ROCK THROW,,14,20,15,0,0,0,0,0,33,45,24,24,33,33,18,2446,1900,2466,1416,1416,2468,15,15,15,15,0,0,0,0,0,0,0,27,24,33,33,18,148754,51715,93072,1970,1997,1,0,0,1811,1811,0,0,74,50,12,38,4,2,2209,1260,178,168,109,33,47,0,0,0,0,0,5,0,2,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,55,4139,0,0,0,0,1,13,0,1,1,2,2,2,2,Vaporeon
10-07,20:19:49,NINTEN,Slugma,Bug Catcher,6,Route 3,2,10:38.76,10:38,0h10m38s,0,2,2,16,0:41,6.423,EMBER,SMOG,ROCK THROW,,1,1819,75,13,38,137,133,88,4,2403,Vaporeon, ,Fire,Fire,4557,Slugma2,Slugma,,00:10:32.34,00:10:38.76,00:41:27.24,16,0,0,10,38,76,EMBER,SMOG,ROCK THROW,,12,20,15,0,0,0,0,0,33,45,24,24,33,33,18,2541,1950,2556,1461,1461,2543,15,15,15,15,0,0,0,0,0,0,0,27,24,33,33,18,151213,52094,95152,1970,1997,1,0,0,1819,1819,0,0,75,51,13,38,4,2,2320,1325,178,168,111,33,47,0,0,0,0,0,5,0,2,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,57,4432,0,0,0,0,1,13,0,1,1,2,2,2,2,Vaporeon
10-07,20:20:26,NINTEN,Slugma,Super Nerd,1,Mt Moon - 1,2,11:15.63,11:15,0h11m15s,0,2,2,17,0:43,11.985,EMBER,SMOG,ROCK THROW,,1,1962,83,14,40,143,138,93,4,2513,Vaporeon, ,Fire,Fire,5006,Slugma2,Slugma,,00:11:03.64,00:11:15.63,00:43:52.48,17,0,0,11,15,63,EMBER,SMOG,ROCK THROW,,20,20,15,0,0,0,0,0,41,47,25,25,35,35,19,2606,2015,2676,1611,1611,2688,15,15,15,15,0,-4,0,0,0,0,0,28,8,35,35,19,159937,55753,100217,1970,1997,1,0,0,1962,1962,0,0,83,54,14,40,6,3,2387,1384,192,182,116,33,52,0,0,0,0,0,5,0,2,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,59,4881,0,0,0,0,1,13,0,1,1,2,2,2,2,Vaporeon
10-07,20:20:44,NINTEN,Slugma,Bug Catcher,8,Mt Moon - 1,3,11:32.82,11:32,0h11m32s,0,2,2,17,0:45,8.806,EMBER,SMOG,ROCK THROW,,1,1982,84,15,41,146,141,93,5,2788,Vaporeon, ,Fire,Fire,5383,Slugma2,Slugma,,00:11:24.01,00:11:32.82,00:45:00.29,17,0,0,11,32,82,EMBER,SMOG,ROCK THROW,,17,20,15,0,0,0,0,0,41,47,25,25,35,35,19,2746,2095,2801,1676,1676,2808,15,15,15,15,0,0,0,0,0,0,0,28,25,35,35,19,163998,56565,103466,1970,1997,1,0,0,1982,1982,0,0,84,56,15,41,7,3,2579,1475,192,182,119,33,52,0,0,0,0,0,5,0,2,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,62,5258,0,0,0,0,2,13,0,1,1,2,2,2,2,Vaporeon
10-07,20:20:59,NINTEN,Slugma,Lass,5,Mt Moon - 1,2,11:48.76,11:48,0h11m48s,0,2,2,17,0:46,8.338,EMBER,SMOG,ROCK THROW,,1,2003,84,16,42,149,144,94,5,2888,Vaporeon, ,Fire,Fire,5764,Slugma2,Slugma,,00:11:40.42,00:11:48.76,00:46:03.17,17,0,0,11,48,76,EMBER,SMOG,ROCK THROW,,14,20,15,0,0,0,0,0,40,47,25,25,35,35,19,2841,2220,2891,1821,1821,2878,15,15,15,15,0,0,0,0,0,0,0,28,25,35,35,19,167766,57193,106606,1970,1997,1,0,0,2003,2003,0,0,84,58,16,42,8,3,2671,1541,193,183,122,33,53,0,0,0,0,0,5,0,2,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,64,5639,0,0,0,0,2,13,0,1,1,2,2,2,2,Vaporeon
