ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Snorlax14,Snorlax,Rival (Lab),00:00:33.67,00:00:39.34,00:02:02.11,5,0,0,0,39,34,HEADBUTT,AMNESIA,REST,,17,13,13,13,9,0,0,0,0,0,0,0,17,13,13,13,9,9301,4726,2577,0,1998,0,0,0,71,71,0,0,9,2,1,1,0,0,28,21,10,10,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,Jolteon
Snorlax14,Snorlax,Brock,00:03:35.92,00:04:34.73,00:17:33.10,11,0,0,4,34,73,HEADBUTT,AMNESIA,REST,,33,23,23,23,15,0,0,2,2,0,0,0,33,23,46,46,15,65160,29868,33218,76,1998,0,0,0,904,904,0,0,49,9,7,2,0,0,388,299,228,224,31,8,29,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,1566,0,0,0,0,1,13,0,0,0,0,1,14,1,Flareon
Snorlax14,Snorlax,Misty,00:07:26.95,00:07:48.06,00:30:16.50,17,0,0,7,48,6,HEADBUTT,AMNESIA,REST,MEGA PUNCH,49,33,33,33,22,0,0,6,6,0,0,0,55,33,132,132,22,110980,49058,59113,811,1998,0,0,0,1614,1614,0,0,71,17,15,2,0,0,1346,992,332,328,61,11,48,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,6259,0,0,0,0,4,13,0,0,0,1,1,14,1,Flareon
Snorlax14,Snorlax,Rival (Nugget Bridge),00:08:15.39,00:08:37.94,00:33:33.46,18,0,0,8,37,94,HEADBUTT,AMNESIA,WATER GUN,MEGA PUNCH,51,35,35,35,23,-2,-4,6,6,0,0,0,28,11,140,140,23,122796,53308,65084,2406,1998,0,0,0,1716,1716,0,0,75,18,16,2,0,0,1649,1163,344,340,67,12,55,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36,7297,0,0,0,0,5,13,0,0,0,2,1,14,1,Flareon
Snorlax14,Snorlax,Oddish Lass,00:10:32.94,00:10:41.97,00:41:42.29,21,0,0,10,41,97,HEADBUTT,AMNESIA,WATER GUN,MEGA PUNCH,60,41,40,40,26,0,0,0,0,0,0,0,67,41,40,40,26,152119,59736,87635,2750,1998,0,0,0,1832,1832,0,0,88,28,26,2,0,0,3165,2057,386,382,90,13,59,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,59,11998,0,0,0,0,6,13,0,0,0,2,1,14,1,Flareon
Snorlax14,Snorlax,Rocket,00:11:11.56,00:11:17.59,00:44:03.13,21,0,0,11,17,59,HEADBUTT,AMNESIA,WATER GUN,MEGA PUNCH,60,41,40,40,26,0,0,0,0,0,0,0,67,41,40,40,26,160563,65513,89545,3507,1998,0,0,0,1973,1973,0,0,98,29,27,2,0,0,3278,2160,386,382,92,13,59,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61,12687,0,0,0,0,7,13,0,0,0,2,1,14,1,Flareon
Snorlax14,Snorlax,Rival (SS Anne),00:13:22.18,00:13:34.31,00:53:00.47,23,0,0,13,34,31,BODY SLAM,AMNESIA,WATER GUN,MEGA PUNCH,65,45,44,44,29,0,0,0,0,0,0,0,73,45,44,44,29,192817,79138,105080,6601,1998,0,0,0,2409,2409,0,0,142,35,33,2,0,0,4289,2791,506,502,107,14,72,0,0,0,0,0,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,75,16991,0,0,0,0,13,19,0,0,0,3,1,14,1,Flareon
Snorlax14,Snorlax,Lt. Surge,00:14:21.36,00:14:28.12,00:56:33.15,24,0,0,14,28,12,BODY SLAM,AMNESIA,WATER GUN,MEGA PUNCH,68,47,46,46,30,0,0,0,0,0,0,0,76,47,46,46,30,205565,85648,107202,10717,1998,1,0,0,2588,2588,0,0,149,36,34,2,0,0,4382,2867,554,550,109,14,73,0,0,0,0,0,5,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,76,17723,0,0,0,0,13,19,0,0,0,5,1,14,1,Flareon
Snorlax14,Snorlax,RTG1 - Wrapping Lass,00:15:16.62,00:15:26.71,01:00:23.55,24,0,0,15,26,71,BODY SLAM,AMNESIA,WATER GUN,THUNDERBOLT,68,47,46,46,30,0,0,0,0,0,0,0,76,52,46,46,30,219405,93681,110174,13552,1998,1,0,0,2778,2728,50,0,169,37,35,2,0,0,4789,3057,554,550,113,14,73,0,0,0,0,0,6,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,80,18971,0,0,0,0,13,19,0,0,0,6,1,14,1,Flareon
Snorlax14,Snorlax,RTG4 - Status Jr Trainer,00:16:14.64,00:16:21.29,01:03:59.10,26,0,0,16,21,29,BODY SLAM,AMNESIA,WATER GUN,THUNDERBOLT,74,51,50,50,32,0,0,0,0,0,0,0,83,57,50,50,32,232320,96744,119095,14483,1998,1,0,0,2977,2728,249,0,190,41,39,2,0,0,5521,3545,585,581,123,14,75,0,0,0,0,0,7,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,88,21851,0,0,0,0,13,19,0,0,0,6,1,14,1,Flareon
