date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
11-22,14:33:51,NINTEN,Snorlax,Rival1-Lab,1,Pallet Town - Oak's Lab,1,39.48,39,0h0m39s,0,0,0,5,0:02,5.619,HEADBUTT,AMNESIA,REST,,0,71,4,1,1,2,2,2,0,3000,Jolteon, ,Normal,Normal,253,Snorlax8,Snorlax,Rival (Lab),00:00:33.86,00:00:39.48,00:02:02.30,5,0,0,0,39,48,HEADBUTT,AMNESIA,REST,,13,20,10,0,0,0,0,0,27,32,17,13,13,13,9,55,55,50,65,65,55,15,15,15,15,0,-1,0,0,0,0,0,17,8,13,13,9,9333,4752,2570,0,2011,0,0,0,71,71,0,0,4,2,1,1,0,0,30,21,5,5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,8,0,Jolteon
11-22,14:35:18,NINTEN,Snorlax,Bug Catcher,2,Viridian Forest,3,2:06.49,2:06,0h2m6s,0,0,0,7,0:07,15.767,HEADBUTT,AMNESIA,REST,,0,542,34,2,2,9,9,8,3,75,Flareon, ,Normal,Normal,502,Snorlax8,Snorlax,,00:01:50.72,00:02:06.49,00:07:46.16,7,0,0,2,6,49,HEADBUTT,AMNESIA,REST,,8,20,10,0,0,0,0,0,41,41,22,16,16,16,11,200,125,195,135,135,160,15,15,15,15,0,0,0,0,-2,0,0,22,16,16,16,5,29959,20272,7676,0,2011,0,0,0,542,542,0,0,34,4,2,2,0,0,114,87,5,5,9,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,346,0,0,0,0,0,13,0,0,0,0,0,8,0,Flareon
11-22,14:35:34,NINTEN,Snorlax,Bug Catcher,3,Viridian Forest,1,2:22.79,2:22,0h2m22s,0,0,0,7,0:08,5.721,HEADBUTT,AMNESIA,REST,,0,633,45,3,2,11,11,10,3,135,Flareon, ,Normal,Normal,614,Snorlax8,Snorlax,,00:02:17.08,00:02:22.79,00:08:50.50,7,0,0,2,22,79,HEADBUTT,AMNESIA,REST,,6,20,10,0,0,0,0,0,37,41,22,16,16,16,11,245,155,230,155,155,205,15,15,15,15,0,0,0,0,-1,0,0,22,16,16,16,7,33833,22365,9457,0,2011,0,0,0,633,633,0,0,45,5,3,2,0,0,152,117,9,9,11,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,458,0,0,0,0,1,13,0,0,0,0,0,8,0,Flareon
11-22,14:36:49,NINTEN,Snorlax,Jr Trainer M,1,Pewter City - Gym,2,3:37.77,3:37,0h3m37s,0,2,2,10,0:13,10.062,HEADBUTT,AMNESIA,REST,,0,849,55,6,2,35,33,33,3,58,Flareon, ,Normal,Normal,1260,Snorlax8,Snorlax,,00:03:27.71,00:03:37.77,00:13:47.06,10,0,0,3,37,77,HEADBUTT,AMNESIA,REST,,11,20,10,0,0,0,0,0,39,55,30,21,21,21,14,325,395,390,320,320,530,15,15,15,15,0,0,0,0,0,0,0,30,21,21,21,14,51609,28168,21430,0,2011,0,0,0,849,849,0,0,55,8,6,2,0,0,285,212,128,121,18,0,29,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,1104,0,0,0,0,1,13,0,0,0,0,2,8,2,Flareon
11-22,14:37:40,NINTEN,Snorlax,Brock,1,Pewter City - Gym,2,4:28.00,4:28,0h4m28s,0,2,2,11,0:17,34.295,HEADBUTT,AMNESIA,REST,,0,957,56,7,2,58,47,44,3,238,Flareon, ,Normal,Normal,1720,Snorlax8,Snorlax,Brock,00:03:53.70,00:04:28.00,00:17:06.07,11,0,0,4,28,0,HEADBUTT,AMNESIA,REST,,4,20,7,0,0,0,0,0,44,60,33,23,23,23,15,400,520,650,380,380,620,15,15,15,15,0,-2,0,0,0,0,0,33,11,23,23,15,63550,31377,30162,0,2011,0,0,0,957,957,0,0,56,9,7,2,0,0,350,273,179,172,29,3,34,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,11,1564,0,0,0,0,1,13,0,0,0,0,2,8,2,Flareon
11-22,14:38:09,NINTEN,Snorlax,Bug Catcher,4,Route 3,3,4:57.16,4:57,0h4m57s,0,2,2,11,0:19,9.733,HEADBUTT,AMNESIA,REST,,0,1068,57,8,2,61,50,46,4,1426,Flareon,Poisoned,Normal,Normal,2055,Snorlax8,Snorlax,,00:04:47.43,00:04:57.16,00:19:01.19,11,0,0,4,57,16,HEADBUTT,AMNESIA,REST,,12,20,10,0,0,0,0,0,54,60,33,23,23,23,15,530,615,750,440,440,760,15,15,15,15,0,0,0,0,0,0,0,37,23,23,23,15,70462,34982,33469,0,2011,0,0,0,1068,1068,0,0,57,10,8,2,0,0,455,362,185,178,32,3,36,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,14,1899,0,0,0,0,1,13,0,0,0,0,2,8,2,Flareon
11-22,14:38:22,NINTEN,Snorlax,Youngster Ben,1,Route 3,2,5:10.23,5:10,0h5m10s,0,2,2,12,0:19,7.948,HEADBUTT,AMNESIA,REST,,0,1072,57,9,2,63,52,48,4,1526,Flareon, ,Normal,Normal,2333,Snorlax8,Snorlax,,00:05:02.28,00:05:10.23,00:19:52.39,12,0,0,5,10,23,HEADBUTT,AMNESIA,REST,,10,20,10,0,0,0,0,0,49,64,35,25,24,24,16,595,731,829,505,505,887,15,15,15,15,0,0,0,0,0,0,0,39,25,24,24,16,73542,35302,35843,386,2011,0,0,0,1072,1072,0,0,57,11,9,2,0,0,517,421,194,187,34,3,38,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,16,2177,0,0,0,0,1,13,0,0,0,0,2,8,2,Flareon
11-22,14:38:35,NINTEN,Snorlax,Bug Catcher,5,Route 3,4,5:23.85,5:23,0h5m23s,0,2,2,13,0:20,10.81,HEADBUTT,AMNESIA,REST,,0,1076,57,10,2,67,56,48,4,1691,Flareon, ,Normal,Normal,2808,Snorlax8,Snorlax,,00:05:13.04,00:05:23.85,00:20:46.15,13,0,0,5,23,85,HEADBUTT,AMNESIA,REST,,6,20,10,0,0,0,0,0,54,69,38,26,26,26,17,775,841,999,595,595,1047,15,15,15,15,0,0,0,0,0,0,0,42,26,26,26,17,76758,35470,38891,386,2011,0,0,0,1076,1076,0,0,57,12,10,2,0,0,657,533,194,187,38,3,38,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,20,2652,0,0,0,0,1,13,0,0,0,0,2,8,2,Flareon
11-22,14:38:47,NINTEN,Snorlax,Bug Catcher,6,Route 3,2,5:35.57,5:35,0h5m35s,0,2,2,13,0:21,7.075,HEADBUTT,AMNESIA,REST,,0,1084,58,11,2,70,59,49,4,1781,Flareon, ,Normal,Normal,3101,Snorlax8,Snorlax,,00:05:28.49,00:05:35.57,00:21:32.27,13,0,0,5,35,57,HEADBUTT,AMNESIA,REST,,3,20,10,0,0,0,0,0,54,69,38,26,26,26,17,870,891,1089,640,640,1122,15,15,15,15,0,0,0,0,0,0,0,42,26,26,26,17,79530,36044,41089,386,2011,0,0,0,1084,1084,0,0,58,13,11,2,0,0,754,598,194,187,41,3,38,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,22,2945,0,0,0,0,1,13,0,0,0,0,2,8,2,Flareon
11-22,14:39:41,NINTEN,Snorlax,Fossil Nerd,2,Mt Moon - 3,3,6:29.52,6:29,0h6m29s,0,2,2,14,0:25,13.383,HEADBUTT,AMNESIA,REST,MEGA PUNCH,0,1492,79,12,2,75,64,52,6,1891,Flareon, ,Normal,Normal,3888,Snorlax8,Snorlax,,00:06:16.14,00:06:29.52,00:25:05.49,14,0,0,6,29,52,HEADBUTT,AMNESIA,REST,MEGA PUNCH,0,20,10,18,0,0,0,0,59,74,41,28,28,28,18,1030,1066,1284,795,795,1282,15,15,15,15,0,-2,0,0,0,0,0,46,14,28,28,18,92332,44559,44660,1102,2011,0,0,0,1492,1492,0,0,79,14,12,2,0,0,908,707,194,187,46,5,39,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,25,3732,0,0,0,0,4,13,0,0,0,1,2,8,2,Flareon
