ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Snorlax24,Snorlax,Rival (Lab),00:00:33.34,00:00:39.02,00:02:01.58,5,0,0,0,39,2,HEADBUTT,AMNESIA,REST,,17,13,13,13,9,0,-1,0,0,0,0,0,17,8,13,13,9,9226,4703,2587,0,1936,0,0,0,71,71,0,0,4,2,1,1,0,0,26,21,6,6,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,24,0,Jolteon
Snorlax24,Snorlax,Brock,00:03:20.37,00:03:48.25,00:14:29.30,10,0,0,3,48,25,HEADBUTT,AMNESIA,REST,,30,21,21,21,14,0,0,0,0,0,0,0,30,21,21,21,14,54078,29170,22972,0,1936,0,0,0,857,857,0,0,68,9,6,3,0,0,320,264,104,104,32,4,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1374,0,0,0,0,1,13,0,1,1,0,0,24,0,Flareon
Snorlax24,Snorlax,Misty,00:06:40.37,00:07:02.03,00:27:15.01,17,0,0,7,2,3,HEADBUTT,AMNESIA,REST,MEGA PUNCH,49,33,33,33,22,0,0,6,6,0,0,0,55,33,132,132,22,100009,47903,49375,795,1936,0,0,0,1545,1545,0,0,90,17,14,3,0,0,1237,957,205,205,62,9,38,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,6067,0,0,0,0,3,13,0,1,1,1,0,24,0,Flareon
Snorlax24,Snorlax,Rival (Nugget Bridge),00:07:27.82,00:07:47.37,00:30:13.56,17,0,0,7,47,37,HEADBUTT,AMNESIA,BUBBLEBEAM,MEGA PUNCH,49,33,33,33,22,-2,0,0,0,0,-2,0,30,33,33,33,22,110744,52156,54625,2027,1936,0,0,0,1647,1647,0,0,95,18,15,3,0,0,1506,1128,228,228,68,11,45,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,7105,0,0,0,0,4,13,0,1,1,2,0,24,0,Flareon
Snorlax24,Snorlax,Oddish Lass,00:09:46.68,00:09:55.75,00:38:39.17,21,0,0,9,55,75,HEADBUTT,AMNESIA,BUBBLEBEAM,MEGA PUNCH,60,41,40,40,26,0,0,0,0,0,0,0,67,41,40,40,26,141065,58865,76983,3281,1936,0,0,0,1763,1763,0,0,114,28,25,3,0,0,3163,2022,260,260,91,12,49,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,11806,0,0,0,0,5,13,0,1,1,2,0,24,0,Flareon
Snorlax24,Snorlax,Rocket,00:10:21.09,00:10:28.51,00:40:48.44,21,0,0,10,28,51,HEADBUTT,AMNESIA,BUBBLEBEAM,MEGA PUNCH,60,41,40,40,26,0,0,0,0,0,0,0,67,41,40,40,26,148832,64396,79219,3281,1936,0,0,0,1901,1901,0,0,116,29,26,3,0,0,3328,2125,273,273,94,12,50,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,12495,0,0,0,0,6,13,0,1,1,2,0,24,0,Flareon
Snorlax24,Snorlax,Rival (SS Anne),00:12:03.30,00:12:17.73,00:47:58.55,23,0,0,12,17,73,BODY SLAM,AMNESIA,BUBBLEBEAM,HEADBUTT,65,45,44,44,29,0,0,0,0,0,0,0,73,45,44,44,29,174643,74880,92601,5226,1936,0,0,0,2231,2231,0,0,141,34,31,3,0,0,4197,2670,354,354,106,14,58,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,15986,0,0,0,0,9,21,0,1,1,3,0,24,0,Flareon
Snorlax24,Snorlax,Lt. Surge,00:13:00.50,00:13:06.15,00:51:09.53,23,0,0,13,6,15,BODY SLAM,AMNESIA,BUBBLEBEAM,HEADBUTT,65,45,44,44,29,0,0,0,0,0,0,0,73,45,44,44,29,186101,81476,94465,8224,1936,0,0,0,2410,2410,0,0,150,35,32,3,0,0,4292,2746,378,378,108,15,59,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,16718,0,0,0,0,9,21,0,1,1,5,0,24,0,Flareon
Snorlax24,Snorlax,RTG1 - Wrapping Lass,00:13:50.65,00:14:01.67,00:54:48.26,24,0,0,14,1,67,BODY SLAM,AMNESIA,BUBBLEBEAM,HEADBUTT,68,47,46,46,30,0,0,0,0,0,0,0,76,52,46,46,30,199214,89656,97667,9955,1936,0,0,0,2600,2551,49,0,160,36,33,3,0,0,4573,2936,378,378,112,15,59,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,17966,0,0,0,0,9,21,0,1,1,5,0,24,0,Flareon
Snorlax24,Snorlax,RTG4 - Status Jr Trainer,00:14:49.94,00:14:55.86,00:58:22.02,25,0,0,14,55,86,BODY SLAM,AMNESIA,BUBBLEBEAM,HEADBUTT,71,49,48,48,31,0,0,0,0,0,0,0,79,55,48,48,31,212030,92812,106416,10866,1936,0,0,0,2803,2551,252,0,189,40,37,3,0,0,5288,3424,397,397,123,16,61,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,20846,0,0,0,0,9,21,0,1,1,5,0,24,0,Flareon
