date_string,time_string,player_name,pokemon,trainer_name,trainer_id,location,total_pokemon,real_time_total,real_time_hmmss,real_time_file_label,resets,blackouts,failures,level,game_time,battle_duration,move1,move2,move3,move4,move1pp,move2pp,move3pp,move4pp,move1ppUp,move2ppUp,move3ppUp,move4ppUp,saves,steps,bonks,trainerBattles,wildBattles,battleTurns,playerTurns,enemyTurns,itemsInBag,money,rivalTeam,statusCondition,type1,type2,experience,ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Hp,Max HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack DV,Defense DV,Speed DV,Special DV,StatExp HP,StatExp Attack,StatExp Def,StatExp Sp. Attack,StatExp Sp. Defense,StatExp Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully, Player Turns Asleep, Enemy Turns Asleep,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
1-16,09:17:21,NINTEN,Spearow,Rival1-Lab,1,Pallet Town - Oak's Lab,1,47.66,47,0h0m47s,0,0,0,6,0:02,8.764,PECK,GROWL,,,0,71,2,1,1,4,4,3,0,3000,Jolteon, ,Normal,Flying,222,Spearow5,Spearow,Rival (Lab),00:00:38.90,00:00:47.66,00:02:35.56,6,0,0,0,47,66,PECK,GROWL,,,31,40,0,0,0,0,0,0,22,22,14,10,10,10,15,55,55,50,65,65,55,15,15,15,15,0,-1,0,0,0,0,0,14,6,10,10,15,11275,6029,3299,0,1947,0,0,0,71,71,0,0,2,2,1,1,0,0,24,21,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,5,0,Jolteon
1-16,09:18:43,NINTEN,Spearow,Bug Catcher,1,Viridian Forest,2,2:09.68,2:09,0h2m9s,0,0,0,7,0:07,12.292,PECK,GROWL,,,0,515,23,2,2,9,9,6,4,75,Flareon, ,Normal,Flying,380,Spearow5,Spearow,,00:01:57.38,00:02:09.68,00:07:59.47,7,0,0,2,9,68,PECK,GROWL,,,30,40,0,0,0,0,0,0,15,24,15,11,11,11,17,145,115,120,105,105,145,15,15,15,15,0,0,0,0,0,0,0,15,11,11,11,17,30706,21182,7577,0,1947,0,0,0,515,515,0,0,23,4,2,2,0,0,86,69,9,9,9,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,255,0,0,0,0,1,13,0,0,0,0,0,5,0,Flareon
1-16,09:19:18,NINTEN,Spearow,Bug Catcher,2,Viridian Forest,3,2:44.54,2:44,0h2m44s,0,0,0,8,0:10,15.941,PECK,GROWL,,,0,530,26,3,4,20,20,13,3,145,Flareon, ,Normal,Flying,659,Spearow5,Spearow,,00:02:28.61,00:02:44.54,00:10:17.19,8,0,0,2,44,54,PECK,GROWL,,,19,40,0,0,0,0,0,0,18,27,17,12,12,12,18,335,215,300,195,195,295,15,15,15,15,0,0,0,0,0,0,0,17,12,12,12,18,38958,21726,15285,0,1947,0,0,0,530,530,0,0,26,7,3,4,0,0,214,168,9,9,19,5,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,443,0,0,0,0,1,13,0,1,1,0,0,5,0,Flareon
1-16,09:19:34,NINTEN,Spearow,Bug Catcher,15,Viridian Forest,2,3:00.92,3:00,0h3m0s,0,0,0,9,0:11,11.206,PECK,GROWL,LEER,,0,561,28,4,4,24,24,15,3,205,Flareon, ,Normal,Flying,872,Spearow5,Spearow,,00:02:49.72,00:03:00.92,00:11:21.59,9,0,0,3,0,92,PECK,GROWL,LEER,,15,40,30,0,0,0,0,0,16,29,18,13,13,13,20,430,265,390,240,240,370,15,15,15,15,0,0,0,0,0,0,0,18,13,13,13,20,42838,22520,18371,0,1947,0,0,0,561,561,0,0,28,8,4,4,0,0,282,221,13,13,23,6,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,747,0,0,0,0,2,13,0,1,1,1,0,5,0,Flareon
1-16,09:19:49,NINTEN,Spearow,Bug Catcher,3,Viridian Forest,1,3:16.25,3:16,0h3m16s,0,0,0,9,0:12,6.754,PECK,GROWL,LEER,,0,609,28,5,5,26,26,17,3,285,Flareon, ,Normal,Flying,984,Spearow5,Spearow,,00:03:09.49,00:03:16.25,00:12:22.20,9,0,0,3,16,25,PECK,GROWL,LEER,,13,40,30,0,0,0,0,0,16,29,18,13,13,13,20,475,295,425,260,260,415,15,15,15,15,0,0,0,0,-2,0,0,18,13,13,13,10,46459,23479,21033,0,1947,0,0,0,609,609,0,0,28,10,5,5,1,0,315,251,13,13,25,6,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,747,0,0,0,0,2,13,0,1,1,1,0,5,0,Flareon
1-16,09:25:16,NINTEN,Spearow,Jr Trainer M,1,Pewter City - Gym,2,8:42.90,8:42,0h8m42s,0,12,12,14,0:33,11.043,PECK,GROWL,LEER,,0,1338,44,18,6,126,125,104,4,0,Flareon, ,Normal,Flying,3231,Spearow5,Spearow,,00:08:31.86,00:08:42.90,00:33:52.43,14,0,0,8,42,90,PECK,GROWL,LEER,,30,40,30,0,0,0,0,0,26,40,27,18,18,18,30,705,1105,890,900,900,1720,15,15,15,15,0,0,0,0,0,0,0,27,18,18,18,30,123882,44089,77846,0,1947,0,0,0,1338,1338,0,0,44,24,18,6,1,0,817,584,503,476,124,7,95,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,25,3106,0,0,0,0,2,14,2,1,1,1,12,5,12,Flareon
1-16,09:26:57,NINTEN,Spearow,Brock,1,Pewter City - Gym,2,10:23.78,10:23,0h10m23s,0,12,12,15,0:40,51.94,PECK,GROWL,LEER,FURY ATTACK,1,1540,52,19,11,160,159,120,4,180,Flareon, ,Normal,Flying,3856,Spearow5,Spearow,Brock,00:09:31.84,00:10:23.78,00:40:31.42,15,0,0,10,23,78,PECK,GROWL,LEER,FURY ATTACK,34,35,16,11,0,0,0,0,10,42,28,19,20,20,32,960,1477,1340,1115,1115,2122,15,15,15,15,0,-2,0,0,0,0,0,28,9,20,20,32,147821,49146,96137,591,1947,1,0,0,1540,1540,0,0,52,30,19,11,1,0,1023,732,535,508,154,17,105,0,0,0,0,0,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,32,3731,0,0,0,0,2,14,2,1,1,2,12,5,12,Flareon
1-16,09:27:27,NINTEN,Spearow,Bug Catcher,4,Route 3,3,10:54.10,10:54,0h10m54s,0,12,12,16,0:42,9.918,PECK,GROWL,LEER,FURY ATTACK,1,1655,60,20,11,163,162,120,5,1368,Flareon, ,Normal,Flying,4191,Spearow5,Spearow,,00:10:44.20,00:10:54.10,00:42:31.25,16,0,0,10,54,10,PECK,GROWL,LEER,FURY ATTACK,32,40,30,20,0,0,0,0,44,44,30,20,21,21,34,1090,1572,1440,1175,1175,2262,15,15,15,15,0,0,0,0,0,0,0,33,20,21,21,34,155004,52946,99520,591,1947,1,0,0,1655,1655,0,0,60,31,20,11,1,0,1142,821,535,508,157,17,105,0,0,0,0,0,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,35,4066,0,0,0,0,2,14,2,1,1,2,12,5,12,Flareon
1-16,09:27:42,NINTEN,Spearow,Youngster,1,Route 3,2,11:09.10,11:09,0h11m9s,0,12,12,16,0:43,11.322,PECK,GROWL,LEER,FURY ATTACK,1,1661,62,21,11,169,166,122,5,1468,Flareon, ,Normal,Flying,4469,Spearow5,Spearow,,00:10:57.78,00:11:09.10,00:43:30.35,16,0,0,11,9,10,PECK,GROWL,LEER,FURY ATTACK,28,40,30,20,0,0,0,0,32,44,30,20,21,21,34,1155,1688,1519,1240,1240,2389,15,15,15,15,0,0,0,0,0,0,0,33,20,21,21,34,158554,53320,102696,591,1947,1,0,0,1661,1661,0,0,62,32,21,11,1,0,1226,880,547,520,161,17,107,0,0,0,0,0,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,37,4344,0,0,0,0,2,14,2,1,1,2,12,5,12,Flareon
1-16,09:27:58,NINTEN,Spearow,Bug Catcher,5,Route 3,4,11:24.57,11:24,0h11m24s,0,12,12,17,0:44,12.615,PECK,GROWL,LEER,FURY ATTACK,1,1665,63,22,11,173,170,122,5,1633,Flareon, ,Normal,Flying,4944,Spearow5,Spearow,,00:11:11.96,00:11:24.57,00:44:31.30,17,0,0,11,24,57,PECK,GROWL,LEER,FURY ATTACK,24,40,30,20,0,0,0,0,35,47,32,22,22,22,35,1335,1798,1689,1330,1330,2549,15,15,15,15,0,0,0,0,0,0,0,36,22,22,22,35,162209,53500,106171,591,1947,1,0,0,1665,1665,0,0,63,33,22,11,1,0,1393,992,547,520,165,17,107,0,0,0,0,0,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,41,4819,0,0,0,0,2,14,2,1,1,2,12,5,12,Flareon
