ROM,Species,Trainer,Start Time,Real Time,Game Time,Level,Resets,RTHours,RTMinutes,RTSeconds,RTMilliseconds,Move 1,Move 2,Move 3,Move 4,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Attack Stage,Defense Stage,Sp. Attack Stage,Sp. Defense Stage,Speed Stage,Accuracy Stage,Evasion Stage,Battle Attack,Battle Defense,Battle Sp. Attack,Battle Sp. Defense,Battle Speed,Frame Count,Overworld Frame Count,Battle Frame Count,Menu Frame Count,Intro Frame Count,Save Count,Reload Count,Clock Reset Count,Steps Count,Steps Count Walk,Steps Count Bike,Steps Count Surf,Bonks,Battles,Trainer Battles,Wild Battles,Battles Fled,Failed Runs,Total Damage Dealt,Actual Damage Dealt,Total Damage Taken,Actual Damage Taken,Own Moves Hit,Own Moves Missed,Enemy Moves Hit,Enemy Moves Missed,Own Moves Super Effective,Own Moves Not Very Effective,Enemy Moves Super Effective,Enemy Moves Not Very Effective,Criticals Dealt,OHKOs Dealt,Criticals Taken,OHKOs Taken,Was Confused,Enemy Became Confused,Was Paralyzed,Enemy Was Paralyzed,Was Burned,Enemy Was Burned,Was Frozen,Enemy Was Frozen,Was Poisoned,Enemy Was Poisoned,Was Badly Poisoned,Enemy Was Badly Poisoned,Fell Asleep,Enemy Fell Asleep,Player Turns Confused,Player Turns Confused Hit Self,Player Turns Paralyzed,Player Turns Paralyzed Fully,Enemy Turns Confused,Enemy Turns Confused Hit Self,Enemy Turns Paralyzed,Enemy Turns Paralyzed Fully,Player HP Healed,Enemy HP Healed,Player Pokemon Fainted,Enemy Pokemon Fainted,Experience Gained,Switchouts,Money Made,Money Spent,Money Lost,Items Picked Up,Items Bought,Items Sold,Balls Thrown,Pokemon Caught In Balls,Moves Learnt,Blackouts,Attempt Number,Failures, Rival's Team
Spearow1,Spearow,Rival (Lab),00:00:38.85,00:00:47.62,00:02:36.02,6,0,0,0,47,62,PECK,GROWL,,,14,10,10,10,15,0,-1,0,0,0,0,0,14,6,10,10,15,11281,6029,3305,0,1947,0,0,0,71,71,0,0,2,2,1,1,0,0,24,21,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,0,0,0,0,0,0,0,0,0,0,0,1,0,Jolteon
Spearow1,Spearow,Brock,00:09:31.54,00:10:23.48,00:40:31.44,15,0,0,10,23,48,PECK,GROWL,LEER,FURY ATTACK,28,19,20,20,32,0,-2,0,0,0,0,0,28,9,20,20,32,147823,49146,96139,591,1947,1,0,0,1540,1540,0,0,52,30,19,11,1,0,1023,732,535,508,154,17,105,0,0,0,0,0,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,32,3731,0,0,0,0,2,14,2,1,1,2,13,1,13,Flareon
Spearow1,Spearow,Rival (Nugget Bridge),00:15:31.33,00:15:57.72,01:02:30.06,21,0,0,15,57,72,PECK,GROWL,LEER,FURY ATTACK,39,26,26,26,43,-1,-2,0,0,0,-2,0,34,13,26,26,43,226925,71254,151779,1945,1947,2,0,0,2269,2269,0,0,88,50,34,16,6,0,2741,1988,688,661,211,28,133,0,0,0,0,0,13,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,13,70,10296,0,0,0,0,5,14,2,1,1,2,13,1,13,Flareon
Spearow1,Spearow,Oddish Lass,00:18:56.70,00:19:07.62,01:14:59.29,24,0,0,19,7,62,PECK,GROWL,MIRROR MOVE,FURY ATTACK,44,30,30,30,49,0,0,0,0,0,-1,0,55,30,30,30,49,271888,80220,186116,3605,1947,2,0,0,2453,2453,0,0,108,60,44,16,6,0,3901,2804,789,762,249,33,147,0,0,0,0,0,17,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,13,91,14396,0,0,0,0,6,14,2,1,1,3,13,1,13,Flareon
Spearow1,Spearow,Rocket,00:19:44.11,00:19:54.77,01:18:05.58,24,0,0,19,54,77,PECK,GROWL,MIRROR MOVE,FURY ATTACK,44,30,30,30,49,0,0,0,0,0,0,0,49,30,30,30,49,283077,87631,189300,4199,1947,3,0,0,2645,2645,0,0,119,61,45,16,6,0,4041,2907,812,785,253,33,149,0,0,0,0,0,17,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,13,93,15085,0,0,0,0,7,14,2,1,1,3,13,1,13,Flareon
Spearow1,Spearow,Rival (SS Anne),00:23:19.39,00:23:39.88,01:31:38.11,27,1,0,23,39,88,PECK,GROWL,MIRROR MOVE,FURY ATTACK,50,33,34,34,56,0,0,0,0,0,0,0,56,33,34,34,56,331815,101939,217055,10716,2105,9,1,0,3067,3067,0,0,150,68,52,16,6,0,5114,3755,987,960,290,36,169,0,0,0,0,0,20,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,13,112,21210,0,0,0,0,12,24,2,1,1,3,13,1,14,Flareon
Spearow1,Spearow,Misty,00:26:34.75,00:26:41.33,01:43:34.20,30,1,0,26,41,33,DRILL PECK,GROWL,MIRROR MOVE,FURY ATTACK,56,37,38,38,62,0,0,0,0,0,0,0,63,37,38,38,62,374784,114816,241216,16647,2105,11,1,0,3406,3406,0,0,163,76,60,16,6,0,6136,4510,1049,1022,313,38,177,0,0,0,0,0,20,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,13,129,27801,0,0,0,0,12,24,2,1,1,6,13,1,14,Flareon
Spearow1,Spearow,RTG1 - Wrapping Lass,00:27:00.96,00:27:10.18,01:45:27.53,30,1,0,27,10,18,DRILL PECK,GROWL,MIRROR MOVE,FURY ATTACK,56,37,38,38,62,0,0,0,0,0,0,0,63,37,38,38,62,381597,117289,245109,17094,2105,11,1,0,3496,3496,0,0,172,77,61,16,6,0,6952,4700,1049,1022,317,38,177,0,0,0,0,0,21,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,13,133,29049,0,0,0,0,12,24,2,1,1,6,13,1,14,Flareon
Spearow1,Spearow,RTG4 - Status Jr Trainer,00:28:18.14,00:28:25.08,01:50:23.27,31,1,0,28,25,8,DRILL PECK,GROWL,MIRROR MOVE,FURY ATTACK,57,39,39,39,64,0,0,0,0,0,0,0,64,39,39,39,64,399331,121906,255595,19725,2105,12,1,0,3690,3690,0,0,179,82,65,17,7,0,8007,5188,1064,1037,328,39,179,0,0,0,0,0,22,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,13,141,31929,0,0,0,0,12,24,2,1,1,6,13,1,14,Flareon
Spearow1,Spearow,RTG6 - Finisher,00:31:00.04,00:31:08.96,01:56:10.48,32,5,0,31,8,96,DRILL PECK,GROWL,MIRROR MOVE,FURY ATTACK,59,40,40,40,66,0,0,0,0,0,0,0,66,40,40,40,66,420177,127265,267245,23404,2263,13,2,0,3854,3854,0,0,196,85,67,18,8,0,8401,5400,1127,1100,347,42,186,0,0,0,0,0,23,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,13,147,34169,0,0,0,0,12,24,2,1,1,6,13,1,18,Flareon
